actual_tier_label,p_bust,p_bench,p_starter,p_star
bust,0.3734,0.3027,0.2201,0.1038
bench,0.3322,0.3103,0.2302,0.1273
starter,0.2129,0.2511,0.2826,0.2534
star,0.1274,0.1669,0.3422,0.3635
