actual_tier_label,p_bust,p_bench,p_starter,p_star
bust,0.3779,0.3031,0.2192,0.0998
bench,0.3391,0.305,0.2281,0.1279
starter,0.216,0.2475,0.2811,0.2554
star,0.1274,0.1688,0.3396,0.3642
