player_name,draft_year,draft_pick,position,player_id,SEASON_ID,PLUS_MINUS,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,TOV,PF,TEAM_ABBREVIATION,note,VORP,PLAYER_ID,PLAYER_NAME
Evan Turner,2010,2,Shooting Guard,202323.0,2011-12,0.8,65.0,26.3,9.4,5.8,2.8,0.6,0.3,0.446,0.224,0.676,4.0,9.1,0.2,0.8,1.1,1.7,0.4,5.4,1.6,1.8,PHI,ok,0.3,202323.0,Evan Turner
Derrick Favors,2010,3,Power Forward,202324.0,2014-15,0.8,74.0,30.8,16.0,8.2,1.5,0.8,1.7,0.525,0.167,0.669,6.5,12.4,0.0,0.1,3.0,4.5,2.6,5.6,1.6,2.8,UTA,ok,2.6,202324.0,Derrick Favors
Wesley Johnson,2010,4,Small Forward,202325.0,2011-12,-2.3,65.0,22.6,6.0,2.7,0.9,0.5,0.7,0.398,0.314,0.706,2.4,6.1,0.8,2.6,0.4,0.5,0.4,2.4,0.9,1.8,MIN,ok,0.0,202325.0,Wesley Johnson
Greg Monroe,2010,5,Power Forward/Center,202328.0,2014-15,-0.3,69.0,31.0,15.9,10.2,2.1,1.1,0.5,0.496,0.0,0.75,6.1,12.4,0.0,0.0,3.7,4.9,3.3,6.9,2.2,2.1,DET,ok,2.1,202328.0,Greg Monroe
Patrick Patterson,2010,6,Power Forward,202335.0,2014-15,3.1,81.0,26.6,8.0,5.3,1.9,0.7,0.5,0.449,0.371,0.788,3.0,6.6,1.3,3.5,0.8,1.0,1.6,3.8,0.7,1.8,TOR,ok,2.4,202335.0,Patrick Patterson
DeMarcus Cousins,2010,7,Power Forward/Center,202326.0,2014-15,1.0,59.0,34.1,24.1,12.7,3.6,1.5,1.7,0.467,0.25,0.782,8.4,18.1,0.0,0.1,7.2,9.2,3.1,9.5,4.3,4.1,SAC,ok,3.2,202326.0,DeMarcus Cousins
Luke Babbitt,2010,8,Small Forward/Power Forward,202337.0,2013-14,2.6,27.0,17.5,6.3,3.3,1.1,0.3,0.4,0.39,0.379,0.778,2.2,5.7,1.3,3.5,0.5,0.7,0.7,2.6,0.6,1.9,NOP,ok,0.1,202337.0,Luke Babbitt
Al-Farouq Aminu,2010,9,Small Forward,202329.0,2014-15,1.4,74.0,18.5,5.6,4.6,0.8,0.9,0.8,0.412,0.274,0.712,2.0,4.8,0.5,1.7,1.1,1.6,1.5,3.1,0.7,1.9,DAL,ok,1.0,202329.0,Al-Farouq Aminu
Paul George,2010,10,Small Forward,202331.0,2012-13,4.6,79.0,37.6,17.4,7.6,4.1,1.8,0.6,0.419,0.362,0.807,6.2,14.9,2.2,5.9,2.8,3.5,1.1,6.5,2.9,2.9,IND,ok,4.4,202331.0,Paul George
Ed Davis,2010,11,Power Forward,202334.0,2013-14,0.9,63.0,15.2,5.7,4.1,0.4,0.3,0.7,0.534,0.0,0.528,2.5,4.6,0.0,0.0,0.7,1.4,1.5,2.7,0.6,1.8,MEM,ok,0.2,202334.0,Ed Davis
Xavier Henry,2010,12,Shooting Guard,202333.0,2014-15,1.6,9.0,9.5,2.2,0.4,0.3,0.3,0.0,0.231,0.0,0.583,0.3,1.4,0.0,0.0,1.6,2.7,0.2,0.2,0.3,0.7,LAL,ok,-0.1,202333.0,Xavier Henry
Avery Bradley,2010,13,Shooting Guard,202340.0,2011-12,1.5,64.0,21.4,7.6,1.8,1.4,0.7,0.2,0.498,0.407,0.795,3.1,6.3,0.3,0.8,1.0,1.2,0.5,1.3,1.2,1.7,BOS,ok,0.1,202340.0,Avery Bradley
Hassan Whiteside,2010,14,Center,202355.0,2011-12,0.4,18.0,6.0,1.6,2.2,0.0,0.2,0.8,0.444,0.0,0.417,0.7,1.5,0.0,0.0,0.3,0.7,0.9,1.3,0.3,0.7,SAC,ok,0.0,202355.0,Hassan Whiteside
Cole Aldrich,2010,15,Center,202332.0,2010-11,0.4,18.0,7.9,1.0,1.9,0.2,0.3,0.4,0.533,0.0,0.5,0.4,0.8,0.0,0.0,0.1,0.2,0.7,1.2,0.4,1.7,OKC,ok,-0.1,202332.0,Cole Aldrich
Gordon Hayward,2010,16,Small Forward,202330.0,2012-13,1.5,72.0,29.2,14.1,3.1,3.0,0.8,0.5,0.435,0.415,0.827,4.7,10.7,1.4,3.4,3.4,4.1,0.7,2.4,1.7,1.7,UTA,ok,2.1,202330.0,Gordon Hayward
Ekpe Udoh,2010,17,Power Forward,202327.0,2011-12,3.4,61.0,21.1,5.6,4.2,0.9,0.7,1.7,0.431,0.0,0.754,2.1,4.8,0.0,0.0,1.4,1.9,1.6,2.5,0.9,2.9,MIL,ok,0.2,202327.0,Ekpe Udoh
Devin Ebanks,2010,18,Small Forward,202365.0,2011-12,0.3,24.0,16.5,4.0,2.3,0.5,0.5,0.3,0.416,0.0,0.657,1.5,3.7,0.0,0.4,1.0,1.5,1.1,1.2,0.8,1.1,LAL,ok,-0.2,202365.0,Devin Ebanks
James Anderson,2010,19,Shooting Guard,202341.0,2012-13,2.4,39.0,10.3,3.8,1.8,1.1,0.4,0.1,0.413,0.35,0.857,1.3,3.2,0.5,1.5,0.6,0.7,0.5,1.4,0.6,0.6,HOU,ok,0.3,202341.0,James Anderson
Daniel Orton,2010,20,Power Forward/Center,202350.0,2012-13,-1.2,13.0,8.0,2.5,2.0,0.3,0.3,0.2,0.462,0.0,0.529,0.9,2.0,0.0,0.0,0.7,1.3,1.0,1.0,0.3,1.0,OKC,ok,0.0,202350.0,Daniel Orton
