player_name,draft_year,draft_pick,position,player_id,SEASON_ID,PLUS_MINUS,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,TOV,PF,TEAM_ABBREVIATION,note,PLAYER_ID,PLAYER_NAME
Earl Clark,2009.0,11.0,Small Forward,201947.0,2009-10,-0.7,51.0,7.5,2.7,1.2,0.4,0.1,0.3,0.371,0.4,0.722,1.1,3.0,0.0,0.1,0.5,0.7,0.4,0.9,0.5,0.5,PHX,ok,201947.0,Earl Clark
James Johnson,2009.0,12.0,Small Forward,201949.0,2013-14,1.8,52.0,18.4,7.4,3.2,2.1,0.8,1.1,0.464,0.253,0.844,2.8,5.9,0.4,1.7,1.5,1.7,1.2,2.0,1.3,2.0,MEM,ok,201949.0,James Johnson
Gerald Henderson,2009.0,13.0,Shooting Guard/Small Forward,76993.0,,,,,,,,,,,,,,,,,,,,,,,,no_data_in_2009-10_to_2013-14,,
Jeff Teague,2009.0,14.0,Point Guard,201952.0,2011-12,3.5,66.0,33.1,12.6,2.4,4.9,1.6,0.6,0.476,0.342,0.757,4.8,10.2,0.8,2.3,2.1,2.8,0.3,2.1,2.0,2.2,ATL,ok,201952.0,Jeff Teague
Tyreke Evans,2009.0,15.0,Shooting Guard,201936.0,2013-14,-2.8,72.0,28.2,14.5,4.7,5.0,1.2,0.3,0.436,0.221,0.771,5.4,12.5,0.3,1.3,3.3,4.3,1.1,3.7,2.4,2.2,NOP,ok,201936.0,Tyreke Evans
Wayne Ellington,2009.0,16.0,Shooting Guard,201961.0,2012-13,0.2,78.0,21.3,7.9,2.1,1.3,0.6,0.0,0.427,0.392,0.907,2.9,6.8,1.2,3.1,0.9,1.0,0.3,1.8,0.7,1.0,CLE,ok,201961.0,Wayne Ellington
Eric Maynor,2009.0,17.0,Point Guard,201953.0,2010-11,2.4,82.0,14.6,4.2,1.5,2.9,0.4,0.1,0.402,0.385,0.729,1.6,4.1,0.5,1.2,0.5,0.7,0.3,1.2,0.9,1.2,OKC,ok,201953.0,Eric Maynor
Chase Budinger,2009.0,18.0,Shooting Guard/Small Forward,201978.0,2010-11,1.8,78.0,22.3,9.8,3.6,1.6,0.5,0.2,0.425,0.325,0.855,3.6,8.4,1.1,3.5,1.5,1.8,0.7,2.9,0.9,1.5,HOU,ok,201978.0,Chase Budinger
Derrick Brown,2009.0,19.0,Small Forward,201974.0,2009-10,-0.2,57.0,9.4,3.3,1.4,0.3,0.4,0.2,0.463,0.286,0.667,1.2,2.6,0.0,0.1,0.8,1.3,0.5,0.8,0.3,0.9,CHA,ok,201974.0,Derrick Brown
DeJuan Blair,2009.0,20.0,Power Forward,201971.0,2010-11,1.7,81.0,21.4,8.3,7.0,1.0,1.2,0.5,0.501,0.0,0.657,3.6,7.2,0.0,0.0,1.1,1.7,2.7,4.3,1.4,2.6,SAS,ok,201971.0,DeJuan Blair
Tyler Hansbrough,2009.0,21.0,Power Forward,201946.0,2012-13,-0.1,81.0,16.9,7.0,4.6,0.4,0.4,0.2,0.432,0.0,0.72,2.2,5.0,0.0,0.0,2.7,3.7,2.0,2.6,1.0,1.9,IND,ok,201946.0,Tyler Hansbrough
Terrence Williams,2009.0,22.0,Shooting Guard/Small Forward,201944.0,2012-13,-0.5,24.0,13.2,4.6,1.8,1.6,0.5,0.1,0.495,0.333,0.429,2.0,4.0,0.2,0.6,0.4,0.9,0.2,1.7,0.9,0.5,BOS,ok,201944.0,Terrence Williams
DaJuan Summers,2009.0,23.0,Small Forward,201969.0,2012-13,0.0,2.0,3.3,1.0,1.0,0.5,0.0,0.0,0.25,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,LAC,ok,201969.0,DaJuan Summers
Omri Casspi,2009.0,24.0,Small Forward,201956.0,2013-14,2.1,71.0,18.1,6.9,3.7,1.2,0.6,0.2,0.422,0.347,0.68,2.4,5.8,0.9,2.5,1.2,1.7,0.8,2.9,1.0,1.4,HOU,ok,201956.0,Omri Casspi
Ty Lawson,2009.0,25.0,Point Guard,201951.0,2012-13,3.9,73.0,34.4,16.7,2.7,6.9,1.5,0.1,0.461,0.366,0.756,6.1,13.3,1.2,3.2,3.2,4.3,0.5,2.2,2.5,1.8,DEN,ok,201951.0,Ty Lawson
