player_name,draft_year,draft_pick,position,player_id,SEASON_ID,PLUS_MINUS,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,TOV,PF,TEAM_ABBREVIATION,note,PLAYER_ID,PLAYER_NAME
Kendall Marshall,2012.0,13.0,Point Guard,203088.0,2014-15,2.0,28.0,14.9,4.2,1.0,3.1,0.8,0.0,0.455,0.391,0.889,1.6,3.6,0.6,1.6,0.3,0.3,0.1,0.9,1.3,0.9,MIL,ok,203088.0,Kendall Marshall
Moe Harkless,2012.0,14.0,Small Forward,203090.0,2016-17,0.6,77.0,28.9,10.0,4.4,1.1,1.1,0.9,0.503,0.351,0.621,4.1,8.1,0.9,2.5,1.0,1.6,1.6,2.8,1.1,2.8,POR,recovered:last_unique,203090.0,Maurice Harkless
Andrew Nicholson,2012.0,15.0,Power Forward,203094.0,2015-16,0.6,56.0,14.7,6.9,3.6,0.4,0.2,0.4,0.471,0.36,0.785,2.6,5.5,0.7,2.0,0.9,1.2,0.6,3.0,0.7,1.2,ORL,ok,203094.0,Andrew Nicholson
Arnett Moultrie,2012.0,16.0,Power Forward,203102.0,2012-13,-1.8,47.0,11.5,3.7,3.1,0.2,0.4,0.2,0.582,0.0,0.643,1.7,2.9,0.0,0.0,0.4,0.6,1.6,1.5,0.4,0.9,PHI,ok,203102.0,Arnett Moultrie
Dion Waiters,2012.0,17.0,Shooting Guard,203079.0,2015-16,2.7,78.0,27.6,9.8,2.6,2.0,1.0,0.2,0.399,0.358,0.713,3.6,9.1,1.1,3.1,1.4,2.0,0.5,2.1,1.5,1.8,OKC,ok,203079.0,Dion Waiters
Perry Jones,2012.0,18.0,Small Forward/Power Forward,203103.0,2013-14,0.9,62.0,12.3,3.5,1.8,0.4,0.2,0.3,0.459,0.361,0.667,1.3,2.9,0.4,1.0,0.5,0.7,0.5,1.4,0.3,1.0,OKC,ok,203103.0,Perry Jones III
Jared Sullinger,2012.0,19.0,Power Forward,203096.0,2015-16,2.6,81.0,23.6,10.3,8.3,2.3,0.9,0.6,0.435,0.282,0.64,4.3,10.0,0.4,1.3,1.3,2.0,2.4,5.9,1.3,2.6,BOS,ok,203096.0,Jared Sullinger
John Henson,2012.0,20.0,Power Forward,203089.0,2012-13,-0.6,63.0,13.1,6.0,4.7,0.5,0.3,0.7,0.482,0.0,0.533,2.6,5.3,0.0,0.0,0.9,1.7,1.8,2.9,0.7,1.3,MIL,ok,203089.0,John Henson
Terrence Jones,2012.0,21.0,Small Forward/Power Forward,203093.0,2014-15,2.4,33.0,27.0,11.7,6.7,1.1,0.5,1.8,0.528,0.351,0.606,4.8,9.1,0.4,1.1,1.7,2.8,2.4,4.3,1.1,2.4,HOU,ok,203093.0,Terrence Jones
Marquis Teague,2012.0,22.0,Point Guard,203104.0,2012-13,-0.2,48.0,8.2,2.1,0.9,1.3,0.2,0.1,0.381,0.174,0.563,0.9,2.4,0.1,0.5,0.2,0.3,0.1,0.9,0.7,1.0,CHI,ok,203104.0,Marquis Teague
Royce White,2012.0,23.0,Small Forward,203091.0,2013-14,-2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,SAC,ok,203091.0,Royce White
John Jenkins,2012.0,24.0,Shooting Guard,203098.0,2016-17,2.3,4.0,3.2,1.8,0.3,0.3,0.0,0.0,0.4,0.5,1.0,0.5,1.3,0.3,0.5,0.5,0.5,0.0,0.3,0.0,0.0,PHX,ok,203098.0,John Jenkins
Doron Lamb,2012.0,25.0,Shooting Guard,203117.0,2013-14,0.0,53.0,13.1,3.6,0.9,0.8,0.2,0.0,0.394,0.4,0.806,1.2,3.0,0.7,1.7,0.5,0.7,0.2,0.8,0.5,1.0,ORL,ok,203117.0,Doron Lamb
Quincy Miller,2012.0,26.0,Small Forward,203113.0,2014-15,4.4,10.0,12.0,2.9,2.0,0.8,0.7,0.5,0.237,0.167,0.727,0.9,3.8,0.3,1.8,0.8,1.1,0.4,1.6,0.5,0.9,DET,ok,203113.0,Quincy Miller
Will Barton,2012.0,27.0,Shooting Guard/Small Forward,203115.0,2013-14,-0.4,41.0,9.4,4.0,1.8,0.8,0.2,0.2,0.417,0.303,0.813,1.6,3.8,0.2,0.8,0.6,0.8,0.4,1.4,0.4,0.8,POR,ok,203115.0,Will Barton
Khris Middleton,2012.0,28.0,Shooting Guard/Small Forward,203114.0,2014-15,4.1,79.0,30.1,13.4,4.4,2.3,1.5,0.1,0.467,0.407,0.859,5.1,11.0,1.4,3.4,1.7,2.0,0.6,3.8,1.4,2.3,MIL,ok,203114.0,Khris Middleton
Tony Wroten,2012.0,29.0,Point Guard/Shooting Guard,203100.0,2012-13,-1.6,35.0,7.8,2.6,0.8,1.2,0.2,0.1,0.384,0.25,0.724,0.9,2.5,0.1,0.5,0.6,0.8,0.4,0.4,0.8,1.0,MEM,ok,203100.0,Tony Wroten
Jeffery Taylor,2012.0,30.0,Small Forward,203106.0,2013-14,-2.9,26.0,24.2,8.0,2.3,0.8,0.5,0.2,0.376,0.269,0.553,3.2,8.4,0.7,2.6,1.0,1.8,0.6,1.7,1.0,2.4,CHA,ok,203106.0,Jeffery Taylor
Fab Melo,2012.0,31.0,Center,203097.0,2012-13,-1.2,6.0,6.0,1.2,0.5,0.0,0.3,0.3,0.5,0.0,0.25,0.5,1.0,0.0,0.0,0.2,0.7,0.0,0.5,0.2,1.2,BOS,ok,203097.0,Fab Melo
Jared Cunningham,2012.0,32.0,Shooting Guard,203099.0,2013-14,-0.2,13.0,6.2,2.0,0.5,0.6,0.2,0.0,0.286,0.143,0.813,0.5,1.6,0.1,0.5,1.0,1.2,0.1,0.4,0.2,1.2,SAC,ok,203099.0,Jared Cunningham
Festus Ezeli,2012.0,33.0,Center,203105.0,2015-16,4.8,46.0,16.7,7.0,5.6,0.7,0.4,1.1,0.548,0.0,0.53,2.7,5.0,0.0,0.0,1.5,2.9,2.0,3.6,0.8,2.0,GSW,ok,203105.0,Festus Ezeli
Draymond Green,2012.0,34.0,Small Forward/Power Forward,203110.0,2015-16,13.2,81.0,34.7,14.0,9.5,7.4,1.5,1.4,0.49,0.388,0.696,5.0,10.1,1.2,3.2,2.8,4.1,1.7,7.8,3.2,3.0,GSW,ok,203110.0,Draymond Green
Evan Fournier,2012.0,35.0,Shooting Guard,203095.0,2012-13,1.6,38.0,11.3,5.3,0.9,1.2,0.5,0.0,0.493,0.407,0.769,2.0,4.0,0.6,1.4,0.8,1.0,0.2,0.8,0.8,1.7,DEN,ok,203095.0,Evan Fournier
Furkan Aldemir,2012.0,36.0,Power Forward,203128.0,2014-15,-2.5,41.0,13.2,2.3,4.3,0.7,0.4,0.4,0.513,0.0,0.481,1.0,1.9,0.0,0.1,0.3,0.7,1.9,2.4,0.4,2.3,PHI,ok,203128.0,Furkan Aldemir
Darius Miller,2012.0,37.0,Small Forward,203121.0,2013-14,1.1,45.0,16.1,4.4,1.2,1.0,0.5,0.2,0.44,0.325,0.806,1.6,3.7,0.6,1.7,0.6,0.8,0.2,1.0,0.5,2.0,NOP,ok,203121.0,Darius Miller
Kris Joseph,2012.0,38.0,Small Forward,203126.0,2012-13,-0.6,10.0,5.4,0.9,0.7,0.1,0.3,0.0,0.143,0.0,0.625,0.2,1.4,0.0,0.3,0.5,0.8,0.1,0.6,0.2,0.3,BKN,ok,203126.0,Kris Joseph
Kevin Murphy,2012.0,39.0,Shooting Guard,203122.0,2012-13,-2.6,17.0,3.1,0.9,0.2,0.1,0.1,0.0,0.25,0.2,0.0,0.4,1.6,0.1,0.3,0.0,0.0,0.0,0.2,0.2,0.2,UTA,ok,203122.0,Kevin Murphy
Kim English,2012.0,40.0,Shooting Guard,203119.0,2012-13,-1.4,41.0,9.9,2.9,0.9,0.6,0.4,0.1,0.375,0.28,0.724,1.0,2.7,0.3,1.2,0.5,0.7,0.2,0.7,0.5,1.1,DET,ok,203119.0,Kim English
Drew Gordon,2012.0,41.0,Power Forward,204079.0,2014-15,-3.8,9.0,7.9,1.9,2.0,0.2,0.1,0.0,0.421,0.0,0.5,0.9,2.1,0.0,0.3,0.1,0.2,0.8,1.2,0.9,0.8,PHI,ok,204079.0,Drew Gordon
Kostas Papanikolaou,2012.0,42.0,Small Forward,203123.0,2015-16,-0.3,26.0,11.3,2.6,1.5,0.6,0.5,0.2,0.364,0.313,0.643,0.9,2.5,0.4,1.2,0.3,0.5,0.3,1.2,0.8,0.9,DEN,ok,203123.0,Kostas Papanikolaou
Mike Scott,2012.0,43.0,Power Forward,203118.0,2015-16,1.5,75.0,15.3,6.2,2.7,1.0,0.3,0.2,0.468,0.392,0.794,2.3,5.0,0.8,2.1,0.7,0.8,0.7,2.0,0.6,1.4,ATL,ok,203118.0,Mike Scott
Darius Johnson-Odom,2012.0,44.0,Shooting Guard,203130.0,2013-14,-1.0,3.0,5.1,0.0,0.7,0.3,0.3,0.0,0.0,0.0,0.0,0.0,2.3,0.0,1.0,0.0,0.7,0.0,0.7,0.7,1.0,PHI,ok,203130.0,Darius Johnson-Odom
JaMychal Green,2012.0,45.0,Power Forward,203210.0,2016-17,-0.4,77.0,27.3,8.9,7.1,1.1,0.6,0.4,0.5,0.379,0.802,3.2,6.5,0.7,1.9,1.7,2.2,2.2,4.9,1.2,3.2,MEM,ok,203210.0,JaMychal Green
William Buford,2012.0,46.0,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Hollis Thompson,2012.0,47.0,Shooting Guard,203138.0,2016-17,-1.8,40.0,18.8,5.1,2.8,0.9,0.5,0.2,0.385,0.337,0.655,1.9,5.0,0.8,2.4,0.5,0.7,0.5,2.3,0.3,1.7,NOP,ok,203138.0,Hollis Thompson
Tomas Satoransky,2012.0,48.0,Point Guard/Shooting Guard,203107.0,2016-17,0.2,57.0,12.6,2.7,1.5,1.6,0.5,0.1,0.415,0.243,0.697,1.1,2.6,0.2,0.6,0.4,0.6,0.4,1.0,0.7,1.1,WAS,ok,203107.0,Tomas Satoransky
Tornike Shengelia,2012.0,49.0,Small Forward,203129.0,2012-13,0.5,19.0,4.9,1.6,1.2,0.2,0.2,0.1,0.435,0.5,0.563,0.5,1.2,0.1,0.1,0.5,0.8,0.5,0.7,0.6,0.6,BKN,ok,203129.0,Tornike Shengelia
Kevin Jones,2012.0,50.0,Power Forward,203158.0,2012-13,1.7,32.0,10.4,3.0,2.4,0.3,0.3,0.2,0.402,0.0,0.6,1.3,3.3,0.0,0.0,0.3,0.5,1.2,1.3,0.3,0.8,CLE,ok,203158.0,Kevin Jones
Quincy Acy,2012.0,51.0,Power Forward,203112.0,2012-13,3.3,29.0,11.8,4.0,2.7,0.4,0.4,0.5,0.56,0.5,0.816,1.4,2.6,0.0,0.1,1.1,1.3,1.0,1.6,0.6,1.8,TOR,ok,203112.0,Quincy Acy
Robert Sacre,2012.0,52.0,Center,203135.0,2014-15,-1.0,67.0,16.9,4.6,3.5,0.8,0.4,0.6,0.412,0.0,0.671,1.9,4.6,0.0,0.0,0.8,1.2,1.3,2.1,0.5,1.8,LAL,ok,203135.0,Robert Sacre
Chris Johnson,2012.0,53.0,Shooting Guard,202419.0,2012-13,-0.8,30.0,9.5,3.9,2.0,0.3,0.2,0.9,0.64,0.0,0.618,1.6,2.5,0.0,0.0,0.7,1.1,0.7,1.3,0.4,1.6,MIN,ok,202419.0,Chris Johnson
Alex Young,2012.0,54.0,Shooting Guard/Small Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Maalik Wayns,2012.0,55.0,Point Guard,203146.0,2012-13,-2.2,27.0,7.5,2.8,0.3,1.0,0.2,0.0,0.295,0.226,0.895,1.0,3.3,0.3,1.1,0.6,0.7,0.0,0.2,0.6,1.0,LAC,ok,203146.0,Maalik Wayns
Henry Sims,2012.0,56.0,Center,203156.0,2012-13,0.5,2.0,2.4,2.0,1.0,0.0,0.0,0.0,0.667,0.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,NOH,ok,203156.0,Henry Sims
Cameron Moore,2012.0,57.0,Power Forward,202734.0,2014-15,-0.5,56.0,9.0,2.7,0.8,0.6,0.4,0.1,0.446,0.342,0.6,1.1,2.5,0.2,0.7,0.2,0.4,0.2,0.6,0.3,0.8,CHI,recovered:last_unique,202734.0,E'Twaun Moore
Terrance Henry,2012.0,58.0,Small Forward/Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Miles Plumlee,2012.0,59.0,Power Forward/Center,203101.0,2013-14,0.6,80.0,24.5,8.1,7.8,0.5,0.6,1.1,0.517,0.0,0.561,3.6,6.9,0.0,0.0,0.9,1.7,2.5,5.4,1.4,2.3,PHX,ok,203101.0,Miles Plumlee
Josep Franch,2012.0,60.0,Point Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Ramone Moore,2012.0,61.0,Shooting Guard,202734.0,2014-15,-0.5,56.0,9.0,2.7,0.8,0.6,0.4,0.1,0.446,0.342,0.6,1.1,2.5,0.2,0.7,0.2,0.4,0.2,0.6,0.3,0.8,CHI,recovered:last_unique,202734.0,E'Twaun Moore
Justin Hamilton,2012.0,62.0,Center,203120.0,2013-14,-2.9,8.0,9.0,3.3,0.9,0.0,0.6,0.0,0.45,0.333,1.0,1.1,2.5,0.4,1.1,0.6,0.6,0.5,0.4,0.5,1.0,MIA,ok,203120.0,Justin Hamilton
Tyshawn Taylor,2012.0,63.0,Point Guard/Shooting Guard,203116.0,2012-13,-1.7,38.0,5.8,2.2,0.5,0.6,0.3,0.0,0.368,0.462,0.556,0.8,2.3,0.2,0.3,0.4,0.7,0.1,0.4,0.7,0.7,BKN,ok,203116.0,Tyshawn Taylor
Scott Machado,2012.0,64.0,Point Guard,203159.0,2012-13,-1.7,6.0,3.5,1.3,0.2,1.0,0.3,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.2,0.3,0.3,0.0,0.2,1.3,0.0,GSW,ok,203159.0,Scott Machado
Kyle O'Quinn,2012.0,65.0,Power Forward,203124.0,2013-14,-0.4,69.0,17.2,6.2,5.3,1.1,0.6,1.3,0.501,0.0,0.687,2.7,5.4,0.0,0.0,0.8,1.2,1.4,3.8,1.1,2.4,ORL,ok,203124.0,Kyle O'Quinn
Tony Mitchell,2012.0,66.0,Small Forward,203183.0,2013-14,0.7,3.0,3.3,2.0,0.3,0.3,0.3,0.0,0.6,0.0,0.0,1.0,1.7,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,MIL,ok,203183.0,Tony Mitchell
Orlando Johnson,2012.0,67.0,Small Forward,203111.0,2012-13,-0.1,51.0,12.1,4.0,2.2,0.9,0.2,0.2,0.4,0.383,0.719,1.4,3.5,0.7,1.8,0.5,0.6,0.4,1.8,0.6,1.0,IND,ok,203111.0,Orlando Johnson
Bernard James,2012.0,68.0,Power Forward,203108.0,2013-14,-0.1,30.0,4.9,0.9,1.4,0.1,0.1,0.3,0.478,0.0,0.545,0.4,0.8,0.0,0.0,0.2,0.4,0.5,0.9,0.3,0.8,DAL,ok,203108.0,Bernard James
Marcus Denmon,2012.0,69.0,Point Guard/Shooting Guard,202458.0,2012-13,-1.0,2.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,recovered:last_fuzzy,202458.0,Justin Dentmon
Xavier Gibson,2012.0,70.0,Power Forward,1626780.0,2016-17,-4.9,17.0,13.6,6.2,1.3,1.5,0.5,0.0,0.368,0.333,0.724,2.1,5.6,0.9,2.6,1.2,1.7,0.1,1.2,1.2,1.2,DAL,recovered:last_unique_wide_era,1626780.0,Jonathan Gibson
Herb Pope,2012.0,71.0,Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
J'Covan Brown,2012.0,72.0,Point Guard/Shooting Guard,203913.0,2014-15,-6.7,19.0,29.9,11.9,1.9,2.1,0.6,0.1,0.412,0.371,0.753,3.7,8.9,1.2,3.3,3.4,4.5,0.2,1.7,1.7,1.7,LAL,recovered:last+initial,203913.0,Jabari Brown
Leon Radosevic,2012.0,73.0,Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Jae Crowder,2012.0,74.0,Small Forward/Power Forward,203109.0,2016-17,4.9,72.0,32.4,13.9,5.8,2.2,1.0,0.3,0.463,0.398,0.811,4.6,10.0,2.2,5.5,2.4,3.0,0.7,5.1,1.1,2.2,BOS,ok,203109.0,Jae Crowder
Reggie Hamilton,2012.0,75.0,Point Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Ilkan Karaman,2012.0,76.0,Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Robbie Hummel,2012.0,77.0,Small Forward,203133.0,2013-14,0.7,53.0,12.4,3.4,2.5,0.4,0.3,0.0,0.379,0.36,0.938,1.3,3.3,0.6,1.7,0.3,0.3,0.7,1.8,0.2,1.1,MIN,ok,203133.0,Robbie Hummel
Dee Bost,2012.0,78.0,Point Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Tu Holloway,2012.0,79.0,Point Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Mitchell Watt,2012.0,80.0,Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Chace Stanback,2012.0,81.0,Shooting Guard/Small Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Yancy Gates,2012.0,82.0,Power Forward/Center,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Rakim Sanders,2012.0,83.0,Small Forward,202336.0,2012-13,0.5,71.0,27.3,9.8,9.5,1.2,0.7,2.8,0.506,0.0,0.618,4.3,8.5,0.0,0.0,1.2,1.9,3.2,6.3,1.2,3.3,MIL,recovered:last_unique_wide_era,202336.0,Larry Sanders
Greg Mangano,2012.0,84.0,Power Forward/Center,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Eli Holman,2012.0,85.0,Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Alen Omic,2012.0,86.0,Center,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Ricardo Ratliffe,2012.0,87.0,Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Bradford Burgess,2012.0,88.0,Shooting Guard/Small Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Carlon Brown,2012.0,89.0,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Garrett Stutz,2012.0,90.0,Center,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Casper Ware,2012.0,91.0,Point Guard,203810.0,2013-14,-0.6,9.0,12.9,5.3,1.0,1.1,0.9,0.0,0.429,0.333,0.833,2.0,4.7,0.8,2.3,0.6,0.7,0.0,1.0,0.6,1.2,PHI,ok,203810.0,Casper Ware
Charlie Westbrook,2012.0,92.0,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Kenny Frease,2012.0,93.0,Center,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Zack Rosen,2012.0,94.0,Point Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Kent Bazemore,2012.0,95.0,Shooting Guard,203145.0,2015-16,1.0,75.0,27.8,11.6,5.1,2.3,1.3,0.5,0.441,0.357,0.815,4.3,9.7,1.5,4.1,1.6,2.0,0.4,4.7,1.8,2.3,ATL,ok,203145.0,Kent Bazemore
Larry Anderson,2012.0,96.0,Shooting Guard/Small Forward,202336.0,2012-13,0.5,71.0,27.3,9.8,9.5,1.2,0.7,2.8,0.506,0.0,0.618,4.3,8.5,0.0,0.0,1.2,1.9,3.2,6.3,1.2,3.3,MIL,recovered:full_fuzzy_wide_era,202336.0,Larry Sanders
Dario Hunt,2012.0,97.0,Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Kyle Fogg,2012.0,98.0,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Nick Barbour,2012.0,99.0,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Ben McLemore,2013.0,1.0,Shooting Guard,203463.0,2015-16,0.3,68.0,21.2,7.8,2.2,1.2,0.8,0.1,0.429,0.362,0.718,2.9,6.7,1.0,2.7,1.1,1.5,0.5,1.7,1.5,2.1,SAC,ok,203463.0,Ben McLemore
Cody Zeller,2013.0,2.0,Power Forward/Center,203469.0,2016-17,3.4,62.0,27.8,10.3,6.5,1.6,1.0,0.9,0.571,0.0,0.679,4.1,7.1,0.0,0.0,2.1,3.2,2.2,4.4,1.0,3.0,CHA,ok,203469.0,Cody Zeller
CJ McCollum,2013.0,3.0,Point Guard/Shooting Guard,203468.0,2015-16,2.0,80.0,34.7,20.8,3.2,4.3,1.2,0.3,0.448,0.417,0.827,8.0,17.9,2.5,5.9,2.3,2.8,0.6,2.7,2.5,2.3,POR,ok,203468.0,CJ McCollum
Alex Len,2013.0,4.0,Center,203458.0,2014-15,-0.4,69.0,22.0,6.3,6.6,0.5,0.5,1.5,0.507,0.333,0.702,2.6,5.1,0.0,0.0,1.1,1.5,2.1,4.5,1.1,3.1,PHX,ok,203458.0,Alex Len
Victor Oladipo,2013.0,5.0,Shooting Guard/Small Forward,203506.0,2017-18,4.5,75.0,34.0,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.5,17.9,2.1,5.8,3.9,4.9,0.6,4.6,2.9,2.3,IND,ok,203506.0,Victor Oladipo
Nerlens Noel,2013.0,6.0,Power Forward/Center,203457.0,2016-17,-1.6,51.0,20.5,8.7,5.8,1.0,1.3,1.0,0.595,0.0,0.694,3.6,6.1,0.0,0.0,1.5,2.2,1.8,3.9,1.0,2.5,DAL,ok,203457.0,Nerlens Noel
Otto Porter,2013.0,7.0,Small Forward,203490.0,2017-18,3.7,77.0,31.6,14.7,6.4,2.0,1.5,0.5,0.503,0.441,0.828,5.8,11.5,1.8,4.1,1.4,1.7,1.3,5.1,1.0,2.0,WAS,ok,203490.0,Otto Porter Jr.
Anthony Bennett,2013.0,8.0,Small Forward/Power Forward,203461.0,2013-14,-1.6,52.0,12.7,4.2,3.0,0.3,0.4,0.2,0.356,0.245,0.638,1.5,4.3,0.3,1.0,0.8,1.3,0.9,2.0,0.9,1.8,CLE,ok,203461.0,Anthony Bennett
Lucas Nogueira,2013.0,9.0,Power Forward/Center,203512.0,2016-17,3.1,57.0,19.1,4.4,4.3,0.7,0.9,1.6,0.66,0.25,0.657,1.8,2.7,0.1,0.2,0.8,1.2,1.4,2.8,0.8,2.4,TOR,ok,203512.0,Lucas Nogueira
Dennis Schroder,2013.0,10.0,Point Guard,203471.0,2015-16,2.8,80.0,20.3,11.0,2.6,4.4,0.9,0.1,0.421,0.322,0.791,4.1,9.8,1.0,3.0,1.8,2.3,0.3,2.2,2.3,1.7,ATL,ok,203471.0,Dennis Schröder
Trey Burke,2013.0,11.0,Point Guard,203504.0,2015-16,0.0,64.0,21.3,10.6,1.8,2.3,0.5,0.1,0.413,0.344,0.817,4.1,9.9,1.4,4.0,1.0,1.3,0.3,1.5,1.3,1.3,UTA,ok,203504.0,Trey Burke
Kentavious Caldwell-Pope,2013.0,12.0,Shooting Guard,203484.0,2015-16,2.3,76.0,36.7,14.5,3.7,1.8,1.4,0.2,0.42,0.309,0.811,5.3,12.6,1.5,4.9,2.4,3.0,0.9,2.8,1.4,2.2,DET,ok,203484.0,Kentavious Caldwell-Pope
Steven Adams,2013.0,13.0,Center,203500.0,2015-16,6.0,80.0,25.2,8.0,6.7,0.8,0.5,1.1,0.613,0.0,0.582,3.3,5.3,0.0,0.0,1.4,2.5,2.7,3.9,1.1,2.8,OKC,ok,203500.0,Steven Adams
Michael Carter-Williams,2013.0,14.0,Point Guard,203487.0,2016-17,-0.6,45.0,18.8,6.6,3.4,2.5,0.8,0.5,0.366,0.234,0.753,2.5,6.8,0.3,1.4,1.3,1.7,0.5,2.9,1.5,2.3,CHI,ok,203487.0,Michael Carter-Williams
Giannis Adetokoubo,2013.0,15.0,Small Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Tim Hardaway Jr,2013.0,16.0,Shooting Guard,203501.0,2015-16,2.0,51.0,16.9,6.4,1.7,1.0,0.4,0.1,0.43,0.336,0.893,2.2,5.2,0.9,2.8,1.0,1.1,0.1,1.5,0.5,0.9,ATL,ok,203501.0,Tim Hardaway Jr.
Shabazz Muhammad,2013.0,17.0,Small Forward,203498.0,2016-17,-1.0,78.0,19.4,9.9,2.8,0.4,0.3,0.1,0.482,0.338,0.774,3.7,7.7,0.6,1.9,1.9,2.4,1.1,1.7,0.7,1.1,MIN,ok,203498.0,Shabazz Muhammad
Kelly Olynyk,2013.0,18.0,Center,203482.0,2014-15,3.6,64.0,22.2,10.3,4.7,1.7,1.0,0.6,0.475,0.349,0.684,3.9,8.3,1.0,2.7,1.5,2.1,1.4,3.3,1.5,3.3,BOS,ok,203482.0,Kelly Olynyk
Tony Mitchell,2013.0,19.0,Small Forward/Power Forward,203183.0,2013-14,0.7,3.0,3.3,2.0,0.3,0.3,0.3,0.0,0.6,0.0,0.0,1.0,1.7,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,MIL,ok,203183.0,Tony Mitchell
Tony Snell,2013.0,20.0,Shooting Guard/Small Forward,203503.0,2015-16,1.5,64.0,20.3,5.3,3.1,1.0,0.3,0.3,0.372,0.361,0.909,2.0,5.3,0.9,2.4,0.5,0.5,0.3,2.8,0.8,1.6,CHI,ok,203503.0,Tony Snell
Nate Wolters,2013.0,21.0,Point Guard,203489.0,2017-18,0.6,5.0,3.8,0.4,0.4,0.2,0.0,0.0,0.167,0.0,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,UTA,ok,203489.0,Nate Wolters
Sergey Karasev,2013.0,22.0,Shooting Guard/Small Forward,203508.0,2014-15,0.5,33.0,16.8,4.6,2.0,1.4,0.7,0.0,0.403,0.296,0.763,1.6,4.1,0.5,1.6,0.9,1.2,0.7,1.3,0.7,1.4,BKN,ok,203508.0,Sergey Karasev
Shane Larkin,2013.0,23.0,Point Guard,203499.0,2013-14,1.3,48.0,10.2,2.8,0.9,1.5,0.5,0.0,0.38,0.316,0.64,1.1,2.9,0.3,0.8,0.3,0.5,0.2,0.6,0.8,1.0,DAL,ok,203499.0,Shane Larkin
Gorgui Dieng,2013.0,24.0,Center,203476.0,2016-17,0.4,82.0,32.4,10.0,7.9,1.9,1.1,1.2,0.502,0.372,0.814,4.0,8.1,0.2,0.5,1.7,2.0,2.3,5.6,1.3,3.1,MIN,ok,203476.0,Gorgui Dieng
Mason Plumlee,2013.0,25.0,Power Forward,203486.0,2015-16,0.4,82.0,25.4,9.1,7.7,2.8,0.8,1.0,0.516,0.0,0.642,3.3,6.3,0.0,0.0,2.6,4.1,2.5,5.2,1.9,3.1,POR,ok,203486.0,Mason Plumlee
Livio Jean-Charles,2013.0,26.0,Small Forward/Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Allen Crabbe,2013.0,27.0,Shooting Guard,203459.0,2015-16,0.5,81.0,26.0,10.3,2.7,1.2,0.8,0.2,0.459,0.393,0.867,3.8,8.4,1.4,3.5,1.2,1.4,0.3,2.3,0.8,2.4,POR,ok,203459.0,Allen Crabbe
