Name,draft_year,draft_pick,actual_tier,pred_tier,actual_tier_label,pred_tier_label,confidence,p_bust,p_bench,p_starter,p_star,ordinal_error,within_one,distance_weighted_credit,expected_class,expected_class_error
Jordan Crawford,2010,36,2,2,starter,starter,0.3427,0.1478,0.278,0.3427,0.2314,0,True,1.0,1.6577,0.3423
Tre Mann,2021,33,2,2,starter,starter,0.311,0.2234,0.299,0.311,0.1666,0,True,1.0,1.4209,0.5791
Jrue Holiday,2009,31,3,2,star,starter,0.2782,0.2423,0.2637,0.2782,0.2158,1,True,0.6667,1.4675,1.5325
