Name,draft_year,draft_pick,actual_tier,pred_tier,actual_tier_label,pred_tier_label,confidence,p_bust,p_bench,p_starter,p_star,ordinal_error,within_one,distance_weighted_credit,expected_class,expected_class_error
Bruce Brown,2018,52,2,1,starter,bench,0.3548,0.2969,0.3548,0.2646,0.0838,1,True,0.6667,1.1352,0.8648
Malik Beasley,2016,12,1,2,bench,starter,0.4021,0.0873,0.2579,0.4021,0.2527,1,True,0.6667,1.8202,0.8202
Terrence Ross,2012,9,1,2,bench,starter,0.3312,0.1213,0.2516,0.3312,0.2958,1,True,0.6667,1.8016,0.8016
Nah'Shon Hyland,2021,21,1,2,bench,starter,0.3904,0.1111,0.2429,0.3904,0.2556,1,True,0.6667,1.7904,0.7904
Brice Sensabaugh,2023,35,2,1,starter,bench,0.3195,0.2926,0.3195,0.2652,0.1228,1,True,0.6667,1.2182,0.7818
Kyle Singler,2011,30,1,2,bench,starter,0.337,0.1138,0.2793,0.337,0.2699,1,True,0.6667,1.7629,0.7629
Reggie Jackson,2011,35,2,1,starter,bench,0.3515,0.2568,0.3515,0.2851,0.1066,1,True,0.6667,1.2415,0.7585
Jalen Smith,2020,18,1,2,bench,starter,0.346,0.1348,0.2575,0.346,0.2617,1,True,0.6667,1.7346,0.7346
Joel Embiid,2014,1,3,2,star,starter,0.4531,0.0306,0.0741,0.4531,0.4422,1,True,0.6667,2.307,0.693
Joshua Primo,2021,19,1,2,bench,starter,0.3565,0.1391,0.2718,0.3565,0.2326,1,True,0.6667,1.6827,0.6827
Frank Kaminsky,2015,22,2,1,starter,bench,0.328,0.2305,0.328,0.31,0.1316,1,True,0.6667,1.3426,0.6574
Jordan Clarkson,2014,19,2,1,starter,bench,0.2937,0.2716,0.2937,0.2499,0.1848,1,True,0.6667,1.3478,0.6522
Jakob Poeltl,2016,17,1,2,bench,starter,0.3212,0.1783,0.2856,0.3212,0.2149,1,True,0.6667,1.5726,0.5726
Malcolm Brogdon,2016,34,2,1,starter,bench,0.3192,0.2047,0.3192,0.2895,0.1866,1,True,0.6667,1.4581,0.5419
Dylan Windler,2019,28,1,2,bench,starter,0.3405,0.1726,0.316,0.3405,0.1709,1,True,0.6667,1.5097,0.5097
Norris Cole,2011,29,1,2,bench,starter,0.2828,0.2206,0.2791,0.2828,0.2176,1,True,0.6667,1.4974,0.4974
Jalen Suggs,2021,3,2,3,starter,star,0.5736,0.0268,0.0446,0.3551,0.5736,1,True,0.6667,2.4754,0.4754
Damion James,2010,29,1,2,bench,starter,0.3134,0.2275,0.2655,0.3134,0.1935,1,True,0.6667,1.4729,0.4729
Ty Jerome,2019,32,2,1,starter,bench,0.287,0.2029,0.287,0.2698,0.2403,1,True,0.6667,1.5476,0.4524
Jared Butler,2021,25,1,2,bench,starter,0.3367,0.2089,0.3012,0.3367,0.1532,1,True,0.6667,1.4342,0.4342
Jabari Smith,2022,1,2,3,starter,star,0.5156,0.0241,0.0601,0.4002,0.5156,1,True,0.6667,2.4072,0.4072
Gary Payton II,2016,35,1,2,bench,starter,0.3538,0.1912,0.3383,0.3538,0.1167,1,True,0.6667,1.3959,0.3959
Jordan Bell,2017,27,1,2,bench,starter,0.3464,0.2034,0.3273,0.3464,0.1229,1,True,0.6667,1.3888,0.3888
Donta Hall,2019,93,1,0,bench,bust,0.5629,0.5629,0.3027,0.0854,0.049,1,True,0.6667,0.6205,0.3795
Reggie Perry,2020,35,1,2,bench,starter,0.293,0.2549,0.2832,0.293,0.1689,1,True,0.6667,1.3759,0.3759
Lavoy Allen,2011,88,1,0,bench,bust,0.5494,0.5494,0.3084,0.1042,0.0379,1,True,0.6667,0.6306,0.3694
Marcus Smart,2014,4,2,3,starter,star,0.4635,0.0362,0.0394,0.4609,0.4635,1,True,0.6667,2.3518,0.3518
Freddie Gillespie,2020,95,1,0,bench,bust,0.5333,0.5333,0.3112,0.1048,0.0507,1,True,0.6667,0.6729,0.3271
Jose Alvarado,2021,90,1,0,bench,bust,0.573,0.573,0.2523,0.0814,0.0933,1,True,0.6667,0.695,0.305
Ben Uzoh,2010,78,1,0,bench,bust,0.537,0.537,0.2883,0.1084,0.0664,1,True,0.6667,0.7042,0.2958
Chris Boucher,2017,74,1,0,bench,bust,0.5643,0.5643,0.2585,0.0836,0.0936,1,True,0.6667,0.7063,0.2937
Cason Wallace,2023,13,2,3,starter,star,0.5107,0.0501,0.1213,0.3179,0.5107,1,True,0.6667,2.2893,0.2893
Isaiah Jackson,2021,34,1,2,bench,starter,0.3031,0.2727,0.3018,0.3031,0.1224,1,True,0.6667,1.2752,0.2752
Moussa Diabate,2022,68,1,0,bench,bust,0.517,0.517,0.2875,0.12,0.0756,1,True,0.6667,0.7541,0.2459
Shawn Long,2016,91,1,0,bench,bust,0.5231,0.5231,0.2837,0.1004,0.0928,1,True,0.6667,0.7628,0.2372
Henry Sims,2012,56,1,0,bench,bust,0.4867,0.4867,0.3119,0.1398,0.0616,1,True,0.6667,0.7764,0.2236
PJ Dozier,2017,37,1,0,bench,bust,0.3408,0.3408,0.2844,0.1896,0.1851,1,True,0.6667,1.2191,0.2191
Omer Yurtseven,2020,64,1,0,bench,bust,0.5128,0.5128,0.2828,0.1134,0.091,1,True,0.6667,0.7825,0.2175
Kendall Marshall,2012,13,2,3,starter,star,0.3174,0.1509,0.2279,0.3038,0.3174,1,True,0.6667,1.7877,0.2123
Sterling Brown,2017,52,1,0,bench,bust,0.4665,0.4665,0.3207,0.1518,0.0611,1,True,0.6667,0.8074,0.1926
Bryson Williams,2022,57,1,0,bench,bust,0.524,0.524,0.2607,0.0938,0.1215,1,True,0.6667,0.8127,0.1873
Alec Burks,2011,10,2,3,starter,star,0.4413,0.0556,0.1461,0.357,0.4413,1,True,0.6667,2.1841,0.1841
Robert Sacre,2012,52,1,0,bench,bust,0.4599,0.4599,0.3087,0.1717,0.0598,1,True,0.6667,0.8314,0.1686
Olivier-Maxence Prosper,2023,27,1,0,bench,bust,0.3157,0.3157,0.3145,0.2624,0.1073,1,True,0.6667,1.1614,0.1614
Kyle O'Quinn,2012,65,1,0,bench,bust,0.492,0.492,0.283,0.1117,0.1133,1,True,0.6667,0.8464,0.1536
Tyler Zeller,2012,12,2,3,starter,star,0.4186,0.0522,0.1649,0.3643,0.4186,1,True,0.6667,2.1494,0.1494
Jared Sullinger,2012,19,2,3,starter,star,0.3329,0.1281,0.2194,0.3196,0.3329,1,True,0.6667,1.8572,0.1428
Robert Williams,2018,19,2,3,starter,star,0.3523,0.1159,0.262,0.2698,0.3523,1,True,0.6667,1.8584,0.1416
Sam Hauser,2021,66,1,0,bench,bust,0.4107,0.4107,0.3679,0.1578,0.0636,1,True,0.6667,0.8742,0.1258
Kenrich Williams,2018,60,1,0,bench,bust,0.4629,0.4629,0.2915,0.139,0.1066,1,True,0.6667,0.8894,0.1106
Orlando Robinson,2022,60,1,0,bench,bust,0.3364,0.3364,0.3291,0.2241,0.1104,1,True,0.6667,1.1085,0.1085
Sam Young,2009,30,1,0,bench,bust,0.3436,0.3436,0.3335,0.2095,0.1133,1,True,0.6667,1.0925,0.0925
Jevon Carter,2018,56,1,0,bench,bust,0.3869,0.3869,0.2841,0.1885,0.1404,1,True,0.6667,1.0824,0.0824
Jordan Walsh,2023,43,1,0,bench,bust,0.4066,0.4066,0.2667,0.1784,0.1483,1,True,0.6667,1.0683,0.0683
Kessler Edwards,2021,61,1,0,bench,bust,0.4055,0.4055,0.3346,0.1798,0.0801,1,True,0.6667,0.9345,0.0655
Ron Baker,2016,56,1,0,bench,bust,0.4252,0.4252,0.3195,0.1498,0.1055,1,True,0.6667,0.9356,0.0644
Denzel Valentine,2016,20,2,3,starter,star,0.3482,0.0927,0.2205,0.3386,0.3482,1,True,0.6667,1.9423,0.0577
Malcolm Lee,2011,39,1,0,bench,bust,0.3677,0.3677,0.3037,0.2339,0.0946,1,True,0.6667,1.0555,0.0555
Chimezie Metu,2018,46,1,0,bench,bust,0.4056,0.4056,0.3205,0.1873,0.0866,1,True,0.6667,0.955,0.045
Ben Sheppard,2023,37,1,0,bench,bust,0.4436,0.4436,0.2732,0.1574,0.1259,1,True,0.6667,0.9655,0.0345
Marcus Sasser,2023,40,1,0,bench,bust,0.3935,0.3935,0.2938,0.2039,0.1087,1,True,0.6667,1.0278,0.0278
Kawhi Leonard,2011,13,2,3,starter,star,0.3721,0.079,0.1941,0.3548,0.3721,1,True,0.6667,2.0201,0.0201
Marshon Brooks,2011,20,2,3,starter,star,0.366,0.0727,0.2149,0.3463,0.366,1,True,0.6667,2.0057,0.0057
Trevor Keels,2022,47,0,0,bust,bust,0.3298,0.3298,0.2515,0.1909,0.2278,0,True,1.0,1.3166,1.3166
Doron Lamb,2012,25,0,0,bust,bust,0.296,0.296,0.2826,0.2494,0.172,0,True,1.0,1.2974,1.2974
Semaj Christon,2014,42,0,0,bust,bust,0.3456,0.3456,0.2485,0.2119,0.1941,0,True,1.0,1.2545,1.2545
JT Thor,2021,39,0,0,bust,bust,0.3224,0.3224,0.2918,0.2331,0.1528,0,True,1.0,1.2163,1.2163
Nick Johnson,2014,39,0,0,bust,bust,0.309,0.309,0.306,0.2886,0.0964,0,True,1.0,1.1725,1.1725
Gani Lawal,2010,24,0,0,bust,bust,0.3793,0.3793,0.2674,0.1952,0.1581,0,True,1.0,1.1321,1.1321
Dereon Seabron,2022,66,0,0,bust,bust,0.3435,0.3435,0.3201,0.2041,0.1324,0,True,1.0,1.1254,1.1254
Vince Hunter,2015,52,0,0,bust,bust,0.3313,0.3313,0.3288,0.2279,0.112,0,True,1.0,1.1205,1.1205
Amari Bailey,2023,42,0,0,bust,bust,0.3785,0.3785,0.2639,0.223,0.1346,0,True,1.0,1.1138,1.1138
Collin Sexton,2018,14,3,3,star,star,0.3564,0.1114,0.2006,0.3316,0.3564,0,True,1.0,1.9331,1.0669
Andre Dawkins,2014,64,0,0,bust,bust,0.4532,0.4532,0.2317,0.1409,0.1743,0,True,1.0,1.0362,1.0362
Cliff Alexander,2015,37,0,0,bust,bust,0.4203,0.4203,0.2609,0.1845,0.1343,0,True,1.0,1.0328,1.0328
Kenneth Lofton,2022,69,0,0,bust,bust,0.3779,0.3779,0.3286,0.1908,0.1027,0,True,1.0,1.0184,1.0184
Markus Howard,2020,53,0,0,bust,bust,0.3711,0.3711,0.3236,0.2251,0.0802,0,True,1.0,1.0143,1.0143
Jordan Bone,2019,43,0,0,bust,bust,0.4063,0.4063,0.3082,0.1856,0.0999,0,True,1.0,0.9791,0.9791
Kevin Murphy,2012,39,0,0,bust,bust,0.4348,0.4348,0.2859,0.1535,0.1258,0,True,1.0,0.9703,0.9703
Kevin Jones,2012,50,0,0,bust,bust,0.4144,0.4144,0.3113,0.1775,0.0967,0,True,1.0,0.9566,0.9566
Trent Forrest,2020,58,0,0,bust,bust,0.3918,0.3918,0.3553,0.168,0.0849,0,True,1.0,0.946,0.946
MarJon Beauchamp,2022,33,0,0,bust,bust,0.4176,0.4176,0.3165,0.1716,0.0943,0,True,1.0,0.9427,0.9427
Franz Wagner,2021,12,3,3,star,star,0.3969,0.0693,0.2004,0.3334,0.3969,0,True,1.0,2.0578,0.9422
Dakari Johnson,2015,41,0,0,bust,bust,0.4603,0.4603,0.2588,0.1597,0.1212,0,True,1.0,0.9419,0.9419
Gary Clark,2018,74,0,0,bust,bust,0.3792,0.3792,0.3745,0.1788,0.0674,0,True,1.0,0.9345,0.9345
Adam Flagler,2023,53,0,0,bust,bust,0.4475,0.4475,0.2934,0.1561,0.103,0,True,1.0,0.9146,0.9146
Carlik Jones,2021,75,0,0,bust,bust,0.4586,0.4586,0.2955,0.1223,0.1235,0,True,1.0,0.9107,0.9107
Treveon Graham,2015,64,0,0,bust,bust,0.4432,0.4432,0.3237,0.1411,0.0919,0,True,1.0,0.8817,0.8817
Kim English,2012,40,0,0,bust,bust,0.4753,0.4753,0.2831,0.1362,0.1054,0,True,1.0,0.8717,0.8717
Tyrese Haliburton,2020,10,3,3,star,star,0.4651,0.0746,0.1634,0.297,0.4651,0,True,1.0,2.1525,0.8475
Lauri Markkanen,2017,11,3,3,star,star,0.4268,0.0552,0.1576,0.3603,0.4268,0,True,1.0,2.1588,0.8412
Ike Anigbogu,2017,45,0,0,bust,bust,0.5001,0.5001,0.2586,0.1443,0.097,0,True,1.0,0.8382,0.8382
Miye Oni,2019,71,0,0,bust,bust,0.482,0.482,0.2984,0.1303,0.0893,0,True,1.0,0.8269,0.8269
Tyler Cook,2019,65,0,0,bust,bust,0.4709,0.4709,0.315,0.1306,0.0835,0,True,1.0,0.8267,0.8267
Mike Muscala,2013,70,0,0,bust,bust,0.4424,0.4424,0.3439,0.1704,0.0434,0,True,1.0,0.8147,0.8147
Marial Shayok,2019,58,0,0,bust,bust,0.487,0.487,0.3055,0.1307,0.0768,0,True,1.0,0.7973,0.7973
Izaiah Brockington,2022,78,0,0,bust,bust,0.4777,0.4777,0.3258,0.138,0.0585,0,True,1.0,0.7773,0.7773
Tyler Davis,2018,71,0,0,bust,bust,0.5359,0.5359,0.2647,0.0896,0.1098,0,True,1.0,0.7734,0.7734
Jamorko Pickett,2021,93,0,0,bust,bust,0.4472,0.4472,0.3809,0.1277,0.0443,0,True,1.0,0.769,0.769
Donovan Williams,2022,58,0,0,bust,bust,0.5462,0.5462,0.2588,0.0912,0.1038,0,True,1.0,0.7525,0.7525
Bryce Cotton,2014,98,0,0,bust,bust,0.4923,0.4923,0.3284,0.1142,0.0652,0,True,1.0,0.7522,0.7522
Jon Brockman,2009,71,0,0,bust,bust,0.5295,0.5295,0.277,0.1173,0.0762,0,True,1.0,0.7403,0.7403
Buddy Hield,2016,5,3,3,star,star,0.4644,0.0447,0.1066,0.3842,0.4644,0,True,1.0,2.2683,0.7317
Ben Hansbrough,2011,85,0,0,bust,bust,0.4953,0.4953,0.3313,0.1321,0.0413,0,True,1.0,0.7195,0.7195
Drew Peterson,2023,73,0,0,bust,bust,0.5086,0.5086,0.3272,0.1057,0.0585,0,True,1.0,0.7141,0.7141
Jermaine Samuels,2022,94,0,0,bust,bust,0.5008,0.5008,0.3437,0.1135,0.0421,0,True,1.0,0.6967,0.6967
Donovan Mitchell,2017,13,3,3,star,star,0.5255,0.0471,0.1225,0.3049,0.5255,0,True,1.0,2.3089,0.6911
Antoine Davis,2023,99,0,0,bust,bust,0.5366,0.5366,0.3165,0.0944,0.0526,0,True,1.0,0.663,0.663
Cory Higgins,2011,93,0,0,bust,bust,0.5505,0.5505,0.3013,0.0904,0.0579,0,True,1.0,0.6556,0.6556
Damian Lillard,2012,7,3,3,star,star,0.5193,0.0391,0.0895,0.3522,0.5193,0,True,1.0,2.3516,0.6484
Jeremy Pargo,2009,86,0,0,bust,bust,0.5973,0.5973,0.2411,0.0822,0.0794,0,True,1.0,0.6437,0.6437
Feron Hunt,2021,89,0,0,bust,bust,0.5616,0.5616,0.293,0.0892,0.0562,0,True,1.0,0.64,0.64
Alex Fudge,2023,88,0,0,bust,bust,0.5924,0.5924,0.254,0.0809,0.0728,0,True,1.0,0.6341,0.6341
Blake Griffin,2009,1,3,3,star,star,0.5216,0.0348,0.0601,0.3835,0.5216,0,True,1.0,2.3918,0.6082
Chris Duarte,2021,22,2,2,starter,starter,0.3337,0.2081,0.3199,0.3337,0.1382,0,True,1.0,1.4021,0.5979
Trevelin Queen,2020,97,0,0,bust,bust,0.5801,0.5801,0.2914,0.0806,0.048,0,True,1.0,0.5964,0.5964
John Wall,2010,1,3,3,star,star,0.4957,0.029,0.0322,0.443,0.4957,0,True,1.0,2.4055,0.5945
Marques Bolden,2019,83,0,0,bust,bust,0.6151,0.6151,0.2453,0.0746,0.065,0,True,1.0,0.5896,0.5896
Tre Mann,2021,33,2,2,starter,starter,0.311,0.2234,0.299,0.311,0.1666,0,True,1.0,1.4209,0.5791
Cade Cunningham,2021,1,3,3,star,star,0.5665,0.0265,0.0593,0.3478,0.5665,0,True,1.0,2.4542,0.5458
Jayson Tatum,2017,7,3,3,star,star,0.5841,0.0256,0.0768,0.3135,0.5841,0,True,1.0,2.4561,0.5439
Anthony Edwards,2020,1,3,3,star,star,0.6003,0.0274,0.0592,0.3131,0.6003,0,True,1.0,2.4864,0.5136
Tony Wroten,2012,29,2,2,starter,starter,0.3381,0.2131,0.2602,0.3381,0.1886,0,True,1.0,1.5022,0.4978
Skal Labissiere,2016,14,1,1,bench,bench,0.2649,0.2473,0.2649,0.2455,0.2423,0,True,1.0,1.4828,0.4828
Lonzo Ball,2017,3,3,3,star,star,0.6224,0.0255,0.048,0.3041,0.6224,0,True,1.0,2.5235,0.4765
Deandre Ayton,2018,1,3,3,star,star,0.627,0.0274,0.0465,0.2991,0.627,0,True,1.0,2.5258,0.4742
Kelly Olynyk,2013,18,2,2,starter,starter,0.3743,0.1578,0.3121,0.3743,0.1558,0,True,1.0,1.528,0.472
Jarrett Allen,2017,17,2,2,starter,starter,0.385,0.1692,0.2891,0.385,0.1566,0,True,1.0,1.5291,0.4709
Rondae Hollis-Jefferson,2015,26,2,2,starter,starter,0.4343,0.1366,0.2895,0.4343,0.1395,0,True,1.0,1.5768,0.4232
Ivan Rabb,2017,18,1,1,bench,bench,0.2778,0.258,0.2778,0.275,0.1892,0,True,1.0,1.3954,0.3954
Lorenzo Brown,2013,35,1,1,bench,bench,0.3133,0.2322,0.3133,0.2944,0.1601,0,True,1.0,1.3824,0.3824
Omari Spellman,2018,36,1,1,bench,bench,0.2947,0.2638,0.2947,0.2498,0.1917,0,True,1.0,1.3695,0.3695
Gorgui Dieng,2013,24,2,2,starter,starter,0.323,0.1577,0.2813,0.323,0.238,0,True,1.0,1.6413,0.3587
Jordan Crawford,2010,36,2,2,starter,starter,0.3427,0.1478,0.278,0.3427,0.2314,0,True,1.0,1.6577,0.3423
Devin Vassell,2020,11,2,2,starter,starter,0.3616,0.1307,0.2769,0.3616,0.2309,0,True,1.0,1.6927,0.3073
Carsen Edwards,2019,36,1,1,bench,bench,0.3248,0.2698,0.3248,0.2383,0.1671,0,True,1.0,1.3027,0.3027
Frank Mason,2017,39,1,1,bench,bench,0.3363,0.2432,0.3363,0.3007,0.1197,0,True,1.0,1.297,0.297
Donte DiVincenzo,2018,12,2,2,starter,starter,0.318,0.1505,0.2636,0.318,0.2679,0,True,1.0,1.7033,0.2967
David Duke,2021,51,1,1,bench,bench,0.3562,0.242,0.3562,0.2702,0.1316,0,True,1.0,1.2914,0.2914
CJ Elleby,2020,60,1,1,bench,bench,0.3328,0.2652,0.3328,0.2981,0.1039,0,True,1.0,1.2406,0.2406
Brandin Podziemski,2023,23,2,2,starter,starter,0.3685,0.1228,0.2504,0.3685,0.2584,0,True,1.0,1.7625,0.2375
Derrick Favors,2010,3,2,2,starter,starter,0.5411,0.0346,0.0744,0.5411,0.35,0,True,1.0,2.2065,0.2065
Jaden Ivey,2022,2,2,2,starter,starter,0.4253,0.039,0.1266,0.4253,0.4091,0,True,1.0,2.2045,0.2045
Stanley Johnson,2015,8,2,2,starter,starter,0.4419,0.0358,0.124,0.4419,0.3982,0,True,1.0,2.2025,0.2025
Day'Ron Sharpe,2021,53,1,1,bench,bench,0.3462,0.2874,0.3462,0.2773,0.0891,0,True,1.0,1.1681,0.1681
Ky Bowman,2019,39,1,1,bench,bench,0.3392,0.2923,0.3392,0.2877,0.0808,0,True,1.0,1.1571,0.1571
Tari Eason,2022,19,2,2,starter,starter,0.4339,0.084,0.2326,0.4339,0.2494,0,True,1.0,1.8487,0.1513
Mike Scott,2012,43,1,1,bench,bench,0.3297,0.3245,0.3297,0.2407,0.1052,0,True,1.0,1.1266,0.1266
PJ Washington,2019,20,2,2,starter,starter,0.3852,0.0881,0.2228,0.3852,0.3038,0,True,1.0,1.9047,0.0953
Kobe Brown,2023,58,1,1,bench,bench,0.3962,0.3594,0.3962,0.2153,0.0291,0,True,1.0,0.914,0.086
Jerome Dyson,2010,72,1,1,bench,bench,0.3909,0.3059,0.3909,0.233,0.0702,0,True,1.0,1.0674,0.0674
Jared Rhoden,2022,63,1,1,bench,bench,0.3792,0.3217,0.3792,0.2284,0.0706,0,True,1.0,1.0479,0.0479
Xavier Silas,2011,70,1,1,bench,bench,0.3802,0.3583,0.3802,0.1917,0.0698,0,True,1.0,0.9729,0.0271
Colin Castleton,2023,79,1,1,bench,bench,0.3843,0.352,0.3843,0.1948,0.0689,0,True,1.0,0.9805,0.0195
