Name,draft_year,draft_pick,actual_tier,pred_tier,actual_tier_label,pred_tier_label,confidence,p_bust,p_bench,p_starter,p_star,ordinal_error,within_one,distance_weighted_credit,expected_class,expected_class_error
Tyler Honeycutt,2011,18,0,3,bust,star,0.5105,0.039,0.1222,0.3283,0.5105,3,False,0.0,2.3103,2.3103
Earl Clark,2009,11,0,3,bust,star,0.4368,0.048,0.1538,0.3615,0.4368,3,False,0.0,2.1871,2.1871
Cole Aldrich,2010,15,0,3,bust,star,0.3805,0.1012,0.2019,0.3164,0.3805,3,False,0.0,1.9762,1.9762
Tyler Ennis,2014,21,0,3,bust,star,0.3812,0.1269,0.2111,0.2808,0.3812,3,False,0.0,1.9162,1.9162
Dominique Jones,2010,25,0,2,bust,starter,0.3609,0.0932,0.2085,0.3609,0.3375,2,False,0.3333,1.9426,1.9426
Elliot Williams,2010,21,0,2,bust,starter,0.3682,0.1148,0.2338,0.3682,0.2832,2,False,0.3333,1.8199,1.8199
Nikola Vucevic,2011,28,3,1,star,bench,0.3269,0.2794,0.3269,0.2738,0.1198,2,False,0.3333,1.2341,1.7659
Devin Ebanks,2010,18,0,2,bust,starter,0.3595,0.1146,0.27,0.3595,0.2559,2,False,0.3333,1.7568,1.7568
Tony Mitchell,2013,19,0,2,bust,starter,0.3402,0.1376,0.2799,0.3402,0.2422,2,False,0.3333,1.687,1.687
Mason Jones,2020,50,0,2,bust,starter,0.3199,0.1774,0.2815,0.3199,0.2212,2,False,0.3333,1.5849,1.5849
Justin Patton,2017,22,0,2,bust,starter,0.3612,0.1673,0.3294,0.3612,0.1421,2,False,0.3333,1.4781,1.4781
Royce White,2012,23,0,2,bust,starter,0.3035,0.2345,0.2678,0.3035,0.1943,2,False,0.3333,1.4575,1.4575
Caleb Swanigan,2017,29,0,2,bust,starter,0.2893,0.2542,0.2646,0.2893,0.1919,2,False,0.3333,1.4189,1.4189
Thomas Robinson,2012,6,1,3,bench,star,0.5346,0.0289,0.0781,0.3584,0.5346,2,False,0.3333,2.3988,1.3988
Ben Bentil,2016,47,0,2,bust,starter,0.3508,0.2061,0.3195,0.3508,0.1236,2,False,0.3333,1.392,1.392
Marcus Bagley,2023,89,2,0,starter,bust,0.5489,0.5489,0.2972,0.0943,0.0596,2,False,0.3333,0.6645,1.3355
Kendrick Nunn,2018,100,2,0,starter,bust,0.5179,0.5179,0.3221,0.1057,0.0544,2,False,0.3333,0.6966,1.3034
Jordan Poole,2019,81,2,0,starter,bust,0.56,0.56,0.2565,0.0989,0.0846,2,False,0.3333,0.7082,1.2918
Bryce McGowens,2022,37,0,2,bust,starter,0.3154,0.2582,0.3139,0.3154,0.1125,2,False,0.3333,1.282,1.282
Terance Mann,2019,40,2,0,starter,bust,0.5108,0.5108,0.2806,0.1178,0.0907,2,False,0.3333,0.7884,1.2116
Skylar Mays,2020,67,2,0,starter,bust,0.4257,0.4257,0.335,0.1735,0.0659,2,False,0.3333,0.8795,1.1205
Damyean Dotson,2017,51,2,0,starter,bust,0.4218,0.4218,0.324,0.1738,0.0803,2,False,0.3333,0.9126,1.0874
Jalen Slawson,2023,69,2,0,starter,bust,0.3799,0.3799,0.3681,0.1956,0.0564,2,False,0.3333,0.9284,1.0716
Alonzo Gee,2009,62,2,0,starter,bust,0.3787,0.3787,0.3597,0.1928,0.0689,2,False,0.3333,0.9519,1.0481
Dillon Brooks,2017,55,2,0,starter,bust,0.3655,0.3655,0.3388,0.1961,0.0996,2,False,0.3333,1.0298,0.9702
Jaxson Hayes,2019,11,1,3,bench,star,0.36,0.0909,0.2244,0.3248,0.36,2,False,0.3333,1.9538,0.9538
Justin Jackson,2017,20,1,3,bench,star,0.3629,0.0973,0.2219,0.3179,0.3629,2,False,0.3333,1.9464,0.9464
Greivis Vasquez,2010,45,2,0,starter,bust,0.3541,0.3541,0.3182,0.2105,0.1172,2,False,0.3333,1.0907,0.9093
Toney Douglas,2009,29,2,0,starter,bust,0.3283,0.3283,0.2919,0.2329,0.1468,2,False,0.3333,1.1983,0.8017
Zhaire Smith,2018,13,1,3,bench,star,0.3205,0.1423,0.2348,0.3024,0.3205,2,False,0.3333,1.8012,0.8012
Jalen Brunson,2018,33,2,0,starter,bust,0.3192,0.3192,0.3003,0.2156,0.165,2,False,0.3333,1.2265,0.7735
Blake Wesley,2022,18,1,3,bench,star,0.2989,0.1531,0.2495,0.2985,0.2989,2,False,0.3333,1.7432,0.7432
Grayson Allen,2018,23,1,3,bench,star,0.2824,0.167,0.2691,0.2814,0.2824,2,False,0.3333,1.6792,0.6792
Jrue Holiday,2009,31,3,2,star,starter,0.2782,0.2423,0.2637,0.2782,0.2158,1,True,0.6667,1.4675,1.5325
Arnett Moultrie,2012,16,0,1,bust,bench,0.302,0.2077,0.302,0.2887,0.2016,1,True,0.6667,1.4842,1.4842
Erick Green,2013,28,0,1,bust,bench,0.3102,0.2042,0.3102,0.307,0.1786,1,True,0.6667,1.4599,1.4599
Mfiondu Kabengele,2019,13,0,1,bust,bench,0.3027,0.24,0.3027,0.3003,0.157,1,True,0.6667,1.3744,1.3744
Alec Peters,2017,46,0,1,bust,bench,0.3688,0.1787,0.3688,0.3597,0.0927,1,True,0.6667,1.3665,1.3665
Jermaine Taylor,2009,34,0,1,bust,bench,0.3493,0.2098,0.3493,0.3343,0.1066,1,True,0.6667,1.3377,1.3377
John Jenkins,2012,24,0,1,bust,bench,0.3127,0.2952,0.3127,0.2321,0.16,1,True,0.6667,1.2568,1.2568
Nate Hinton,2020,54,0,1,bust,bench,0.3418,0.2723,0.3418,0.2586,0.1274,1,True,0.6667,1.2411,1.2411
Maxwell Lewis,2023,28,0,1,bust,bench,0.355,0.2451,0.355,0.3198,0.0801,1,True,0.6667,1.2348,1.2348
Tyler Lydon,2017,33,0,1,bust,bench,0.3352,0.2633,0.3352,0.3128,0.0886,1,True,0.6667,1.2268,1.2268
Julian Phillips,2023,30,0,1,bust,bench,0.3287,0.2683,0.3287,0.3161,0.087,1,True,0.6667,1.2218,1.2218
Jason Preston,2021,36,0,1,bust,bench,0.3307,0.289,0.3307,0.2528,0.1275,1,True,0.6667,1.2189,1.2189
Rakeem Christmas,2015,30,0,1,bust,bench,0.3137,0.3033,0.3137,0.2489,0.134,1,True,0.6667,1.2137,1.2137
Cameron Bairstow,2014,48,0,1,bust,bench,0.3575,0.2904,0.3575,0.2623,0.0898,1,True,0.6667,1.1516,1.1516
Joseph Young,2015,44,0,1,bust,bench,0.3397,0.3201,0.3397,0.2325,0.1077,1,True,0.6667,1.1278,1.1278
Moses Moody,2021,8,1,2,bench,starter,0.377,0.0776,0.1893,0.377,0.3562,1,True,0.6667,2.0118,1.0118
Noah Vonleh,2014,7,1,2,bench,starter,0.3679,0.0881,0.1959,0.3679,0.3481,1,True,0.6667,1.976,0.976
Chase Budinger,2009,18,1,2,bench,starter,0.3612,0.0876,0.2092,0.3612,0.342,1,True,0.6667,1.9576,0.9576
Marcus Morris,2011,14,1,2,bench,starter,0.4089,0.0721,0.2093,0.4089,0.3097,1,True,0.6667,1.9561,0.9561
Tyler Hansbrough,2009,21,1,2,bench,starter,0.4367,0.0616,0.2127,0.4367,0.2889,1,True,0.6667,1.953,0.953
Caris LeVert,2016,22,2,1,starter,bench,0.3406,0.3279,0.3406,0.2174,0.1142,1,True,0.6667,1.1179,0.8821
