actual_tier_label,p_bust,p_bench,p_starter,p_star
bust,0.3561,0.2948,0.2127,0.1364
bench,0.3011,0.2911,0.2452,0.1627
starter,0.212,0.2542,0.3014,0.2324
star,0.07,0.1228,0.3396,0.4676
