actual_tier_label,p_bust,p_bench,p_starter,p_star
bust,0.4285,0.3393,0.1945,0.0377
bench,0.3863,0.3546,0.2111,0.0481
starter,0.2607,0.3115,0.3106,0.1173
star,0.1598,0.227,0.4256,0.1876
