 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 03/11/2020


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"49","Javon Freeman-Liberty","Valparaiso","So.","6-4","G","33","227","51","123","628","19.0"
"50","Matt Lewis","James Madison","Jr.","6-5","G","30","180","81","128","569","19.0"
"51","Ian DuBose","Houston Christian","Jr.","6-4","G","29","175","45","155","550","19.0"
"52","Fatts Russell","Rhode Island","Jr.","5-10","G","30","180","60","145","565","18.8"
"53","Isaiah Blackmon","Saint Francis","Sr.","6-1","G","30","189","82","104","564","18.8"
"54","Justin Turner","Bowling Green","Jr.","6-4","G","25","158","39","114","469","18.8"
"55","Keaton Wallace","UTSA","Jr.","6-3","G","32","204","92","100","600","18.8"
"","E.J. Crawford","Iona","Sr.","6-6","G","28","173","33","146","525","18.8"
"57","Marlon Stewart","North Dakota","Sr.","6-3","G","33","189","63","173","614","18.6"
"58","Cassius Winston","Michigan St.","Sr.","6-0","G","30","185","73","115","558","18.6"
"59","Ahsan Asadullah","Lipscomb","So.","6-9","C","31","252","3","69","576","18.6"
"","Shamarkus Kennedy","McNeese","Sr.","6-8","F","31","226","1","123","576","18.6"
"","Ade Murkey","Denver","Sr.","6-5","G","31","205","30","136","576","18.6"
"62","Saben Lee","Vanderbilt","Jr.","6-2","G","32","200","39","155","594","18.6"
"63","Douglas Wilson","South Dakota St.","Jr.","6-7","F","29","223","0","92","538","18.6"
"64","Charles Williams","Howard","Sr.","6-6","G","33","214","48","134","610","18.5"
"65","Kira Lewis Jr.","Alabama","So.","6-3","G","31","206","56","105","573","18.5"
"66","Sa'eed Nelson","American","Sr.","6-1","G","29","207","14","108","536","18.5"
"67","Tres Tinkle","Oregon St.","Sr.","6-8","F","31","188","51","145","572","18.5"
"68","Marcus Sheffield","Elon","Sr.","6-5","G","34","213","72","129","627","18.4"
"69","Vinnie Shahid","North Dakota St.","Sr.","5-11","G","33","190","83","145","608","18.4"
"70","Jacob Davison","Eastern Wash.","Jr.","6-4","G","31","211","48","101","571","18.4"
"71","Jomaru Brown","Eastern Ky.","So.","6-2","G","32","198","45","148","589","18.4"
"","CJ Elleby","Washington St.","So.","6-6","G","32","197","74","121","589","18.4"
"73","Desure Buie","Hofstra","Sr.","5-11","G","34","210","75","123","618","18.2"
"74","Obadiah Noel","UMass Lowell","Jr.","6-4","G","32","194","48","145","581","18.2"
"75","Devon Dotson","Kansas","So.","6-2","G","30","182","38","142","544","18.1"
"76","Tyler Hagedorn","South Dakota","Sr.","6-10","F","32","193","72","121","579","18.1"
"77","Jordan Nwora","Louisville","Jr.","6-7","F","31","189","76","104","558","18.0"
"","Josh Sharkey","Samford","Sr.","5-10","G","30","168","41","163","540","18.0"
"","Elijah Olaniyi","Stony Brook","Jr.","6-5","G","28","172","53","107","504","18.0"
"80","Bryson Robinson","New Orleans","Sr.","6-4","G","30","163","87","125","538","17.9"
"81","Tevin Brown","Murray St.","So.","6-5","G","32","172","85","143","572","17.9"
"82","Bryson Williams","UTEP","Jr.","6-8","F","32","212","31","116","571","17.8"
"83","Vernon Carey","Duke","Fr.","6-10","C","31","199","8","146","552","17.8"
"84","Isaiah Miller","UNC Greensboro","Jr.","6-0","G","32","234","28","73","569","17.8"
"85","Mason Faulkner","Western Caro.","Jr.","6-1","G","31","163","62","162","550","17.7"
"86","Brandon Anderson","Brown","Sr.","6-1","G","25","140","48","115","443","17.7"
"87","Blake Francis","Richmond","Jr.","6-0","G","25","153","66","70","442","17.7"
"88","Tre Mitchell","Massachusetts","Fr.","6-9","C","31","206","37","99","548","17.7"
"89","Phlandrous Fleming Jr.","Charleston So.","Jr.","6-5","G","32","207","45","106","565","17.7"
"","Holland Woods","Portland St.","Jr.","6-0","G","32","181","48","155","565","17.7"
"91","Lamar Stevens","Penn St.","Sr.","6-8","F","31","192","25","138","547","17.6"
"92","Michael Green","Mississippi Val.","Sr.","6-3","G","28","191","49","63","494","17.6"
"93","Malachi Flynn","San Diego St.","Jr.","6-1","G","32","184","76","120","564","17.6"
"94","Eli Pemberton","Hofstra","Sr.","6-5","G","34","205","60","129","599","17.6"
"95","Paul Atkinson Jr.","Yale","Jr.","6-10","F","30","206","4","112","528","17.6"
"96","Keith Braxton","Saint Francis","Sr.","6-5","G","32","196","37","134","563","17.6"
"97","Tommy Funk","Army West Point","Sr.","5-11","G","30","192","59","83","526","17.5"
"98","Matt Bradley","California","So.","6-4","G","32","181","66","131","559","17.5"
"99","Filip Petrusev","Gonzaga","So.","6-11","F","33","209","2","156","576","17.5"
"100","Kevon Harris","SFA","Sr.","6-6","G","31","167","59","148","541","17.5"
"101","DeVante' Jones","Coastal Carolina","So.","6-1","G","32","185","37","150","557","17.4"
"102","Jordyn Adams","Austin Peay","Fr.","6-3","G","33","193","60","128","574","17.4"
"103","Tristan Jarrett","Jackson St.","Jr.","6-4","G","31","195","47","102","539","17.4"
"104","Joe Pridgen","Holy Cross","Fr.","6-5","F","30","208","12","93","521","17.4"
"105","Reggie Perry","Mississippi St.","So.","6-10","F","31","183","23","149","538","17.4"
"106","Timmy Allen","Utah","So.","6-6","F","31","189","8","151","537","17.3"
"107","Derrick Alston","Boise St.","Jr.","6-8","G","32","177","65","135","554","17.3"
"108","AJ Brodeur","Penn","Sr.","6-8","F","27","186","17","78","467","17.3"
"109","Justin Forrest","App State","Jr.","6-2","G","32","173","66","141","553","17.3"
"110","Ahmad Clark","UAlbany","Sr.","6-1","G","31","172","49","142","535","17.3"
"111","Mason Peatling","Eastern Wash.","Sr.","6-8","F","31","209","21","95","534","17.2"
"112","Markquis Nowell","Little Rock","So.","5-8","G","28","151","77","102","481","17.2"
"113","Kellan Grady","Davidson","Jr.","6-5","G","30","185","51","94","515","17.2"
"114","Darius Quisenberry","Youngstown St.","So.","6-2","G","32","186","51","126","549","17.2"
"115","JayQuan McCloud","Green Bay","Sr.","6-2","G","33","172","72","149","565","17.1"
"116","Kobe Webster","Western Ill.","Jr.","6-0","G","26","173","49","50","445","17.1"
"117","Seneca Knight","San Jose St.","So.","6-6","G","31","162","50","156","530","17.1"
"118","Jayvon Graves","Buffalo","Jr.","6-3","G","32","204","73","66","547","17.1"
"119","Justin Jaworski","Lafayette","Jr.","6-3","G","24","138","62","72","410","17.1"
"120","Isaiah Stewart","Washington","Fr.","6-9","F","32","192","5","154","543","17.0"
"121","Tyson Ward","North Dakota St.","Sr.","6-6","G","33","203","34","119","559","16.9"
"122","Michael Flowers","Western Mich.","Jr.","6-2","G","32","172","68","130","542","16.9"
"123","Ty-Shon Alexander","Creighton","Jr.","6-4","G","31","163","81","117","524","16.9"
"","Jase Townsend","Denver","So.","6-3","G","31","188","62","86","524","16.9"
"125","Isaiah Joe","Arkansas","So.","6-5","G","26","132","94","81","439","16.9"
"126","Xavier Hill-Mais","Oakland","Sr.","6-7","F","33","218","16","105","557","16.9"
"127","T.J. Atwood","Lamar University","Sr.","6-6","G","32","212","19","96","539","16.8"
"","Garrison Brooks","North Carolina","Jr.","6-9","F","32","207","2","123","539","16.8"
"129","Naji Marshall","Xavier","Jr.","6-7","F","31","190","44","98","522","16.8"
"130","Jason Preston","Ohio","So.","6-3","G","32","203","37","95","538","16.8"
"131","Djordje Dimitrijevic","Mercer","Sr.","6-2","G","30","165","67","106","503","16.8"
"132","Samir Doughty","Auburn","Sr.","6-4","G","31","154","61","148","517","16.7"
"","Skylar Mays","LSU","Sr.","6-4","G","31","169","50","129","517","16.7"
"134","Anthony Lamb","Vermont","Sr.","6-6","F","33","184","54","128","550","16.7"
"","Rich Kelly","Quinnipiac","Jr.","6-1","G","30","160","82","98","500","16.7"
"","Jimmy Boeheim","Cornell","Jr.","6-8","F","21","128","31","63","350","16.7"
"137","Stanley Umude","South Dakota","Jr.","6-6","G","32","190","36","117","533","16.7"
"138","Harald Frey","Montana St.","Sr.","6-1","G","31","148","61","159","516","16.6"
"139","Jaylen Minnett","IU Indy","Jr.","6-1","G","32","175","115","67","532","16.6"
"140","Ayo Dosunmu","Illinois","So.","6-5","G","30","196","29","77","498","16.6"
"","Taveion Hollingsworth","Western Ky.","Jr.","6-2","G","30","164","20","150","498","16.6"
"142","Desmond Bane","TCU","Sr.","6-5","G","32","197","92","45","531","16.6"
"143","Jahlil Jenkins","FDU","Jr.","6-0","G","27","146","53","103","448","16.6"
"144","Adam Kunkel","Belmont","So.","6-4","G","33","188","83","87","546","16.5"
"145","DeVon Baker","UNC Asheville","So.","6-2","G","31","185","47","95","512","16.5"
"146","Malik Fitts","Saint Mary's (CA)","Jr.","6-8","F","34","191","64","115","561","16.5"
"147","Jonah Radebaugh","Northern Colo.","Sr.","6-2","G","31","194","51","71","510","16.5"
"148","Matt Wilson","Army West Point","Sr.","6-9","C","30","220","0","52","492","16.4"
"149","Taevion Kinsey","Marshall","So.","6-5","G","32","201","19","103","524","16.4"
"","Jordan Lyons","Furman","Sr.","5-11","G","32","162","77","123","524","16.4"
"151","Quinton Rose","Temple","Sr.","6-8","F","31","166","34","141","507","16.4"
"","Christian Vital","UConn","Sr.","6-2","G","31","154","66","133","507","16.4"
"153","Anthony Cowan","Maryland","Sr.","6-0","G","31","139","56","172","506","16.3"
"","Deion Hammond","Monmouth","Jr.","6-4","G","31","174","82","76","506","16.3"
"155","Emmanuel Nzekwesi","Oral Roberts","Sr.","6-8","F","25","162","6","78","408","16.3"
"156","Brian Fobbs","Towson","Sr.","6-4","G","32","179","54","110","522","16.3"
"157","Jordan Burns","Colgate","Jr.","6-0","G","33","183","88","84","538","16.3"
"158","Cam Davis","Navy","Jr.","6-1","G","30","168","64","88","488","16.3"
"159","Adam Grant","Bryant","Sr.","6-1","G","32","175","101","69","520","16.3"
"160","Tre Jones","Duke","So.","6-2","G","29","162","39","108","471","16.2"
"161","Curtis Cobb","Wagner","Sr.","6-4","G","25","145","72","44","406","16.2"
"162","Kamar Baldwin","Butler","Sr.","6-1","G","31","187","44","85","503","16.2"
"163","Onyeka Okongwu","Southern California","Fr.","6-9","F","28","175","1","103","454","16.2"
"164","Jahlil Tripp","Pacific","Sr.","6-5","F","33","190","7","148","535","16.2"
"165","Michael Ertel","ULM","Jr.","6-2","G","29","164","59","83","470","16.2"
"166","Kameron Edwards","Pepperdine","Sr.","6-6","F","30","179","29","99","486","16.2"
"167","John Mooney","Notre Dame","Sr.","6-9","F","31","199","31","73","502","16.2"
"168","C.J. Jones","Middle Tenn.","Jr.","6-5","G","30","170","78","67","485","16.2"
"169","Marcus Zegarowski","Creighton","So.","6-2","G","31","182","75","61","500","16.1"
"170","Saddiq Bey","Villanova","So.","6-8","F","31","175","79","70","499","16.1"
"171","Zeke Nnaji","Arizona","Fr.","6-11","F","32","179","5","152","515","16.1"
"172","Immanuel Quickley","Kentucky","So.","6-3","G","30","138","62","144","482","16.1"
"173","Azar Swain","Yale","Jr.","6-0","G","29","156","93","60","465","16.0"
"174","Bryce Hamilton","UNLV","So.","6-4","G","32","192","38","91","513","16.0"
"175","Justinian Jessup","Boise St.","Sr.","6-6","G","32","172","98","70","512","16.0"
"","Jared Butler","Baylor","So.","6-3","G","30","167","77","69","480","16.0"
"","Michael Devoe","Georgia Tech","So.","6-5","G","28","157","53","81","448","16.0"
"178","Teshaun Hightower","Tulane","Jr.","6-4","G","30","153","37","135","478","15.9"
"179","Jazz Johnson","Nevada","Sr.","5-10","G","29","150","91","70","461","15.9"
"180","Loudon Love","Wright St.","Jr.","6-8","C","27","168","0","93","429","15.9"
"181","Amari Davis","Green Bay","Fr.","6-2","G","33","215","0","94","524","15.9"
"182","Eddie Stansberry","Hawaii","Sr.","6-3","G","30","156","90","74","476","15.9"
"183","Hunter Maldonado","Wyoming","So.","6-7","G","33","183","36","121","523","15.8"
"184","Devonte Patterson","Prairie View","Sr.","6-7","F","24","132","9","107","380","15.8"
"185","Luke Knapke","Toledo","Sr.","6-11","C","32","174","50","108","506","15.8"
"186","Kristian Doolittle","Oklahoma","Sr.","6-7","F","29","168","30","92","458","15.8"
"187","Precious Achiuwa","Memphis","Fr.","6-9","F","31","182","13","112","489","15.8"
"","Rylan Bergersen","Central Ark.","Jr.","6-6","G","31","157","43","132","489","15.8"
"189","Oscar da Silva","Stanford","Jr.","-","F","31","187","13","101","488","15.7"
"190","Ben Vander Plas","Ohio","So.","6-8","F","31","183","41","80","487","15.7"
"191","Tyler Cheese","Akron","Sr.","6-5","G","30","158","44","111","471","15.7"
"192","E.J. Anosike","Sacred Heart","Jr.","6-7","F","33","182","20","134","518","15.7"
"193","Caleb Hunter","Mississippi Val.","Fr.","5-10","G","28","154","72","59","439","15.7"
"194","Camren Wynter","Drexel","So.","6-2","G","33","192","44","89","517","15.7"
"","Alessandro Lever","Grand Canyon","Jr.","6-10","C","30","182","31","75","470","15.7"
"196","Lavelle Scottie","Air Force","Sr.","6-7","F","32","192","32","85","501","15.7"
"197","Darius Roy","Milwaukee","Sr.","6-2","G","30","155","62","97","469","15.6"
"","Lesley Varner II","UTRGV","Sr.","6-7","F","30","153","41","122","469","15.6"
"199","Josiah Wallace","Eastern Ill.","Jr.","6-4","G","32","196","31","77","500","15.6"
"200","Makale Foreman","Stony Brook","Jr.","6-1","G","33","166","104","79","515","15.6"
"201","Jermaine Bishop","Norfolk St.","Sr.","6-1","G","31","160","98","65","483","15.6"
"","Bill Wampler","Wright St.","Sr.","6-6","F","31","154","74","101","483","15.6"
"203","Jarred Godfrey","Purdue Fort Wayne","So.","6-5","G","33","187","55","85","514","15.6"
"204","Brandon Childress","Wake Forest","Sr.","6-0","G","30","145","50","127","467","15.6"
"","Tyreke Key","Indiana St.","Jr.","6-2","G","30","145","56","121","467","15.6"
"206","Carlos Dotson","Western Caro.","Sr.","6-7","F","30","180","0","106","466","15.5"
"207","Charlie Moore","DePaul","Jr.","5-11","G","32","164","53","116","497","15.5"
"","Eli Scott","LMU (CA)","Jr.","6-6","F","32","182","9","124","497","15.5"
"209","Jarron Cumberland","Cincinnati","Sr.","6-5","G","27","117","45","140","419","15.5"
"210","Jalon Gates","Houston Christian","Sr.","6-0","G","29","145","88","72","450","15.5"
"","Brandon Kamga","Cal St. Fullerton","Sr.","6-5","G","29","151","50","98","450","15.5"
"212","Max Mahoney","Boston U.","Sr.","6-8","F","34","211","0","105","527","15.5"
"","Omer Yurtseven","Georgetown","Sr.","7-0","C","26","165","3","70","403","15.5"
"214","Jalen Johnson","Louisiana","Jr.","6-6","F","33","172","46","121","511","15.5"
"215","Darrell Brown","Bradley","Sr.","5-10","G","32","148","51","148","495","15.5"
"","Landers Nolley II","Virginia Tech","Fr.","6-7","F","32","171","68","85","495","15.5"
"217","Carlos Johnson","Grand Canyon","Sr.","6-4","G","30","159","45","101","464","15.5"
"218","Jordan Goodwin","Saint Louis","Jr.","6-3","G","31","191","20","77","479","15.5"
"","Jalen Smith","Maryland","So.","6-10","F","31","168","32","111","479","15.5"
"220","Chris Lykes","Miami (FL)","Jr.","5-7","G","26","140","51","70","401","15.4"
"221","Marcus Carr","Minnesota","So.","6-2","G","31","157","52","112","478","15.4"
"222","Gerard Andrus","Prairie View","Sr.","6-5","G","32","200","3","90","493","15.4"
"223","Xavier Johnson","Chicago St.","Jr.","5-11","G","23","107","51","89","354","15.4"
"224","Brandon Johnson","Western Mich.","Jr.","6-8","F","32","173","22","124","492","15.4"
"225","Matt Ryan","Chattanooga","Sr.","6-8","F","33","166","88","87","507","15.4"
"226","Buddy Boeheim","Syracuse","So.","6-6","G","32","177","97","40","491","15.3"
"227","Caleb Homesley","Liberty","Sr.","6-4","G","30","172","52","64","460","15.3"
"228","Zach Nutall","Sam Houston","So.","6-3","G","30","170","41","78","459","15.3"
"229","Jaelin Llewellyn","Princeton","So.","6-2","G","27","140","48","85","413","15.3"
"230","Isaac Bonton","Washington St.","Jr.","6-3","G","28","144","50","90","428","15.3"
"231","Nick Muszynski","Belmont","So.","6-11","C","33","212","16","64","504","15.3"
"232","Deondre Burns","Oral Roberts","Sr.","6-3","G","31","181","25","86","473","15.3"
"233","KJ Robinson","Omaha","Sr.","6-0","G","29","148","64","82","442","15.2"
"234","Isaiah Bailey","Bethune-Cookman","Sr.","6-6","F","30","131","17","178","457","15.2"
"235","Jake Toolson","BYU","Sr.","6-5","G","32","171","85","59","486","15.2"
"236","Devon Andrews","FIU","Sr.","6-6","F","31","170","49","81","470","15.2"
"237","Paul Reed","DePaul","Jr.","6-9","F","29","182","16","59","439","15.1"
"238","Collin Gillespie","Villanova","Jr.","6-2","G","31","155","70","89","469","15.1"
"","Chauncey Hawkins","St. Francis Brooklyn","Jr.","5-8","G","31","150","31","138","469","15.1"
"240","Derek Hawthorne","UT Martin","Sr.","6-3","G","25","136","38","68","378","15.1"
"241","Jalen Pickett","Siena","So.","6-4","G","29","169","58","42","438","15.1"
"242","Tyler Sharpe","Northern Ky.","Sr.","6-1","G","32","158","78","89","483","15.1"
"243","Jalen Crutcher","Dayton","Jr.","6-1","G","30","147","72","86","452","15.1"
"244","Kendal Manuel","Montana","Sr.","6-4","G","31","166","59","76","467","15.1"
"245","Cameron Krutwig","Loyola Chicago","Jr.","6-9","C","32","201","0","80","482","15.1"
"246","Rob Perry","Stetson","Fr.","6-4","G","33","173","69","82","497","15.1"
"247","Jahmi'us Ramsey","Texas Tech","Fr.","6-4","G","27","148","60","50","406","15.0"
"248","Jaden Shackelford","Alabama","Fr.","6-3","G","31","148","84","86","466","15.0"
"249","Javonte Perkins","Saint Louis","Jr.","6-6","F","31","153","40","119","465","15.0"
"250","Ronald Jackson","N.C. A&T","Sr.","6-8","F","32","163","23","130","479","15.0"
Reclassifying
"NR","Milan Acquaah","California Baptist","Jr.","6-3","G","31","181","62","138","562","18.1"

NCAA Men's Basketball
Division IField-Goal Percentage
Through Games 03/11/2020

Min. 5 made per game
       
"Rank","Name","Team","Cl","Ht","Pos","G","FGM","FGA","FG%"
"1","Udoka Azubuike","Kansas","Sr.","7-0","C","31","181","242","74.8"
"2","Shamarkus Kennedy","McNeese","Sr.","6-8","F","31","226","333","67.9"
"3","Osasumwen Osaghae","FIU","Sr.","6-7","F","32","165","246","67.1"
"4","Nick Richards","Kentucky","Jr.","6-11","F","31","163","253","64.4"
"5","Chevez Goodwin","Wofford","Jr.","6-9","F","35","176","275","64.0"
"6","Obi Toppin","Dayton","So.","6-9","F","31","245","387","63.3"
"7","Paul Atkinson Jr.","Yale","Jr.","6-10","F","30","206","327","63.0"
"8","Douglas Wilson","South Dakota St.","Jr.","6-7","F","29","223","355","62.8"
"9","Matt Wilson","Army West Point","Sr.","6-9","C","30","220","354","62.1"
"10","Ramon Vila","Chattanooga","Jr.","6-8","F","33","190","308","61.7"
"11","Onyeka Okongwu","Southern California","Fr.","6-9","F","28","175","284","61.6"
"12","John Fulkerson","Tennessee","Jr.","6-9","F","31","156","255","61.2"
"13","Jacara Cross","Jacksonville St.","Sr.","6-8","F","31","162","265","61.1"
"14","Carlos Dotson","Western Caro.","Sr.","6-7","F","30","180","295","61.0"
"15","Tyere Marshall","Rider","Sr.","6-9","F","29","148","244","60.7"
"16","Nick Muszynski","Belmont","So.","6-11","C","33","212","356","59.6"
"17","D.J. Burns Jr.","Winthrop","Fr.","6-9","F","33","175","300","58.3"
"18","Kevin McKay","Central Mich.","Sr.","6-5","G","28","146","251","58.2"
"19","Filip Rebraca","North Dakota","Jr.","6-9","F","32","190","328","57.9"
"20","Vernon Carey","Duke","Fr.","6-10","C","31","199","345","57.7"
"21","Matt Pile","Omaha","Jr.","6-8","F","32","160","278","57.6"
"22","Max Mahoney","Boston U.","Sr.","6-8","F","34","211","367","57.5"
"23","Ben Stanley","Hampton","So.","6-6","F","34","295","514","57.4"
"24","Oscar da Silva","Stanford","Jr.","-","F","31","187","328","57.0"
"25","Zeke Nnaji","Arizona","Fr.","6-11","F","32","179","314","57.0"
"26","Isaiah Stewart","Washington","Fr.","6-9","F","32","192","337","57.0"
"27","AJ Bramah","Robert Morris","Jr.","6-7","F","33","173","304","56.9"
"28","Marcus Santos-Silva","VCU","Jr.","6-7","F","31","161","283","56.9"
"29","Quintin Dove","UT Martin","Sr.","6-8","F","29","213","377","56.5"
"30","Cameron Krutwig","Loyola Chicago","Jr.","6-9","C","32","201","357","56.3"
"31","Daniel Oturu","Minnesota","So.","6-10","C","31","238","423","56.3"
"32","Josh Ajayi","South Alabama","Sr.","6-7","F","29","149","265","56.2"
"33","Filip Petrusev","Gonzaga","So.","6-11","F","33","209","372","56.2"
"34","Brooks DeBisschop","Northern Ariz.","Sr.","6-9","F","28","150","268","56.0"
"35","Chad Lott","South Alabama","Sr.","6-4","G","31","177","317","55.8"
"36","Joe Pridgen","Holy Cross","Fr.","6-5","F","30","208","373","55.8"
"37","Marcus Weathers","Duquesne","Jr.","6-5","F","30","160","287","55.7"
"38","Gerard Andrus","Prairie View","Sr.","6-5","G","32","200","359","55.7"
"39","Tyler Stevenson","Southern Miss.","So.","6-8","G","31","161","289","55.7"
"40","Tyrique Jones","Xavier","Sr.","6-9","F","32","172","309","55.7"
"41","Carson Williams","Western Ky.","Jr.","6-5","F","30","151","272","55.5"
"42","Emmanuel Nzekwesi","Oral Roberts","Sr.","6-8","F","25","162","292","55.5"
"43","Kai Mitchell","Sam Houston","Sr.","6-7","F","31","178","321","55.5"
"44","Mason Peatling","Eastern Wash.","Sr.","6-8","F","31","209","377","55.4"
"45","Chris Knight","Dartmouth","Jr.","6-6","F","29","186","336","55.4"
"46","Terry Taylor","Austin Peay","Jr.","6-5","F","33","285","518","55.0"
"47","Xavier Tillman","Michigan St.","Jr.","6-8","F","31","165","300","55.0"
"48","Amadou Sow","UC Santa Barbara","So.","6-9","F","31","168","307","54.7"
"49","Keyontae Johnson","Florida","So.","6-5","F","31","166","305","54.4"
"50","Tyler Hagedorn","South Dakota","Sr.","6-10","F","32","193","355","54.4"
"51","Luka Garza","Iowa","Jr.","6-11","C","31","287","530","54.2"
"52","Jalen Smith","Maryland","So.","6-10","F","31","168","312","53.8"
"53","Ronald Jackson","N.C. A&T","Sr.","6-8","F","32","163","303","53.8"
"54","Alessandro Lever","Grand Canyon","Jr.","6-10","C","30","182","340","53.5"
"55","Garrison Brooks","North Carolina","Jr.","6-9","F","32","207","387","53.5"
"56","Omer Yurtseven","Georgetown","Sr.","7-0","C","26","165","309","53.4"
"57","Noah Gurley","Furman","So.","6-8","F","32","173","324","53.4"
"58","Moses Wright","Georgia Tech","Jr.","6-9","F","31","169","318","53.1"
"59","Tyson Ward","North Dakota St.","Sr.","6-6","G","33","203","383","53.0"
"60","James Butler","Drexel","Jr.","6-8","F","33","177","334","53.0"
"61","Eli Scott","LMU (CA)","Jr.","6-6","F","32","182","345","52.8"
"62","Cletrell Pope","Bethune-Cookman","Sr.","6-9","F","29","148","281","52.7"
"63","Jibri Blount","N.C. Central","Sr.","6-5","F","31","217","413","52.5"
"64","Grant Golden","Richmond","Jr.","6-10","F","29","161","307","52.4"
"65","Nathan Knight","William & Mary","Sr.","6-10","C","32","227","433","52.4"
"66","Hasahn French","Saint Louis","Jr.","6-7","F","30","160","307","52.1"
"67","Jayden Gardner","East Carolina","So.","6-6","F","31","223","428","52.1"
"68","Ahsan Asadullah","Lipscomb","So.","6-9","C","31","252","485","52.0"
"69","Xavier Hill-Mais","Oakland","Sr.","6-7","F","33","218","421","51.8"
"70","Devante Jackson","Grambling","Sr.","6-9","F","32","164","317","51.7"
"71","Christian Lutete","UMass Lowell","Sr.","6-4","F","32","220","426","51.6"
