 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 03/11/2020


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"1","Markus Howard","Marquette","Sr.","5-11","G","29","237","121","211","806","27.8"
"2","Jhivvan Jackson","UTSA","Jr.","6-0","G","32","290","121","155","856","26.8"
"3","Jermaine Marrow","Hampton","Sr.","6-0","G","28","221","59","192","693","24.8"
"4","Antoine Davis","Detroit Mercy","So.","6-1","G","30","237","101","154","729","24.3"
"5","Luka Garza","Iowa","Jr.","6-11","C","31","287","39","127","740","23.9"
"6","Mike Smith","Columbia","Sr.","5-11","G","30","250","62","122","684","22.8"
"7","Jerrick Harding","Weber St.","Sr.","6-1","G","29","235","62","113","645","22.2"
"8","Mason Jones","Arkansas","Jr.","6-5","G","31","191","68","233","683","22.0"
"9","Ben Stanley","Hampton","So.","6-6","F","34","295","15","144","749","22.0"
"10","Jordan Roland","Northeastern","Sr.","6-1","G","33","249","95","129","722","21.9"
"11","Grant Riller","Col. of Charleston","Sr.","6-3","G","31","227","47","177","678","21.9"
"12","Jordan Ford","Saint Mary's (CA)","Sr.","6-2","G","34","270","86","117","743","21.9"
"13","Terry Taylor","Austin Peay","Jr.","6-5","F","33","285","41","107","718","21.8"
"14","Jalen Harris","Nevada","Jr.","6-6","G","30","223","67","135","648","21.6"
"15","Trevon Allen","Idaho","Sr.","6-2","G","30","229","62","127","647","21.6"
"16","Marcus Burk","IU Indy","Jr.","6-3","G","32","237","93","115","682","21.3"
"17","Myles Powell","Seton Hall","Sr.","6-2","G","28","195","79","120","589","21.0"
"18","Nate Darling","Delaware","Jr.","6-5","G","32","218","107","129","672","21.0"
"19","Nathan Knight","William & Mary","Sr.","6-10","C","32","227","29","180","663","20.7"
"20","Terrell Brown Jr.","Seattle U","Jr.","6-3","G","29","225","16","134","600","20.7"
"21","Ryan Daly","Saint Joseph's","Sr.","6-4","G","30","217","56","129","619","20.6"
"22","Colbey Ross","Pepperdine","Jr.","6-1","G","32","203","74","176","656","20.5"
"23","Payton Pritchard","Oregon","Sr.","6-2","G","31","216","88","115","635","20.5"
"24","Eugene German","NIU","Sr.","6-0","G","31","225","74","110","634","20.5"
"25","Quintin Dove","UT Martin","Sr.","6-8","F","29","213","20","140","586","20.2"
"26","Daniel Oturu","Minnesota","So.","6-10","C","31","238","19","128","623","20.1"
"27","Obi Toppin","Dayton","So.","6-9","F","31","245","32","99","621","20.0"
"28","Carlik Jones","Radford","Jr.","6-0","G","32","218","47","158","641","20.0"
"29","Andrew Kostecka","Loyola Maryland","Sr.","6-4","G","29","192","46","146","576","19.9"
"30","Marreon Jackson","Toledo","Jr.","6-1","G","32","195","99","146","635","19.8"
"31","Loren Cristian Jackson","Akron","Jr.","5-8","G","31","194","92","135","615","19.8"
"32","Terrell Gomez","CSUN","Jr.","5-8","G","32","207","111","109","634","19.8"
"33","Sayeed Pridgett","Montana","Sr.","6-5","G","31","250","12","101","613","19.8"
"34","John Crosby","Delaware St.","Sr.","6-3","G","32","222","58","130","632","19.8"
"35","Zach Cooks","NJIT","Jr.","5-11","G","30","204","53","130","591","19.7"
"36","Jayden Gardner","East Carolina","So.","6-6","F","31","223","4","160","610","19.7"
"","AJ Green","UNI","So.","6-4","G","31","204","91","111","610","19.7"
"","Breein Tyree","Ole Miss","Sr.","6-2","G","31","199","64","148","610","19.7"
"39","Sam Merrill","Utah St.","Sr.","6-5","G","32","195","89","150","629","19.7"
"40","Raiquan Clark","LIU","Sr.","6-4","G","32","226","26","146","624","19.5"
"41","Sam Sessoms","Binghamton","So.","6-0","G","29","208","64","83","563","19.4"
"42","Nijal Pearson","Texas St.","Sr.","6-5","G","31","202","72","125","601","19.4"
"43","Christian Lutete","UMass Lowell","Sr.","6-4","F","32","220","65","114","619","19.3"
"44","Parker Stewart","UT Martin","So.","6-5","G","25","157","71","95","480","19.2"
"45","Jibri Blount","N.C. Central","Sr.","6-5","F","31","217","23","136","593","19.1"
"","Remy Martin","Arizona St.","Jr.","6-0","G","31","204","63","122","593","19.1"
"47","Anthony Edwards","Georgia","Fr.","6-5","-","32","203","72","132","610","19.1"
"48","Elijah Hughes","Syracuse","Jr.","6-6","F","32","198","78","135","609","19.0"
