 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/07/2014


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"73","R.J. Hunter","Georgia St.","So.","6-6","G","33","181","100","142","604","18.3"
"74","KT Harrell","Auburn","Jr.","6-4","G","30","174","66","134","548","18.3"
"75","Juwan Howard","Detroit Mercy","Jr.","6-6","F","32","216","53","99","584","18.3"
"76","Brandon Frazier","Fordham","Sr.","6-2","G","31","186","45","148","565","18.2"
"77","Russ Smith","Louisville","Sr.","6-0","G","37","225","70","153","673","18.2"
"78","Juwan Staten","West Virginia","Jr.","6-1","G","33","205","6","182","598","18.1"
"79","Z. Mason","Chattanooga","Sr.","6-5","F","31","201","40","119","561","18.1"
"80","Terran Petteway","Nebraska","So.","6-6","F","32","182","48","167","579","18.1"
"81","Christian Standhardinger","Hawaii","Sr.","6-8","F","31","176","13","195","560","18.1"
"82","Shabazz Napier","UConn","Sr.","6-1","G","40","213","87","207","720","18.0"
"","Akeem Richmond","East Carolina","Sr.","6-0","G","34","181","155","95","612","18.0"
"","T.J. Bray","Princeton","Sr.","6-5","G","26","152","52","112","468","18.0"
"85","Walt Lemon Jr.","Bradley","Sr.","6-3","G","32","210","29","126","575","18.0"
"86","Marcus Smart","Oklahoma St.","So.","6-4","G","31","163","49","182","557","18.0"
"87","Corey Hawkins","UC Davis","Jr.","6-3","G","30","171","38","159","539","18.0"
"88","Ledrick Eackles","McNeese","Sr.","6-3","G","31","159","78","156","552","17.8"
"89","Melvin Ejim","Iowa St.","Sr.","6-6","F","34","220","44","121","605","17.8"
"90","Byron Wesley","Southern California","Jr.","6-5","G","30","191","24","127","533","17.8"
"91","Ryan Harrow","Georgia St.","Jr.","6-2","G","34","222","30","130","604","17.8"
"","D.J. Newbill","Penn St.","Jr.","6-4","G","34","209","46","140","604","17.8"
"93","Chad Frazier","UAB","Jr.","6-4","G","31","170","61","148","549","17.7"
"94","Langston Galloway","Saint Joseph's","Sr.","6-2","G","34","190","108","114","602","17.7"
"95","Rashad Whack","Mount St. Mary's","Sr.","6-3","G","33","182","83","135","582","17.6"
"96","Taylor Braun","North Dakota St.","Sr.","6-7","G","32","170","41","183","564","17.6"
"97","Xavier Thames","San Diego St.","Sr.","6-3","G","36","188","61","196","633","17.6"
"98","D'Vauntes Smith-Rivera","Georgetown","So.","6-3","G","33","178","66","158","580","17.6"
"99","Chavaughn Lewis","Marist","Jr.","6-5","G","31","185","28","146","544","17.5"
"100","Marcus Paige","North Carolina","So.","6-2","G","34","191","86","128","596","17.5"
"","Angelo Warner","Morehead St.","Jr.","6-2","G","34","183","56","174","596","17.5"
"102","Nik Stauskas","Michigan","So.","6-6","G","36","185","92","168","630","17.5"
"103","Jordan Clarkson","Missouri","Jr.","6-5","G","35","209","32","162","612","17.5"
"","Stephen Maxwell","CSUN","Jr.","6-7","F","35","216","0","180","612","17.5"
"105","Sean Armand","Iona","Sr.","6-5","G","33","190","96","101","577","17.5"
"106","Lamont Middleton","N.C. A&T","Sr.","6-3","G","32","140","50","229","559","17.5"
"107","Frantz Massenat","Drexel","Sr.","6-4","G","30","161","42","160","524","17.5"
"108","D'Angelo Harrison","St. John's (NY)","Jr.","6-4","G","33","169","64","174","576","17.5"
"109","Dalton Pepper","Temple","Sr.","6-5","G","31","198","84","61","541","17.5"
"110","Sean McGonagill","Brown","Sr.","6-1","G","29","162","93","88","505","17.4"
"111","Trey Sumler","Western Caro.","Sr.","6-2","G","32","177","62","141","557","17.4"
"112","Jordan Adams","UCLA","So.","6-5","G","36","208","52","158","626","17.4"
"113","Chris Fowler","Central Mich.","So.","6-1","G","31","184","26","145","539","17.4"
"114","Michael Williams","Cal St. Fullerton","Sr.","6-2","G","31","184","71","99","538","17.4"
"115","Jon Severe","Fordham","Fr.","6-3","G","31","163","79","131","536","17.3"
"116","Markel Starks","Georgetown","Sr.","6-2","G","33","186","57","141","570","17.3"
"","Jarvis Summers","Ole Miss","Jr.","6-3","G","33","190","47","143","570","17.3"
"118","Kevin Yogi Ferrell","Indiana","So.","6-0","G","32","169","88","126","552","17.3"
"119","Damon Lynn","NJIT","Fr.","5-11","G","29","151","107","91","500","17.2"
"120","Jamie Adams","Florida A&M","Sr.","5-10","G","32","157","77","160","551","17.2"
"121","A.J. English","Iona","So.","6-4","G","33","170","84","144","568","17.2"
"122","Jared Brownridge","Santa Clara","Fr.","6-2","G","33","183","95","106","567","17.2"
"123","Markel Brown","Oklahoma St.","Sr.","6-3","G","34","190","55","149","584","17.2"
"124","Stephan Hicks","CSUN","Jr.","6-5","G","35","206","10","179","601","17.2"
"125","Martez Harrison","Kansas City","Fr.","5-11","G","30","159","33","164","515","17.2"
"","Isaiah Sykes","UCF","Sr.","6-5","G","30","198","12","107","515","17.2"
"127","Julian Norfleet","Mount St. Mary's","Sr.","6-2","G","33","195","56","120","566","17.2"
"128","Lamar Patterson","Pittsburgh","Sr.","6-5","F","36","202","80","132","616","17.1"
"129","Andrew Wiggins","Kansas","Fr.","6-8","G","35","189","43","176","597","17.1"
"130","Deandre Kane","Iowa St.","Sr.","6-4","G","36","208","43","155","614","17.1"
"","K.J. McDaniels","Clemson","Jr.","6-5","G","36","209","42","154","614","17.1"
"132","Semaj Christon","Xavier","So.","6-3","G","34","201","19","157","578","17.0"
"","Kyan Anderson","TCU","Jr.","5-11","G","31","161","46","159","527","17.0"
"","Augustine Rubit","South Alabama","Sr.","6-7","C","31","185","21","136","527","17.0"
"135","Roy Devyn Marble","Iowa","Sr.","6-6","G","33","183","52","142","560","17.0"
"136","Issiah Grayson","CSU Bakersfield","Sr.","5-11","G","32","171","71","130","543","17.0"
"137","Javonte Green","Radford","Jr.","6-4","G","35","212","12","157","593","16.9"
"138","Xavier Munford","Rhode Island","Sr.","6-2","G","32","184","62","111","541","16.9"
"139","Brandon Clark","Santa Clara","Jr.","6-0","G","33","178","56","145","557","16.9"
"140","Justin Sears","Yale","So.","6-8","F","32","183","4","170","540","16.9"
"141","Rashawn Rembert","ETSU","Jr.","6-3","G","35","182","108","117","589","16.8"
"142","Will Cummings","Temple","Jr.","6-2","G","29","158","32","140","488","16.8"
"143","Cameron Payne","Murray St.","Fr.","6-2","G","34","190","72","120","572","16.8"
"144","Daniel Mullings","New Mexico St.","Jr.","6-2","G","35","201","18","168","588","16.8"
"145","Nolan Cressler","Cornell","So.","6-4","G","28","169","68","63","469","16.8"
"146","Gary Harris","Michigan St.","So.","6-4","G","35","195","81","115","586","16.7"
"147","Torrey Craig","USC Upstate","Sr.","6-6","F","34","204","68","93","569","16.7"
"148","Georges Niang","Iowa St.","So.","6-7","F","34","222","48","75","567","16.7"
