 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/08/2019


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"1","Chris Clemons","Campbell","Sr.","5-9","G","33","304","139","246","993","30.1"
"2","Justin Wright-Foreman","Hofstra","Sr.","6-2","G","35","330","110","178","948","27.1"
"3","Antoine Davis","Detroit Mercy","Fr.","6-1","G","30","263","132","126","784","26.1"
"4","Mike Daum","South Dakota St.","Sr.","6-9","F","33","286","67","196","835","25.3"
"5","Markus Howard","Marquette","Jr.","5-11","G","34","252","120","227","851","25.0"
"6","Lamine Diane","CSUN","Fr.","6-7","F","33","340","7","131","818","24.8"
"7","Ja Morant","Murray St.","So.","6-3","G","33","265","57","221","808","24.5"
"8","Jermaine Marrow","Hampton","Jr.","6-0","G","35","274","88","218","854","24.4"
"9","Carsen Edwards","Purdue","Jr.","6-0","G","36","277","135","185","874","24.3"
"10","Nick Mayo","Eastern Ky.","Sr.","6-9","F","31","245","54","190","734","23.7"
"11","Jordan Davis","Northern Colo.","Sr.","6-2","G","32","256","54","186","752","23.5"
"12","Cameron Young","Quinnipiac","Sr.","6-6","G","31","222","104","180","728","23.5"
"13","Myles Powell","Seton Hall","Jr.","6-2","G","34","252","107","173","784","23.1"
"14","Jhivvan Jackson","UTSA","So.","6-0","G","29","222","104","115","663","22.9"
"15","RJ Barrett","Duke","Fr.","6-7","F","38","319","73","149","860","22.6"
"16","Zion Williamson","Duke","Fr.","6-7","F","33","296","24","130","746","22.6"
"17","Ty Cockfield","Arkansas St.","Sr.","6-1","G","32","237","69","173","716","22.4"
"18","Matt Morgan","Cornell","Sr.","6-3","G","31","215","103","154","687","22.2"
"19","Justin James","Wyoming","Sr.","6-7","G","32","228","50","200","706","22.1"
"20","Grant Riller","Col. of Charleston","Jr.","6-3","G","33","264","46","150","724","21.9"
"21","Jon Davis","Charlotte","Sr.","6-3","G","29","191","73","175","630","21.7"
"22","Robert Franks","Washington St.","Sr.","6-9","F","27","201","75","106","583","21.6"
"23","Jaylin Walker","Kent St.","Sr.","6-1","G","27","181","93","127","582","21.6"
"24","Bubba Parham","VMI","So.","5-11","G","32","210","116","150","686","21.4"
"25","RJ Cole","Howard","So.","6-1","G","34","218","84","208","728","21.4"
"26","Jerrick Harding","Weber St.","Jr.","6-1","G","30","212","64","154","642","21.4"
"27","Andrew Kostecka","Loyola Maryland","Jr.","6-4","G","32","241","48","152","682","21.3"
"28","Dylan Windler","Belmont","Sr.","6-8","F","33","243","100","116","702","21.3"
"29","Yoeli Childs","BYU","Jr.","6-8","F","32","258","32","131","679","21.2"
"30","Anthony Lamb","Vermont","Jr.","6-6","F","32","242","50","144","678","21.2"
"31","Jordan Ford","Saint Mary's (CA)","Jr.","6-2","G","34","255","70","136","716","21.1"
"32","Daishon Smith","ULM","Sr.","6-1","G","32","195","110","173","673","21.0"
"33","Nathan Knight","William & Mary","Jr.","6-10","F","31","236","10","169","651","21.0"
"34","Sam Merrill","Utah St.","Jr.","6-5","G","35","228","86","189","731","20.9"
"35","Martaveous Mcknight","Ark.-Pine Bluff","Sr.","6-4","G","32","226","74","141","667","20.8"
"36","Garrison Mathews","Lipscomb","Sr.","6-5","G","36","222","116","190","750","20.8"
"37","Tres Tinkle","Oregon St.","Jr.","6-8","F","30","215","53","141","624","20.8"
"38","Jakeenan Gant","Louisiana","Sr.","6-8","F","31","246","42","103","637","20.5"
"39","Tyler Hall","Montana St.","Sr.","6-5","G","32","233","116","75","657","20.5"
"40","Terry Taylor","Austin Peay","So.","6-5","F","33","258","50","109","675","20.5"
"41","Eugene German","NIU","Jr.","6-0","G","31","228","87","88","631","20.4"
"42","Rayjon Tucker","Little Rock","Jr.","6-5","G","30","187","72","164","610","20.3"
"43","Jon Elmore","Marshall","Sr.","6-3","G","37","234","114","168","750","20.3"
"44","Fletcher Magee","Wofford","Sr.","6-4","G","35","225","158","101","709","20.3"
"45","Lew Stallworth","The Citadel","Sr.","6-1","G","29","221","36","108","586","20.2"
"46","Keaton Wallace","UTSA","So.","6-3","G","32","215","121","95","646","20.2"
"47","Max Strus","DePaul","Sr.","6-6","G","35","232","113","128","705","20.1"
"48","Lamar Stevens","Penn St.","Jr.","6-8","F","32","230","20","157","637","19.9"
"49","Sa'eed Nelson","American","Jr.","6-1","G","30","203","26","163","595","19.8"
"50","Shizz Alston","Temple","Sr.","6-4","G","33","207","99","138","651","19.7"
"51","Rui Hachimura","Gonzaga","Jr.","6-8","F","37","275","15","164","729","19.7"
"52","Shamorie Ponds","St. John's (NY)","Jr.","6-1","G","33","216","65","153","650","19.7"
"53","Jeremiah Martin","Memphis","Sr.","6-3","G","36","220","66","202","708","19.7"
"","James Palmer","Nebraska","Sr.","6-6","G","36","213","67","215","708","19.7"
"55","David Jenkins Jr.","South Dakota St.","So.","6-1","G","32","205","112","107","629","19.7"
"56","John Konchar","Purdue Fort Wayne","Sr.","6-5","G","33","231","53","127","642","19.5"
"57","Jahaad Proctor","High Point","Jr.","6-3","G","31","210","55","128","603","19.5"
"58","Dedric Lawson","Kansas","Jr.","6-9","F","36","249","35","167","700","19.4"
"59","Marcquise Reed","Clemson","Sr.","6-3","G","31","202","48","150","602","19.4"
"60","Jarrell Brantley","Col. of Charleston","Sr.","6-7","F","33","237","38","128","640","19.4"
"61","Colbey Ross","Pepperdine","So.","6-1","G","34","179","63","238","659","19.4"
"62","Caleb Martin","Nevada","Sr.","6-7","F","34","201","107","145","654","19.2"
"63","Terrell Gomez","CSUN","So.","5-8","G","34","214","117","107","652","19.2"
"64","Charlie Brown","Saint Joseph's","So.","6-7","F","32","205","63","136","609","19.0"
"65","Ky Bowman","Boston College","Jr.","6-1","G","31","196","79","118","589","19.0"
"66","Tyler Hooker","Kennesaw St.","Jr.","6-0","G","31","200","35","153","588","19.0"
"67","Raiquan Clark","LIU","Sr.","6-4","G","32","220","20","144","604","18.9"
"68","Deishuan Booker","Long Beach St.","Sr.","6-3","G","33","165","42","250","622","18.8"
"69","Grant Williams","Tennessee","Jr.","6-7","F","37","234","15","213","696","18.8"
"70","Isaiah Pineiro","San Diego","Sr.","6-7","F","36","232","40","173","677","18.8"
"71","Cassius Winston","Michigan St.","Jr.","6-0","G","39","243","84","163","733","18.8"
"72","Jarron Cumberland","Cincinnati","Jr.","6-5","G","35","207","80","163","657","18.8"
"73","Marial Shayok","Iowa St.","Sr.","6-6","G","34","229","71","108","637","18.7"
"74","Christian Lutete","UMass Lowell","Jr.","6-4","F","32","213","70","102","598","18.7"
"75","Christian Keeling","Charleston So.","Jr.","6-3","G","34","214","81","126","635","18.7"
"","Drew McDonald","Northern Ky.","Sr.","6-8","F","34","211","67","146","635","18.7"
