 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/04/2016


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"85","Michael Bryson","UC Santa Barbara","Sr.","6-4","G","32","202","72","101","577","18.0"
"","Thomas Wilder","Western Mich.","So.","6-3","G","32","172","45","188","577","18.0"
"87","Rodney Pryor","Robert Morris","Sr.","6-5","G","29","178","49","117","522","18.0"
"88","Ryan Bowie","UTSA","Sr.","6-1","G","32","188","81","118","575","18.0"
"","Devin Patterson","Omaha","Sr.","5-11","G","32","181","57","156","575","18.0"
"90","Jeremy Senglin","Weber St.","Jr.","6-2","G","35","213","106","95","627","17.9"
"91","Derrick Colter","Duquesne","Sr.","5-11","G","34","193","80","143","609","17.9"
"92","David Walker","Northeastern","Sr.","6-6","G","33","179","97","136","591","17.9"
"93","Jaylen Adams","St. Bonaventure","So.","6-5","G","30","150","84","153","537","17.9"
"","Jarelle Reischel","Eastern Ky.","Sr.","6-7","F","30","165","40","167","537","17.9"
"95","Garret Covington","Western Ill.","Jr.","6-5","G","27","159","77","88","483","17.9"
"96","Juan'Ya Green","Hofstra","Sr.","6-2","G","34","173","68","192","606","17.8"
"97","Omar Prewitt","William & Mary","Jr.","6-7","G","31","188","43","133","552","17.8"
"98","Tookie Brown","Ga. Southern","Fr.","5-11","G","31","177","50","147","551","17.8"
"99","Kory Holden","Delaware","So.","6-2","G","30","181","69","101","532","17.7"
"100","Tim Kempton","Lehigh","Jr.","6-10","C","29","182","5","145","514","17.7"
"101","Evan Boudreaux","Dartmouth","Fr.","6-8","F","27","155","28","140","478","17.7"
"102","Evan Bradds","Belmont","Jr.","6-7","F","32","210","3","141","564","17.6"
"","Jonathan Williams","Toledo","Jr.","6-4","G","32","207","70","80","564","17.6"
"104","Eric Eaves","South Carolina St.","Jr.","6-3","G","34","196","26","180","598","17.6"
"105","Domantas Sabonis","Gonzaga","So.","6-10","F","36","239","5","150","633","17.6"
"106","Retin Obasohan","Alabama","Sr.","6-2","G","33","193","48","146","580","17.6"
"107","Michael Gbinije","Syracuse","Sr.","6-7","F","37","225","91","106","647","17.5"
"108","Anthony Odunsi","Houston Christian","Sr.","6-4","G","33","154","13","255","576","17.5"
"109","Deandre Bembry","Saint Joseph's","Jr.","6-6","G","36","238","34","117","627","17.4"
"110","Nick Faust","Long Beach St.","Sr.","6-6","G","35","205","86","113","609","17.4"
"111","Melvin Johnson","VCU","Sr.","6-3","G","36","223","110","70","626","17.4"
"112","Kevin Yogi Ferrell","Indiana","Sr.","6-0","G","35","196","79","136","607","17.3"
"113","Brandon Ingram","Duke","Fr.","6-9","F","36","214","80","116","624","17.3"
"114","Tyler Ulis","Kentucky","So.","5-9","G","35","192","55","167","606","17.3"
"115","Carrington Love","Green Bay","Sr.","6-1","G","36","204","85","130","623","17.3"
"116","Devin Carter","Arkansas St.","Jr.","6-5","G","31","183","88","82","536","17.3"
"117","Ron Curry","James Madison","Sr.","6-3","G","31","167","72","129","535","17.3"
"118","Terry Allen","Richmond","Sr.","6-8","F","32","193","24","142","552","17.3"
"","Jake White","Omaha","Sr.","6-8","F","32","197","22","136","552","17.3"
"120","Chris Hass","Bucknell","Sr.","6-5","G","30","163","60","131","517","17.2"
"121","Jakob Poeltl","Utah","So.","7-0","F","36","228","0","164","620","17.2"
"122","Shane Richards","Manhattan","Sr.","6-5","F","31","154","78","146","532","17.2"
"123","Joel Bolomboy","Weber St.","Sr.","6-9","F","33","193","20","159","565","17.1"
"124","Antonio Campbell","Ohio","Jr.","6-9","F","35","237","43","81","598","17.1"
"125","Robert Hatter","Cornell","Jr.","6-2","G","24","144","40","82","410","17.1"
"126","Stephen Croone","Furman","Sr.","6-0","G","33","161","47","194","563","17.1"
"127","Marc-Eddy Norelia","FGCU","Jr.","6-8","F","35","234","0","129","597","17.1"
"128","Quinton Chievous","Hampton","Sr.","6-6","G","27","185","18","72","460","17.0"
"129","Javontae Hawkins","Eastern Ky.","Jr.","6-5","F","30","182","33","114","511","17.0"
"130","Mike Brown","Western Caro.","Sr.","6-3","G","34","188","44","159","579","17.0"
"131","Henry Ellenson","Marquette","Fr.","6-10","F","33","194","30","143","561","17.0"
"132","Brice Johnson","North Carolina","Sr.","6-9","F","40","267","0","144","678","17.0"
"133","Marcus Colbert","Montana St.","Sr.","5-11","G","31","188","53","95","524","16.9"
"134","Tim Derksen","San Francisco","Sr.","6-3","G","30","177","50","103","507","16.9"
"135","Josh Robinson","Austin Peay","So.","6-3","G","36","185","72","166","608","16.9"
"136","Maodo Lo","Columbia","Sr.","6-3","G","35","212","96","71","591","16.9"
"137","Perry Ellis","Kansas","Sr.","6-8","F","38","237","28","139","641","16.9"
"138","J.J. Frazier","Georgia","Jr.","5-10","G","34","169","76","159","573","16.9"
"139","Tim Williams","New Mexico","Jr.","6-8","F","32","215","0","109","539","16.8"
"140","Devin Martin","UMES","Sr.","6-4","G","30","174","67","90","505","16.8"
"141","Isaac Hamilton","UCLA","Jr.","6-4","G","32","206","60","66","538","16.8"
"142","Wesley Person","Troy","So.","6-3","G","31","171","96","83","521","16.8"
"143","Tyler Cavanaugh","George Washington","Jr.","6-9","F","38","209","53","167","638","16.8"
"144","Reed Timmer","Drake","So.","6-1","G","31","166","40","148","520","16.8"
"145","Shavon Shields","Nebraska","Sr.","6-7","F","30","181","28","113","503","16.8"
"146","Marcus Gilbert","Fairfield","Sr.","6-6","F","31","165","78","111","519","16.7"
"","Dion Wright","St. Bonaventure","Sr.","6-7","F","31","199","24","97","519","16.7"
"148","Egor Koulechov","Rice","So.","6-5","F","32","175","80","105","535","16.7"
"149","Dillon Brooks","Oregon","So.","6-7","F","38","231","48","125","635","16.7"
"150","Marcus Georges-Hunt","Georgia Tech","Sr.","6-5","G","36","178","40","205","601","16.7"
"151","Rashawn Thomas","A&M-Corpus Christi","Jr.","6-8","F","33","206","4","132","548","16.6"
"152","Jerome Frink","LIU","Jr.","6-7","F","31","197","37","83","514","16.6"
"153","Adrian Rodgers","Southern U.","Sr.","6-4","G","35","201","80","98","580","16.6"
"154","Lamond Murray Jr.","Pepperdine","Jr.","6-5","G","32","207","31","85","530","16.6"
"155","Adom Jacko","LMU (CA)","Jr.","6-8","F","25","170","1","73","414","16.6"
"156","Andrew White III","Nebraska","Sr.","6-7","G","34","195","87","86","563","16.6"
"157","Keron DeShields","Tennessee St.","Sr.","6-2","G","30","166","48","116","496","16.5"
"158","Dusty Hannahs","Arkansas","Jr.","6-3","G","32","174","81","100","529","16.5"
"159","Yante Maten","Georgia","So.","6-8","F","34","212","8","130","562","16.5"
"160","Chris Fowler","Central Mich.","Sr.","6-1","G","26","143","22","120","428","16.5"
"161","Quincy Ford","Northeastern","Sr.","6-8","F","29","158","65","96","477","16.4"
"162","Craig Bradshaw","Belmont","Sr.","6-3","G","32","176","87","87","526","16.4"
"163","Kris Dunn","Providence","Jr.","6-4","G","33","184","42","132","542","16.4"
"164","Venky Jois","Eastern Wash.","Sr.","6-8","F","32","220","0","85","525","16.4"
"165","Antwan Scott","Colorado St.","Sr.","6-2","G","33","173","96","99","541","16.4"
"166","Jimmy Hall","Kent St.","Jr.","6-8","F","32","212","6","94","524","16.4"
"167","Josh Scott","Colorado","Sr.","6-10","F","32","187","3","146","523","16.3"
"168","Braylon Rayson","Central Mich.","Jr.","5-9","G","32","181","81","79","522","16.3"
"169","Darell Combs","IU Indy","Jr.","6-2","G","31","165","58","117","505","16.3"
"170","Sheldon McClellan","Miami (FL)","Sr.","6-5","G","35","177","56","160","570","16.3"
"171","Derick Newton","Stetson","Fr.","6-7","F","34","171","57","154","553","16.3"
"172","Nick Emery","BYU","Fr.","6-2","G","36","203","97","82","585","16.3"
"","Brandon Taylor","Penn St.","Sr.","6-7","F","32","188","51","93","520","16.3"
"174","Kellen Dunham","Butler","Sr.","6-6","G","33","166","87","116","535","16.2"
"175","Erik McCree","Louisiana Tech","Jr.","6-8","F","30","165","48","108","486","16.2"
"176","Martin Hermannsson","LIU","So.","6-3","G","31","154","36","157","501","16.2"
"177","Donte Clark","Massachusetts","So.","6-4","G","32","158","62","139","517","16.2"
"","Derrick Henry","The Citadel","Sr.","6-3","G","32","152","41","172","517","16.2"
"179","Chris Flemmings","UNCW","Jr.","6-5","G","33","180","57","116","533","16.2"
"","D'Vauntes Smith-Rivera","Georgetown","Sr.","6-3","G","33","172","73","116","533","16.2"
"181","Dejounte Murray","Washington","Fr.","6-5","G","34","202","34","110","548","16.1"
"182","Donte McGill","FIU","Jr.","6-3","G","31","189","35","86","499","16.1"
"183","Bryce Alford","UCLA","Jr.","6-3","G","32","157","73","128","515","16.1"
"184","Jaylen Bland","UC Riverside","Sr.","6-3","G","33","166","118","81","531","16.1"
"185","Nic Moore","SMU","Sr.","5-9","G","29","153","76","84","466","16.1"
"186","Peter Jok","Iowa","Jr.","6-6","G","32","171","80","92","514","16.1"
"187","Rob Gray","Houston","So.","6-1","G","26","150","48","69","417","16.0"
"188","Makai Mason","Yale","Fr.","6-1","-","30","161","55","104","481","16.0"
"189","Jordan Potts","Bethune-Cookman","Jr.","5-10","G","32","156","85","116","513","16.0"
"190","Tyler Nelson","Fairfield","So.","6-3","G","33","158","66","147","529","16.0"
"191","Gary Payton II","Oregon St.","Sr.","6-3","G","32","205","22","79","511","16.0"
"192","Eli Carter","Boston College","Sr.","6-2","G","31","174","64","83","495","16.0"
"193","Quenton DeCosey","Temple","Sr.","6-6","G","33","164","49","149","526","15.9"
"194","Jamel Waters","Alabama St.","Sr.","5-9","G","31","160","76","98","494","15.9"
"195","Damion Lee","Louisville","Sr.","6-6","G","30","152","61","113","478","15.9"
"196","Brian Parker","Marist","Fr.","6-3","G","29","163","10","126","462","15.9"
"197","Corey Sanders","Rutgers","Fr.","6-2","G","27","156","41","77","430","15.9"
"","Victor Sanders","Idaho","So.","6-5","G","27","122","69","117","430","15.9"
"199","Tucker Haymond","Western Mich.","Jr.","6-5","F","32","169","32","139","509","15.9"
"200","Tanner Leissner","New Hampshire","So.","6-6","F","30","170","22","115","477","15.9"
"201","Brett Bisping","Siena","Jr.","6-8","F","34","180","40","140","540","15.9"
"","Taurean Prince","Baylor","Sr.","6-8","F","34","187","53","113","540","15.9"
"203","J.C. Hampton","Lipscomb","Jr.","6-1","G","33","170","71","113","524","15.9"
"","Lotanna Nwogbo","Longwood","Sr.","6-8","F","33","194","1","135","524","15.9"
"205","Moses Kingsley","Arkansas","So.","6-10","F","32","183","0","142","508","15.9"
"206","Daviyon Draper","FIU","Sr.","6-7","F","31","195","33","69","492","15.9"
"207","Ameen Tanksley","Hofstra","Sr.","6-5","G","34","170","62","137","539","15.9"
"208","Emile Blackman","Niagara","Jr.","6-4","G","32","185","42","95","507","15.8"
"209","Anthony Johnson","Northern Colo.","Jr.","6-2","G","31","157","66","110","490","15.8"
"210","Demetrius Jackson","Notre Dame","Jr.","6-1","G","35","193","54","113","553","15.8"
"211","Dedric Lawson","Memphis","Fr.","6-9","F","33","182","28","129","521","15.8"
"212","James Webb III","Boise St.","Jr.","6-9","F","31","177","27","108","489","15.8"
"213","Dwayne Bacon","Florida St.","Fr.","6-7","G","34","197","32","110","536","15.8"
"214","Kyle Wilson","Army West Point","Sr.","6-4","G","33","175","100","70","520","15.8"
"215","Nigel Hayes","Wisconsin","Jr.","6-8","F","35","161","39","190","551","15.7"
"216","Egidijus Mockevicius","Evansville","Sr.","6-10","C","34","195","0","145","535","15.7"
"217","Marcel White","Jacksonville","Jr.","6-6","F","32","160","82","101","503","15.7"
"218","Justin Sears","Yale","Sr.","6-8","F","28","163","5","109","440","15.7"
"219","Michael Young","Pittsburgh","Jr.","6-9","F","33","189","4","136","518","15.7"
"220","Anthlon Bell","Arkansas","Sr.","6-3","G","32","172","89","69","502","15.7"
"221","Kelan Martin","Butler","So.","6-7","F","33","183","46","105","517","15.7"
"222","Tre Demps","Northwestern","Sr.","6-2","G","32","189","72","51","501","15.7"
"223","Danuel House","Texas A&M","Sr.","6-7","G","36","185","75","118","563","15.6"
"224","Stefan Jankovic","Hawaii","Jr.","6-11","F","33","172","33","139","516","15.6"
"225","Charles Cooke","Dayton","Jr.","6-5","G","32","163","59","115","500","15.6"
"226","Malcolm Riley","Texas Southern","Sr.","6-5","F","33","173","77","92","515","15.6"
"227","Tre' Coggins","Cal St. Fullerton","Jr.","6-2","G","29","145","75","87","452","15.6"
"","Devin Thomas","Wake Forest","Sr.","6-9","F","29","162","0","128","452","15.6"
"229","Matt Tiby","Milwaukee","Sr.","6-8","F","33","155","43","161","514","15.6"
"230","Rosco Allen","Stanford","Sr.","6-9","F","30","142","56","127","467","15.6"
"231","Malik Beasley","Florida St.","Fr.","6-5","G","34","185","55","104","529","15.6"
"","Twymond Howard","UT Martin","Sr.","6-6","F","34","187","22","133","529","15.6"
"233","Justin Strings","Sacramento St.","So.","6-7","F","31","174","60","74","482","15.5"
"234","Kendrick Nunn","Illinois","Jr.","6-3","G","28","155","75","50","435","15.5"
"235","Peyton Aldridge","Davidson","So.","6-7","F","33","179","49","105","512","15.5"
"236","Zach LeDay","Virginia Tech","Jr.","6-7","F","35","181","21","160","543","15.5"
"237","Jaaron Simmons","Ohio","So.","6-1","G","35","172","32","166","542","15.5"
"238","Anthony Livingston","Arkansas St.","Jr.","6-8","F","31","168","22","122","480","15.5"
"239","Dante Holmes","N.C. Central","Sr.","6-3","G","29","151","74","73","449","15.5"
"240","Devonte Brown","Indiana St.","Sr.","6-3","G","32","138","22","197","495","15.5"
"241","Ken Williams","South Alabama","Jr.","6-2","G","31","153","61","112","479","15.5"
"242","Josh Hart","Villanova","Jr.","6-5","G","40","230","55","103","618","15.5"
"243","Jamaya Burr","McNeese","Jr.","6-0","G","29","127","34","159","447","15.4"
"","Sam Hunt","N.C. A&T","So.","6-2","G","29","134","66","113","447","15.4"
"245","Jeff Short","Norfolk St.","Sr.","6-4","G","33","154","67","133","508","15.4"
"246","James Woodard","Tulsa","Sr.","6-3","G","31","145","77","110","477","15.4"
"247","Josh Hawkinson","Washington St.","Jr.","6-10","F","29","170","15","91","446","15.4"
"248","Martez Harrison","Kansas City","Jr.","5-11","G","30","134","39","154","461","15.4"
"","Matt Scott","Niagara","So.","6-4","G","30","146","34","135","461","15.4"
"","Gavin Ware","Mississippi St.","Sr.","6-9","F","30","183","0","95","461","15.4"
Reclassifying
"NR","Joshua Braun","Grand Canyon","So.","6-4","G","34","143","73","203","562","16.5"
"NR","Kyle Hittle","UIW","Sr.","6-4","G","29","158","72","82","470","16.2"
"NR","Jaylen Franklin","Abilene Christian","Fr.","6-2","G","30","176","8","126","486","16.2"

NCAA Men's Basketball
Division IField-Goal Percentage
Through Games 04/04/2016

Min. 5 made per game
       
"Rank","Name","Team","Cl","Ht","Pos","G","FGM","FGA","FG%"
"1","Evan Bradds","Belmont","Jr.","6-7","F","32","210","294","71.4"
"2","Venky Jois","Eastern Wash.","Sr.","6-8","F","32","220","324","67.9"
"3","Derrick Griffin","Texas Southern","---","6-7","F","27","143","216","66.2"
"4","Rokas Gustys","Hofstra","So.","6-9","F","34","192","291","66.0"
"5","Adrian Diaz","FIU","Sr.","6-10","F","32","180","277","65.0"
"6","Ryan Rhoomes","Fordham","Sr.","6-8","F","31","187","289","64.7"
"7","Jakob Poeltl","Utah","So.","7-0","F","36","228","353","64.6"
"8","James Thompson IV","Eastern Mich.","Fr.","6-10","C","33","182","282","64.5"
"9","Egidijus Mockevicius","Evansville","Sr.","6-10","C","34","195","306","63.7"
"10","Jameel Warney","Stony Brook","Sr.","6-8","F","33","272","432","63.0"
"11","Wayne Langston","Murray St.","Sr.","6-7","F","31","163","259","62.9"
"12","Martin Breunig","Montana","Sr.","6-8","F","33","228","367","62.1"
"13","RJ White","UNC Greensboro","Jr.","6-8","C","33","167","271","61.6"
"14","Kevin Ferguson","Army West Point","Sr.","6-10","C","29","154","250","61.6"
"15","Gavin Ware","Mississippi St.","Sr.","6-9","F","30","183","298","61.4"
"16","Brice Johnson","North Carolina","Sr.","6-9","F","40","267","435","61.4"
"17","Domantas Sabonis","Gonzaga","So.","6-10","F","36","239","391","61.1"
"18","Nick Mayo","Eastern Ky.","Fr.","6-9","F","31","179","295","60.7"
"19","Tim Williams","New Mexico","Jr.","6-8","F","32","215","356","60.4"
"20","Justin Johnson","Western Ky.","So.","6-7","F","34","197","327","60.2"
"21","John Brown","High Point","Sr.","6-8","F","28","212","352","60.2"
"22","Jeremy Combs","North Texas","So.","6-7","F","31","175","291","60.1"
"23","Chris Horton","Austin Peay","Sr.","6-8","C","36","248","414","59.9"
"24","Marcel Pettway","Bryant","Fr.","6-6","F","30","151","253","59.7"
"25","A.J. Hammons","Purdue","Sr.","7-0","C","33","199","336","59.2"
"26","Lotanna Nwogbo","Longwood","Sr.","6-8","F","33","194","328","59.1"
"27","Thomas Welsh","UCLA","So.","7-0","C","31","157","266","59.0"
"28","Damian Jones","Vanderbilt","Jr.","6-10","C","33","184","312","59.0"
"29","Thomas Walkup","SFA","Sr.","6-4","G","34","217","369","58.8"
"30","Joseph Uchebo","Charlotte","Sr.","6-10","C","33","181","310","58.4"
"31","Anthony Gill","Virginia","Sr.","6-8","F","37","189","326","58.0"
"32","Cameron Forte","Portland St.","Sr.","6-7","F","31","244","421","58.0"
"33","Brian Pegg","Stetson","Jr.","6-7","G","34","185","321","57.6"
"34","Chris Cokley","UAB","So.","6-8","F","33","176","307","57.3"
"35","Darien Nelson-Henry","Penn","Sr.","6-11","C","27","141","246","57.3"
"36","Joel Bolomboy","Weber St.","Sr.","6-9","F","33","193","337","57.3"
"37","Quinton Chievous","Hampton","Sr.","6-6","G","27","185","325","56.9"
"38","Jake White","Omaha","Sr.","6-8","F","32","197","347","56.8"
"39","Antonio Campbell","Ohio","Jr.","6-9","F","35","237","423","56.0"
"40","Zach Auguste","Notre Dame","Sr.","6-10","F","36","192","343","56.0"
"41","Ben Simmons","LSU","Fr.","6-10","F","33","216","386","56.0"
"42","Tyrell Nelson","Gardner-Webb","Jr.","6-7","C","33","181","324","55.9"
"43","T.J. Cline","Richmond","Jr.","6-9","F","32","227","407","55.8"
"44","Adom Jacko","LMU (CA)","Jr.","6-8","F","25","170","305","55.7"
"45","Tim Kempton","Lehigh","Jr.","6-10","C","29","182","328","55.5"
"46","Ryan Taylor","Marshall","Jr.","6-5","F","33","168","303","55.4"
"47","Mike Daum","South Dakota St.","Fr.","6-9","F","34","172","311","55.3"
"48","Rashawn Thomas","A&M-Corpus Christi","Jr.","6-8","F","33","206","373","55.2"
"49","Moses Kingsley","Arkansas","So.","6-10","F","32","183","334","54.8"
"50","Georges Niang","Iowa St.","Sr.","6-7","F","35","283","518","54.6"
"51","Marc-Eddy Norelia","FGCU","Jr.","6-8","F","35","234","429","54.5"
"","Ryan Anderson","Arizona","Sr.","6-9","F","33","174","319","54.5"
"53","Dominique Elliott","UMES","Sr.","6-9","F","32","180","331","54.4"
"54","Desean Murray","Presbyterian","So.","6-3","F","31","232","427","54.3"
"55","Javion Ogunyemi","Siena","Jr.","6-10","F","34","182","335","54.3"
"56","Josh Hawkinson","Washington St.","Jr.","6-10","F","29","170","313","54.3"
"57","James Kelly","Marshall","Sr.","6-7","F","33","260","479","54.3"
"58","Stefan Jankovic","Hawaii","Jr.","6-11","F","33","172","317","54.3"
"59","Devin Thomas","Wake Forest","Sr.","6-9","F","29","162","299","54.2"
"60","Tony Parker","UCLA","Sr.","6-9","F","32","164","304","53.9"
"61","Pascal Siakam","New Mexico St.","So.","6-9","F","34","275","510","53.9"
"62","Michael Young","Pittsburgh","Jr.","6-9","F","33","189","352","53.7"
"63","Myke Henry","DePaul","Sr.","6-6","F","31","170","317","53.6"
"64","Tre'Shawn Thurman","Omaha","So.","6-7","F","32","172","321","53.6"
"65","Perry Ellis","Kansas","Sr.","6-8","F","38","237","446","53.1"
"66","Josh Scott","Colorado","Sr.","6-10","F","32","187","352","53.1"
"67","Zeek Woodley","Northwestern St.","Jr.","6-2","G","28","216","407","53.1"
"68","Marquese Chriss","Washington","Fr.","6-9","F","34","179","338","53.0"
"69","Justin Sears","Yale","Sr.","6-8","F","28","163","310","52.6"
"70","Henry Caruso","Princeton","Jr.","6-4","F","29","153","292","52.4"
"71","Shawn Long","Louisiana","Sr.","6-9","F","34","232","443","52.4"
