 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/04/2016


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"1","James Daniel III","Howard","Jr.","6-0","G","30","226","80","280","812","27.1"
"2","Buddy Hield","Oklahoma","Sr.","6-4","G","37","301","147","176","925","25.0"
"3","Josh Adams","Wyoming","Sr.","6-2","G","30","217","96","210","740","24.7"
"4","Kahlil Felder","Oakland","Jr.","5-9","G","35","269","76","239","853","24.4"
"5","Stefan Moody","Ole Miss","Sr.","5-11","G","31","208","103","212","731","23.6"
"6","Anthony 'Cat' Barber","NC State","Jr.","6-2","G","33","248","43","237","776","23.5"
"7","Jack Gibbs","Davidson","Jr.","6-0","G","31","244","82","158","728","23.5"
"8","Cane Broome","Sacred Heart","So.","6-0","G","30","236","66","156","694","23.1"
"9","Obi Emegano","Oral Roberts","Sr.","6-3","G","29","210","51","198","669","23.1"
"10","A.J. English","Iona","Sr.","6-4","G","28","190","94","158","632","22.6"
"11","Zeek Woodley","Northwestern St.","Jr.","6-2","G","28","216","57","133","622","22.2"
"12","Kevin Punter Jr.","Tennessee","Sr.","6-2","G","26","177","58","165","577","22.2"
"13","Trey Freeman","Old Dominion","Sr.","6-2","G","38","323","51","141","838","22.1"
"14","Elijah Brown","New Mexico","So.","6-4","G","32","194","89","217","694","21.7"
"15","Grayson Allen","Duke","So.","6-5","G","36","239","90","211","779","21.6"
"16","Marcus Evans","Rice","Fr.","6-2","G","32","223","52","187","685","21.4"
"17","Ben Bentil","Providence","So.","6-9","F","35","246","52","194","738","21.1"
"18","Austin McBroom","Eastern Wash.","Sr.","6-0","G","33","212","115","153","692","21.0"
"19","Andrew Andrews","Washington","Sr.","6-2","G","34","181","77","273","712","20.9"
"20","Marvelle Harris","Fresno St.","Sr.","6-4","G","35","240","66","179","725","20.7"
"21","Jared Brownridge","Santa Clara","Jr.","6-2","G","31","195","91","159","640","20.6"
"22","D.J. Balentine","Evansville","Sr.","6-2","G","34","240","58","160","698","20.5"
"23","Georges Niang","Iowa St.","Sr.","6-7","F","35","283","56","96","718","20.5"
"24","Kyle Wiltjer","Gonzaga","Sr.","6-10","F","36","260","90","126","736","20.4"
"25","Khallid Hart","Marist","Jr.","6-2","G","28","164","72","169","569","20.3"
"26","Pascal Siakam","New Mexico St.","So.","6-9","F","34","275","3","137","690","20.3"
"27","Cameron Morse","Youngstown St.","So.","6-2","G","30","201","64","142","608","20.3"
"","Devin Watson","San Francisco","So.","6-1","G","30","192","65","159","608","20.3"
"29","Desean Murray","Presbyterian","So.","6-3","F","31","232","0","163","627","20.2"
"30","Ethan Telfair","Idaho St.","Jr.","6-0","G","31","179","63","205","626","20.2"
"31","Jordan Howard","Central Ark.","So.","5-11","G","28","175","95","120","565","20.2"
"32","James Kelly","Marshall","Sr.","6-7","F","33","260","49","94","663","20.1"
"33","Quinton Hooker","North Dakota","Jr.","6-0","G","32","211","51","169","642","20.1"
"34","Jamal Murray","Kentucky","Fr.","6-4","G","36","244","113","119","720","20.0"
"35","Jameel Warney","Stony Brook","Sr.","6-8","F","33","272","0","111","655","19.8"
"36","QJ Peterson","VMI","Jr.","6-0","G","30","189","83","134","595","19.8"
"37","Tanner Plomb","Army West Point","Sr.","6-7","F","28","190","80","95","555","19.8"
"38","Alex Hamilton","Louisiana Tech","Sr.","6-4","G","33","212","34","196","654","19.8"
"39","Dikembe Dixson","UIC","Fr.","6-7","F","30","192","41","169","594","19.8"
"40","Dallas Moore","North Florida","Jr.","6-1","G","34","256","64","96","672","19.8"
"41","Marcus Posley","St. Bonaventure","Sr.","6-1","G","31","197","82","133","609","19.6"
"42","John Brown","High Point","Sr.","6-8","F","28","212","1","124","549","19.6"
"43","Max Landis","Purdue Fort Wayne","Sr.","6-2","G","33","196","125","121","638","19.3"
"44","Nathan Boothe","Toledo","Sr.","6-10","C","32","241","33","103","618","19.3"
"45","Anthony Beane","Southern Ill.","Sr.","6-2","G","32","208","72","129","617","19.3"
"46","Justin Robinson","Monmouth","Jr.","5-8","G","36","214","80","185","693","19.3"
"47","Cameron Forte","Portland St.","Sr.","6-7","F","31","244","1","107","596","19.2"
"","Jordan Price","La Salle","Jr.","6-5","G","31","195","89","117","596","19.2"
"49","Denzel Valentine","Michigan St.","Sr.","6-5","G","31","205","104","81","595","19.2"
"50","Ben Simmons","LSU","Fr.","6-10","F","33","216","1","199","632","19.2"
"51","Ladarius Tabb","Alabama A&M","Sr.","6-5","G","29","201","45","102","549","18.9"
"52","Martin Breunig","Montana","Sr.","6-8","F","33","228","3","165","624","18.9"
"","Jarrod Uthoff","Iowa","Sr.","6-9","F","33","218","66","122","624","18.9"
"54","Matt Morgan","Cornell","Fr.","6-3","G","27","159","70","122","510","18.9"
"55","Shawn Long","Louisiana","Sr.","6-9","F","34","232","18","160","642","18.9"
"56","Cleveland Pancake Thomas","Hartford","Sr.","6-3","G","30","178","81","129","566","18.9"
"57","Chris Horton","Austin Peay","Sr.","6-8","C","36","248","0","180","676","18.8"
"58","Trey Davis","Massachusetts","Sr.","6-0","G","32","184","83","148","599","18.7"
"","Keon Johnson","Winthrop","Jr.","5-7","G","32","178","78","165","599","18.7"
"60","Jaron Blossomgame","Clemson","Jr.","6-7","F","31","201","45","133","580","18.7"
"61","Frank Eaves","App State","Sr.","6-2","G","31","170","83","156","579","18.7"
"","Kendrick Ray","Kennesaw St.","Jr.","6-1","G","31","214","41","110","579","18.7"
"63","Jimmy Gavin","Winthrop","Sr.","6-3","G","32","196","94","111","597","18.7"
"64","Yonel Brown","Kennesaw St.","Sr.","5-9","G","31","198","79","103","578","18.6"
"","Tyler Hall","Montana St.","Fr.","6-5","G","31","202","96","78","578","18.6"
"66","Ge'Lawn Guyn","ETSU","Sr.","6-2","G","35","221","94","115","651","18.6"
"","Marcus Romain","Mississippi Val.","Jr.","6-2","G","30","188","30","152","558","18.6"
"68","Kori Babineaux","Jacksonville","Sr.","6-4","G","32","257","9","71","594","18.6"
"69","Chris Clemons","Campbell","Fr.","5-9","G","30","186","92","92","556","18.5"
"70","Micah Mason","Duquesne","Sr.","6-2","G","33","207","118","76","608","18.4"
"71","Majok Deng","ULM","Sr.","6-10","F","31","193","59","126","571","18.4"
"72","Paris Bass","Detroit Mercy","So.","6-8","F","24","159","22","102","442","18.4"
"73","Alec Peters","Valparaiso","Jr.","6-9","F","37","223","91","142","679","18.4"
"74","Damon Lynn","NJIT","Jr.","5-11","G","35","196","116","134","642","18.3"
"75","T.J. Cline","Richmond","Jr.","6-9","F","32","227","44","88","586","18.3"
"76","Alec Wintering","Portland","Jr.","6-0","G","32","182","43","177","584","18.3"
"77","Malcolm Brogdon","Virginia","Sr.","6-5","G","37","230","75","140","675","18.2"
"78","Torrance Rowe","Tennessee Tech","Sr.","6-1","G","31","177","81","129","564","18.2"
"79","Chase Fischer","BYU","Sr.","6-3","G","37","209","112","143","673","18.2"
"80","Isaiah Whitehead","Seton Hall","So.","6-4","G","34","194","81","149","618","18.2"
"81","Isaiah Miles","Saint Joseph's","Sr.","6-7","F","36","223","65","142","653","18.1"
"82","Reginald Johnson","Hampton","Sr.","6-2","G","32","192","54","140","578","18.1"
"83","Malcolm Hill","Illinois","Jr.","6-6","G","34","192","37","193","614","18.1"
"","Thomas Walkup","SFA","Sr.","6-4","G","34","217","10","170","614","18.1"
