Name,draft_year,draft_pick,position,Season,Team,Cl,Pos,Ht,G,FGM,3FG,FT,PTS,PPG,FGA,FG%,3PG,3FGA,3FG%,FTA,FT%,REB,RPG,AST,APG,BLKS,BKPG,ST,STPG,TO,Ratio,Trpl Dbl,Dbl Dbl,MP,MPG,ORebs,DRebs
Ty Lawson,2009,25,Point Guard,2008-2009,North Carolina,Jr.,G,5-11,35,182.0,51.0,166.0,581.0,16.6,342.0,53.2,1.5,108.0,47.22222222222222,208.0,79.8,104.0,2.9714285714285715,230.0,6.6,5.0,0.1428571428571428,75.0,2.1,66.0,3.48,,,,,23.0,81.0
Taj Gibson,2009,27,Power Forward,2008-2009,Southern California,Jr.,F,6-9,35,190.0,0.0,120.0,500.0,14.3,316.0,60.1,,0.0,,182.0,65.9,316.0,9.0,44.0,1.2571428571428571,100.0,2.9,34.0,0.9714285714285714,72.0,,,,,,123.0,193.0
Darren Collison,2009,28,Point Guard,2008-2009,UCLA,Sr.,G,6-0,35,175.0,41.0,113.0,504.0,14.4,344.0,50.9,,104.0,39.42307692307692,126.0,89.7,84.0,2.4,166.0,4.7,5.0,0.1428571428571428,57.0,1.6,87.0,1.91,,,,,16.0,68.0
Toney Douglas,2009,29,Point Guard/Shooting Guard,2008-2009,Florida St.,Sr.,G,6-1,35,239.0,85.0,188.0,751.0,21.5,536.0,44.6,2.4,221.0,38.46153846153846,232.0,81.0,137.0,3.914285714285714,102.0,2.9,15.0,0.4285714285714285,63.0,1.8,87.0,,,,,,28.0,109.0
Sam Young,2009,30,Small Forward,2008-2009,Pittsburgh,Sr.,F,6-6,36,261.0,54.0,114.0,690.0,19.2,520.0,50.2,1.5,140.0,38.57142857142857,154.0,74.0,225.0,6.3,39.0,1.0833333333333333,30.0,0.8,35.0,0.9722222222222222,82.0,,,,,,65.0,150.0
Jrue Holiday,2009,31,Point Guard/Shooting Guard,2008-2009,UCLA,Fr.,G,6-3,35,112.0,27.0,45.0,296.0,8.457142857142857,249.0,44.97991967871486,,88.0,30.681818181818183,62.0,72.58064516129032,132.0,3.7714285714285714,129.0,3.7,18.0,0.5142857142857142,55.0,1.6,75.0,1.72,,,,,44.0,88.0
Jermaine Taylor,2009,34,Shooting Guard,2008-2009,UCF,Sr.,G,6-4,31,291.0,92.0,138.0,812.0,26.2,606.0,48.0,3.0,245.0,37.6,170.0,81.2,161.0,5.193548387096774,58.0,1.870967741935484,24.0,0.8,39.0,1.3,87.0,,,,,,59.0,102.0
Marcus Thornton,2009,36,Shooting Guard,2008-2009,LSU,Sr.,G,6-4,35,256.0,78.0,149.0,739.0,21.1,542.0,47.2,2.2,201.0,38.80597014925373,200.0,74.5,192.0,5.5,75.0,2.142857142857143,13.0,0.3714285714285714,56.0,1.6,64.0,,,,,,71.0,121.0
Austin Daye,2009,38,Small Forward,2008-2009,Gonzaga,So.,F,6-11,34,159.0,36.0,77.0,431.0,12.7,333.0,47.747747747747745,,84.0,42.857142857142854,109.0,70.64220183486239,232.0,6.8,37.0,1.088235294117647,70.0,2.1,24.0,0.7058823529411765,73.0,,,,,,36.0,196.0
Jeff Adrien,2009,44,Power Forward,2008-2009,UConn,Sr.,F,6-7,36,190.0,0.0,111.0,491.0,13.6,376.0,50.5,,1.0,0.0,186.0,59.7,358.0,9.9,59.0,1.6388888888888888,42.0,1.2,19.0,0.5277777777777778,62.0,,,,,,110.0,240.0
Dante Cunningham,2009,46,Small Forward/Power Forward,2008-2009,Villanova,Sr.,F,6-8,38,244.0,0.0,124.0,612.0,16.1,465.0,52.5,,2.0,0.0,178.0,69.7,284.0,7.5,47.0,1.236842105263158,47.0,1.2,47.0,1.2,82.0,,,,,,99.0,185.0
Danny Green,2009,48,Small Forward,2008-2009,North Carolina,Sr.,F,6-5,38,184.0,77.0,52.0,497.0,13.1,391.0,47.05882352941177,2.0,184.0,41.84782608695652,61.0,85.24590163934427,178.0,4.684210526315789,104.0,2.7,51.0,1.3,67.0,1.8,63.0,,,,,,70.0,108.0
DeMarre Carroll,2009,50,Small Forward/Power Forward,2008-2009,Missouri,Sr.,F,6-8,38,246.0,16.0,121.0,629.0,16.6,441.0,55.8,,44.0,36.36363636363637,191.0,63.4,273.0,7.2,82.0,2.1578947368421053,25.0,0.7,59.0,1.6,56.0,,,,,,92.0,181.0
Wesley Matthews,2009,53,Shooting Guard,2008-2009,Marquette,Sr.,G,6-5,35,193.0,42.0,213.0,641.0,18.3,406.0,47.5,,114.0,36.8421052631579,257.0,82.9,201.0,5.7,86.0,2.5,18.0,0.5142857142857142,43.0,1.2,82.0,,,,,,46.0,155.0
Jodie Meeks,2009,54,Shooting Guard,2008-2009,Kentucky,Jr.,G,6-4,36,263.0,117.0,211.0,854.0,23.7,568.0,46.3,3.3,288.0,40.6,234.0,90.2,122.0,3.388888888888889,63.0,1.75,5.0,0.1388888888888889,48.0,1.3,96.0,,,,,,19.0,103.0
Terrel Harris,2009,55,Shooting Guard,2008-2009,Oklahoma St.,Sr.,G,6-5,35,168.0,57.0,95.0,488.0,13.9,344.0,48.83720930232558,1.6,151.0,37.74834437086093,121.0,78.5,167.0,4.771428571428571,67.0,1.9142857142857144,12.0,0.3428571428571428,61.0,1.7,65.0,,,,,,29.0,138.0
Alonzo Gee,2009,62,Shooting Guard,2008-2009,Alabama,Sr.,F,6-6,32,176.0,27.0,101.0,480.0,15.0,398.0,44.2,,72.0,37.5,161.0,62.7,231.0,7.2,39.0,1.21875,21.0,0.7,28.0,0.875,70.0,,,,,,88.0,136.0
Jon Brockman,2009,71,Power Forward,2008-2009,Washington,Sr.,F,6-7,34,190.0,0.0,126.0,506.0,14.9,361.0,52.6,,1.0,0.0,197.0,64.0,391.0,11.5,39.0,1.1470588235294117,3.0,0.088235294117647,31.0,0.9117647058823528,65.0,,,,,,144.0,247.0
Lester Hudson,2009,78,Point Guard/Shooting Guard,2008-2009,UT Martin,Sr.,G,6-2,32,313.0,106.0,148.0,880.0,27.5,697.0,44.9,3.3,299.0,35.5,168.0,88.1,254.0,7.9,135.0,4.2,18.0,0.5625,75.0,2.3,106.0,1.27,,,,,66.0,176.0
Jeremy Pargo,2009,86,Point Guard,2008-2009,Gonzaga,Sr.,G,6-2,34,138.0,23.0,49.0,348.0,10.235294117647058,288.0,47.916666666666664,,64.0,35.9375,70.0,70.0,117.0,3.4411764705882355,167.0,4.9,5.0,0.1470588235294117,46.0,1.4,81.0,2.06,,,,,27.0,90.0
Cedric Jackson,2009,90,Point Guard,2008-2009,Cleveland St.,Sr.,G,6-2,37,131.0,33.0,99.0,392.0,10.594594594594597,337.0,38.87240356083086,,107.0,30.8411214953271,158.0,62.7,213.0,5.8,199.0,5.4,7.0,0.1891891891891892,112.0,3.0,132.0,1.51,,,,,44.0,163.0
Antonio Anderson,2009,92,Shooting Guard,2008-2009,Memphis,Sr.,G,6-6,37,131.0,18.0,99.0,379.0,10.243243243243244,291.0,45.01718213058419,,71.0,25.35211267605634,135.0,73.3,178.0,4.8108108108108105,166.0,4.5,17.0,0.4594594594594595,53.0,1.4,85.0,1.95,,,,,39.0,139.0
John Wall,2010,1,Point Guard,2009-2010,Kentucky,Fr.,G,6-4,37,202.0,37.0,175.0,616.0,16.6,438.0,46.1,,114.0,32.45614035087719,232.0,75.43103448275862,159.0,4.297297297297297,241.0,6.5,19.0,0.5135135135135135,66.0,1.8,149.0,1.62,,,,,30.0,129.0
Evan Turner,2010,2,Shooting Guard,2009-2010,Ohio St.,Jr.,G,6-7,31,237.0,20.0,138.0,632.0,20.4,457.0,51.9,,55.0,36.36363636363637,182.0,75.82417582417582,284.0,9.2,185.0,6.0,28.0,0.9032258064516128,54.0,1.7,136.0,,2.0,16.0,,,62.0,222.0
Derrick Favors,2010,3,Power Forward,2009-2010,Georgia Tech,Fr.,F,6-10,36,179.0,0.0,90.0,448.0,12.444444444444445,293.0,61.092150170648466,,1.0,0.0,143.0,62.93706293706294,303.0,8.4,37.0,1.0277777777777777,74.0,2.1,32.0,0.8888888888888888,90.0,,,,,,108.0,195.0
Greg Monroe,2010,5,Power Forward/Center,2009-2010,Georgetown,So.,C,6-11,34,202.0,7.0,138.0,549.0,16.1,385.0,52.5,,27.0,25.925925925925927,209.0,66.02870813397129,328.0,9.6,128.0,3.8,52.0,1.5,42.0,1.2352941176470589,112.0,,,,,,74.0,254.0
Patrick Patterson,2010,6,Power Forward,2009-2010,Kentucky,Jr.,F,6-9,38,215.0,24.0,90.0,544.0,14.31578947368421,374.0,57.5,,69.0,34.78260869565217,130.0,69.23076923076923,283.0,7.4,36.0,0.9473684210526316,51.0,1.3,27.0,0.7105263157894737,41.0,,,,,,116.0,167.0
