Name,draft_year,draft_pick,position,Season,Team,Cl,Pos,Ht,G,FGM,3FG,FT,PTS,PPG,FGA,FG%,3PG,3FGA,3FG%,FTA,FT%,REB,RPG,AST,APG,BLKS,BKPG,ST,STPG,TO,Ratio,Trpl Dbl,Dbl Dbl,MP,MPG,ORebs,DRebs
Anthony Bennett,2013,8,Small Forward/Power Forward,2012-2013,UNLV,Fr.,F,6-8,35,202.0,36.0,124.0,564.0,16.1,379.0,53.3,,96.0,37.5,177.0,70.05649717514125,285.0,8.1,34.0,0.9714285714285714,43.0,1.23,24.0,0.6857142857142857,65.0,,,12.0,,,86.0,199.0
Trey Burke,2013,11,Point Guard,2012-2013,Michigan,So.,G,6-0,39,259.0,76.0,133.0,727.0,18.6,560.0,46.3,1.95,198.0,38.38383838383838,166.0,80.1,124.0,3.1794871794871793,260.0,6.7,20.0,0.5128205128205128,62.0,1.59,86.0,3.02,,4.0,,,21.0,103.0
Kentavious Caldwell-Pope,2013,12,Shooting Guard,2012-2013,Georgia,So.,G,6-5,32,186.0,84.0,135.0,591.0,18.5,430.0,43.3,2.63,225.0,37.3,169.0,79.9,226.0,7.1,58.0,1.8125,17.0,0.53125,65.0,2.03,64.0,,,7.0,,,37.0,189.0
Steven Adams,2013,13,Center,2012-2013,Pittsburgh,Fr.,C,7-0,32,100.0,0.0,31.0,231.0,7.21875,175.0,57.142857142857146,,0.0,,70.0,44.285714285714285,203.0,6.34375,20.0,0.625,65.0,2.03,21.0,0.65625,35.0,,,,,,90.0,113.0
Michael Carter-Williams,2013,14,Point Guard,2012-2013,Syracuse,So.,G,6-6,40,155.0,35.0,129.0,474.0,11.85,394.0,39.34010152284264,,120.0,29.166666666666668,186.0,69.35483870967742,195.0,4.875,292.0,7.3,19.0,0.475,111.0,2.78,136.0,2.15,,9.0,,,51.0,144.0
Shabazz Muhammad,2013,17,Small Forward,2012-2013,UCLA,Fr.,G,6-6,32,202.0,40.0,128.0,572.0,17.9,456.0,44.3,,106.0,37.735849056603776,180.0,71.11111111111111,167.0,5.21875,27.0,0.84375,4.0,0.125,23.0,0.71875,51.0,,,,,,87.0,80.0
Kelly Olynyk,2013,18,Center,2012-2013,Gonzaga,Jr.,F,7-0,32,215.0,9.0,132.0,571.0,17.8,342.0,62.9,,30.0,30.0,170.0,77.6,235.0,7.3,55.0,1.71875,36.0,1.13,22.0,0.6875,77.0,,,5.0,,,77.0,158.0
Tony Mitchell,2013,19,Small Forward/Power Forward,2012-2013,North Texas,So.,F,6-8,32,138.0,29.0,101.0,406.0,12.6875,314.0,43.94904458598726,,99.0,29.292929292929298,151.0,66.88741721854305,273.0,8.5,25.0,0.78125,87.0,2.72,31.0,0.96875,75.0,,,10.0,,,76.0,186.0
Nate Wolters,2013,21,Point Guard,2012-2013,South Dakota St.,Sr.,G,6-3,33,242.0,64.0,187.0,735.0,22.3,499.0,48.5,1.94,169.0,37.8698224852071,230.0,81.3,184.0,5.575757575757576,193.0,5.8,4.0,0.1212121212121212,57.0,1.73,77.0,2.51,,6.0,75360,2283.6,36.0,148.0
Shane Larkin,2013,23,Point Guard,2012-2013,Miami (FL),So.,G,5-11,36,183.0,69.0,87.0,522.0,14.5,382.0,47.9,1.92,170.0,40.588235294117645,112.0,77.67857142857143,138.0,3.8333333333333335,164.0,4.6,4.0,0.1111111111111111,71.0,1.97,82.0,2.0,,,78660,2185.0,17.0,121.0
Gorgui Dieng,2013,24,Center,2012-2013,Louisville,Jr.,C,6-11,33,125.0,0.0,73.0,323.0,9.787878787878787,234.0,53.41880341880342,,0.0,,112.0,65.17857142857143,310.0,9.4,66.0,2.0,83.0,2.52,44.0,1.3333333333333333,59.0,,,10.0,,,113.0,197.0
Mason Plumlee,2013,25,Power Forward,2012-2013,Duke,Sr.,F,6-10,36,221.0,0.0,173.0,615.0,17.1,369.0,59.9,,0.0,,254.0,68.11023622047244,358.0,9.9,70.0,1.9444444444444444,52.0,1.44,36.0,1.0,103.0,,,18.0,,,99.0,260.0
Allen Crabbe,2013,27,Shooting Guard,2012-2013,California,Jr.,G,6-6,33,215.0,64.0,113.0,607.0,18.4,468.0,45.9,1.94,184.0,34.78260869565217,139.0,81.3,200.0,6.0606060606060606,87.0,2.636363636363636,23.0,0.696969696969697,37.0,1.121212121212121,83.0,,,,,,33.0,167.0
Erick Green,2013,28,Point Guard/Shooting Guard,2012-2013,Virginia Tech,Sr.,G,6-4,32,261.0,61.0,218.0,801.0,25.0,550.0,47.5,1.91,157.0,38.853503184713375,267.0,81.6,127.0,3.96875,121.0,3.8,6.0,0.1875,42.0,1.3125,69.0,1.75,,,70320,2197.5,15.0,112.0
Isaiah Canaan,2013,29,Point Guard,2012-2013,Murray St.,Sr.,G,6-1,31,215.0,94.0,152.0,676.0,21.8,499.0,43.1,3.03,254.0,37.0,185.0,82.2,110.0,3.5483870967741935,133.0,4.3,4.0,0.1290322580645161,47.0,1.52,98.0,1.36,,,67860,2189.0,19.0,91.0
Reggie Bullock,2013,31,Shooting Guard/Small Forward,2012-2013,North Carolina,Jr.,G,6-7,35,172.0,88.0,56.0,488.0,13.942857142857145,356.0,48.31460674157304,2.51,202.0,43.6,73.0,76.71232876712328,226.0,6.457142857142857,101.0,2.8857142857142857,10.0,0.2857142857142857,44.0,1.2571428571428571,43.0,,,4.0,,,71.0,155.0
Jamaal Franklin,2013,32,Shooting Guard/Small Forward,2012-2013,San Diego St.,Jr.,G,6-5,33,169.0,42.0,180.0,560.0,17.0,409.0,41.3,,150.0,28.0,229.0,78.6,312.0,9.5,109.0,3.3,26.0,0.7878787878787878,53.0,1.61,112.0,,,13.0,,,56.0,256.0
Lorenzo Brown,2013,35,Point Guard/Shooting Guard,2012-2013,NC State,Jr.,G,6-5,33,140.0,20.0,108.0,408.0,12.363636363636363,334.0,41.91616766467066,,76.0,26.31578947368421,140.0,77.1,143.0,4.333333333333333,239.0,7.2,19.0,0.5757575757575758,65.0,1.97,114.0,2.1,,6.0,,,22.0,121.0
Jeff Withey,2013,36,Center,2012-2013,Kansas,Sr.,C,7-0,37,185.0,1.0,137.0,508.0,13.72972972972973,318.0,58.2,,1.0,100.0,192.0,71.35416666666667,315.0,8.5,35.0,0.945945945945946,146.0,3.95,28.0,0.7567567567567568,73.0,,,13.0,,,79.0,236.0
James Ennis,2013,38,Shooting Guard/Small Forward,2012-2013,Long Beach St.,Sr.,G,6-7,33,182.0,55.0,126.0,545.0,16.5,371.0,49.1,,148.0,37.16216216216216,151.0,83.4,221.0,6.7,66.0,2.0,43.0,1.3,58.0,1.76,89.0,,,7.0,,,56.0,144.0
James Southerland,2013,40,Small Forward/Power Forward,2012-2013,Syracuse,Sr.,F,6-8,34,161.0,84.0,45.0,451.0,13.264705882352942,358.0,44.97206703910614,2.47,211.0,39.81042654028436,57.0,78.94736842105263,176.0,5.176470588235294,36.0,1.0588235294117647,29.0,0.8529411764705882,50.0,1.47,40.0,,,,,,43.0,133.0
Erik Murphy,2013,43,Power Forward,2012-2013,Florida,Sr.,F,6-10,36,196.0,72.0,64.0,468.0,13.0,342.0,57.30994152046784,2.0,38.0,189.47368421052633,95.0,67.36842105263158,218.0,6.055555555555555,62.0,1.7222222222222223,36.0,1.0,55.0,1.5277777777777777,81.0,,,,,,75.0,143.0
Ray McCallum,2013,52,Point Guard,2012-2013,Detroit Mercy,Jr.,G,6-1,33,214.0,42.0,147.0,617.0,18.7,436.0,49.1,,130.0,32.30769230769231,205.0,71.70731707317073,167.0,5.0606060606060606,147.0,4.5,20.0,0.6060606060606061,64.0,1.94,68.0,2.16,,,72480,2196.4,43.0,124.0
Dewayne Dedmon,2013,54,Center,2012-2013,Southern California,Jr.,F,7-0,31,88.0,0.0,32.0,208.0,6.709677419354839,176.0,50.0,,3.0,0.0,47.0,68.08510638297872,216.0,7.0,19.0,0.6129032258064516,66.0,2.13,34.0,1.096774193548387,49.0,,,,,,70.0,146.0
Carrick Felix,2013,55,Shooting Guard/Small Forward,2012-2013,Arizona St.,Sr.,G,6-6,35,189.0,52.0,81.0,511.0,14.6,378.0,50.0,,139.0,37.410071942446045,122.0,66.39344262295081,285.0,8.1,57.0,1.6285714285714286,39.0,1.11,50.0,1.43,70.0,,,13.0,,,73.0,212.0
Peyton Siva,2013,57,Point Guard,2012-2013,Louisville,Sr.,G,6-0,40,139.0,38.0,85.0,401.0,10.025,344.0,40.406976744186046,,132.0,28.78787878787879,98.0,86.73469387755102,94.0,2.35,228.0,5.7,6.0,0.15,90.0,2.25,106.0,2.15,,,,,12.0,82.0
Andre Roberson,2013,59,Small Forward/Power Forward,2012-2013,Colorado,Jr.,G,6-7,31,132.0,19.0,54.0,337.0,10.870967741935484,275.0,48.0,,58.0,32.758620689655174,98.0,55.10204081632653,347.0,11.2,44.0,1.4193548387096775,41.0,1.32,67.0,2.16,74.0,,,12.0,,,92.0,255.0
Solomon Hill,2013,60,Small Forward,2012-2013,Arizona,Sr.,F,6-7,35,158.0,57.0,95.0,468.0,13.371428571428572,345.0,45.79710144927536,,146.0,39.04109589041096,124.0,76.6,187.0,5.3428571428571425,95.0,2.7142857142857144,20.0,0.5714285714285714,40.0,1.1428571428571428,77.0,,,,,,61.0,126.0
Vander Blue,2013,63,Point Guard/Shooting Guard,2012-2013,Marquette,Jr.,G,6-4,34,183.0,40.0,96.0,502.0,14.8,403.0,45.4,,132.0,30.303030303030305,127.0,75.6,110.0,3.235294117647059,62.0,1.8235294117647056,0.0,0.0,35.0,1.0294117647058822,79.0,,,,,,20.0,90.0
Mike Muscala,2013,70,Power Forward/Center,2012-2013,Bucknell,Sr.,F,6-11,34,227.0,4.0,179.0,637.0,18.7,446.0,50.9,,16.0,25.0,227.0,78.9,378.0,11.1,78.0,2.2941176470588234,80.0,2.35,17.0,0.5,58.0,,,22.0,,,98.0,280.0
Brandon Davies,2013,75,Power Forward,2012-2013,BYU,Sr.,F,6-9,36,229.0,5.0,174.0,637.0,17.7,439.0,52.2,,14.0,35.714285714285715,255.0,68.23529411764706,287.0,8.0,88.0,2.4444444444444446,35.0,0.9722222222222222,48.0,1.3333333333333333,92.0,,,11.0,,,74.0,213.0
Seth Curry,2013,79,Point Guard/Shooting Guard,2012-2013,Duke,Sr.,G,6-2,35,197.0,95.0,123.0,612.0,17.5,424.0,46.5,2.71,217.0,43.8,152.0,80.9,89.0,2.5428571428571427,54.0,1.542857142857143,6.0,0.1714285714285714,30.0,0.8571428571428571,42.0,,,,,,20.0,69.0
Elias Harris,2013,86,Small Forward/Power Forward,2012-2013,Gonzaga,Sr.,F,6-8,34,169.0,8.0,149.0,495.0,14.6,337.0,50.14836795252226,,47.0,17.02127659574468,194.0,76.8,253.0,7.4,53.0,1.5588235294117647,19.0,0.5588235294117647,40.0,1.1764705882352942,60.0,,,6.0,,,69.0,184.0
Jack Cooley,2013,91,Power Forward,2012-2013,Notre Dame,Sr.,F,6-9,35,173.0,1.0,111.0,458.0,13.085714285714284,299.0,57.85953177257525,,2.0,50.0,158.0,70.25316455696202,354.0,10.1,29.0,0.8285714285714286,41.0,1.17,23.0,0.6571428571428571,50.0,,,19.0,,,141.0,213.0
Joel Embiid,2014,1,Center,2013-2014,Kansas,Fr.,C,7-0,28,107.0,1.0,98.0,313.0,11.178571428571429,171.0,62.57309941520468,,5.0,20.0,143.0,68.53146853146853,227.0,8.1,38.0,1.3571428571428572,72.0,2.57,25.0,0.8928571428571429,66.0,,,8.0,,,65.0,162.0
Jabari Parker,2014,2,Small Forward/Power Forward,2013-2014,Duke,Fr.,F,6-8,35,236.0,38.0,160.0,670.0,19.1,500.0,47.2,,106.0,35.84905660377358,214.0,74.76635514018692,306.0,8.7,41.0,1.1714285714285717,43.0,1.23,37.0,1.0571428571428572,81.0,,,14.0,,,105.0,201.0
Andrew Wiggins,2014,3,Small Forward,2013-2014,Kansas,Fr.,G,6-8,35,189.0,43.0,176.0,597.0,17.1,422.0,44.8,,126.0,34.12698412698413,227.0,77.5,205.0,5.857142857142857,54.0,1.542857142857143,34.0,0.9714285714285714,41.0,1.1714285714285717,80.0,,,,,,76.0,129.0
Marcus Smart,2014,4,Point Guard,2013-2014,Oklahoma St.,So.,G,6-4,31,163.0,49.0,182.0,557.0,18.0,386.0,42.2,,164.0,29.87804878048781,250.0,72.8,183.0,5.903225806451613,148.0,4.8,18.0,0.5806451612903226,89.0,2.87,82.0,1.8,,,,,44.0,139.0
Julius Randle,2014,6,Power Forward,2013-2014,Kentucky,Fr.,F,6-9,40,196.0,3.0,204.0,599.0,15.0,392.0,50.0,,18.0,16.666666666666668,289.0,70.58823529411765,417.0,10.4,57.0,1.425,31.0,0.775,20.0,0.5,101.0,,,24.0,,,140.0,277.0
Noah Vonleh,2014,7,Power Forward,2013-2014,Indiana,Fr.,F,6-10,30,113.0,16.0,96.0,338.0,11.266666666666667,216.0,52.31481481481482,,33.0,48.48484848484848,134.0,71.64179104477611,269.0,9.0,18.0,0.6,41.0,1.37,26.0,0.8666666666666667,64.0,,,10.0,,,71.0,198.0
Elfrid Payton,2014,9,Point Guard,2013-2014,Louisiana,Jr.,G,6-3,35,237.0,14.0,184.0,672.0,19.2,466.0,50.9,,54.0,25.925925925925927,302.0,60.9271523178808,210.0,6.0,208.0,5.9,21.0,0.6,80.0,2.29,127.0,1.64,1.0,,1258:00,35:56,81.0,129.0
Doug McDermott,2014,10,Small Forward,2013-2014,Creighton,Sr.,F,6-8,35,330.0,96.0,178.0,934.0,26.7,627.0,52.6,2.74,214.0,44.9,206.0,86.4,244.0,7.0,55.0,1.5714285714285714,5.0,0.1428571428571428,8.0,0.2285714285714285,62.0,,,,,,57.0,187.0
Aaron Gordon,2014,11,Power Forward,2013-2014,Arizona,Fr.,F,6-8,38,189.0,16.0,76.0,470.0,12.36842105263158,382.0,49.47643979057592,,45.0,35.55555555555556,180.0,42.22222222222222,303.0,8.0,75.0,1.9736842105263157,39.0,1.0263157894736843,34.0,0.8947368421052632,55.0,,,8.0,,,102.0,201.0
Gary Harris,2014,12,Shooting Guard,2013-2014,Michigan St.,So.,G,6-4,35,195.0,81.0,115.0,586.0,16.7,455.0,42.9,2.31,230.0,35.21739130434783,142.0,81.0,140.0,4.0,94.0,2.6857142857142855,15.0,0.4285714285714285,63.0,1.8,60.0,,,,,,37.0,103.0
Rodney Hood,2014,13,Small Forward,2013-2014,Duke,So.,F,6-8,35,191.0,71.0,109.0,562.0,16.1,412.0,46.4,2.03,169.0,42.01183431952663,135.0,80.7,138.0,3.942857142857143,75.0,2.142857142857143,9.0,0.2571428571428571,25.0,0.7142857142857143,54.0,,,,,,29.0,109.0
Nik Stauskas,2014,14,Shooting Guard,2013-2014,Michigan,So.,G,6-6,36,185.0,92.0,168.0,630.0,17.5,394.0,47.0,2.56,208.0,44.2,204.0,82.4,105.0,2.9166666666666665,118.0,3.2777777777777777,11.0,0.3055555555555556,20.0,0.5555555555555556,67.0,1.76,,,1281:00,35:35,15.0,90.0
Kyle Anderson,2014,17,Small Forward,2013-2014,Delaware,Jr.,G,6-3,35,181.0,85.0,137.0,527.0,15.057142857142855,377.0,48.0106100795756,2.43,226.0,37.610619469026545,186.0,73.65591397849462,315.0,9.0,233.0,6.6571428571428575,27.0,0.7714285714285715,64.0,1.8285714285714283,110.0,,,,,,45.0,270.0
Jordan Clarkson,2014,19,Point Guard/Shooting Guard,2013-2014,Missouri,Jr.,G,6-5,35,209.0,32.0,162.0,612.0,17.5,468.0,44.7,,114.0,28.07017543859649,195.0,83.1,134.0,3.8285714285714287,118.0,3.4,6.0,0.1714285714285714,38.0,1.0857142857142856,93.0,,,,1228:00,35:05,28.0,106.0
Shabazz Napier,2014,20,Point Guard,2013-2014,UConn,Sr.,G,6-1,40,213.0,87.0,207.0,720.0,18.0,496.0,42.9,2.18,215.0,40.46511627906977,238.0,87.0,234.0,5.85,195.0,4.9,13.0,0.325,73.0,1.83,114.0,1.71,1.0,,1404:00,35:06,38.0,196.0
Tyler Ennis,2014,21,Point Guard,2013-2014,Syracuse,Fr.,G,6-2,34,148.0,30.0,114.0,440.0,12.941176470588236,360.0,41.111111111111114,,85.0,35.294117647058826,149.0,76.51006711409396,115.0,3.3823529411764706,188.0,5.5,6.0,0.1764705882352941,72.0,2.12,58.0,3.24,,,1215:00,35:44,27.0,88.0
James Young,2014,22,Shooting Guard,2013-2014,Kentucky,Fr.,G,6-6,40,183.0,82.0,125.0,573.0,14.325,450.0,40.666666666666664,2.05,235.0,34.8936170212766,177.0,70.62146892655367,171.0,4.275,67.0,1.675,8.0,0.2,30.0,0.75,75.0,,,,,,41.0,130.0
Jerami Grant,2014,24,Small Forward,2013-2014,Syracuse,So.,F,6-8,32,133.0,0.0,120.0,386.0,12.0625,268.0,49.62686567164179,,5.0,0.0,178.0,67.41573033707866,217.0,6.8,44.0,1.375,18.0,0.5625,26.0,0.8125,37.0,,,,,,78.0,139.0
Cleanthony Early,2014,25,Small Forward/Power Forward,2013-2014,Wichita St.,Sr.,F,6-8,36,187.0,66.0,151.0,591.0,16.4,385.0,48.6,,176.0,37.5,179.0,84.4,213.0,5.916666666666667,27.0,0.75,28.0,0.7777777777777778,29.0,0.8055555555555556,70.0,,,,,,48.0,165.0
Adreian Payne,2014,27,Power Forward,2013-2014,Michigan St.,Sr.,F,6-10,31,178.0,44.0,109.0,509.0,16.4,354.0,50.3,,104.0,42.30769230769231,138.0,79.0,225.0,7.3,41.0,1.3225806451612905,28.0,0.9032258064516128,15.0,0.4838709677419355,63.0,,,,,,48.0,177.0
Jordan Adams,2014,28,Shooting Guard,2013-2014,UCLA,So.,G,6-5,36,208.0,52.0,158.0,626.0,17.4,429.0,48.5,,10.0,520.0,189.0,83.6,7.0,0.1944444444444444,4.0,0.1111111111111111,0.0,0.0,95.0,2.64,5.0,,,,,,1.0,6.0
Jarnell Stokes,2014,33,Power Forward,2013-2014,Tennessee,Jr.,F,6-8,37,199.0,0.0,160.0,558.0,15.1,375.0,53.1,,0.0,,230.0,69.56521739130434,392.0,10.6,75.0,2.027027027027027,34.0,0.918918918918919,26.0,0.7027027027027027,77.0,,,22.0,,,155.0,237.0
Markel Brown,2014,35,Shooting Guard,2013-2014,Oklahoma St.,Sr.,G,6-3,34,190.0,55.0,149.0,584.0,17.2,402.0,47.3,,145.0,37.93103448275862,194.0,76.80412371134021,179.0,5.264705882352941,99.0,2.911764705882353,35.0,1.0294117647058822,34.0,1.0,55.0,,,,1201:00,35:19,36.0,143.0
Nick Johnson,2014,39,Shooting Guard,2013-2014,Arizona,Jr.,G,6-3,38,205.0,62.0,146.0,618.0,16.3,474.0,43.2,,169.0,36.68639053254438,187.0,78.1,154.0,4.052631578947368,107.0,2.8157894736842106,25.0,0.6578947368421053,43.0,1.131578947368421,64.0,,,,,,31.0,123.0
Dwight Powell,2014,40,Power Forward,2013-2014,Stanford,Sr.,F,6-10,36,175.0,10.0,145.0,505.0,14.02777777777778,379.0,46.17414248021108,,39.0,25.64102564102564,211.0,68.72037914691943,247.0,6.9,112.0,3.111111111111111,30.0,0.8333333333333334,47.0,1.3055555555555556,104.0,,,,,,70.0,177.0
Semaj Christon,2014,42,Point Guard,2013-2014,Xavier,So.,G,6-3,34,201.0,19.0,157.0,578.0,17.0,420.0,47.9,,49.0,38.775510204081634,235.0,66.80851063829788,91.0,2.676470588235294,142.0,4.2,8.0,0.2352941176470588,45.0,1.32,89.0,1.6,,,1200:00,35:17,15.0,76.0
Jabari Brown,2014,46,Shooting Guard,2013-2014,Missouri,Jr.,G,6-5,35,203.0,80.0,212.0,698.0,19.9,435.0,46.7,2.29,195.0,41.02564102564103,266.0,79.7,155.0,4.428571428571429,67.0,1.9142857142857144,5.0,0.1428571428571428,22.0,0.6285714285714286,82.0,,,,1295:00,37:00,17.0,138.0
Cameron Bairstow,2014,48,Power Forward,2013-2014,New Mexico,Sr.,F,6-9,34,237.0,1.0,219.0,694.0,20.4,426.0,55.6,,3.0,33.333333333333336,298.0,73.48993288590604,251.0,7.4,53.0,1.5588235294117647,51.0,1.5,19.0,0.5588235294117647,68.0,,,8.0,,,76.0,175.0
Cory Jefferson,2014,51,Power Forward,2013-2014,Baylor,Sr.,F,6-9,38,184.0,14.0,137.0,519.0,13.657894736842104,368.0,50.0,,38.0,36.8421052631579,214.0,64.01869158878505,312.0,8.2,37.0,0.9736842105263158,49.0,1.29,15.0,0.3947368421052631,51.0,,,14.0,,,107.0,205.0
Andre Dawkins,2014,64,Shooting Guard,2013-2014,Duke,---,G,6-5,33,84.0,64.0,30.0,262.0,7.9393939393939394,189.0,44.44444444444444,1.94,152.0,42.10526315789474,37.0,81.08108108108108,43.0,1.303030303030303,12.0,0.3636363636363636,5.0,0.1515151515151515,15.0,0.4545454545454545,18.0,,,,,,6.0,37.0
Sean Kilpatrick,2014,66,Shooting Guard,2013-2014,Cincinnati,Sr.,G,6-4,34,214.0,93.0,180.0,701.0,20.6,506.0,42.3,2.74,267.0,34.8,213.0,84.5,146.0,4.294117647058823,86.0,2.5294117647058822,1.0,0.0294117647058823,48.0,1.41,70.0,,,,,,36.0,110.0
Keith Appling,2014,70,Point Guard/Shooting Guard,2013-2014,Michigan St.,Sr.,G,6-1,35,132.0,34.0,93.0,391.0,11.17142857142857,292.0,45.2054794520548,,94.0,36.17021276595744,141.0,65.95744680851064,106.0,3.0285714285714285,156.0,4.5,14.0,0.4,41.0,1.1714285714285717,74.0,2.11,,,,,13.0,93.0
Russ Smith,2014,79,Point Guard/Shooting Guard,2013-2014,Louisville,Sr.,G,6-0,37,225.0,70.0,153.0,673.0,18.2,481.0,46.8,,181.0,38.67403314917127,217.0,70.50691244239631,122.0,3.297297297297298,172.0,4.6,4.0,0.1081081081081081,74.0,2.0,105.0,1.64,,,,,29.0,93.0
Eric Moreland,2014,80,Power Forward/Center,2013-2014,Oregon St.,Jr.,F,6-10,20,66.0,1.0,45.0,178.0,8.9,130.0,50.76923076923077,,2.0,50.0,81.0,55.55555555555556,205.0,10.25,28.0,1.4,39.0,1.95,13.0,0.65,45.0,,,,,,46.0,159.0
Jordan McRae,2014,82,Shooting Guard,2013-2014,Tennessee,Sr.,G,6-6,37,223.0,79.0,167.0,692.0,18.7,512.0,43.6,2.14,225.0,35.111111111111114,212.0,78.8,128.0,3.4594594594594597,91.0,2.4594594594594597,38.0,1.027027027027027,25.0,0.6756756756756757,77.0,,,,,,26.0,102.0
Lamar Patterson,2014,84,Shooting Guard/Small Forward,2013-2014,Pittsburgh,Sr.,F,6-5,36,202.0,80.0,132.0,616.0,17.1,458.0,44.1,2.22,206.0,38.83495145631068,175.0,75.42857142857143,175.0,4.861111111111111,154.0,4.3,12.0,0.3333333333333333,51.0,1.42,93.0,1.66,,,,,35.0,140.0
Jerrelle Benimon,2014,86,Power Forward,2013-2014,Towson,Sr.,F,6-8,36,225.0,14.0,209.0,673.0,18.7,425.0,52.9,,44.0,31.818181818181817,293.0,71.33105802047781,404.0,11.2,130.0,3.6,44.0,1.22,25.0,0.6944444444444444,124.0,,1.0,21.0,1307:00,36:18,84.0,320.0
Sim Bhullar,2014,94,Center,2013-2014,New Mexico St.,So.,C,7-5,30,125.0,0.0,63.0,313.0,10.433333333333334,193.0,64.76683937823834,,0.0,,117.0,53.84615384615385,235.0,7.8,42.0,1.4,101.0,3.37,3.0,0.1,63.0,,,8.0,,,80.0,155.0
Bryce Cotton,2014,98,Point Guard,2013-2014,Providence,Sr.,G,6-1,35,230.0,77.0,226.0,763.0,21.8,549.0,41.9,2.2,210.0,36.666666666666664,265.0,85.3,124.0,3.5428571428571427,205.0,5.9,3.0,0.0857142857142857,35.0,1.0,85.0,2.41,,,1398:00,39:56,19.0,105.0
Alex Kirk,2014,99,Center,2013-2014,New Mexico,Jr.,C,7-0,32,165.0,12.0,82.0,424.0,13.25,337.0,49.0,,56.0,21.428571428571427,123.0,66.66666666666667,277.0,8.7,35.0,1.09375,85.0,2.66,12.0,0.375,57.0,,,14.0,,,73.0,204.0
Karl-Anthony Towns,2015,1,Center,2014-2015,Kentucky,Fr.,F,6-11,39,145.0,2.0,109.0,401.0,10.282051282051285,256.0,56.640625,,8.0,25.0,134.0,81.3,261.0,6.7,44.0,1.1282051282051282,88.0,2.26,18.0,0.4615384615384615,53.0,,,8.0,,,92.0,169.0
D'Angelo Russell,2015,3,Point Guard/Shooting Guard,2014-2015,Ohio St.,Fr.,G,6-5,35,231.0,95.0,118.0,675.0,19.3,515.0,44.9,2.71,231.0,41.1,156.0,75.64102564102564,198.0,4.66,175.0,5.0,11.0,0.3142857142857143,55.0,1.57,102.0,1.72,1.0,4.0,1188:00,33:56,35.0,163.0
Jahlil Okafor,2015,4,Center,2014-2015,Duke,Fr.,C,6-11,38,279.0,0.0,99.0,657.0,17.3,420.0,66.4,,0.0,,194.0,51.03092783505155,322.0,8.5,49.0,1.2894736842105263,54.0,1.42,29.0,0.7631578947368421,95.0,,,11.0,1143:00,,134.0,188.0
Justise Winslow,2015,6,Shooting Guard/Small Forward,2014-2015,Duke,Fr.,F,6-6,39,173.0,46.0,100.0,492.0,12.615384615384617,356.0,48.59550561797753,,110.0,41.81818181818182,156.0,64.1025641025641,252.0,6.5,82.0,2.102564102564102,34.0,0.8717948717948718,52.0,1.3333333333333333,71.0,,,7.0,1135:00,,49.0,203.0
Stanley Johnson,2015,8,Small Forward,2014-2015,Arizona,Fr.,F,6-6,38,174.0,43.0,132.0,523.0,13.763157894736842,390.0,44.61538461538461,,116.0,37.06896551724138,178.0,74.15730337078652,247.0,6.5,63.0,1.6578947368421053,15.0,0.3947368421052631,57.0,1.5,82.0,,,,1081:00,,75.0,172.0
Cameron Payne,2015,10,Point Guard,2014-2015,Murray St.,So.,G,6-2,35,245.0,84.0,133.0,707.0,20.2,537.0,45.6,2.4,223.0,37.66816143497758,169.0,78.7,129.0,3.6857142857142855,209.0,6.0,17.0,0.4857142857142857,68.0,1.94,87.0,2.4,,,1127:00,,21.0,108.0
Myles Turner,2015,11,Center,2014-2015,Texas,Fr.,F,6-11,34,117.0,17.0,94.0,345.0,10.147058823529411,257.0,45.525291828793776,,62.0,27.419354838709676,112.0,83.9,222.0,6.5,20.0,0.5882352941176471,89.0,2.62,10.0,0.2941176470588235,47.0,,,4.0,,,44.0,178.0
Sam Dekker,2015,13,Small Forward,2014-2015,Wisconsin,Jr.,F,6-9,40,213.0,50.0,80.0,556.0,13.9,406.0,52.5,,151.0,33.11258278145695,113.0,70.79646017699115,220.0,5.5,49.0,1.225,18.0,0.45,21.0,0.525,36.0,,,,1239:00,,77.0,143.0
Willie Cauley-Stein,2015,14,Center,2014-2015,Kentucky,Jr.,F,7-0,39,135.0,0.0,79.0,349.0,8.948717948717949,236.0,57.20338983050848,,0.0,,128.0,61.71875,251.0,6.4,38.0,0.9743589743589745,67.0,1.72,47.0,1.205128205128205,48.0,,,,,,89.0,162.0
Bobby Portis,2015,15,Power Forward,2014-2015,Arkansas,So.,F,6-10,36,250.0,14.0,115.0,629.0,17.5,466.0,53.6,,30.0,46.666666666666664,156.0,73.71794871794872,321.0,8.9,42.0,1.1666666666666667,50.0,1.39,39.0,1.0833333333333333,56.0,,,14.0,,,133.0,188.0
Terry Rozier,2015,17,Point Guard,2014-2015,Louisville,So.,G,6-1,36,214.0,48.0,139.0,615.0,17.1,521.0,41.1,,157.0,30.573248407643312,176.0,79.0,200.0,5.555555555555555,108.0,3.0,6.0,0.1666666666666666,72.0,2.0,79.0,,,,1260:00,35:00,43.0,157.0
Montrezl Harrell,2015,18,Power Forward,2014-2015,Louisville,Jr.,F,6-8,35,213.0,9.0,114.0,549.0,15.7,376.0,56.6,,37.0,24.324324324324323,191.0,59.68586387434555,321.0,9.2,49.0,1.4,42.0,1.2,33.0,0.9428571428571428,69.0,,,13.0,1229:00,35:06,111.0,210.0
