 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/04/2011


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"1","Jimmer Fredette","BYU","Sr.","6-2","G","37","346","124","252","1068","28.9"
"2","Marshon Brooks","Providence","Sr.","6-5","F","32","276","67","169","788","24.6"
"3","Adrian Oliver","San Jose St.","Sr.","6-4","G","31","246","70","181","743","24.0"
"4","Andrew Goudelock","Col. of Charleston","Sr.","6-2","G","37","318","131","110","877","23.7"
"5","Kemba Walker","UConn","Jr.","6-1","G","41","316","75","258","965","23.5"
"6","Charles Jenkins","Hofstra","Sr.","6-3","G","33","249","66","182","746","22.6"
"7","Xavier Silas","NIU","Sr.","6-5","G","26","178","52","171","579","22.3"
"8","Anatoly Bose","Nicholls","Sr.","6-6","F","28","178","67","195","618","22.1"
"9","C.J. McCollum","Lehigh","So.","6-3","G","31","214","52","197","677","21.8"
"10","Norris Cole","Cleveland St.","Sr.","6-2","G","36","251","51","227","780","21.7"
"11","Klay Thompson","Washington St.","Jr.","6-6","G","34","240","98","155","733","21.6"
"12","Devon Beitzel","Northern Colo.","Sr.","6-0","G","32","201","87","198","687","21.5"
"13","Orlando Johnson","UC Santa Barbara","Jr.","6-5","G","32","222","66","164","674","21.1"
"14","Donald Sims","App State","Sr.","6-1","G","31","198","78","178","652","21.0"
"15","Andrew Nicholson","St. Bonaventure","Jr.","6-9","F","31","237","6","165","645","20.8"
"16","Nolan Smith","Duke","Sr.","6-2","G","37","260","57","187","764","20.6"
"17","JaJuan Johnson","Purdue","Sr.","6-10","F","34","257","15","169","698","20.5"
"18","Alec Burks","Colorado","So.","6-6","G","38","251","28","249","779","20.5"
"19","Vlad Moldoveanu","American","Sr.","6-9","F","30","197","60","159","613","20.4"
"20","Talor Battle","Penn St.","Sr.","6-0","G","34","225","106","131","687","20.2"
"21","Jacob Pullen","Kansas St.","Sr.","6-0","G","31","191","74","170","626","20.2"
"22","Kevin Foster","Santa Clara","So.","6-2","G","38","229","140","168","766","20.2"
"23","Noah Dahlman","Wofford","Sr.","6-6","F","34","255","0","172","682","20.1"
"24","Justin Hurtt","Tulsa","Sr.","6-4","G","32","206","86","142","640","20.0"
"","Cameron Jones","Northern Ariz.","Sr.","6-3","G","32","249","36","106","640","20.0"
"26","Brandon Bowdry","Eastern Mich.","Sr.","6-6","F","30","205","28","160","598","19.9"
"27","Tu Holloway","Xavier","Jr.","6-0","G","32","168","60","235","631","19.7"
"28","Alex Young","IU Indy","Jr.","6-6","F","33","244","40","121","649","19.7"
"29","Ken Horton","Central Conn. St.","Jr.","6-6","F","31","214","59","119","606","19.5"
"30","Derrick Williams","Arizona","So.","6-8","F","38","226","42","247","741","19.5"
"","John Jenkins","Vanderbilt","So.","6-3","G","32","190","100","144","624","19.5"
"","LaceDarius Dunn","Baylor","Sr.","6-4","G","28","169","89","119","546","19.5"
"33","Nate Wolters","South Dakota St.","So.","6-3","G","31","201","42","160","604","19.5"
"34","Gilberto Clavell","Sam Houston","Sr.","6-7","F","31","213","2","175","603","19.5"
"","Dominique Morrison","Oral Roberts","Jr.","6-6","F","31","207","40","149","603","19.5"
"36","Randy Culpepper","UTEP","Sr.","6-0","G","35","227","66","154","674","19.3"
"37","John Holland","Boston U.","Sr.","6-5","G","34","203","76","172","654","19.2"
"38","Chris Warren","Ole Miss","Sr.","5-10","G","34","193","95","168","649","19.1"
"39","Troy Gillenwater","New Mexico St.","Jr.","6-8","F","27","173","37","128","511","18.9"
"40","Andrew Warren","Bradley","Sr.","6-6","G","32","196","76","134","602","18.8"
"41","Gary Flowers","Southern Miss.","Sr.","6-8","F","31","219","50","94","582","18.8"
"42","Ryan Rossiter","Siena","Sr.","6-9","F","31","206","3","166","581","18.7"
"43","Malcolm Delaney","Virginia Tech","Sr.","6-3","G","34","186","84","181","637","18.7"
"44","Anthony Gurley","Massachusetts","Sr.","6-3","G","30","193","60","114","560","18.7"
"45","Jordan Hamilton","Texas","So.","6-7","G","36","243","90","95","671","18.6"
"46","Desmond Holloway","Coastal Carolina","Jr.","6-3","G","26","162","24","132","480","18.5"
"47","Mike Glover","Iona","Jr.","6-7","F","37","260","0","162","682","18.4"
"48","Ben Hansbrough","Notre Dame","Sr.","6-3","G","34","194","87","150","625","18.4"
"49","Austin Kenon","VMI","Sr.","5-11","G","28","151","93","119","514","18.4"
"50","Leroy Nobles","IU Indy","Sr.","6-5","G","32","180","65","161","586","18.3"
"51","Dwight Hardy","St. John's (NY)","Sr.","6-2","G","33","194","62","153","603","18.3"
"52","Jon Leuer","Wisconsin","Sr.","6-10","F","34","227","54","113","621","18.3"
"53","Markeith Cummings","Kennesaw St.","So.","6-7","G","31","198","12","158","566","18.3"
"54","Papa Dia","SMU","Sr.","6-9","F","35","243","13","140","639","18.3"
"55","Antwan Carter","Longwood","Jr.","6-6","C","31","237","9","82","565","18.2"
"56","Reggie Jackson","Boston College","Jr.","6-3","G","34","219","71","109","618","18.2"
"57","Jordan Taylor","Wisconsin","Jr.","6-1","G","34","194","75","154","617","18.1"
"58","Jovonni Shuler","Savannah St.","Sr.","6-4","G","30","173","77","120","543","18.1"
"59","E'Twaun Moore","Purdue","Sr.","6-4","G","34","221","70","100","612","18.0"
"60","Vaughn Duggins","Wright St.","Sr.","6-3","G","33","202","37","152","593","18.0"
"","Tristan Thompson","North Texas","Sr.","6-5","G","33","158","66","211","593","18.0"
"62","Keith Benson","Oakland","Sr.","6-11","C","35","231","9","157","628","17.9"
"63","Mike Smith","ETSU","Sr.","6-6","G","35","222","47","135","626","17.9"
"64","Justin Harper","Richmond","Sr.","6-10","F","37","245","77","94","661","17.9"
"65","Jamarr Sanders","UAB","Sr.","6-4","G","31","197","90","67","551","17.8"
"66","Will Pratt","Northwestern St.","Sr.","6-5","F","32","193","21","161","568","17.8"
"67","Adnan Hodzic","Lipscomb","Sr.","6-8","F","30","206","1","119","532","17.7"
"68","Nick Barbour","High Point","Jr.","6-3","G","29","160","68","126","514","17.7"
"69","Chad Tomko","UNCW","Sr.","5-11","G","31","190","80","87","547","17.6"
"70","Austin Freeman","Georgetown","Sr.","6-4","G","32","204","62","94","564","17.6"
"71","Denzel Bowles","James Madison","Sr.","6-10","F","33","226","0","129","581","17.6"
"72","Reggie Hamilton","Oakland","Sr.","5-11","G","35","207","82","120","616","17.6"
"73","Jamarco Warren","Charleston So.","Sr.","5-10","G","32","180","80","123","563","17.6"
"74","Jay Couisnard","Kansas City","Sr.","6-6","F","29","171","45","123","510","17.6"
"75","Ravern Johnson","Mississippi St.","Sr.","6-7","G","28","162","83","85","492","17.6"
"76","Delroy James","Rhode Island","Sr.","6-8","F","34","213","32","137","595","17.5"
"77","Darrion Pellum","Hampton","Jr.","6-6","G","32","188","73","110","559","17.5"
"78","Isiah Williams","Utah Valley","Jr.","6-1","G","30","169","82","101","521","17.4"
"79","Carl Montgomery","Chicago St.","Sr.","6-7","F","32","209","3","134","555","17.3"
"80","Iman Shumpert","Georgia Tech","Jr.","6-5","G","31","177","42","141","537","17.3"
"81","Brandon Knight","Kentucky","Fr.","6-3","G","38","217","87","136","657","17.3"
"82","Kenneth Faried","Morehead St.","Sr.","6-8","C","35","233","0","139","605","17.3"
"83","Diante Garrett","Iowa St.","Sr.","6-4","G","32","214","59","66","553","17.3"
"84","Cameron Wells","The Citadel","Sr.","6-1","G","32","197","19","139","552","17.3"
"85","Marcus Morris","Kansas","Jr.","6-9","F","38","240","26","148","654","17.2"
"86","Casper Ware","Long Beach St.","Jr.","5-9","G","34","172","75","166","585","17.2"
"87","Drew Viney","LMU (CA)","Jr.","6-5","F","27","167","38","92","464","17.2"
"88","Shane Gibson","Sacred Heart","So.","6-2","G","29","173","75","77","498","17.2"
"89","Jared Sullinger","Ohio St.","Fr.","6-9","C","37","222","3","188","635","17.2"
"90","Andy Ogide","Colorado St.","Sr.","6-9","F","32","215","9","110","549","17.2"
"91","Will Clyburn","Utah","Jr.","6-7","F","30","163","62","126","514","17.1"
"92","Nikola Vucevic","Southern California","Jr.","6-10","F","34","215","29","123","582","17.1"
"93","TyShwan Edmondson","Austin Peay","Jr.","6-3","G","33","206","72","79","563","17.1"
"94","Matt Lander","Western Ill.","Sr.","6-4","G","30","153","41","164","511","17.0"
"95","Carl Jones","Saint Joseph's","So.","5-11","G","32","163","54","165","545","17.0"
"96","Kalin Lucas","Michigan St.","Sr.","6-1","G","34","194","53","137","578","17.0"
"","Darren Moore","UC Irvine","Sr.","6-3","G","32","169","42","164","544","17.0"
"","Thomas Coleman","N.C. A&T","Sr.","6-9","C","31","200","0","127","527","17.0"
"99","Devin Gibson","UTSA","Sr.","6-1","G","34","159","27","232","577","17.0"
"100","Kevin Murphy","Tennessee Tech","Jr.","6-6","F","33","202","37","119","560","17.0"
"101","Scotty Hopson","Tennessee","Jr.","6-7","G","32","188","53","114","543","17.0"
"102","Kendall Timmons","Tulane","So.","6-5","G","30","176","22","135","509","17.0"
"103","Tyler Murray","Wagner","Jr.","6-5","G","30","157","59","135","508","16.9"
"104","Kyle Singler","Duke","Sr.","6-8","F","37","219","62","125","625","16.9"
"105","Marcus Denmon","Missouri","Jr.","6-3","G","34","199","82","94","574","16.9"
"106","Jordan Williams","Maryland","So.","6-10","C","33","213","0","131","557","16.9"
"107","Ashton Gibbs","Pittsburgh","Jr.","6-2","G","31","170","102","80","522","16.8"
"","Stan Okoye","VMI","So.","6-6","F","31","193","34","102","522","16.8"
"109","Hillary Haley","UMES","Jr.","6-6","G","31","171","50","129","521","16.8"
"110","Noruwa Agho","Columbia","Jr.","6-3","G","28","166","41","97","470","16.8"
"111","Isaiah Thomas","Washington","Jr.","5-9","G","35","188","60","151","587","16.8"
"112","Jeremy Green","Stanford","Jr.","6-4","G","31","173","88","85","519","16.7"
"113","Chaisson Allen","Northeastern","Sr.","6-4","G","29","156","62","110","484","16.7"
"114","Tim Ambrose","UAlbany","Sr.","6-0","G","32","192","62","85","531","16.6"
"","John Shurna","Northwestern","Jr.","6-9","F","32","176","75","104","531","16.6"
"116","Solomon Bozeman","Little Rock","Sr.","6-0","G","36","153","65","226","597","16.6"
"117","Kevin Anderson","Richmond","Sr.","6-0","G","37","211","71","120","613","16.6"
"118","Josh Slater","Lipscomb","Sr.","6-3","G","30","151","34","160","496","16.5"
"119","Kyle O'Quinn","Norfolk St.","Jr.","6-10","F","32","198","15","115","526","16.4"
"120","Howard Thompkins III","Georgia","Jr.","6-10","F","30","194","23","82","493","16.4"
"121","Matt Howard","Butler","Sr.","6-8","F","37","188","53","179","608","16.4"
