 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/02/2018


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"141","Jordan Barnes","Indiana St.","So.","5-11","G","31","168","117","87","540","17.4"
"142","Robert Franks","Washington St.","Jr.","6-9","F","30","175","66","105","521","17.4"
"143","Brandon Anderson","Brown","So.","6-1","G","27","133","33","169","468","17.3"
"","Desmond Cambridge Jr.","Brown","Fr.","6-4","G","27","160","68","80","468","17.3"
"145","Monty Scott","Kennesaw St.","So.","6-5","G","29","188","54","72","502","17.3"
"146","Devonte' Graham","Kansas","Sr.","6-2","G","39","199","110","167","675","17.3"
"147","Otis Livingston II","George Mason","Jr.","5-11","G","33","193","65","120","571","17.3"
"","Dylan Windler","Belmont","Jr.","6-8","F","33","204","69","94","571","17.3"
"149","Jevon Carter","West Virginia","Sr.","6-2","G","37","215","77","133","640","17.3"
"150","Blake Francis","Wagner","So.","6-0","G","32","182","102","87","553","17.3"
"151","Raiquan Clark","LIU","Jr.","6-4","G","35","207","7","183","604","17.3"
"152","James Palmer","Nebraska","Jr.","6-6","G","33","181","43","163","568","17.2"
"153","Xavier Cooks","Winthrop","Sr.","6-8","F","30","194","21","107","516","17.2"
"154","Ahmaad Rorie","Montana","Jr.","6-1","G","34","206","59","113","584","17.2"
"155","Keith Braxton","Saint Francis","So.","6-5","G","31","180","40","132","532","17.2"
"156","Jace Hogan","Jacksonville","Jr.","6-6","F","27","194","3","72","463","17.1"
"157","Joel Berry II","North Carolina","Sr.","6-0","G","36","208","93","108","617","17.1"
"158","Miles Bridges","Michigan St.","So.","6-7","F","34","209","71","93","582","17.1"
"159","Deven Simms","Arkansas St.","Sr.","6-4","G","24","146","30","88","410","17.1"
"160","Brian Parker","Marist","Jr.","6-3","G","30","165","29","153","512","17.1"
"161","Jermaine Crumpton","Canisius","Sr.","6-6","F","33","205","47","106","563","17.1"
"162","Drew McDonald","Northern Ky.","Jr.","6-8","C","32","196","55","97","544","17.0"
"163","CJ Massinburg","Buffalo","Jr.","6-3","G","36","196","89","130","611","17.0"
"164","Marcus Barham","Florida A&M","Sr.","6-4","G","31","169","85","103","526","17.0"
"","Brayon Blake","Idaho","Sr.","6-7","F","31","202","52","70","526","17.0"
"166","Brandon McCoy","UNLV","Fr.","7-0","F","33","208","3","140","559","16.9"
"167","Aaron Calixte","Maine","Jr.","5-11","G","32","187","61","107","542","16.9"
"","Chris Cokley","UAB","Sr.","6-8","F","32","219","0","104","542","16.9"
"","Jeff Roberson","Vanderbilt","Sr.","6-6","F","32","164","62","152","542","16.9"
"170","Jordon Talley","UNCW","Sr.","6-1","G","31","179","75","91","524","16.9"
"171","James Demery","Saint Joseph's","Sr.","6-6","F","30","195","22","95","507","16.9"
"","Pookie Powell","La Salle","Jr.","6-0","G","30","178","56","95","507","16.9"
"173","Luke Maye","North Carolina","Jr.","6-7","F","37","251","50","73","625","16.9"
"174","Isaiah Reese","Canisius","So.","6-5","G","33","200","83","74","557","16.9"
"175","Bryant Crawford","Wake Forest","Jr.","6-3","G","31","164","57","138","523","16.9"
"176","Elijah Minnie","Eastern Mich.","Jr.","6-9","F","35","210","78","91","589","16.8"
"177","Jared Terrell","Rhode Island","Sr.","6-3","G","34","191","75","115","572","16.8"
"178","Amanze Egekeze","Belmont","Sr.","6-8","F","33","185","96","89","555","16.8"
"179","Jordan Murphy","Minnesota","Jr.","6-6","F","32","202","11","123","538","16.8"
"180","Max Strus","DePaul","Jr.","6-6","G","31","171","81","98","521","16.8"
"181","Divine Myles","Stetson","Sr.","5-11","G","31","190","34","106","520","16.8"
"182","Daryl Macon","Arkansas","Sr.","6-3","G","35","174","85","154","587","16.8"
"183","MaCio Teague","UNC Asheville","So.","6-4","G","34","181","97","110","569","16.7"
"184","Erick Neal","UT Arlington","Sr.","5-11","G","33","188","93","83","552","16.7"
"185","Daniel Utomi","Akron","So.","6-6","F","32","175","88","97","535","16.7"
"186","Tyler Kohl","Central Conn. St.","Jr.","6-5","F","31","180","43","115","518","16.7"
"","Lindell Wigginton","Iowa St.","Fr.","6-2","G","31","171","69","107","518","16.7"
"188","Tavrion Dawson","CSUN","Sr.","6-8","F","30","195","27","84","501","16.7"
"189","Devin Cannady","Princeton","Jr.","6-1","G","29","164","80","76","484","16.7"
"190","Stone Gettings","Cornell","Jr.","6-9","F","28","165","43","94","467","16.7"
"191","Nate Mason","Minnesota","Sr.","6-2","G","31","168","77","104","517","16.7"
"","Ivy Smith.Jr","Grambling","So.","6-0","G","31","149","25","194","517","16.7"
"193","Cortez Edwards","Southern Miss.","Jr.","6-2","G","34","221","25","99","566","16.6"
"194","Jaylin Walker","Kent St.","Jr.","6-1","G","31","171","84","89","515","16.6"
"195","Geno Crandall","North Dakota","Jr.","6-3","G","32","179","50","123","531","16.6"
"","Milik Yarbrough","Illinois St.","Jr.","6-6","F","32","172","31","156","531","16.6"
"197","Shannon Evans II","Arizona St.","Sr.","6-1","G","32","156","95","122","529","16.5"
"198","Juwan Morgan","Indiana","Jr.","6-7","F","31","195","16","106","512","16.5"
"199","Ahmad Thomas","UNC Asheville","Sr.","6-3","G","32","220","17","71","528","16.5"
"200","Matt Klinewski","Lafayette","Sr.","6-8","F","31","177","51","105","510","16.5"
"201","Mustapha Heron","Auburn","So.","6-5","G","32","172","43","139","526","16.4"
"202","Jahaad Proctor","High Point","So.","6-3","G","25","143","55","69","410","16.4"
"203","Brian Beard Jr.","FIU","Jr.","5-10","G","31","167","36","138","508","16.4"
"204","Femi Olujobi","N.C. A&T","Jr.","6-8","F","32","185","18","135","523","16.3"
"205","Sam Merrill","Utah St.","So.","6-5","G","34","192","98","73","555","16.3"
"206","Jordan Davis","Northern Colo.","Jr.","6-2","G","38","236","16","132","620","16.3"
"207","Yuta Watanabe","George Washington","Sr.","6-9","G","33","193","56","96","538","16.3"
"208","Matt Farrell","Notre Dame","Sr.","6-0","G","31","168","98","71","505","16.3"
"209","Kassius Robertson","Missouri","Sr.","6-3","G","33","158","105","116","537","16.3"
"210","Travin Thibodeaux","New Orleans","Sr.","6-9","F","26","160","16","87","423","16.3"
"211","Jaelan Sanford","Toledo","Jr.","6-4","G","34","186","71","110","553","16.3"
"212","Manu Lecomte","Baylor","Sr.","5-11","G","33","162","91","121","536","16.2"
"","Jared Sam","Southern U.","Sr.","6-10","F","33","177","1","181","536","16.2"
"214","Nick Perkins","Buffalo","Jr.","6-8","F","36","211","36","126","584","16.2"
"215","David Caraher","Houston Christian","Fr.","6-6","F","29","162","56","89","469","16.2"
"","Jalen Henry","SIUE","Sr.","6-8","F","29","157","37","118","469","16.2"
"217","Dean Wade","Kansas St.","Jr.","6-10","F","33","198","40","97","533","16.2"
"218","David Jenkins Jr.","South Dakota St.","Fr.","6-1","G","35","183","84","115","565","16.1"
"219","Dimencio Vaughn","Rider","Fr.","6-5","F","29","164","27","113","468","16.1"
"220","Zach Johnson","FGCU","Jr.","6-2","G","35","203","69","89","564","16.1"
"221","Joe Rosga","Denver","Jr.","6-3","G","30","155","73","100","483","16.1"
"222","Prentiss Nixon","Colorado St.","Jr.","6-1","G","27","133","66","102","434","16.1"
"223","Isaiah Bailey","Bethune-Cookman","Jr.","6-6","F","31","149","28","172","498","16.1"
"224","Al Freeman","NC State","Sr.","6-3","G","33","164","70","132","530","16.1"
"225","Matthew Butler","UT Martin","Sr.","6-2","G","31","180","90","47","497","16.0"
"226","Jaylen Nowell","Washington","Fr.","6-4","G","34","203","39","100","545","16.0"
"227","Seth Towns","Harvard","So.","6-9","F","30","161","63","95","480","16.0"
"228","Barry Brown","Kansas St.","Jr.","6-3","G","37","203","42","142","590","15.9"
"229","Rob Marberry","Lipscomb","Jr.","6-7","F","33","218","0","90","526","15.9"
"230","Travis Munnings","ULM","Jr.","6-6","F","32","185","70","70","510","15.9"
"231","Kobe Webster","Western Ill.","Fr.","6-0","G","28","165","59","57","446","15.9"
"232","Tremont Waters","LSU","Fr.","5-11","G","33","168","72","117","525","15.9"
"233","Melvin Frazier","Tulane","Jr.","6-6","G","30","179","35","84","477","15.9"
"234","Zachary Hamilton","Prairie View","Sr.","6-4","F","34","181","89","89","540","15.9"
"235","Bryce Brown","Auburn","Jr.","6-3","G","33","169","107","79","524","15.9"
"236","Justin Turner","Bowling Green","Fr.","6-4","-","31","169","50","104","492","15.9"
"237","Eli Pemberton","Hofstra","So.","6-5","G","30","145","54","132","476","15.9"
"238","Marcus Derrickson","Georgetown","Jr.","6-7","F","29","150","47","113","460","15.9"
"239","Nick Masterson","Kennesaw St.","Sr.","6-6","G","30","167","73","67","474","15.8"
"","Tevon Saddler","Nicholls","Sr.","6-6","G","30","162","19","131","474","15.8"
"241","Michael Oguine","Montana","Jr.","6-2","G","34","177","46","137","537","15.8"
"242","Stephen Thompson Jr.","Oregon St.","Jr.","6-4","G","32","187","64","67","505","15.8"
"243","Malachi Flynn","Washington St.","So.","6-1","G","31","162","77","88","489","15.8"
"244","Andre Walker","Loyola Maryland","Sr.","6-0","G","29","168","66","55","457","15.8"
"245","Anthony Cowan","Maryland","So.","6-0","G","32","144","54","162","504","15.8"
"246","Marcquise Reed","Clemson","Jr.","6-3","G","35","182","67","120","551","15.7"
"247","Averyl Ugba","Austin Peay","Sr.","-","F","34","202","16","114","534","15.7"
"248","Andre Fox","High Point","Jr.","6-4","G","29","150","55","100","455","15.7"
"249","Chimezie Metu","Southern California","Jr.","6-11","F","34","205","12","111","533","15.7"
"250","Justin Johnson","Western Ky.","Sr.","6-7","F","38","239","47","70","595","15.7"

NCAA Men's Basketball
Division IField-Goal Percentage
Through Games 04/02/2018

Min. 5 made per game
       
"Rank","Name","Team","Cl","Ht","Pos","G","FGM","FGA","FG%"
"1","Udoka Azubuike","Kansas","So.","7-0","C","36","211","274","77.0"
"2","James Thompson IV","Eastern Mich.","Jr.","6-10","C","35","201","299","67.2"
"3","Raasean Davis","N.C. Central","Jr.","6-9","C","35","233","347","67.1"
"4","Jehyve Floyd","Holy Cross","Jr.","6-8","F","31","165","247","66.8"
"5","Josh Cunningham","Dayton","Jr.","6-8","F","31","186","288","64.6"
"6","Jock Landale","Saint Mary's (CA)","Sr.","6-11","C","36","301","470","64.0"
"7","Shakur Juiston","UNLV","Jr.","6-7","F","33","218","341","63.9"
"8","Drew Eubanks","Oregon St.","Jr.","6-10","F","32","164","263","62.4"
"9","Isaac Haas","Purdue","Sr.","7-2","C","35","185","300","61.7"
"10","Scottie James","Liberty","So.","6-7","-","37","189","307","61.6"
"11","Marvin Bagley III","Duke","Fr.","6-11","F","33","270","440","61.4"
"12","Rob Marberry","Lipscomb","Jr.","6-7","F","33","218","356","61.2"
"13","Deandre Ayton","Arizona","Fr.","7-1","F","35","276","451","61.2"
"14","Max Mahoney","Boston U.","So.","6-8","F","30","163","271","60.1"
"15","Chris Lewis","Harvard","So.","6-9","F","32","172","286","60.1"
"16","Cameron Jackson","Wofford","Jr.","6-8","F","31","158","263","60.1"
"17","Cameron Lard","Iowa St.","Fr.","6-9","F","29","161","268","60.1"
"18","Matt Wilson","Army West Point","So.","6-9","C","30","157","263","59.7"
"19","Bryson Williams","Fresno St.","So.","6-8","F","32","192","322","59.6"
"20","Phil Fayne","Illinois St.","Jr.","6-9","F","29","181","304","59.5"
"21","Nana Foulland","Bucknell","Sr.","6-9","C","35","210","358","58.7"
"22","Tyler Davis","Texas A&M","Jr.","6-10","C","35","206","352","58.5"
"23","Devontae Cacok","UNCW","Jr.","6-7","F","32","221","378","58.5"
"24","Jamal Aytes","Southern Utah","Sr.","6-6","F","32","164","281","58.4"
"25","Chris Cokley","UAB","Sr.","6-8","F","32","219","376","58.2"
"26","Killian Tillie","Gonzaga","So.","6-10","F","36","181","312","58.0"
"27","Vladimir Brodziansky","TCU","Sr.","6-11","F","33","179","309","57.9"
"28","Juwan Morgan","Indiana","Jr.","6-7","F","31","195","337","57.9"
"29","Nathan Knight","William & Mary","So.","6-10","C","31","206","358","57.5"
"30","Omer Yurtseven","NC State","So.","7-0","C","33","187","327","57.2"
"31","Noah Dickerson","Washington","Jr.","6-8","F","34","178","313","56.9"
"","Dusan Ristic","Arizona","Sr.","7-0","C","35","178","313","56.9"
"33","Terance Mann","Florida St.","Jr.","6-6","G","34","171","301","56.8"
"34","Jared Stutzman","Idaho St.","So.","6-6","G","27","135","238","56.7"
"35","Tyler Cook","Iowa","So.","6-9","C","33","192","339","56.6"
"36","Johnathan Williams","Gonzaga","Sr.","6-9","F","37","197","350","56.3"
"37","Ajdin Penava","Marshall","Jr.","6-9","F","34","191","340","56.2"
"38","Dylan Windler","Belmont","Jr.","6-8","F","33","204","365","55.9"
"39","Justin Tillman","VCU","Sr.","6-7","F","33","248","445","55.7"
"40","Jae'Sean Tate","Ohio St.","Sr.","6-4","G","34","171","307","55.7"
"41","Raiquan Clark","LIU","Jr.","6-4","G","35","207","372","55.6"
"42","Melvin Frazier","Tulane","Jr.","6-6","G","30","179","322","55.6"
"43","Nick Masterson","Kennesaw St.","Sr.","6-6","G","30","167","301","55.5"
"44","Travis Charles","UAlbany","Sr.","6-6","F","31","174","314","55.4"
"45","Shawntrez Davis","Bethune-Cookman","Jr.","-","F","32","181","327","55.4"
"46","Jakeenan Gant","Louisiana","Jr.","6-8","F","32","176","318","55.3"
"","Shaq Morris","Wichita St.","Sr.","6-8","F","33","176","318","55.3"
"48","Kavion Pippen","Southern Ill.","Jr.","6-10","C","33","179","325","55.1"
"49","Dean Wade","Kansas St.","Jr.","6-10","F","33","198","360","55.0"
"50","Averyl Ugba","Austin Peay","Sr.","-","F","34","202","368","54.9"
"51","Leron Black","Illinois","Jr.","6-7","F","31","188","344","54.7"
"52","Grant Riller","Col. of Charleston","So.","6-3","G","33","230","422","54.5"
"53","Brandon McCoy","UNLV","Fr.","7-0","F","33","208","382","54.5"
"54","Duop Reath","LSU","Fr.","-","F","33","167","307","54.4"
"55","Ray Spalding","Louisville","Jr.","6-10","F","36","183","337","54.3"
"56","Travin Thibodeaux","New Orleans","Sr.","6-9","F","26","160","295","54.2"
"57","Terry Taylor","Austin Peay","Fr.","6-5","F","34","196","362","54.1"
"58","Jordan Capps","Southeastern La.","Sr.","6-7","F","33","178","329","54.1"
"59","Yoeli Childs","BYU","So.","6-8","F","35","246","455","54.1"
"60","Khyri Thomas","Creighton","Jr.","6-3","G","33","184","342","53.8"
"61","AJ Brodeur","Penn","So.","6-8","F","33","179","333","53.8"
"62","Femi Olujobi","N.C. A&T","Jr.","6-8","F","32","185","345","53.6"
"63","Loudon Love","Wright St.","Fr.","6-8","C","35","186","349","53.3"
"64","Tookie Brown","Ga. Southern","Jr.","5-11","G","32","189","355","53.2"
"65","Torin Dorn","NC State","Sr.","6-6","G","33","178","335","53.1"
"66","Ishmael Lane","Northwestern St.","Jr.","6-8","F","29","149","281","53.0"
"67","Jerrick Harding","Weber St.","So.","6-1","G","31","249","470","53.0"
"68","Ethan Happ","Wisconsin","Jr.","6-10","F","33","242","458","52.8"
"69","Moritz Wagner","Michigan","Jr.","6-11","F","39","216","409","52.8"
"70","Bogdan Bliznyuk","Eastern Wash.","Sr.","6-6","F","35","265","502","52.8"
"71","Reid Travis","Stanford","Sr.","6-8","F","35","250","474","52.7"
"72","Nick Mayo","Eastern Ky.","Jr.","6-9","F","31","202","384","52.6"
"73","Jalen Hayes","Oakland","Sr.","6-7","F","29","212","404","52.5"
"74","Jordan Murphy","Minnesota","Jr.","6-6","F","32","202","385","52.5"
