 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/02/2018


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"1","Trae Young","Oklahoma","Fr.","6-2","G","32","261","118","236","876","27.4"
"2","Kendrick Nunn","Oakland","Sr.","6-3","G","30","262","134","119","777","25.9"
"3","Jordan Howard","Central Ark.","Sr.","5-11","G","35","280","113","207","880","25.1"
"4","Chris Clemons","Campbell","Jr.","5-9","G","31","233","95","211","772","24.9"
"5","Justin Wright-Foreman","Hofstra","Jr.","6-2","G","31","264","96","131","755","24.4"
"6","Mike Daum","South Dakota St.","Jr.","6-9","F","35","273","96","194","836","23.9"
"7","RJ Cole","Howard","Fr.","6-1","G","33","241","109","191","782","23.7"
"8","Demontrae Jefferson","Texas Southern","So.","5-7","G","27","206","84","130","626","23.2"
"9","Jon Elmore","Marshall","Jr.","6-3","G","36","243","98","232","816","22.7"
"10","Bryson Scott","Purdue Fort Wayne","Sr.","6-1","G","33","247","50","202","746","22.6"
"11","Andre Spight","Northern Colo.","Sr.","6-3","G","38","293","128","141","855","22.5"
"","Matt Morgan","Cornell","Jr.","6-3","G","28","204","75","147","630","22.5"
"13","Tyler Nelson","Fairfield","Sr.","6-3","G","33","230","104","168","732","22.2"
"14","Fletcher Magee","Wofford","Jr.","6-4","G","34","253","148","97","751","22.1"
"15","Jerrick Harding","Weber St.","So.","6-1","G","31","249","57","127","682","22.0"
"16","Junior Robinson","Mount St. Mary's","Sr.","5-5","G","32","228","78","169","703","22.0"
"17","Garrison Mathews","Lipscomb","Jr.","6-5","G","33","213","90","199","715","21.7"
"18","Shamorie Ponds","St. John's (NY)","So.","6-1","G","30","225","47","150","647","21.6"
"19","Jonathan Stark","Murray St.","Sr.","6-0","G","32","221","110","133","685","21.4"
"20","Ryan Taylor","Evansville","Jr.","6-6","G","25","195","67","76","533","21.3"
"21","Peyton Aldridge","Davidson","Sr.","6-7","F","33","252","77","120","701","21.2"
"22","Kelan Martin","Butler","Sr.","6-7","F","35","259","95","130","743","21.2"
"23","D'Marcus Simonds","Georgia St.","So.","6-3","G","35","277","42","146","742","21.2"
"24","Luwane Pipkins","Massachusetts","So.","5-11","G","32","228","107","115","678","21.2"
"25","Bogdan Bliznyuk","Eastern Wash.","Sr.","6-6","F","35","265","45","166","741","21.2"
"26","Jock Landale","Saint Mary's (CA)","Sr.","6-11","C","36","301","3","156","761","21.1"
"27","Jahad Thomas","UMass Lowell","Sr.","6-2","G","27","211","16","132","570","21.1"
"28","Marvin Bagley III","Duke","Fr.","6-11","F","33","270","23","131","694","21.0"
"","Nick King","Middle Tenn.","Sr.","6-7","F","33","259","42","134","694","21.0"
"30","Kahlil Dukes","Niagara","Sr.","6-0","G","33","224","95","149","692","21.0"
"31","Tramaine Isabell Jr.","Drexel","Jr.","6-1","G","28","202","50","133","587","21.0"
"32","B.J. Johnson","La Salle","Sr.","6-7","F","27","194","47","126","561","20.8"
"33","Jerome Robinson","Boston College","Jr.","6-5","G","35","249","81","146","725","20.7"
"34","Eugene German","NIU","So.","6-0","G","32","243","62","111","659","20.6"
"35","Joel Hernandez","LIU","Sr.","6-3","G","35","256","58","148","718","20.5"
"36","Kevin Hervey","UT Arlington","Sr.","6-7","F","33","243","77","113","676","20.5"
"37","Andrew Rowsey","Marquette","Sr.","5-10","G","35","208","125","175","716","20.5"
"","Zach Thomas","Bucknell","Sr.","6-6","F","35","206","63","241","716","20.5"
"39","Markus Howard","Marquette","So.","5-11","G","34","239","111","105","694","20.4"
"40","Charles Williams","Howard","So.","6-6","G","33","253","74","93","673","20.4"
"41","Aaron Holiday","UCLA","Jr.","6-1","G","33","212","88","159","671","20.3"
"42","Nick Dixon","UTRGV","Sr.","6-2","G","33","197","54","222","670","20.3"
"43","Jairus Lyles","UMBC","Sr.","6-2","G","33","225","78","137","665","20.2"
"44","Deandre Ayton","Arizona","Fr.","7-1","F","35","276","12","140","704","20.1"
"45","Zach Lofton","New Mexico St.","Sr.","6-3","G","33","217","87","142","663","20.1"
"46","C.J. Burks","Marshall","Jr.","6-3","G","35","260","86","96","702","20.1"
"47","Chandler Hutchison","Boise St.","Sr.","6-7","G","31","205","46","163","619","20.0"
"48","Zane Martin","Towson","So.","6-4","G","32","226","71","112","635","19.8"
"49","Marcus Foster","Creighton","Sr.","6-3","G","33","246","95","67","654","19.8"
"50","Keita Bates-Diop","Ohio St.","Jr.","6-7","F","34","247","66","112","672","19.8"
"51","Roddy Peters","Nicholls","Sr.","6-4","G","32","229","11","160","629","19.7"
"52","Tony Carr","Penn St.","So.","6-5","G","37","245","88","147","725","19.6"
"53","Roosevelt Smart","North Texas","So.","6-3","G","38","221","133","167","742","19.5"
"54","Paul Miller","North Dakota St.","Sr.","6-6","G","31","208","67","122","605","19.5"
"55","Reid Travis","Stanford","Sr.","6-8","F","35","250","18","164","682","19.5"
"56","Kyle Allman Jr.","Cal St. Fullerton","Jr.","6-3","G","32","198","45","182","623","19.5"
"57","Trevon Bluiett","Xavier","Sr.","6-6","G","35","202","105","167","676","19.3"
"58","Denzel Mahoney","Southeast Mo. St.","So.","6-4","G","31","176","64","182","598","19.3"
"59","Yante Maten","Georgia","Sr.","6-8","F","33","207","29","193","636","19.3"
"60","Rob Gray","Houston","Sr.","6-1","G","34","218","61","158","655","19.3"
"61","Tyus Battle","Syracuse","So.","6-6","G","37","234","77","167","712","19.2"
"62","Gary Blackston","Prairie View","Jr.","6-2","G","33","217","44","156","634","19.2"
"63","Reed Timmer","Drake","Sr.","6-1","G","34","188","93","183","652","19.2"
"64","Collin Sexton","Alabama","Fr.","6-3","G","33","196","44","196","632","19.2"
"65","Max Heidegger","UC Santa Barbara","So.","6-3","G","32","195","95","127","612","19.1"
"66","Jermaine Marrow","Hampton","So.","6-0","G","34","228","41","153","650","19.1"
"67","Jaylen Adams","St. Bonaventure","Jr.","6-5","G","28","153","75","154","535","19.1"
"68","Matt Scott","Niagara","Sr.","6-4","G","29","179","48","148","554","19.1"
"69","Victor Sanders","Idaho","Sr.","6-5","G","31","182","81","144","589","19.0"
"70","Justin Tillman","VCU","Sr.","6-7","F","33","248","27","102","625","18.9"
"71","Justin James","Wyoming","Jr.","6-7","G","32","210","40","146","606","18.9"
"72","Brandon Tabb","Bethune-Cookman","Sr.","6-5","G","30","172","97","127","568","18.9"
"73","Jalen Brunson","Villanova","Jr.","6-3","G","40","270","86","130","756","18.9"
"74","Caleb Martin","Nevada","Jr.","6-7","F","36","223","100","134","680","18.9"
"","Jeremiah Martin","Memphis","Jr.","6-3","G","27","157","51","145","510","18.9"
"76","Tookie Brown","Ga. Southern","Jr.","5-11","G","32","189","49","177","604","18.9"
"77","Cameron Young","Quinnipiac","So.","6-6","G","33","187","64","184","622","18.8"
"78","Thomas Wilder","Western Mich.","Sr.","6-3","G","32","191","47","174","603","18.8"
"79","Jalen Hayes","Oakland","Sr.","6-7","F","29","212","5","117","546","18.8"
"80","Tanner Leissner","New Hampshire","Sr.","6-6","F","31","195","38","153","581","18.7"
"81","Matt Mooney","South Dakota","Jr.","6-3","G","34","227","76","107","637","18.7"
"82","Rodrick Sikes","South Alabama","Jr.","6-1","G","32","178","88","153","597","18.7"
"83","Joseph Kilgore","A&M-Corpus Christi","Sr.","6-5","G","29","183","37","137","540","18.6"
"84","Brandon Goodwin","FGCU","Sr.","6-2","G","34","223","42","144","632","18.6"
"85","Grant Riller","Col. of Charleston","So.","6-3","G","33","230","56","97","613","18.6"
"86","Martaveous Mcknight","Ark.-Pine Bluff","Jr.","6-4","G","35","217","64","152","650","18.6"
"87","Sa'eed Nelson","American","So.","6-1","G","29","191","28","128","538","18.6"
"88","Carsen Edwards","Purdue","So.","6-0","G","37","229","97","131","686","18.5"
"89","Nathan Knight","William & Mary","So.","6-10","C","31","206","11","150","573","18.5"
"90","Gabe Levin","Long Beach St.","Sr.","6-7","F","32","194","23","180","591","18.5"
"91","Ronshad Shabazz","App State","Jr.","6-5","G","33","206","80","117","609","18.5"
"92","Donte Clark","Texas Southern","Sr.","6-4","G","36","203","42","216","664","18.4"
"93","Stuckey Mosley","James Madison","Jr.","6-4","G","32","199","85","107","590","18.4"
"94","Jhivvan Jackson","UTSA","Fr.","6-0","G","29","174","77","109","534","18.4"
"95","Khalil Small","Green Bay","Sr.","6-2","G","33","201","53","147","602","18.2"
"96","Josh Okogie","Georgia Tech","So.","6-4","G","24","133","38","133","437","18.2"
"97","Tra Holder","Arizona St.","Sr.","6-1","G","32","177","69","159","582","18.2"
"98","Elijah Bryant","BYU","Jr.","6-5","G","35","202","85","147","636","18.2"
"99","Jamaal King","Saint Francis","Jr.","5-9","G","31","195","53","120","563","18.2"
"100","Desmond Williams","Florida A&M","Sr.","6-6","F","34","221","11","164","617","18.1"
"101","Tre'Shaun Fletcher","Toledo","Sr.","6-7","F","33","205","49","139","598","18.1"
"","Allonzo Trier","Arizona","Jr.","6-5","G","33","184","70","160","598","18.1"
"103","Matt Mobley","St. Bonaventure","Sr.","6-3","G","34","187","105","137","616","18.1"
"104","Ryan Welage","San Jose St.","Jr.","6-9","F","30","191","60","100","542","18.1"
"105","Jalen Adams","UConn","Jr.","6-3","G","30","207","48","78","540","18.0"
"106","Joe Chealey","Col. of Charleston","Sr.","6-4","G","34","169","62","211","611","18.0"
"107","Kellan Grady","Davidson","Fr.","6-5","-","33","219","73","82","593","18.0"
"108","Nick Mayo","Eastern Ky.","Jr.","6-9","F","31","202","33","120","557","18.0"
"109","Jordon Varnado","Troy","Jr.","6-6","F","26","174","26","93","467","18.0"
"110","Jaylen Barford","Arkansas","Sr.","6-3","G","35","224","87","93","628","17.9"
"111","Vasa Pusica","Northeastern","Jr.","6-5","G","33","189","76","138","592","17.9"
"112","Justin Strings","Sacramento St.","Sr.","6-7","F","32","223","30","97","573","17.9"
"113","Ethan Happ","Wisconsin","Jr.","6-10","F","33","242","1","105","590","17.9"
"114","Jessie Govan","Georgetown","Jr.","6-10","C","30","201","16","118","536","17.9"
"115","Joe Cremo","UAlbany","Jr.","6-4","G","32","182","76","131","571","17.8"
"116","Yoeli Childs","BYU","So.","6-8","F","35","246","15","117","624","17.8"
"117","James Batemon","LMU (CA)","Jr.","6-1","G","30","167","43","157","534","17.8"
"118","Kameron Chatman","Detroit Mercy","Jr.","6-9","F","29","183","60","90","516","17.8"
"119","Deshon Taylor","Fresno St.","Jr.","6-2","G","32","155","59","200","569","17.8"
"120","Frank Bartley","Louisiana","Sr.","6-3","G","33","179","87","141","586","17.8"
"121","Jordan Caroline","Nevada","Jr.","6-7","F","37","221","36","178","656","17.7"
"122","Hayden Dalton","Wyoming","Sr.","6-8","F","33","190","85","119","584","17.7"
"123","Devontae Cacok","UNCW","Jr.","6-7","F","32","221","0","123","565","17.7"
"124","Mikal Bridges","Villanova","Jr.","6-7","F","40","244","104","114","706","17.7"
"125","Zach Jackson","Omaha","Jr.","6-5","G","31","192","42","121","547","17.6"
"126","Christian Keeling","Charleston So.","So.","6-3","G","28","169","45","111","494","17.6"
"127","Wesley Person","Troy","Sr.","6-3","G","33","174","97","137","582","17.6"
"128","Ky Bowman","Boston College","So.","6-1","G","35","220","80","96","616","17.6"
"129","Tres Tinkle","Oregon St.","So.","6-8","F","32","192","48","131","563","17.6"
"130","Mike Smith","Columbia","So.","5-11","G","27","157","49","112","475","17.6"
"131","Keenan Evans","Texas Tech","Sr.","6-3","G","36","194","48","197","633","17.6"
"132","Martez Walker","Oakland","Sr.","6-6","G","26","138","54","127","457","17.6"
"133","Dachon Burke","Robert Morris","So.","6-4","G","32","210","44","98","562","17.6"
"134","Jon Davis","Charlotte","Jr.","6-3","G","29","159","48","143","509","17.6"
"135","Tyler Hall","Montana St.","Jr.","6-5","G","31","174","99","97","544","17.5"
"136","KJ Feagin","Santa Clara","Jr.","6-1","G","31","201","61","79","542","17.5"
"","Desi Rodriguez","Seton Hall","Sr.","6-6","F","31","204","56","78","542","17.5"
"138","David Efianayi","Gardner-Webb","Jr.","6-2","G","32","183","51","142","559","17.5"
"139","Ryan Daly","Delaware","So.","6-4","F","28","178","46","87","489","17.5"
"140","Shavar Newkirk","Saint Joseph's","Sr.","6-0","G","32","172","52","162","558","17.4"
