 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/08/2013


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"1","Erick Green","Virginia Tech","Sr.","6-4","G","32","261","61","218","801","25.0"
"2","Doug McDermott","Creighton","Jr.","6-8","F","36","284","77","189","834","23.2"
"3","Lamont Jones","Iona","Sr.","6-0","G","34","246","56","221","769","22.6"
"4","Nate Wolters","South Dakota St.","Sr.","6-3","G","33","242","64","187","735","22.3"
"5","Travis Bader","Oakland","Jr.","6-5","G","33","206","139","179","730","22.1"
"6","Isaiah Canaan","Murray St.","Sr.","6-1","G","31","215","94","152","676","21.8"
"7","Tyler Haws","BYU","So.","6-5","G","36","276","43","185","780","21.7"
"8","Kyle Vinales","Central Conn. St.","So.","6-1","G","30","229","80","111","649","21.6"
"9","Shane Gibson","Sacred Heart","Sr.","6-2","G","29","212","87","115","626","21.6"
"10","Stan Okoye","VMI","Sr.","6-6","F","31","236","59","135","666","21.5"
"11","Greg Gantt","Fla. Atlantic","Sr.","6-2","G","32","235","84","123","677","21.2"
"12","Khaliff Wyatt","Temple","Sr.","6-4","G","34","209","75","204","697","20.5"
"13","Corey Hawkins","UC Davis","So.","6-3","G","28","183","48","155","569","20.3"
"14","Anthony Ireland","LMU (CA)","Jr.","5-10","G","34","228","65","167","688","20.2"
"15","Colt Ryan","Evansville","Sr.","6-5","G","34","219","63","184","685","20.1"
"16","Marshall Henderson","Ole Miss","Jr.","6-2","G","36","209","138","166","722","20.1"
"17","Fred Hunter","Nicholls","Sr.","6-5","F","27","186","16","149","537","19.9"
"18","Devon Saddler","Delaware","Jr.","6-2","G","33","216","56","168","656","19.9"
"19","Deshaun Thomas","Ohio St.","Jr.","6-7","F","37","260","72","141","733","19.8"
"20","Pierre Jackson","Baylor","Sr.","5-10","G","36","216","88","192","712","19.8"
"21","Frank Gaines","Purdue Fort Wayne","Sr.","6-3","G","32","198","55","181","632","19.8"
"22","Bryce Cotton","Providence","Jr.","6-1","G","32","195","98","142","630","19.7"
"23","Augustine Rubit","South Alabama","Jr.","6-7","C","30","192","0","198","582","19.4"
"24","Jud Dillard","Tennessee Tech","Sr.","6-5","G","29","182","36","160","560","19.3"
"25","Kevin Foster","Santa Clara","Sr.","6-2","G","38","241","120","130","732","19.3"
"26","Troy Huff","North Dakota","Jr.","6-4","G","25","174","37","96","481","19.2"
"27","Anthony Raffa","Coastal Carolina","Sr.","6-1","G","29","199","60","96","554","19.1"
"28","Jamal Olasewere","LIU","Sr.","6-7","F","32","200","20","185","605","18.9"
"29","Warren Niles","Oral Roberts","Sr.","6-4","G","35","222","96","121","661","18.9"
"30","Maurice Kemp","East Carolina","Sr.","6-8","G","35","231","16","182","660","18.9"
"31","Marcus Thornton","William & Mary","So.","6-4","G","30","181","93","110","565","18.8"
"32","Kyle Randall","Central Mich.","Sr.","5-10","G","31","175","66","165","581","18.7"
"33","Mike Muscala","Bucknell","Sr.","6-11","F","34","227","4","179","637","18.7"
"34","Russ Smith","Louisville","Jr.","6-0","G","40","232","62","222","748","18.7"
"35","Ray McCallum","Detroit Mercy","Jr.","6-1","G","33","214","42","147","617","18.7"
"36","Brock Motum","Washington St.","Sr.","6-9","F","32","216","45","120","597","18.7"
"37","Trevis Simpson","UNC Greensboro","Jr.","6-4","G","29","187","64","103","541","18.7"
"38","Trey Burke","Michigan","So.","6-0","G","39","259","76","133","727","18.6"
"39","Jahii Carson","Arizona St.","Fr.","5-10","G","35","231","33","152","647","18.5"
"40","Kentavious Caldwell-Pope","Georgia","So.","6-5","G","32","186","84","135","591","18.5"
"41","Allen Crabbe","California","Jr.","6-6","G","33","215","64","113","607","18.4"
"42","Trey Sumler","Western Caro.","Jr.","6-2","G","32","197","54","140","588","18.4"
"","Kwame Vaughn","Cal St. Fullerton","Sr.","6-3","G","32","179","50","180","588","18.4"
"44","Ian Clark","Belmont","Sr.","6-3","G","33","217","102","65","601","18.2"
"45","Tyler Brown","Illinois St.","Sr.","6-4","G","32","181","80","137","579","18.1"
"46","Javon McCrea","Buffalo","Jr.","6-6","F","34","240","0","131","611","18.0"
"47","Rian Pearson","Toledo","Jr.","6-4","G","28","172","6","152","502","17.9"
"48","Gabe Rogers","Northern Ariz.","Sr.","6-2","G","32","202","95","74","573","17.9"
"49","Shabazz Muhammad","UCLA","Fr.","6-6","G","32","202","40","128","572","17.9"
"50","D.J. Seeley","Cal St. Fullerton","Sr.","6-4","G","28","166","63","105","500","17.9"
"51","Kelly Olynyk","Gonzaga","Jr.","7-0","F","32","215","9","132","571","17.8"
"52","Adrien Coleman","Bethune-Cookman","Jr.","6-5","G","34","233","8","132","606","17.8"
"","Joel Wright","Texas St.","Fr.","6-7","F","34","194","17","201","606","17.8"
"54","D'Angelo Harrison","St. John's (NY)","So.","6-4","G","27","155","58","113","481","17.8"
"55","Jeremy Atkinson","UNC Asheville","Sr.","6-3","F","32","198","28","145","569","17.8"
"","Roberto Nelson","Oregon St.","Jr.","6-4","G","32","179","56","155","569","17.8"
"57","Tamir Jackson","Rice","Sr.","6-2","G","31","196","47","110","549","17.7"
"58","Brandon Davies","BYU","Sr.","6-9","F","36","229","5","174","637","17.7"
"59","Ella Ellis","Army West Point","Sr.","6-6","F","31","149","72","178","548","17.7"
"","Dyami Starks","Bryant","So.","6-2","G","31","193","95","67","548","17.7"
"61","Michael Lyons","Air Force","Sr.","6-5","G","30","191","52","96","530","17.7"
"62","Anthony Drmic","Boise St.","So.","6-6","G","32","185","80","115","565","17.7"
"63","Jackson Stevenett","Southern Utah","Sr.","6-4","F","30","184","23","137","528","17.6"
"64","Elston Turner","Texas A&M","Sr.","6-5","G","32","199","74","89","561","17.5"
"65","Seth Curry","Duke","Sr.","6-2","G","35","197","95","123","612","17.5"
"66","Jackie Carmichael","Illinois St.","Sr.","6-9","F","33","213","2","147","575","17.4"
"67","Murphy Burnatowski","Colgate","Sr.","6-7","F","32","203","69","82","557","17.4"
"68","Xavier Munford","Rhode Island","Jr.","6-2","G","29","168","68","100","504","17.4"
"69","Alex Francis","Bryant","Jr.","6-6","F","31","211","0","116","538","17.4"
"70","Kendrick Perry","Youngstown St.","Jr.","6-0","G","30","158","50","153","519","17.3"
"71","Torrey Craig","USC Upstate","Jr.","6-6","F","33","194","78","103","569","17.2"
"72","Kannon Burrage","UTSA","Sr.","6-2","G","32","184","58","125","551","17.2"
"73","Ramon Galloway","La Salle","Sr.","6-2","G","34","193","94","105","585","17.2"
"74","Billy Baron","Canisius","Jr.","6-2","G","34","189","66","140","584","17.2"
"75","Travis Betran","Austin Peay","Jr.","6-3","G","31","178","84","92","532","17.2"
"76","Kyle Barone","Idaho","Sr.","6-10","C","30","178","0","158","514","17.1"
"77","Alan Williams","UC Santa Barbara","So.","6-7","C","28","174","0","131","479","17.1"
"78","Jerrelle Benimon","Towson","Jr.","6-8","F","31","188","20","134","530","17.1"
"79","Mason Plumlee","Duke","Sr.","6-10","F","36","221","0","173","615","17.1"
"80","Shabazz Napier","UConn","Jr.","6-1","G","28","146","68","118","478","17.1"
"81","Keith Rendleman","UNCW","Sr.","6-8","F","30","187","8","129","511","17.0"
"82","R.J. Hunter","Georgia St.","Fr.","6-6","G","31","175","73","104","527","17.0"
"83","Sean Kilpatrick","Cincinnati","Jr.","6-4","G","34","194","82","107","577","17.0"
"84","Jamaal Franklin","San Diego St.","Jr.","6-5","G","33","169","42","180","560","17.0"
"85","Omar Strong","Texas Southern","Sr.","5-9","G","31","164","120","78","526","17.0"
"86","Rotnei Clarke","Butler","Sr.","6-0","G","33","183","115","78","559","16.9"
"","Tashawn Thomas","Houston","So.","6-8","G","33","234","1","90","559","16.9"
"88","Chris Flores","NJIT","Sr.","6-2","G","29","159","70","103","491","16.9"
"89","C.J. Wilcox","Washington","Jr.","6-5","G","34","201","75","93","570","16.8"
"90","Chavaughn Lewis","Marist","So.","6-5","G","31","190","25","114","519","16.7"
"91","Brandon Young","DePaul","Jr.","6-4","G","32","180","31","144","535","16.7"
"92","Malik Story","Nevada","Sr.","6-5","G","31","173","83","89","518","16.7"
"93","Sean Armand","Iona","Jr.","6-5","G","34","189","112","76","566","16.6"
"94","Sherrod Wright","George Mason","Jr.","6-4","G","38","202","47","181","632","16.6"
"95","Brandon Paul","Illinois","Sr.","6-4","G","36","184","78","152","598","16.6"
"96","Jauwan Scaife","Ball St.","Sr.","6-2","G","30","145","70","138","498","16.6"
"97","Cleveland Melvin","DePaul","Jr.","6-8","F","32","216","15","84","531","16.6"
