 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/08/2013


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"98","James Ennis","Long Beach St.","Sr.","6-7","G","33","182","55","126","545","16.5"
"99","Cody Zeller","Indiana","So.","7-0","F","36","199","0","196","594","16.5"
"100","Markeith Cummings","Kennesaw St.","Sr.","6-7","G","27","159","22","105","445","16.5"
"101","Fuquan Edwin","Seton Hall","Jr.","6-6","G","33","190","63","100","543","16.5"
"102","John Brown","High Point","Fr.","6-8","F","28","180","0","100","460","16.4"
"103","Dylon Cormier","Loyola Maryland","Jr.","6-2","G","34","179","28","172","558","16.4"
"104","Tarvin Gaines","Jacksonville St.","Sr.","6-6","F","27","139","29","135","442","16.4"
"105","Deonte Burton","Nevada","Jr.","6-1","G","31","159","34","153","505","16.3"
"106","Joe Harris","Virginia","Jr.","6-6","G","35","191","77","111","570","16.3"
"107","Derrick Marks","Boise St.","So.","6-3","G","31","169","22","144","504","16.3"
"","D.J. Newbill","Penn St.","So.","6-4","G","31","175","20","134","504","16.3"
"109","Parker Smith","North Florida","Sr.","6-3","G","32","160","116","84","520","16.3"
"","Ian Hummer","Princeton","Sr.","6-7","F","28","171","7","106","455","16.3"
"111","Myles Taylor","UT Martin","So.","6-7","F","29","158","10","145","471","16.2"
"112","Wesley Saunders","Harvard","So.","6-5","G","30","163","10","151","487","16.2"
"113","Chris Evans","Kent St.","Sr.","6-8","F","35","189","39","149","566","16.2"
"114","Otto Porter","Georgetown","So.","6-8","F","31","168","43","122","501","16.2"
"115","Elijah Pittman","Marshall","Jr.","6-9","F","32","169","65","113","516","16.1"
"116","Anthony Bennett","UNLV","Fr.","6-8","F","35","202","36","124","564","16.1"
"117","Joel Smith","Northeastern","Sr.","6-4","G","31","161","83","94","499","16.1"
"118","C.J. Garner","LIU","Sr.","5-10","G","32","180","27","127","514","16.1"
"119","Derick Beltran","Southern U.","Sr.","6-4","G","33","171","80","107","529","16.0"
"120","Dwayne Davis","Southern Miss.","Sr.","6-5","F","34","193","59","100","545","16.0"
"121","Isaiah Sykes","UCF","Jr.","6-5","G","31","182","16","116","496","16.0"
"","Jarvis Jones","ETSU","Sr.","6-2","G","25","148","43","61","400","16.0"
"123","Romero Osby","Oklahoma","Sr.","6-8","F","32","174","9","154","511","16.0"
"124","Stephon Carter","CSU Bakersfield","Sr.","6-3","G","30","169","2","138","478","15.9"
"","Saah Nimley","Charleston So.","So.","5-8","G","30","151","77","99","478","15.9"
"126","Ben McLemore","Kansas","Fr.","6-5","G","37","198","73","120","589","15.9"
"127","Elfrid Payton","Louisiana","So.","6-3","G","33","187","16","134","524","15.9"
"128","Jarvis Garner","Central Ark.","Sr.","6-7","F","28","156","53","79","444","15.9"
"129","Keifer Sykes","Green Bay","So.","6-0","G","34","175","30","159","539","15.9"
"130","Kellen Thornton","Tennessee St.","Sr.","6-7","F","33","211","21","80","523","15.8"
"131","Adam Pegg","Stetson","Sr.","6-9","C","25","165","18","48","396","15.8"
"132","Amos Olatayo","ULM","Jr.","6-4","G","23","135","24","70","364","15.8"
"133","Matthew Dellavedova","Saint Mary's (CA)","Sr.","6-4","G","35","170","86","127","553","15.8"
"","Sammy Yeager","Cal St. Fullerton","Sr.","6-4","F","25","146","66","37","395","15.8"
"135","Christian Standhardinger","Hawaii","Jr.","6-8","F","32","184","15","121","504","15.8"
"136","Stephan Hicks","CSUN","So.","6-5","G","27","142","17","124","425","15.7"
"137","Matt Hunter","Central Conn. St.","Jr.","6-5","G","30","168","38","98","472","15.7"
"138","Jeremy Ingram","N.C. Central","Jr.","6-3","G","31","145","63","134","487","15.7"
"139","Jordan McRae","Tennessee","Jr.","6-6","G","33","170","60","118","518","15.7"
"140","Jourdan DeMuynck","Prairie View","Sr.","6-6","G","32","185","36","96","502","15.7"
"141","Ryan Broekhoff","Valparaiso","Sr.","6-7","F","33","158","83","118","517","15.7"
"","Erik Etherly","Loyola Maryland","Sr.","6-7","F","30","162","2","144","470","15.7"
"143","Khalid Mutakabbir","Presbyterian","Sr.","6-4","G","32","175","63","88","501","15.7"
"","Taylor Smith","SFA","Sr.","6-6","F","32","211","0","79","501","15.7"
"145","Tristan Carey","Longwood","Jr.","6-4","G","33","189","81","57","516","15.6"
"146","Jonathon Williams","Wagner","Sr.","6-6","F","27","156","13","97","422","15.6"
"147","Rodney McGruder","Kansas St.","Sr.","6-4","G","35","204","51","88","547","15.6"
"148","Karl Cochran","Wofford","So.","6-1","G","32","189","78","44","500","15.6"
"149","Mark Lyons","Arizona","Sr.","6-1","G","35","177","67","125","546","15.6"
"","Mike Groselle","The Citadel","Sr.","6-8","C","30","189","0","90","468","15.6"
"151","Walt Lemon Jr.","Bradley","Jr.","6-3","G","35","201","35","108","545","15.6"
"152","Michael Hale III","UTSA","Sr.","5-10","G","30","148","59","112","467","15.6"
"153","Malcolm Miller","Southern U.","Jr.","6-6","G","33","184","90","55","513","15.5"
"154","Damen Bell-Holter","Oral Roberts","Sr.","6-10","F","35","190","5","159","544","15.5"
"155","Damon Heuir","Southern Utah","Sr.","6-2","G","30","147","57","115","466","15.5"
"156","Tyler Stone","Southeast Mo. St.","Jr.","6-8","F","33","205","11","91","512","15.5"
"157","Sherwood Brown","FGCU","Sr.","6-4","G","37","210","73","81","574","15.5"
"158","Shawn Long","Louisiana","Fr.","6-9","F","33","195","33","88","511","15.5"
"159","Olivier Hanlan","Boston College","Fr.","6-4","G","33","167","50","126","510","15.5"
"","Chaz Williams","Massachusetts","Jr.","5-9","G","33","166","43","135","510","15.5"
"161","Marc Trasolini","Santa Clara","Jr.","6-9","F","38","230","14","113","587","15.4"
"162","Juevol Myles","South Dakota","Sr.","6-1","G","30","136","50","141","463","15.4"
"163","Ryan Cook","UMBC","Sr.","6-2","G","31","166","47","99","478","15.4"
"164","Ryan Boatright","UConn","So.","6-0","G","30","151","43","117","462","15.4"
"","Laquentin Miles","Central Ark.","Jr.","6-5","G","25","153","7","72","385","15.4"
"166","C.J. Harris","Wake Forest","Sr.","6-3","G","31","140","59","138","477","15.4"
"167","Marcus Smart","Oklahoma St.","Fr.","6-4","G","33","151","38","167","507","15.4"
"168","Chris Eversley","Cal Poly","Jr.","6-7","F","30","172","21","95","460","15.3"
"169","Jordan Adams","UCLA","Fr.","6-5","G","33","165","46","129","505","15.3"
"","Spencer Dinwiddie","Colorado","So.","6-6","G","33","130","47","198","505","15.3"
"171","Markel Brown","Oklahoma St.","Jr.","6-3","G","33","169","52","114","504","15.3"
"172","Kevin Dillard","Dayton","Sr.","6-0","G","31","139","55","140","473","15.3"
"173","Arlon Harper","Charleston So.","So.","6-1","G","32","166","53","103","488","15.3"
"174","Davion Berry","Weber St.","Jr.","6-4","G","37","179","60","146","564","15.2"
"175","Dave Dudzinski","Holy Cross","Jr.","6-9","F","30","166","18","107","457","15.2"
"176","Cole Dickerson","San Francisco","Jr.","6-7","F","31","175","48","74","472","15.2"
"177","T.J. Price","Western Ky.","So.","6-4","G","33","170","81","81","502","15.2"
"178","Semaj Christon","Xavier","Fr.","6-3","G","30","162","7","125","456","15.2"
"179","Glenn Cosey","Eastern Ky.","Jr.","6-0","G","29","141","80","78","440","15.2"
"180","BJ Young","Arkansas","So.","6-3","G","31","180","25","85","470","15.2"
"181","A'Uston Calhoun","Bowling Green","Sr.","6-7","F","32","183","21","97","484","15.1"
"182","Treveon Graham","VCU","So.","6-5","G","36","186","52","120","544","15.1"
"183","Ben Aird","Utah Valley","Jr.","6-9","C","30","177","7","92","453","15.1"
"184","Lucas Troutman","Elon","Jr.","6-10","F","31","194","0","80","468","15.1"
"185","C.J. Leslie","NC State","Jr.","6-9","F","35","192","2","142","528","15.1"
"186","Desmar Jackson","Southern Ill.","Jr.","6-5","G","31","168","38","93","467","15.1"
"187","Justin Cobbs","California","Jr.","6-2","G","33","172","26","127","497","15.1"
"188","Johnny Dee","San Diego","So.","6-0","G","34","172","80","87","511","15.0"
"189","Roy Devyn Marble","Iowa","Jr.","6-6","G","37","176","49","153","554","15.0"
"190","Jordon Crawford","Bowling Green","Sr.","5-6","G","32","180","54","65","479","15.0"
"191","D.J. Covington","VMI","Jr.","6-9","F","31","190","1","83","464","15.0"
"","Brandon Provost","UTRGV","Sr.","6-3","G","31","135","81","113","464","15.0"
"193","Jake Cohen","Davidson","Sr.","6-10","F","34","171","38","128","508","14.9"
"","Trevor Releford","Alabama","Jr.","6-0","G","34","167","48","126","508","14.9"
"195","Eli Carter","Rutgers","So.","6-2","G","24","112","39","95","358","14.9"
"196","Will Clyburn","Iowa St.","Sr.","6-7","F","35","166","41","149","522","14.9"
"197","Z. Mason","Chattanooga","Jr.","6-5","F","32","173","24","107","477","14.9"
"198","Raheem Appleby","Louisiana Tech","So.","6-4","G","34","196","52","62","506","14.9"
"","Dwight Powell","Stanford","Jr.","6-10","F","34","179","15","133","506","14.9"
"200","Jakarr Sampson","St. John's (NY)","Fr.","6-9","F","33","202","0","87","491","14.9"
"201","Ben Averkamp","Loyola Chicago","Sr.","6-8","F","25","126","12","107","371","14.8"
"202","Mathias Ward","Montana","Sr.","6-7","F","24","129","22","76","356","14.8"
"203","Kadeem Batts","Providence","Jr.","6-10","F","34","188","0","128","504","14.8"
"","Mike DiNunno","Eastern Ky.","Sr.","5-11","G","34","163","91","87","504","14.8"
"205","Michael Snaer","Florida St.","Sr.","6-5","G","33","155","63","116","489","14.8"
"206","Mike Black","UAlbany","Sr.","6-0","G","35","160","56","142","518","14.8"
"207","Patrick Miller","Tennessee St.","Jr.","6-0","G","33","153","42","140","488","14.8"
"208","Keith Clanton","UCF","Sr.","6-8","F","31","167","11","113","458","14.8"
"","Devonta White","Georgia St.","Jr.","5-11","G","31","155","40","108","458","14.8"
"210","Vander Blue","Marquette","Jr.","6-4","G","34","183","40","96","502","14.8"
"211","Robert Crawford","Central Ark.","Sr.","6-5","G","29","136","85","71","428","14.8"
"212","Art Bernardi","Houston Christian","Sr.","6-9","F","31","178","14","87","457","14.7"
"","Frantz Massenat","Drexel","Jr.","6-4","G","31","141","47","128","457","14.7"
"214","Derrell Armstrong","UNC Greensboro","Sr.","6-1","G","30","158","41","85","442","14.7"
"","Carl Jones","Saint Joseph's","Sr.","5-11","G","30","143","63","93","442","14.7"
"216","Paris Gulley","Milwaukee","Sr.","6-2","G","26","127","52","76","382","14.7"
"217","Randal Holt","Kent St.","Sr.","6-1","G","35","164","89","97","514","14.7"
"218","Mark Nwakamma","Hartford","So.","6-6","F","31","178","17","82","455","14.7"
"219","Jalen Cannon","St. Francis Brooklyn","So.","6-6","F","30","170","6","94","440","14.7"
"","Kinu Rochford","FDU","Sr.","6-6","F","27","164","0","68","396","14.7"
"221","Brandon Fortenberry","Southeastern La.","Sr.","6-3","G","31","148","50","108","454","14.6"
"","Stephen Maxwell","CSUN","So.","6-7","F","31","173","0","108","454","14.6"
"223","Juvonte Reddic","VCU","Jr.","6-9","F","36","210","1","106","527","14.6"
"224","Nick Minnerath","Detroit Mercy","Sr.","6-8","F","33","177","51","78","483","14.6"
"225","Desi Washington","Saint Peter's","So.","6-2","G","30","146","81","66","439","14.6"
"226","Tymell Murphy","FIU","Jr.","6-5","F","32","196","12","64","468","14.6"
"227","Andre Hollins","Minnesota","So.","6-1","G","34","152","81","112","497","14.6"
"228","Carrick Felix","Arizona St.","Sr.","6-6","G","35","189","52","81","511","14.6"
"","Derek Needham","Fairfield","Sr.","5-11","G","35","175","78","83","511","14.6"
"","Anthony Campbell","Austin Peay","Sr.","6-7","F","30","149","64","76","438","14.6"
"231","Javonte Green","Radford","So.","6-4","G","32","178","5","106","467","14.6"
"232","P.J. Hairston","North Carolina","So.","6-6","G","34","159","89","88","495","14.6"
"","Elias Harris","Gonzaga","Sr.","6-8","F","34","169","8","149","495","14.6"
"234","Rod Rucker","UAB","Jr.","6-5","F","33","204","0","72","480","14.5"
"235","Frankie Sullivan","Auburn","Sr.","6-1","G","32","148","56","113","465","14.5"
"236","Tim Hardaway Jr.","Michigan","Jr.","6-6","G","38","201","73","77","552","14.5"
"237","C.J. Fair","Syracuse","Jr.","6-8","F","40","217","30","117","581","14.5"
"238","Murphy Holloway","Ole Miss","Sr.","6-7","F","36","214","1","93","522","14.5"
"","Shane Larkin","Miami (FL)","So.","5-11","G","36","183","69","87","522","14.5"
"","Seth Hinrichs","Lafayette","So.","6-7","G","34","159","78","97","493","14.5"
"","Allan Chaney","High Point","Sr.","6-9","F","30","160","9","106","435","14.5"
"242","Nathan Healy","App State","Sr.","6-7","F","31","168","52","61","449","14.5"
"243","Christian Williams","Jackson St.","Sr.","6-1","G","29","133","68","86","420","14.5"
"244","Marshawn Powell","Arkansas","Jr.","6-7","F","32","175","27","86","463","14.5"
"245","Josh Greene","CSUN","Jr.","6-0","G","30","125","63","121","434","14.5"
"246","Jordan Aaron","Milwaukee","Jr.","5-10","G","32","150","67","95","462","14.4"
"","Dewayne Russell","Northern Ariz.","Fr.","5-11","G","32","149","41","123","462","14.4"
"248","Tim Rusthoven","William & Mary","Jr.","6-9","F","30","168","4","93","433","14.4"
"249","Shawn Glover","Oral Roberts","Jr.","6-7","F","33","199","8","70","476","14.4"
"250","James Michael McAdoo","North Carolina","So.","6-9","F","36","209","0","100","518","14.4"
Reclassifying
"NR","Justin Simmons","Omaha","Jr.","6-3","G","31","196","43","82","517","16.7"
"NR","Eshaunte Jones","Northern Ky.","Sr.","6-4","F","27","134","81","76","425","15.7"

NCAA Men's Basketball
Division IField-Goal Percentage
Through Games 04/08/2013

Min. 5 made per game
       
"Rank","Name","Team","Cl","Ht","Pos","G","FGM","FGA","FG%"
"1","Taylor Smith","SFA","Sr.","6-6","F","32","211","304","69.4"
"2","Marshall Bjorklund","North Dakota St.","Jr.","6-8","F","34","170","255","66.7"
"3","Kelly Olynyk","Gonzaga","Jr.","7-0","F","32","215","342","62.9"
"4","T.J. Warren","NC State","Fr.","6-8","F","35","186","299","62.2"
"5","Jameel Warney","Stony Brook","Fr.","6-8","F","33","165","267","61.8"
"6","Cory Jefferson","Baylor","Jr.","6-9","F","37","191","313","61.0"
"7","Mason Plumlee","Duke","Sr.","6-10","F","36","221","369","59.9"
"8","Victor Oladipo","Indiana","Jr.","6-5","G","36","182","304","59.9"
"9","Colton Iverson","Colorado St.","Sr.","6-10","C","35","183","307","59.6"
"10","Kyle Barone","Idaho","Sr.","6-10","C","30","178","299","59.5"
"11","Kinu Rochford","FDU","Sr.","6-6","F","27","164","277","59.2"
"12","Dequan Hicks","Northwestern St.","Jr.","6-7","F","29","161","276","58.3"
"13","Jeff Withey","Kansas","Sr.","7-0","C","37","185","318","58.2"
"14","Mitchell Patton","IU Indy","Jr.","6-9","C","27","153","263","58.2"
"15","Travis Wallace","North Florida","Jr.","6-6","F","32","183","317","57.7"
"16","Ben Aird","Utah Valley","Jr.","6-9","C","30","177","308","57.5"
"17","Mike Groselle","The Citadel","Sr.","6-8","C","30","189","329","57.4"
"18","Tymell Murphy","FIU","Jr.","6-5","F","32","196","342","57.3"
"19","Richard Howell","NC State","Sr.","6-8","F","35","183","321","57.0"
"20","Juvonte Reddic","VCU","Jr.","6-9","F","36","210","369","56.9"
"21","Alex Francis","Bryant","Jr.","6-6","F","31","211","371","56.9"
"22","Terell Parks","Western Ill.","Sr.","6-7","F","26","141","248","56.9"
"23","Fred Hunter","Nicholls","Sr.","6-5","F","27","186","328","56.7"
"24","Cody Zeller","Indiana","So.","7-0","F","36","199","354","56.2"
"25","D.J. Covington","VMI","Jr.","6-9","F","31","190","339","56.0"
"26","Tim Rusthoven","William & Mary","Jr.","6-9","F","30","168","300","56.0"
"27","Matthew Hezekiah","South Carolina St.","Jr.","6-11","F","30","175","314","55.7"
"28","Javon McCrea","Buffalo","Jr.","6-6","F","34","240","431","55.7"
"29","Stephen Maxwell","CSUN","So.","6-7","F","31","173","311","55.6"
"30","Murphy Holloway","Ole Miss","Sr.","6-7","F","36","214","385","55.6"
"31","Jalen Cannon","St. Francis Brooklyn","So.","6-6","F","30","170","306","55.6"
"32","Phillip Crawford","Alabama St.","Sr.","6-7","F","26","136","245","55.5"
"33","Tashawn Thomas","Houston","So.","6-8","G","33","234","424","55.2"
"34","Marc Trasolini","Santa Clara","Jr.","6-9","F","38","230","418","55.0"
"35","Jason Washburn","Utah","Sr.","7-0","C","33","166","302","55.0"
"36","Doug McDermott","Creighton","Jr.","6-8","F","36","284","518","54.8"
"37","Lucas Troutman","Elon","Jr.","6-10","F","31","194","355","54.6"
"38","Laurence Bowers","Missouri","Sr.","6-8","F","29","173","317","54.6"
"39","Akil Mitchell","Virginia","Jr.","6-8","F","35","177","325","54.5"
"40","Adam Pegg","Stetson","Sr.","6-9","C","25","165","303","54.5"
"41","Devin Booker","Clemson","Sr.","6-8","C","31","159","292","54.5"
"42","Derrick Barden","Northern Colo.","Jr.","6-5","F","31","163","300","54.3"
"43","Ian Clark","Belmont","Sr.","6-3","G","33","217","400","54.3"
"44","Chris Patton","UC Riverside","Jr.","6-10","F","30","168","310","54.2"
"45","Rashad Hassan","Savannah St.","Sr.","6-7","F","34","170","315","54.0"
"46","Lovell Cook","New Orleans","Sr.","6-6","F","26","150","278","54.0"
"47","Adrien Coleman","Bethune-Cookman","Jr.","6-5","G","34","233","432","53.9"
"48","Jarred Shaw","Utah St.","Jr.","6-10","C","31","179","332","53.9"
"49","Keith Rendleman","UNCW","Sr.","6-8","F","30","187","347","53.9"
"50","Kellen Thornton","Tennessee St.","Sr.","6-7","F","33","211","393","53.7"
"51","Keith Clanton","UCF","Sr.","6-8","F","31","167","312","53.5"
"52","Jonathon Williams","Wagner","Sr.","6-6","F","27","156","292","53.4"
"53","Doug Anderson","Detroit Mercy","Sr.","6-5","F","33","174","326","53.4"
"54","Anthony Bennett","UNLV","Fr.","6-8","F","35","202","379","53.3"
"55","Jerrelle Benimon","Towson","Jr.","6-8","F","31","188","353","53.3"
"56","Dan Trist","Lafayette","So.","6-9","F","29","150","282","53.2"
"57","Jackie Carmichael","Illinois St.","Sr.","6-9","F","33","213","404","52.7"
"58","Dez Wells","Maryland","So.","6-5","G","38","191","363","52.6"
"59","Romero Osby","Oklahoma","Sr.","6-8","F","32","174","331","52.6"
"60","Wesley Saunders","Harvard","So.","6-5","G","30","163","312","52.2"
"61","Brandon Davies","BYU","Sr.","6-9","F","36","229","439","52.2"
"62","Aaron Moore","Portland St.","Jr.","6-8","F","28","141","271","52.0"
"63","C.J. Leslie","NC State","Jr.","6-9","F","35","192","370","51.9"
"64","John Brown","High Point","Fr.","6-8","F","28","180","347","51.9"
"65","Ian Hummer","Princeton","Sr.","6-7","F","28","171","331","51.7"
"66","Chris Udofia","Denver","Jr.","6-6","F","32","162","314","51.6"
"67","Jamal Olasewere","LIU","Sr.","6-7","F","32","200","388","51.5"
"68","Allan Chaney","High Point","Sr.","6-9","F","30","160","312","51.3"
"69","Damen Bell-Holter","Oral Roberts","Sr.","6-10","F","35","190","371","51.2"
"70","Jeff Early","Southern Ill.","Sr.","6-1","G","30","154","301","51.2"
"71","Gabe Knutson","Lehigh","Sr.","6-9","F","30","151","296","51.0"
