 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/02/2012


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"1","Reggie Hamilton","Oakland","Sr.","5-11","G","36","281","118","262","942","26.2"
"2","Damian Lillard","Weber St.","Jr.","6-2","G","32","231","94","228","784","24.5"
"3","Doug McDermott","Creighton","So.","6-8","F","35","307","54","133","801","22.9"
"4","Shane Gibson","Sacred Heart","Jr.","6-2","G","32","253","87","112","705","22.0"
"5","C.J. McCollum","Lehigh","Jr.","6-3","G","35","254","60","198","766","21.9"
"6","Terrell Stoglin","Maryland","So.","6-1","G","32","220","91","159","690","21.6"
"7","Gerardo Suero","UAlbany","Jr.","6-4","G","32","220","29","220","689","21.5"
"8","Nate Wolters","South Dakota St.","Jr.","6-3","G","34","250","33","188","721","21.2"
"9","Frank Gaines","Purdue Fort Wayne","Jr.","6-3","G","30","207","49","172","635","21.2"
"10","Kevin Murphy","Tennessee Tech","Sr.","6-6","F","33","239","79","124","681","20.6"
"11","Colt Ryan","Evansville","Jr.","6-5","G","32","199","74","184","656","20.5"
"12","Nick Barbour","High Point","Sr.","6-3","G","31","185","108","155","633","20.4"
"13","Alex Young","IU Indy","Sr.","6-6","F","32","219","59","156","653","20.4"
"14","J'Covan Brown","Texas","Jr.","6-1","G","34","223","80","157","683","20.1"
"15","John Shurna","Northwestern","Sr.","6-9","F","33","228","95","110","661","20.0"
"16","Kevin Jones","West Virginia","Sr.","6-8","F","33","260","34","103","657","19.9"
"17","Mike Moore","Hofstra","Sr.","6-5","G","32","200","81","156","637","19.9"
"18","John Jenkins","Vanderbilt","Jr.","6-3","G","35","217","134","128","696","19.9"
"19","Dominique Morrison","Oral Roberts","Sr.","6-6","F","34","215","55","189","674","19.8"
"20","Orlando Johnson","UC Santa Barbara","Sr.","6-5","G","31","207","70","127","611","19.7"
"21","Darryl Partin","Boston U.","Sr.","6-6","G","32","218","69","123","628","19.6"
"22","Antwan Carter","Longwood","Sr.","6-6","C","31","245","23","88","601","19.4"
"23","Charles Odum","Portland St.","Sr.","6-0","G","32","192","38","190","612","19.1"
"24","George Beamon","Manhattan","Jr.","6-4","G","33","210","61","145","626","19.0"
"","Isaiah Canaan","Murray St.","Jr.","6-1","G","33","187","98","154","626","19.0"
"26","Ken Horton","Central Conn. St.","Sr.","6-6","F","28","192","46","101","531","19.0"
"27","Devon Saddler","Delaware","So.","6-2","G","32","193","59","158","603","18.8"
"28","Tim Frazier","Penn St.","Jr.","6-1","G","32","208","27","159","602","18.8"
"29","Wendell McKines","New Mexico St.","Sr.","6-6","F","35","233","51","136","653","18.7"
"30","Charles Hinkle","American","Sr.","6-5","G","32","175","85","156","591","18.5"
"","Andrew Nicholson","St. Bonaventure","Sr.","6-9","F","32","220","23","128","591","18.5"
"32","Trevis Simpson","UNC Greensboro","So.","6-4","G","30","186","61","117","550","18.3"
"33","Darius Johnson-Odom","Marquette","Sr.","6-2","G","34","210","77","126","623","18.3"
"34","Mike Glover","Iona","Sr.","6-7","F","33","239","0","126","604","18.3"
"35","Darrion Pellum","Hampton","Sr.","6-6","G","33","196","72","139","603","18.3"
"36","Zack Rosen","Penn","Sr.","6-1","G","33","211","75","105","602","18.2"
"37","Greg Mangano","Yale","Sr.","6-10","F","29","197","38","95","527","18.2"
"38","Brock Motum","Washington St.","Jr.","6-9","F","34","220","29","144","613","18.0"
"39","Will Barton","Memphis","So.","6-6","G","35","230","37","134","631","18.0"
"40","Mike Scott","Virginia","Sr.","6-8","F","32","215","6","139","575","18.0"
"41","Kyle Vinales","Central Conn. St.","Fr.","6-1","G","29","179","71","91","520","17.9"
"42","Jared Cunningham","Oregon St.","Jr.","6-4","G","36","198","50","199","645","17.9"
"43","Patrick Richard","McNeese","Sr.","6-4","F","33","190","50","160","590","17.9"
"44","Robert Covington","Tennessee St.","Jr.","6-9","F","33","212","65","100","589","17.8"
"","LaMarcus Reed","UT Arlington","Sr.","6-5","F","33","179","64","167","589","17.8"
"46","Thomas Robinson","Kansas","Jr.","6-9","F","39","261","7","163","692","17.7"
"47","Jeremy Lamb","UConn","So.","6-5","G","34","217","71","98","603","17.7"
"48","Marcus Denmon","Missouri","Sr.","6-3","G","35","200","99","120","619","17.7"
"49","Maalik Wayns","Villanova","Jr.","6-2","G","29","162","45","141","510","17.6"
"50","Jae Crowder","Marquette","Sr.","6-6","F","35","217","61","119","614","17.5"
"51","Tu Holloway","Xavier","Sr.","6-0","G","34","166","45","218","595","17.5"
"","Ella Ellis","Army West Point","Jr.","6-6","F","30","161","63","140","525","17.5"
"53","Jared Sullinger","Ohio St.","So.","6-9","F","37","228","16","175","647","17.5"
"54","Phil Martin","UC Riverside","Sr.","6-4","G","30","191","39","103","524","17.5"
"55","Keith Gabriel","VMI","Sr.","6-4","G","33","192","75","117","576","17.5"
"56","Cleveland Melvin","DePaul","So.","6-8","F","31","219","16","87","541","17.5"
"57","Jamaal Franklin","San Diego St.","So.","6-5","G","32","173","51","160","557","17.4"
"58","Casper Ware","Long Beach St.","Sr.","5-9","G","34","189","94","119","591","17.4"
"59","Julian Boyd","LIU","Jr.","6-7","F","33","206","21","140","573","17.4"
"60","Robby Ptacek","Central Conn. St.","Sr.","6-3","G","29","168","41","126","503","17.3"
"61","Jud Dillard","Tennessee Tech","Jr.","6-5","G","33","198","7","169","572","17.3"
"62","D.J. Seeley","Cal St. Fullerton","Jr.","6-4","G","31","169","66","133","537","17.3"
"63","Ramone Moore","Temple","Sr.","6-4","G","32","195","57","106","553","17.3"
"64","Reggie Chamberlain","Kansas City","Sr.","6-0","G","31","174","97","90","535","17.3"
"65","Khaliff Wyatt","Temple","Jr.","6-4","G","31","162","53","154","531","17.1"
"66","Mike James","Lamar University","Sr.","6-1","G","32","211","39","87","548","17.1"
"67","Brandon Riley","South Carolina St.","Sr.","6-2","G","28","176","51","76","479","17.1"
"68","Tony Gallo","Coppin St.","Sr.","5-11","G","30","149","80","135","513","17.1"
"69","Stan Okoye","VMI","Jr.","6-6","F","32","200","17","130","547","17.1"
"70","Chris Gaston","Fordham","Jr.","6-7","F","28","188","3","99","478","17.1"
"71","Keiton Page","Oklahoma St.","Sr.","5-9","G","32","164","103","115","546","17.1"
"72","Harrison Barnes","North Carolina","So.","6-8","F","38","229","49","141","648","17.1"
"73","Jaron Jones","Eastern Ky.","Sr.","6-5","G","32","187","24","147","545","17.0"
"74","Ryan Pearson","George Mason","Sr.","6-6","F","33","201","28","132","562","17.0"
"75","Mike Muscala","Bucknell","Jr.","6-11","F","35","193","7","203","596","17.0"
"76","Carl Jones","Saint Joseph's","Jr.","5-11","G","33","176","62","147","561","17.0"
"","D'Angelo Harrison","St. John's (NY)","Fr.","6-4","G","32","158","76","152","544","17.0"
"78","Preston Medlin","Utah St.","Jr.","6-4","G","37","204","95","125","628","17.0"
"79","Harold Washington","Canisius","Jr.","6-1","G","30","182","27","118","509","17.0"
"80","Gerald McLemore","Maine","Sr.","6-3","G","27","162","73","61","458","17.0"
"81","Chaz Williams","Massachusetts","So.","5-9","G","37","195","62","175","627","16.9"
"82","Darryl Bryant","West Virginia","Sr.","6-2","G","33","157","71","174","559","16.9"
"83","Jamal Olasewere","LIU","Jr.","6-7","F","34","197","14","165","573","16.9"
"84","Noah Hartsock","BYU","Sr.","6-8","F","34","216","12","128","572","16.8"
"85","Kendrick Perry","Youngstown St.","So.","6-0","G","31","177","54","113","521","16.8"
"86","Darren White","Campbell","Jr.","6-4","G","32","197","45","97","536","16.8"
"87","DeJuan Wright","FIU","Sr.","6-3","G","22","123","20","102","368","16.7"
"88","Devoe Joseph","Oregon","Sr.","6-4","G","28","166","66","70","468","16.7"
"89","Anthony Raffa","Coastal Carolina","Jr.","6-1","G","31","184","45","105","518","16.7"
"90","Mike Groselle","The Citadel","Jr.","6-8","C","30","198","0","105","501","16.7"
"","C.J. Harris","Wake Forest","Jr.","6-3","G","30","153","49","146","501","16.7"
"92","Rakim Sanders","Fairfield","Sr.","6-5","G","37","235","44","101","615","16.6"
"93","Tyshawn Taylor","Kansas","Sr.","6-3","G","39","226","58","137","647","16.6"
"94","Cliff Colimon","Eastern Wash.","Sr.","6-0","G","32","173","66","115","527","16.5"
"95","Ben Simons","Drake","Jr.","6-8","F","29","169","77","62","477","16.4"
"96","Torrey Craig","USC Upstate","So.","6-6","F","34","194","83","88","559","16.4"
"97","Dominique Sutton","N.C. Central","Sr.","6-5","F","32","183","0","160","526","16.4"
"98","Julian Mavunga","Miami (OH)","Sr.","6-8","F","30","150","25","168","493","16.4"
"99","Isiah Williams","Utah Valley","Sr.","6-1","G","33","185","83","89","542","16.4"
"100","Terrence Ross","Washington","So.","6-6","G","35","215","72","72","574","16.4"
"","Arnett Moultrie","Mississippi St.","Jr.","6-11","F","30","180","8","124","492","16.4"
"102","James Johnson","Quinnipiac","Sr.","6-0","G","31","171","68","98","508","16.4"
"103","Robbie Hummel","Purdue","Sr.","6-8","F","35","194","72","113","573","16.4"
"104","Rian Pearson","Toledo","So.","6-4","G","36","231","8","119","589","16.4"
"105","Tyler Zeller","North Carolina","Sr.","7-0","F","38","220","0","181","621","16.3"
"106","Mitchell Watt","Buffalo","Sr.","6-10","F","31","189","11","116","505","16.3"
"107","Draymond Green","Michigan St.","Sr.","6-7","F","37","212","52","125","601","16.2"
"108","Steven Pledger","Oklahoma","Jr.","6-4","G","30","170","72","75","487","16.2"
"109","Isaiah Wilkerson","NJIT","Sr.","5-10","G","32","179","44","115","517","16.2"
