 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/02/2012


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"110","Jeffery Taylor","Vanderbilt","Sr.","6-7","F","36","210","66","95","581","16.1"
"111","Drew Crawford","Northwestern","Jr.","6-5","F","33","195","61","81","532","16.1"
"112","Matt Dickey","UNC Asheville","Sr.","6-1","G","34","152","62","182","548","16.1"
"","Anthony Ireland","LMU (CA)","So.","5-10","G","34","190","50","118","548","16.1"
"114","Ian Hummer","Princeton","Jr.","6-7","F","32","190","19","116","515","16.1"
"115","Tahj Tate","Delaware St.","Fr.","6-4","G","24","145","28","68","386","16.1"
"116","Travis McKie","Wake Forest","So.","6-7","F","31","175","33","115","498","16.1"
"","Cameron Moore","UAB","Sr.","6-10","F","31","195","5","103","498","16.1"
"118","Jordan Theodore","Seton Hall","Sr.","6-0","G","34","176","44","150","546","16.1"
"119","Savalace Townsend","Ark.-Pine Bluff","Sr.","6-1","G","33","170","35","154","529","16.0"
"120","Andre Jones","Winthrop","Sr.","6-2","G","32","182","53","95","512","16.0"
"121","Velton Jones","Robert Morris","Jr.","6-0","G","37","162","60","207","591","16.0"
"122","Tony Wroten","Washington","Fr.","6-5","G","35","198","9","154","559","16.0"
"123","James Nunnally","UC Santa Barbara","Sr.","6-5","F","31","180","57","78","495","16.0"
"124","A.J. Davis","James Madison","Jr.","6-6","G","32","169","53","119","510","15.9"
"125","Antwaine Wiggins","Col. of Charleston","Sr.","6-7","F","31","176","60","82","494","15.9"
"126","Jeremy Granger","Eastern Ill.","Sr.","6-1","G","29","168","29","97","462","15.9"
"127","Travis Bader","Oakland","So.","6-5","G","36","188","124","73","573","15.9"
"128","Kenny Boynton","Florida","Jr.","6-2","G","37","187","110","104","588","15.9"
"129","Kyle O'Quinn","Norfolk St.","Sr.","6-10","C","36","205","6","156","572","15.9"
"130","Deshaun Thomas","Ohio St.","So.","6-7","F","39","243","50","83","619","15.9"
"131","Vincent Council","Providence","Jr.","6-2","G","31","184","29","95","492","15.9"
"132","Rodney McGruder","Kansas St.","Jr.","6-4","G","33","188","50","97","523","15.8"
"133","Ike Azotam","Quinnipiac","So.","6-7","F","32","202","0","102","506","15.8"
"134","James Kinney","San Jose St.","Jr.","6-2","G","31","170","86","64","490","15.8"
"135","Chase Tapley","San Diego St.","Jr.","6-2","G","34","200","77","60","537","15.8"
"136","Will Cherry","Montana","Jr.","6-1","G","32","161","51","132","505","15.8"
"137","Chris Braswell","Charlotte","Jr.","6-9","F","29","162","15","118","457","15.8"
"138","Dee Bost","Mississippi St.","Sr.","6-2","G","33","159","75","127","520","15.8"
"139","De'Mon Brooks","Davidson","So.","6-7","F","33","202","21","93","518","15.7"
"","Lamont Jones","Iona","Jr.","6-0","G","33","197","53","71","518","15.7"
"141","Eric Griffin","Campbell","Sr.","6-8","F","31","177","11","121","486","15.7"
"142","Cody Zeller","Indiana","Fr.","7-0","F","36","200","0","163","563","15.6"
"143","Kyle Weems","Missouri St.","Sr.","6-6","F","32","182","61","75","500","15.6"
"144","Kwame Vaughn","Cal St. Fullerton","Jr.","6-3","G","31","157","59","111","484","15.6"
"145","Michael Lyons","Air Force","Jr.","6-5","G","23","128","45","58","359","15.6"
"146","Erick Green","Virginia Tech","Jr.","6-4","G","31","170","42","101","483","15.6"
"","Shay Shine","High Point","Sr.","6-2","G","31","157","62","107","483","15.6"
"148","Moe Harkless","St. John's (NY)","Fr.","6-8","F","32","193","17","94","497","15.5"
"149","Matthew Dellavedova","Saint Mary's (CA)","Jr.","6-4","G","33","157","60","138","512","15.5"
"150","Langston Galloway","Saint Joseph's","So.","6-2","G","34","182","90","73","527","15.5"
"","Austin Rivers","Duke","Fr.","6-4","G","34","174","58","121","527","15.5"
"","Brian Barbour","Columbia","Jr.","6-1","G","30","141","37","146","465","15.5"
"153","Wes Eikmeier","Colorado St.","Jr.","6-3","G","32","166","55","108","495","15.5"
"154","Taylor Braun","North Dakota St.","So.","6-7","F","31","158","36","126","478","15.4"
"155","Ray McCallum","Detroit Mercy","So.","6-1","G","36","192","30","141","555","15.4"
"156","J.P. Primm","UNC Asheville","Sr.","6-1","G","34","158","75","133","524","15.4"
"157","Markeith Cummings","Kennesaw St.","Jr.","6-7","G","30","162","21","117","462","15.4"
"","Eric Ferguson","Ga. Southern","So.","6-7","G","30","187","8","80","462","15.4"
"159","Earl Pettis","La Salle","Sr.","6-5","G","34","199","58","67","523","15.4"
"160","Chase Plummer","UMBC","So.","6-6","F","29","155","17","119","446","15.4"
"161","Kent Bazemore","Old Dominion","Sr.","6-5","F","35","186","51","115","538","15.4"
"162","Alshwan Hymes","Canisius","Jr.","6-2","G","30","168","84","41","461","15.4"
"","Bo Spencer","Nebraska","Sr.","6-2","G","30","153","63","92","461","15.4"
"164","Kelvin Martin","Charleston So.","Sr.","6-5","F","31","187","2","100","476","15.4"
"165","Keith Rendleman","UNCW","Jr.","6-8","G","31","186","0","103","475","15.3"
"166","Ben Averkamp","Loyola Chicago","Jr.","6-8","F","28","165","26","72","428","15.3"
"167","Mike Liabo","UT Martin","So.","6-6","G","30","156","68","78","458","15.3"
"168","BJ Young","Arkansas","Fr.","6-3","G","32","177","50","84","488","15.3"
"169","Brandon Davies","BYU","Jr.","6-9","F","35","196","1","139","532","15.2"
"","Matt Gatens","Iowa","Sr.","6-5","G","35","173","75","111","532","15.2"
"171","Allen Crabbe","California","So.","6-6","G","34","179","83","75","516","15.2"
"172","Augustine Rubit","South Alabama","So.","6-7","C","29","159","0","122","440","15.2"
"173","Miguel Paul","East Carolina","Jr.","6-1","G","31","132","68","138","470","15.2"
"174","Herb Pope","Seton Hall","Sr.","6-8","F","33","193","17","96","499","15.1"
"175","Melquan Bolding","FDU","Jr.","6-3","G","25","125","38","90","378","15.1"
"176","Stephan Hicks","CSUN","Fr.","6-5","G","28","136","15","135","422","15.1"
"177","Rob Jones","Saint Mary's (CA)","Sr.","6-6","F","33","194","34","74","496","15.0"
"178","O.D. Anosike","Siena","Jr.","6-8","F","31","184","0","97","465","15.0"
"179","B.J. Monteiro","Duquesne","Sr.","6-5","F","28","164","23","68","419","15.0"
"180","Ryan Broekhoff","Valparaiso","Jr.","6-7","F","34","161","66","120","508","14.9"
"181","Adam Sollazzo","ETSU","Sr.","6-6","G","31","154","13","142","463","14.9"
"182","Adam Pegg","Stetson","Sr.","6-9","C","29","165","18","85","433","14.9"
"183","Humpty Hitchens","James Madison","Sr.","5-9","G","30","158","82","49","447","14.9"
"184","Laquentin Miles","Central Ark.","So.","6-5","G","28","163","0","91","417","14.9"
"185","Brad Loesing","Wofford","Sr.","6-0","G","33","170","53","98","491","14.9"
"186","Chris Gradnigo","Coastal Carolina","Sr.","6-7","F","30","172","39","63","446","14.9"
"187","Robert Nyakundi","SMU","Sr.","6-6","F","31","156","84","64","460","14.8"
"188","Trey Burke","Michigan","Fr.","6-0","G","34","177","57","93","504","14.8"
"189","Taylor Brown","Bradley","Sr.","6-6","F","28","142","25","105","414","14.8"
"190","Jordan Taylor","Wisconsin","Sr.","6-1","G","36","166","65","135","532","14.8"
"191","Deonte Burton","Nevada","So.","6-1","G","35","147","58","165","517","14.8"
"192","Kevin Giltner","Wofford","Sr.","6-6","F","33","165","86","71","487","14.8"
"193","Bradley Beal","Florida","Fr.","6-3","G","37","175","63","133","546","14.8"
"194","D.J. Cooper","Ohio","Jr.","5-11","G","37","162","75","146","545","14.7"
"195","Javon McCrea","Buffalo","So.","6-6","F","31","190","0","76","456","14.7"
"","Tyler Stone","Southeast Mo. St.","So.","6-8","F","31","193","8","62","456","14.7"
"197","C.J. Leslie","NC State","So.","6-9","F","34","192","4","112","500","14.7"
"198","Jarrod Jones","Ball St.","Sr.","6-9","F","30","161","13","106","441","14.7"
"","Jonathon Simmons","Houston","Jr.","6-6","G","30","154","32","101","441","14.7"
"200","Kenny McGowen","Idaho St.","Sr.","6-0","G","30","136","67","101","440","14.7"
"201","Damier Pitts","Marshall","Sr.","5-10","G","35","180","72","81","513","14.7"
"202","Brandon Paul","Illinois","Jr.","6-4","G","32","145","54","125","469","14.7"
"203","Kelsey Howard","Jackson St.","Fr.","6-4","G","31","151","46","106","454","14.6"
"204","Ray Willis","N.C. Central","Jr.","6-6","G","32","137","24","170","468","14.6"
"205","Ashton Gibbs","Pittsburgh","Sr.","6-2","G","37","183","81","94","541","14.6"
"206","LaRon Dendy","Middle Tenn.","Sr.","6-9","F","34","175","12","135","497","14.6"
"207","Devin Brown","Holy Cross","Sr.","6-1","G","29","136","55","96","423","14.6"
"208","Latif Rivers","Wagner","So.","6-1","G","31","143","59","107","452","14.6"
"209","Darien Brothers","Richmond","Jr.","6-3","G","32","146","68","106","466","14.6"
"","Nathaniel Lester","Hofstra","Sr.","6-5","F","32","153","19","141","466","14.6"
"211","Tim Hardaway Jr.","Michigan","So.","6-6","G","34","167","53","108","495","14.6"
"212","Jonathan Lee","Northeastern","Jr.","6-2","G","31","151","50","99","451","14.5"
"","Brandon Young","DePaul","So.","6-4","G","31","162","36","91","451","14.5"
"214","Keith Clanton","UCF","Jr.","6-8","F","33","176","39","89","480","14.5"
"215","Parker Smith","North Florida","Jr.","6-3","G","32","143","96","83","465","14.5"
"216","Scott Bamforth","Weber St.","Jr.","6-2","G","31","134","77","105","450","14.5"
"217","Anthony Miles","Lamar University","Sr.","6-0","G","35","149","29","181","508","14.5"
"218","William Buford","Ohio St.","Sr.","6-6","G","39","205","62","94","566","14.5"
"219","Kim English","Missouri","Sr.","6-6","G","35","171","78","87","507","14.5"
"220","Jack Isenbarger","Elon","So.","6-2","G","29","133","73","81","420","14.5"
"221","Brian Stafford","Denver","Sr.","6-4","G","31","146","75","81","448","14.5"
"","Chris Udofia","Denver","So.","6-6","F","31","165","21","97","448","14.5"
"223","Ryan Willen","Lafayette","Sr.","6-8","F","31","129","30","158","446","14.4"
"224","Chavaughn Lewis","Marist","Fr.","6-5","G","32","150","26","134","460","14.4"
"225","Jake Cohen","Davidson","Jr.","6-10","F","33","151","30","141","473","14.3"
"226","Vander Joaquim","Hawaii","Jr.","6-10","C","32","172","0","114","458","14.3"
"227","Bryce Cotton","Providence","So.","6-1","G","32","145","77","90","457","14.3"
"","Ladontae Henton","Providence","Fr.","6-6","F","32","168","44","77","457","14.3"
"229","Sean Kilpatrick","Cincinnati","So.","6-4","G","37","185","92","66","528","14.3"
"230","Angelo Caloiaro","San Francisco","Sr.","6-7","F","34","147","56","134","484","14.2"
"231","C.J. Wilcox","Washington","So.","6-5","G","32","152","73","78","455","14.2"
"232","Gerald Robinson","Georgia","Sr.","6-1","G","32","159","26","110","454","14.2"
"233","Anthony Davis","Kentucky","Fr.","6-10","F","40","210","3","144","567","14.2"
"234","Malik Story","Nevada","Jr.","6-5","G","35","166","94","69","495","14.1"
"235","Ramon Galloway","La Salle","Jr.","6-2","G","31","154","68","62","438","14.1"
"","Jackson Stevenett","Southern Utah","Jr.","6-4","F","31","166","9","97","438","14.1"
"237","Kevin Van Wijk","Valparaiso","Jr.","6-8","F","31","153","0","131","437","14.1"
"238","Chehales Tapscott","Portland St.","Sr.","6-5","F","32","154","14","129","451","14.1"
"239","Greg Gantt","Fla. Atlantic","Jr.","6-2","G","27","140","60","39","379","14.0"
"240","Jason Clark","Georgetown","Sr.","6-2","G","33","159","48","96","462","14.0"
"","Justin Greene","Kent St.","Sr.","6-8","F","32","162","0","124","448","14.0"
"","Zane Johnson","Hawaii","Sr.","6-6","G","29","125","82","74","406","14.0"
"","Robert Mansell","Binghamton","So.","6-4","G","28","126","25","115","392","14.0"
"244","Michael Snaer","Florida St.","Jr.","6-5","G","35","167","67","88","489","14.0"
"245","Donte Poole","Murray St.","Sr.","6-3","G","33","139","68","115","461","14.0"
"246","JaMychal Green","Alabama","Sr.","6-8","F","26","136","2","89","363","14.0"
"247","Jackie Carmichael","Illinois St.","Jr.","6-9","F","35","168","2","150","488","13.9"
"248","Raheem Appleby","Louisiana Tech","Fr.","6-4","G","32","173","40","60","446","13.9"
"","Collin Chiverton","Eastern Wash.","Jr.","6-6","F","32","147","88","64","446","13.9"
"250","Jeremy Allen","FIU","Sr.","6-4","G","29","131","52","90","404","13.9"
Reclassifying
"NR","Charlie Westbrook","South Dakota","Sr.","6-4","G","28","183","37","121","524","18.7"
"NR","Mitch Albers","Omaha","Sr.","6-4","G","29","188","43","113","532","18.3"
"NR","Aaron Broussard","Seattle U","Sr.","6-5","F","27","184","35","89","492","18.2"
"NR","Alex Francis","Bryant","So.","6-6","F","30","185","13","126","509","17.0"
"NR","Al'lonzo Coleman","Presbyterian","Sr.","6-8","C","29","163","2","163","491","16.9"
"NR","Louie Krogman","South Dakota","Sr.","6-1","G","28","166","80","59","471","16.8"
"NR","Mark Yelovich","SIUE","Jr.","6-6","F","26","146","17","84","393","15.1"

NCAA Men's Basketball
Division IField-Goal Percentage
Through Games 04/02/2012

Min. 5 made per game
       
"Rank","Name","Team","Cl","Ht","Pos","G","FGM","FGA","FG%"
"1","Ricardo Ratliffe","Missouri","Sr.","6-8","F","35","210","303","69.3"
"2","Mike Glover","Iona","Sr.","6-7","F","33","239","375","63.7"
"3","Anthony Davis","Kentucky","Fr.","6-10","F","40","210","337","62.3"
"4","Cody Zeller","Indiana","Fr.","7-0","F","36","200","321","62.3"
"5","Eric Griffin","Campbell","Sr.","6-8","F","31","177","290","61.0"
"6","Doug McDermott","Creighton","So.","6-8","F","35","307","511","60.1"
"7","Mike Groselle","The Citadel","Jr.","6-8","C","30","198","335","59.1"
"8","Trey McCorkle","Purdue Fort Wayne","Sr.","6-10","F","29","152","258","58.9"
"9","Kelvin Martin","Charleston So.","Sr.","6-5","F","31","187","318","58.8"
"10","Meyers Leonard","Illinois","So.","7-0","C","32","170","291","58.4"
"11","Dominique Sutton","N.C. Central","Sr.","6-5","F","32","183","316","57.9"
"12","Kyle O'Quinn","Norfolk St.","Sr.","6-10","C","36","205","358","57.3"
"13","Javon McCrea","Buffalo","So.","6-6","F","31","190","332","57.2"
"14","Andrew Nicholson","St. Bonaventure","Sr.","6-9","F","32","220","385","57.1"
"15","Jamal Olasewere","LIU","Jr.","6-7","F","34","197","345","57.1"
"16","Rashad Hassan","Savannah St.","Jr.","6-7","F","33","175","307","57.0"
"17","Eric Ferguson","Ga. Southern","So.","6-7","G","30","187","329","56.8"
"18","Noah Hartsock","BYU","Sr.","6-8","F","34","216","382","56.5"
"19","Mike Scott","Virginia","Sr.","6-8","F","32","215","382","56.3"
"20","Vander Joaquim","Hawaii","Jr.","6-10","C","32","172","307","56.0"
"21","Julian Boyd","LIU","Jr.","6-7","F","33","206","370","55.7"
"22","Ike Azotam","Quinnipiac","So.","6-7","F","32","202","363","55.6"
"23","Mitchell Watt","Buffalo","Sr.","6-10","F","31","189","341","55.4"
"24","Brock Motum","Washington St.","Jr.","6-9","F","34","220","397","55.4"
"25","Tyler Zeller","North Carolina","Sr.","7-0","F","38","220","398","55.3"
"26","Arnett Moultrie","Mississippi St.","Jr.","6-11","F","30","180","328","54.9"
"27","JaMychal Green","Alabama","Sr.","6-8","F","26","136","249","54.6"
"28","Alasdair Fraser","Maine","So.","6-7","F","27","153","282","54.3"
"29","Darrius Morrow","East Carolina","Sr.","6-8","F","31","160","295","54.2"
"30","Garrett Stutz","Wichita St.","Sr.","7-0","C","32","161","297","54.2"
"31","Drew Gordon","New Mexico","Sr.","6-9","F","35","188","347","54.2"
"32","Olek Czyz","Nevada","Sr.","6-7","F","35","180","333","54.1"
"33","Chris Udofia","Denver","So.","6-6","F","31","165","309","53.4"
"34","Royce White","Iowa St.","So.","6-8","F","34","175","328","53.4"
"35","Jaron Jones","Eastern Ky.","Sr.","6-5","G","32","187","352","53.1"
"36","LaRon Dendy","Middle Tenn.","Sr.","6-9","F","34","175","330","53.0"
"37","Tyler Stone","Southeast Mo. St.","So.","6-8","F","31","193","364","53.0"
"38","De'Mon Brooks","Davidson","So.","6-7","F","33","202","381","53.0"
"39","Erik Etherly","Loyola Maryland","Jr.","6-7","F","33","168","317","53.0"
"40","Keith Rendleman","UNCW","Jr.","6-8","G","31","186","351","53.0"
"41","Charles Odum","Portland St.","Sr.","6-0","G","32","192","363","52.9"
"42","Joston Thomas","Hawaii","Jr.","6-7","F","32","166","315","52.7"
"43","Robert Covington","Tennessee St.","Jr.","6-9","F","33","212","403","52.6"
"44","Matt Staff","Texas St.","Jr.","6-10","F","30","158","301","52.5"
"45","C.J. Leslie","NC State","So.","6-9","F","34","192","366","52.5"
"46","O.D. Anosike","Siena","Jr.","6-8","F","31","184","351","52.4"
"47","Lucas Troutman","Elon","So.","6-10","F","31","159","304","52.3"
"48","Deshaun Thomas","Ohio St.","So.","6-7","F","39","243","467","52.0"
"49","Darren White","Campbell","Jr.","6-4","G","32","197","379","52.0"
"50","Taylor Braun","North Dakota St.","So.","6-7","F","31","158","304","52.0"
"51","Stan Okoye","VMI","Jr.","6-6","F","32","200","385","51.9"
"52","Jared Sullinger","Ohio St.","So.","6-9","F","37","228","439","51.9"
"53","Jud Dillard","Tennessee Tech","Jr.","6-5","G","33","198","383","51.7"
"54","Brandon Davies","BYU","Jr.","6-9","F","35","196","380","51.6"
"55","Adam Pegg","Stetson","Sr.","6-9","C","29","165","320","51.6"
"56","Jackson Stevenett","Southern Utah","Jr.","6-4","F","31","166","324","51.2"
"57","Jonathon Simmons","Houston","Jr.","6-6","G","30","154","301","51.2"
"58","Wil Carter","San Jose St.","Sr.","6-8","F","31","155","303","51.2"
"59","Chris Braswell","Charlotte","Jr.","6-9","F","29","162","317","51.1"
"60","Antwan Carter","Longwood","Sr.","6-6","C","31","245","480","51.0"
"61","Shane Gibson","Sacred Heart","Jr.","6-2","G","32","253","496","51.0"
"62","Will Barton","Memphis","So.","6-6","G","35","230","452","50.9"
"63","Kevin Jones","West Virginia","Sr.","6-8","F","33","260","511","50.9"
"64","Thomas Robinson","Kansas","Jr.","6-9","F","39","261","517","50.5"
"65","Augustine Rubit","South Alabama","So.","6-7","C","29","159","315","50.5"
"66","BJ Young","Arkansas","Fr.","6-3","G","32","177","351","50.4"
