 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/03/2017


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"1","Marcus Keene","Central Mich.","Jr.","5-9","G","32","313","125","208","959","30.0"
"2","Chris Clemons","Campbell","So.","5-9","G","36","301","118","184","904","25.1"
"3","Mike Daum","South Dakota St.","So.","6-9","F","35","274","79","251","878","25.1"
"4","Dallas Moore","North Florida","Sr.","6-1","G","34","299","100","114","812","23.9"
"5","Randy Onwuasor","Southern Utah","Sr.","6-3","G","33","253","59","215","780","23.6"
"6","Markelle Fultz","Washington","Fr.","6-4","G","25","209","52","109","579","23.2"
"7","Tyler Hall","Montana St.","So.","6-5","G","32","240","120","139","739","23.1"
"8","Alec Peters","Valparaiso","Sr.","6-9","F","29","218","58","172","666","23.0"
"9","Cameron Morse","Youngstown St.","Jr.","6-2","G","31","260","76","115","711","22.9"
"10","Rashawn Thomas","A&M-Corpus Christi","Sr.","6-8","F","34","268","14","215","765","22.5"
"11","Keon Johnson","Winthrop","Sr.","5-7","G","32","221","102","171","715","22.3"
"12","Jack Gibbs","Davidson","Sr.","6-0","G","31","215","94","161","685","22.1"
"13","Jonathan Stark","Murray St.","Jr.","6-0","G","33","249","108","117","723","21.9"
"14","T.J. Williams","Northeastern","Sr.","6-3","G","30","202","36","202","642","21.4"
"15","Sindarius Thornwell","South Carolina","Sr.","6-5","G","31","195","58","215","663","21.4"
"16","Lamond Murray Jr.","Pepperdine","Sr.","6-5","G","31","251","51","109","662","21.4"
"17","Braylon Rayson","Central Mich.","Sr.","5-9","G","32","209","93","168","679","21.2"
"18","Kendrick Ray","Kennesaw St.","Sr.","6-1","G","31","244","86","82","656","21.2"
"19","Jeremy Senglin","Weber St.","Sr.","6-2","G","34","233","132","121","719","21.1"
"20","Tiwian Kendley","Morgan St.","Jr.","6-5","G","23","139","48","158","484","21.0"
"21","Victor Sanders","Idaho","Jr.","6-5","G","32","206","101","157","670","20.9"
"22","Frank Mason","Kansas","Sr.","5-11","G","36","241","82","189","753","20.9"
"23","Jaylon Brown","Evansville","Sr.","6-0","G","33","220","38","211","689","20.9"
"24","Jaylen Adams","St. Bonaventure","Jr.","6-5","G","30","168","77","206","619","20.6"
"25","Bogdan Bliznyuk","Eastern Wash.","Jr.","6-6","F","34","251","38","161","701","20.6"
"26","Rob Gray","Houston","Jr.","6-1","G","31","233","63","109","638","20.6"
"27","Peyton Aldridge","Davidson","Jr.","6-7","F","32","233","70","120","656","20.5"
"28","Gian Clavell","Colorado St.","Sr.","6-4","G","27","193","78","88","552","20.4"
"29","Jacob Wiley","Eastern Wash.","Sr.","6-7","F","34","265","5","159","694","20.4"
"30","Tim Kempton","Lehigh","Sr.","6-10","C","32","231","23","168","653","20.4"
"31","Garrison Mathews","Lipscomb","So.","6-5","G","32","202","89","159","652","20.4"
"32","Josh Robinson","Austin Peay","Jr.","6-3","G","29","187","71","145","590","20.3"
"33","Eric Mika","BYU","So.","6-10","F","34","233","0","225","691","20.3"
