 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/03/2017


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"34","Nisré Zouzoua","Bryant","So.","6-3","G","31","208","92","120","628","20.3"
"35","Evan Bradds","Belmont","Sr.","6-7","F","29","233","4","111","581","20.0"
"36","Garret Covington","Western Ill.","Sr.","6-5","G","28","178","86","115","557","19.9"
"37","Peter Jok","Iowa","Sr.","6-6","G","32","199","84","154","636","19.9"
"38","Jalen Ross","Hartford","Sr.","6-0","G","29","173","69","161","576","19.9"
"39","Malik Monk","Kentucky","Fr.","6-3","G","38","251","104","148","754","19.8"
"40","Jon Elmore","Marshall","Jr.","6-3","G","35","210","83","188","691","19.7"
"41","Marcus Marshall","Nevada","Sr.","6-3","G","35","205","115","164","689","19.7"
"42","Justin Robinson","Monmouth","Sr.","5-8","G","34","212","96","149","669","19.7"
"43","Ike Smith","Ga. Southern","So.","6-4","G","33","230","61","127","648","19.6"
"","Michael Young","Pittsburgh","Sr.","6-9","F","33","217","42","172","648","19.6"
"45","QJ Peterson","VMI","Sr.","6-0","G","30","200","78","111","589","19.6"
"46","Jonathan Williams","Toledo","Sr.","6-4","G","32","212","66","138","628","19.6"
"47","Jon Davis","Charlotte","So.","6-3","G","30","196","49","147","588","19.6"
"48","Jacolby Mobley","UT Martin","Sr.","6-0","G","29","182","95","107","566","19.5"
"49","Luke Kennard","Duke","So.","6-5","G","37","237","88","160","722","19.5"
"50","Tyler Nelson","Fairfield","Jr.","6-3","G","31","196","81","131","604","19.5"
"51","Jordan Howard","Central Ark.","Jr.","5-11","G","32","189","101","144","623","19.5"
"52","Jonathan Wade","Norfolk St.","Sr.","6-4","G","34","217","61","163","658","19.4"
"53","Jordan Davis","Northern Colo.","So.","6-2","G","29","210","25","115","560","19.3"
"54","Patrick Cole","N.C. Central","Sr.","6-5","G","33","203","66","164","636","19.3"
"55","Quinton Hooker","North Dakota","Sr.","6-0","G","32","202","84","128","616","19.3"
"","Erik Thomas","New Orleans","Sr.","6-5","F","32","223","4","166","616","19.3"
"","Thomas Wilder","Western Mich.","Jr.","6-3","G","32","197","63","159","616","19.3"
"58","Daniel Dixon","William & Mary","Sr.","6-6","G","30","188","73","127","576","19.2"
"59","Dedric Lawson","Memphis","So.","6-9","F","32","216","30","152","614","19.2"
"60","Jawun Evans","Oklahoma St.","So.","6-1","G","32","211","36","155","613","19.2"
"61","John Collins","Wake Forest","So.","6-10","C","33","234","0","164","632","19.2"
"62","T.J. Cromer","ETSU","Sr.","6-3","G","35","224","106","116","670","19.1"
"63","Marcus Evans","Rice","So.","6-2","G","35","197","86","185","665","19.0"
"","Semi Ojeleye","SMU","Jr.","6-7","F","35","210","73","172","665","19.0"
"","Mark Alstork","Wright St.","Jr.","6-5","G","32","181","70","176","608","19.0"
"66","Jimmy Hall","Kent St.","Sr.","6-8","F","36","267","3","146","683","19.0"
"67","Quincy McKnight","Sacred Heart","So.","6-4","G","32","203","27","172","605","18.9"
"68","Jairus Lyles","UMBC","Jr.","6-2","G","32","210","45","139","604","18.9"
"69","Nick Dixon","UTRGV","Jr.","6-2","G","32","201","28","173","603","18.8"
"70","J.J. Frazier","Georgia","Sr.","5-10","G","34","199","55","187","640","18.8"
"71","Fred Sims","Chicago St.","So.","6-4","G","31","210","71","92","583","18.8"
"72","Elijah Brown","New Mexico","Jr.","6-4","G","31","166","68","182","582","18.8"
"73","Josh Hart","Villanova","Sr.","6-5","G","36","236","74","127","673","18.7"
"74","Jerome Robinson","Boston College","So.","6-5","G","32","213","54","117","597","18.7"
"75","Matt Mooney","South Dakota","So.","6-3","G","34","222","76","114","634","18.6"
"76","Torian Graham","Arizona St.","Sr.","6-4","G","33","230","108","46","614","18.6"
"77","Fletcher Magee","Wofford","So.","6-4","G","33","196","112","109","613","18.6"
"78","Nick Mayo","Eastern Ky.","So.","6-9","F","31","203","32","137","575","18.5"
"79","Matt Mobley","St. Bonaventure","Jr.","6-3","G","32","176","86","155","593","18.5"
"80","T.J. Cline","Richmond","Sr.","6-9","F","35","243","48","114","648","18.5"
"81","Brandon Goodwin","FGCU","Jr.","6-2","G","34","219","55","136","629","18.5"
"82","Trevon Bluiett","Xavier","Jr.","6-6","G","36","212","91","150","665","18.5"
"83","Andrew White III","Syracuse","Sr.","6-7","G","34","199","112","118","628","18.5"
"84","Caleb Swanigan","Purdue","So.","6-9","F","35","222","38","164","646","18.5"
"85","Donte McGill","FIU","Sr.","6-3","G","27","182","26","105","495","18.3"
"86","Tyler Cavanaugh","George Washington","Sr.","6-9","F","35","200","67","173","640","18.3"
"87","Justin Jackson","North Carolina","Jr.","6-8","F","40","264","105","98","731","18.3"
"88","Marcus Foster","Creighton","Jr.","6-3","G","35","245","73","75","638","18.2"
"89","Yante Maten","Georgia","Jr.","6-8","F","29","179","21","149","528","18.2"
"90","Egor Koulechov","Rice","Jr.","6-5","F","35","208","81","140","637","18.2"
"91","Jamel Artis","Pittsburgh","Sr.","6-7","F","32","196","74","116","582","18.2"
"92","Dennis Smith","NC State","Fr.","6-3","G","32","191","55","143","580","18.1"
"","Justin Wright-Foreman","Hofstra","So.","6-2","G","32","208","67","97","580","18.1"
"94","Preston Parks","The Citadel","Fr.","6-2","G","30","185","77","96","543","18.1"
"95","Jared Brownridge","Santa Clara","Sr.","6-2","G","33","190","106","111","597","18.1"
"96","Derrick White","Colorado","Sr.","6-5","G","34","205","57","148","615","18.1"
"97","Matt Morgan","Cornell","So.","6-3","G","28","165","86","90","506","18.1"
"98","Rodney Pryor","Georgetown","Sr.","6-5","G","32","212","84","69","577","18.0"
"99","Jordan Washington","Iona","Sr.","6-8","F","35","233","1","162","629","18.0"
"100","Ahmad Thomas","UNC Asheville","Jr.","6-3","G","33","243","37","70","593","18.0"
"101","Khallid Hart","Marist","Sr.","6-2","G","32","186","64","137","573","17.9"
"102","David Nichols","UAlbany","So.","6-0","G","35","248","51","78","625","17.9"
"103","Brandon Tabb","Bethune-Cookman","Jr.","6-5","G","32","187","106","90","570","17.8"
"104","Lavell Boyd","Kansas City","Sr.","6-0","G","35","189","87","158","623","17.8"
"","Joe Chealey","Col. of Charleston","Jr.","6-4","G","35","175","65","208","623","17.8"
"106","Martez Walker","Oakland","Jr.","6-6","G","34","195","71","143","604","17.8"
"107","Bonzie Colson","Notre Dame","Jr.","6-5","F","36","236","26","141","639","17.8"
"","Derick Newton","Stetson","So.","6-7","F","32","184","61","139","568","17.8"
"109","Erik McCree","Louisiana Tech","Sr.","6-8","F","33","202","54","127","585","17.7"
"110","Devin Sibley","Furman","Jr.","6-2","G","34","201","79","121","602","17.7"
"111","Jaron Blossomgame","Clemson","Sr.","6-7","F","33","220","24","120","584","17.7"
"112","J.R. Holder","Jacksonville","Sr.","6-7","F","32","200","45","120","565","17.7"
"113","Ahmaad Rorie","Montana","Jr.","6-1","G","31","192","63","100","547","17.6"
"114","B.J. Johnson","La Salle","Jr.","6-7","F","29","168","64","109","509","17.6"
"115","Shawn Prudhomme","Southern U.","Sr.","6-4","F","33","212","75","80","579","17.5"
"116","Tre' Coggins","Cal St. Fullerton","Sr.","6-2","G","30","177","89","82","525","17.5"
"117","Evan Boudreaux","Dartmouth","So.","6-8","F","27","166","37","103","472","17.5"
"118","Blake Hamilton","Buffalo","Sr.","6-6","G","32","189","59","122","559","17.5"
"119","Jeffrey Carroll","Oklahoma St.","Jr.","6-6","G","33","198","59","121","576","17.5"
"120","Bakari Copeland","UMES","Sr.","6-6","F","34","194","40","164","592","17.4"
"121","Reid Travis","Stanford","Jr.","6-8","F","27","176","0","118","470","17.4"
"122","Chandler Hutchison","Boise St.","Jr.","6-7","G","32","207","26","117","557","17.4"
"123","Albert Owens","Oral Roberts","Jr.","6-9","C","30","206","3","107","522","17.4"
"124","B.J. Taylor","UCF","So.","6-2","G","29","165","48","126","504","17.4"
"125","Damyean Dotson","Houston","Sr.","6-5","G","32","202","108","44","556","17.4"
"126","C.J. Bryce","UNCW","So.","6-5","G","35","231","42","104","608","17.4"
"127","Shamorie Ponds","St. John's (NY)","Fr.","6-1","G","33","191","75","116","573","17.4"
"128","Johnathan Motley","Baylor","Jr.","6-10","F","34","226","9","128","589","17.3"
"129","Christian Keeling","Charleston So.","Fr.","6-3","G","31","183","25","146","537","17.3"
"130","Brandon Clarke","San Jose St.","So.","6-8","G","30","219","1","79","518","17.3"
"","Steven Spieth","Brown","Sr.","6-6","G","30","153","50","162","518","17.3"
"132","Jacorey Williams","Middle Tenn.","Sr.","6-8","F","36","258","2","103","621","17.3"
"133","Dwayne Bacon","Florida St.","So.","6-7","G","35","221","57","104","603","17.2"
"","Malcolm Hill","Illinois","Sr.","6-6","G","35","189","65","160","603","17.2"
"135","Antonio Blakeney","LSU","So.","6-4","G","31","194","53","92","533","17.2"
"","Ria'N Holland","Mercer","Jr.","6-0","G","31","177","77","102","533","17.2"
"137","Tanner Leissner","New Hampshire","Jr.","6-6","F","32","185","21","156","547","17.1"
"","Marcus Tyus","Omaha","Sr.","6-1","G","32","171","72","133","547","17.1"
"139","Khris Lane","Longwood","Jr.","6-6","F","30","208","32","64","512","17.1"
"140","Tookie Brown","Ga. Southern","So.","5-11","G","33","177","61","148","563","17.1"
"","Khadeen Carrington","Seton Hall","Jr.","6-4","G","33","189","63","122","563","17.1"
"142","Kevin Hervey","UT Arlington","Jr.","6-7","F","35","208","68","113","597","17.1"
"143","James Blackmon Jr.","Indiana","Jr.","6-4","G","30","174","91","72","511","17.0"
"","John Murry","Austin Peay","Sr.","6-4","G","30","165","41","140","511","17.0"
"145","Cameron Reynolds","Tulane","Jr.","6-8","G","31","184","78","82","528","17.0"
"","Tai Webster","Nebraska","Sr.","6-4","G","31","183","40","122","528","17.0"
"147","Matt Scott","Niagara","Jr.","6-4","G","33","187","65","122","561","17.0"
"148","Omega Harris","UTEP","Jr.","6-3","G","31","183","49","111","526","17.0"
"","Jalen Moore","Utah St.","Sr.","6-9","F","31","181","63","101","526","17.0"
"150","Darian Anderson","FDU","Jr.","6-1","G","29","165","57","105","492","17.0"
"151","Ethan Telfair","Idaho St.","Sr.","6-0","G","28","146","42","141","475","17.0"
"152","Jock Landale","Saint Mary's (CA)","Jr.","6-11","C","34","229","4","114","576","16.9"
"","Marquise Moore","George Mason","Sr.","6-2","G","34","202","10","162","576","16.9"
"154","Ehab Amin","A&M-Corpus Christi","Jr.","6-4","G","36","225","43","116","609","16.9"
"155","Ervin Mitchell","Grambling","Fr.","6-4","G","30","166","42","133","507","16.9"
"156","Troyce Manassa","Savannah St.","Sr.","6-4","G","29","161","64","104","490","16.9"
"157","Miles Bridges","Michigan St.","Fr.","6-7","F","28","177","56","63","473","16.9"
"158","Mo Evans","Purdue Fort Wayne","Sr.","6-1","G","33","197","100","63","557","16.9"
"159","Wesley Myers","Maine","Jr.","6-1","G","28","164","34","110","472","16.9"
"160","Melo Trimble","Maryland","Jr.","6-3","G","33","180","58","138","556","16.8"
"161","Nigel Williams-Goss","Gonzaga","Jr.","6-3","G","38","220","43","157","640","16.8"
"162","Jerome Frink","LIU","Sr.","6-7","F","31","200","29","93","522","16.8"
"163","Jayson Tatum","Duke","Fr.","6-8","F","29","165","40","118","488","16.8"
"164","Marquis Wright","Siena","Sr.","6-1","G","33","191","53","120","555","16.8"
"165","Darell Combs","IU Indy","Sr.","6-2","G","32","187","63","100","537","16.8"
"166","Shawndre' Jones","Richmond","Sr.","5-11","G","35","198","69","122","587","16.8"
"","Zach Lofton","Texas Southern","Jr.","6-3","G","35","185","33","184","587","16.8"
"168","Ronshad Shabazz","App State","So.","6-5","G","30","176","66","84","502","16.7"
"","Kendall Smith","CSUN","Jr.","6-3","G","30","171","45","115","502","16.7"
"170","Paul Miller","North Dakota St.","Jr.","6-6","G","30","161","74","105","501","16.7"
"171","Ian Baker","New Mexico St.","Sr.","6-0","G","33","164","63","160","551","16.7"
"172","De'Aaron Fox","Kentucky","Fr.","6-3","G","36","214","17","156","601","16.7"
"173","Antonio Green","UTRGV","So.","6-2","G","32","177","111","69","534","16.7"
"174","Michael Weathers","Miami (OH)","Fr.","6-2","G","32","177","19","160","533","16.7"
"175","Antonius Cleveland","Southeast Mo. St.","Sr.","6-6","G","33","208","28","105","549","16.6"
"176","Isaiah Johnson","Akron","Sr.","6-10","C","36","223","0","152","598","16.6"
"177","Phillip Carr","Morgan St.","Jr.","6-8","F","25","150","13","102","415","16.6"
"178","Divine Myles","Stetson","Jr.","5-11","G","31","189","30","105","513","16.5"
"179","Jordon Varnado","Troy","So.","6-6","F","37","233","28","118","612","16.5"
"180","Mikey Dixon","Quinnipiac","Fr.","6-2","G","31","171","60","110","512","16.5"
"181","Rob Edwards","Cleveland St.","So.","6-4","G","31","167","63","114","511","16.5"
"182","Quinndary Weatherspoon","Mississippi St.","So.","6-4","G","29","173","47","85","478","16.5"
"183","Deandre Burnett","Ole Miss","Jr.","6-2","G","33","139","73","192","543","16.5"
"","Xavier Cooks","Winthrop","Jr.","6-8","F","33","196","38","113","543","16.5"
"","Zach LeDay","Virginia Tech","Sr.","6-7","F","33","183","11","166","543","16.5"
"186","Devin Carter","Arkansas St.","Sr.","6-5","G","32","177","102","70","526","16.4"
"187","Monté Morris","Iowa St.","Sr.","6-2","G","35","216","54","89","575","16.4"
"","Dexter McClanahan","Savannah St.","So.","6-4","G","28","152","73","83","460","16.4"
"189","Eric Eaves","South Carolina St.","Sr.","6-3","G","31","175","35","124","509","16.4"
"190","Kyle Kuzma","Utah","Jr.","6-9","F","29","182","27","85","476","16.4"
"191","Drew McDonald","Northern Ky.","So.","6-8","C","35","201","53","118","573","16.4"
"192","Josh Jackson","Kansas","---","-","-","35","220","34","98","572","16.3"
"193","Stephen Thompson Jr.","Oregon St.","So.","6-4","G","26","148","57","71","424","16.3"
"194","L.J. Peak","Georgetown","Jr.","6-5","F","32","168","33","152","521","16.3"
"195","TJ Leaf","UCLA","Fr.","6-10","F","35","235","27","72","569","16.3"
"196","Tra Holder","Arizona St.","Jr.","6-1","G","33","169","46","152","536","16.2"
"197","Desmond Williams","Florida A&M","Jr.","6-6","F","29","182","0","107","471","16.2"
"198","Will Darley","UMBC","Sr.","6-8","G","34","182","90","98","552","16.2"
"199","Jay Wright","Louisiana","Sr.","6-1","G","33","181","51","122","535","16.2"
"200","Bryant Crawford","Wake Forest","So.","6-3","G","33","169","54","142","534","16.2"
"201","Brynton Lemar","UC Davis","Sr.","6-4","G","36","179","80","143","581","16.1"
"202","Michael Buchanan","USC Upstate","Sr.","7-0","C","32","207","0","102","516","16.1"
"203","Bryson Scott","Purdue Fort Wayne","Jr.","6-1","G","33","193","58","88","532","16.1"
"204","Kassius Robertson","Canisius","Jr.","6-3","G","34","178","98","94","548","16.1"
"205","Dillon Brooks","Oregon","Jr.","6-7","F","35","206","57","95","564","16.1"
"206","Demetrius Denzel-Dyson","Samford","Jr.","6-5","G","36","195","86","104","580","16.1"
"207","Josh Okogie","Georgia Tech","Fr.","6-4","G","37","194","28","180","596","16.1"
"208","Stevie Browning","Marshall","Sr.","6-3","G","34","204","70","68","546","16.1"
"209","Matt Klinewski","Lafayette","Jr.","6-8","F","30","195","0","91","481","16.0"
"","Xavier Moon","Morehead St.","Sr.","6-2","G","30","164","71","82","481","16.0"
"211","Terrell Miller","Murray St.","Jr.","6-8","F","33","184","67","94","529","16.0"
"212","Justin James","Wyoming","So.","6-7","G","37","198","49","147","592","16.0"
"","Cameron Oliver","Nevada","So.","6-8","F","35","202","66","90","560","16.0"
"","Kelan Martin","Butler","Jr.","6-7","F","34","180","64","120","544","16.0"
"215","Ryan Daly","Delaware","Fr.","6-4","F","32","189","62","71","511","16.0"
"216","Zach Thomas","Bucknell","Jr.","6-6","F","35","181","56","140","558","15.9"
"217","Asante Gist","Eastern Ky.","Fr.","5-11","G","31","158","64","114","494","15.9"
"","Justin Strings","Sacramento St.","Jr.","6-7","F","31","179","55","81","494","15.9"
"219","Kavin Gilder-Tilbury","Texas St.","Sr.","6-7","F","36","205","71","92","573","15.9"
"220","Brenton Scott","Indiana St.","Jr.","6-1","G","31","165","73","90","493","15.9"
"221","Jalen Hayes","Oakland","Jr.","6-7","F","34","217","5","101","540","15.9"
"222","Jaaron Simmons","Ohio","Jr.","6-1","G","31","176","37","103","492","15.9"
"223","Marcus LoVett","St. John's (NY)","Fr.","6-0","G","30","166","50","94","476","15.9"
"224","Jermaine Crumpton","Canisius","Jr.","6-6","F","34","195","57","92","539","15.9"
"225","Chris Flemmings","UNCW","Sr.","6-5","G","35","193","70","98","554","15.8"
"226","Jeff Beverly","UTSA","Jr.","6-6","F","33","183","22","134","522","15.8"
"","Jazz Johnson","Portland","So.","5-10","G","33","177","61","107","522","15.8"
"228","Jaleen Smith","New Hampshire","Sr.","6-4","G","32","179","48","100","506","15.8"
"229","Joe Cremo","UAlbany","So.","6-4","G","35","185","50","133","553","15.8"
"230","Jaylin Walker","Kent St.","So.","6-1","G","34","185","88","79","537","15.8"
"231","Charles Cooke","Dayton","Sr.","6-5","G","29","151","49","106","457","15.8"
"232","Isaiah Still","Robert Morris","So.","6-6","G","31","152","60","124","488","15.7"
"233","Rodney Bullock","Providence","Jr.","6-8","F","33","177","46","119","519","15.7"
"","Desi Rodriguez","Seton Hall","Jr.","6-6","F","33","192","50","85","519","15.7"
"235","Noah Allen","Hawaii","Sr.","6-7","F","30","169","42","91","471","15.7"
"236","Raven Lee","Eastern Mich.","Sr.","6-3","G","29","144","53","114","455","15.7"
"237","Omar Prewitt","William & Mary","Sr.","6-7","G","30","175","45","75","470","15.7"
"238","Willie Mangum IV","Eastern Mich.","Sr.","6-1","G","32","172","93","64","501","15.7"
"239","Eli Cain","DePaul","So.","6-6","G","32","169","51","111","500","15.6"
"","Reginal Johnson","Alcorn","Jr.","6-5","F","32","204","27","65","500","15.6"
"241","Charles Williams","Howard","Fr.","6-6","G","34","179","66","107","531","15.6"
"242","Rodney Williams","Drexel","Sr.","6-7","F","32","184","3","128","499","15.6"
"243","Brett Bailey","San Diego","Sr.","6-6","F","31","155","33","140","483","15.6"
"","Jermaine Marrow","Hampton","Fr.","6-0","G","31","160","42","121","483","15.6"
"245","Lauri Markkanen","Arizona","Fr.","7-0","F","37","185","69","137","576","15.6"
"246","Donovan Mitchell","Louisville","So.","6-3","G","34","181","80","87","529","15.6"
"247","Jimmie Taylor","Rider","Sr.","6-4","G","33","170","67","106","513","15.5"
"248","Mike Miklusak","Western Ill.","Sr.","6-6","F","23","122","61","52","357","15.5"
"249","Geno Crandall","North Dakota","So.","6-3","G","31","163","38","117","481","15.5"
"250","Derrick Walton Jr.","Michigan","Sr.","6-1","G","38","171","98","149","589","15.5"
"","Bryce Alford","UCLA","Sr.","6-3","G","36","173","116","96","558","15.5"
"","Lamarr Kimble","Saint Joseph's","So.","6-0","G","24","127","40","78","372","15.5"
Reclassifying
"NR","Dewayne Russell","Grand Canyon","Sr.","5-11","G","28","197","52","147","593","21.2"
"NR","Jahad Thomas","UMass Lowell","Sr.","6-2","G","31","224","2","117","567","18.3"
"NR","Jalin Hart","UIW","---","5-11","G","29","163","37","98","461","15.9"

NCAA Men's Basketball
Division IField-Goal Percentage
Through Games 04/03/2017

Min. 5 made per game
       
"Rank","Name","Team","Cl","Ht","Pos","G","FGM","FGA","FG%"
"1","Devontae Cacok","UNCW","So.","6-7","F","35","184","230","80.0"
"2","Justin Patton","Creighton","Fr.","7-0","C","35","200","296","67.6"
"3","Javier Martinez","UT Martin","Sr.","6-7","F","31","167","249","67.1"
"4","Aundre Jackson","Loyola Chicago","Jr.","6-5","F","32","178","266","66.9"
"5","Justin Tuoyo","Chattanooga","Sr.","6-10","F","31","156","242","64.5"
"6","Jacob Wiley","Eastern Wash.","Sr.","6-7","F","34","265","412","64.3"
"7","John Konchar","Purdue Fort Wayne","So.","6-5","G","33","188","295","63.7"
"8","Nana Foulland","Bucknell","Jr.","6-9","C","34","203","322","63.0"
"9","Kris Acox","Furman","Sr.","6-6","F","35","199","317","62.8"
"10","Isaiah Johnson","Akron","Sr.","6-10","C","36","223","357","62.5"
"11","Michael Buchanan","USC Upstate","Sr.","7-0","C","32","207","332","62.3"
"12","Evan Bradds","Belmont","Sr.","6-7","F","29","233","374","62.3"
"13","John Collins","Wake Forest","So.","6-10","C","33","234","376","62.2"
"14","Tyler Davis","Texas A&M","So.","6-10","C","31","167","270","61.9"
"15","TJ Leaf","UCLA","Fr.","6-10","F","35","235","381","61.7"
"16","Jock Landale","Saint Mary's (CA)","Jr.","6-11","C","34","229","375","61.1"
"17","Bryce Washington","Louisiana","Jr.","6-6","F","33","173","287","60.3"
"18","Kenny Jones","Austin Peay","Sr.","6-8","F","30","168","283","59.4"
"19","Hassan Martin","Rhode Island","Sr.","6-7","F","30","165","278","59.4"
"20","Justin Tillman","VCU","Jr.","6-7","F","33","174","294","59.2"
"21","Nick Ward","Michigan St.","Fr.","6-8","F","35","181","306","59.2"
"22","Jaleel Hogan","Detroit Mercy","Jr.","6-7","F","30","175","296","59.1"
"23","Brandon Clarke","San Jose St.","So.","6-8","G","30","219","371","59.0"
"24","Erik Thomas","New Orleans","Sr.","6-5","F","32","223","379","58.8"
"25","Cameron Jackson","Wofford","Jr.","6-8","F","33","171","291","58.8"
"26","Drew Eubanks","Oregon St.","So.","6-10","F","32","182","310","58.7"
"27","Ethan Happ","Wisconsin","So.","6-10","F","37","218","372","58.6"
"28","Przemek Karnowski","Gonzaga","Sr.","7-1","C","39","198","338","58.6"
"29","Quinterian McConico","Alabama A&M","---","-","C","28","170","291","58.4"
"30","Wayne Martin","Tennessee St.","Sr.","6-7","F","30","172","297","57.9"
"31","Reid Travis","Stanford","Jr.","6-8","F","27","176","304","57.9"
"32","James Thompson IV","Eastern Mich.","So.","6-10","C","32","178","310","57.4"
"33","Jarrett Allen","Texas","Fr.","6-11","F","33","179","316","56.6"
"34","Marin Maric","NIU","Jr.","6-11","C","32","171","302","56.6"
"35","Michael Kessens","FIU","Sr.","6-9","F","29","152","269","56.5"
"36","Joseph Lopez","Sacred Heart","Jr.","6-7","F","31","170","301","56.5"
"37","Vladimir Brodziansky","TCU","Jr.","6-11","F","39","203","360","56.4"
"38","Kennedy Meeks","North Carolina","Sr.","6-10","F","40","206","371","55.5"
"39","Jordan Washington","Iona","Sr.","6-8","F","35","233","422","55.2"
"40","Chimezie Metu","Southern California","So.","6-11","F","36","202","366","55.2"
"41","Lonzo Ball","UCLA","Fr.","6-6","G","36","189","343","55.1"
"42","RJ White","UNC Greensboro","Sr.","6-8","C","35","181","329","55.0"
"43","Tim Kempton","Lehigh","Sr.","6-10","C","32","231","422","54.7"
"44","Jalen Hayes","Oakland","Jr.","6-7","F","34","217","397","54.7"
"45","Jae'Sean Tate","Ohio St.","Jr.","6-4","G","32","182","333","54.7"
"46","Ahmad Thomas","UNC Asheville","Jr.","6-3","G","33","243","447","54.4"
"47","Antonius Cleveland","Southeast Mo. St.","Sr.","6-6","G","33","208","383","54.3"
"48","Angel Delgado","Seton Hall","Jr.","6-10","F","33","197","363","54.3"
"49","Jalen Brunson","Villanova","So.","6-3","G","36","183","338","54.1"
"50","Zach LeDay","Virginia Tech","Sr.","6-7","F","33","183","340","53.8"
"51","Khris Lane","Longwood","Jr.","6-6","F","30","208","387","53.7"
"52","Chris Reyes","Pepperdine","Sr.","6-7","F","27","145","270","53.7"
"53","Jeffrey Carroll","Oklahoma St.","Jr.","6-6","G","33","198","369","53.7"
"54","Daniel Amigo","Denver","Jr.","6-10","C","30","182","340","53.5"
"55","D'Marcus Simonds","Georgia St.","Fr.","6-3","G","29","145","271","53.5"
"56","Javion Ogunyemi","Siena","Sr.","6-10","F","34","176","329","53.5"
"57","Quinton Forrest","Bethune-Cookman","So.","6-4","G","32","166","311","53.4"
"58","Jacorey Williams","Middle Tenn.","Sr.","6-8","F","36","258","484","53.3"
"59","Josh Hawkinson","Washington St.","Sr.","6-10","F","31","173","326","53.1"
"60","Mathieu Kamba","Central Ark.","Jr.","6-5","G","32","167","315","53.0"
"61","Donte Ingram","Loyola Chicago","Jr.","6-6","G","29","145","274","52.9"
"62","Eric Mika","BYU","So.","6-10","F","34","233","441","52.8"
"63","Kahlil Thomas","Rider","Sr.","6-7","F","33","179","339","52.8"
"64","Chima Moneke","UC Davis","Jr.","6-6","F","36","192","364","52.7"
"65","Caleb Swanigan","Purdue","So.","6-9","F","35","222","421","52.7"
"66","Jordon Varnado","Troy","So.","6-6","F","37","233","442","52.7"
"67","Reginal Johnson","Alcorn","Jr.","6-5","F","32","204","387","52.7"
"68","AJ Brodeur","Penn","Fr.","6-8","F","28","163","310","52.6"
