 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/05/2010


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"1","Aubrey Coleman","Houston","Sr.","6-4","G","35","305","51","235","896","25.6"
"2","Adnan Hodzic","Lipscomb","Jr.","6-8","C","30","269","0","144","682","22.7"
"3","Marquez Haynes","UT Arlington","Sr.","6-3","G","30","215","63","185","678","22.6"
"4","Devan Downey","South Carolina","Sr.","5-9","G","31","237","69","156","699","22.5"
"","Adrian Oliver","San Jose St.","Jr.","6-4","G","31","230","51","188","699","22.5"
"6","James Anderson","Oklahoma St.","Jr.","6-6","G","33","226","74","209","735","22.3"
"7","Jimmer Fredette","BYU","Jr.","6-2","G","34","225","77","224","751","22.1"
"8","Landry Fields","Stanford","Sr.","6-7","G","32","248","29","179","704","22.0"
"9","Luke Babbitt","Nevada","So.","6-9","F","34","251","42","199","743","21.9"
"10","Luke Harangody","Notre Dame","Sr.","6-8","F","30","244","25","140","653","21.8"
"11","Michael Deloach","Norfolk St.","Sr.","6-0","G","30","238","36","140","652","21.7"
"12","David Kool","Western Mich.","Sr.","6-3","G","33","221","63","209","714","21.6"
"13","Reggie Holmes","Morgan St.","Sr.","6-4","G","37","226","100","241","793","21.4"
"14","Dominique Jones","South Fla.","Jr.","6-4","G","33","222","52","209","705","21.4"
"15","Artsiom Parakhouski","Radford","Sr.","6-11","C","31","250","3","159","662","21.4"
"16","Omar Samhan","Saint Mary's (CA)","Sr.","6-11","C","34","282","0","160","724","21.3"
"17","Anatoly Bose","Nicholls","Jr.","6-6","G","30","194","86","159","633","21.1"
"18","Chris Harris","Navy","Sr.","6-2","G","30","183","88","178","632","21.1"
"19","Denzel Bowles","James Madison","Jr.","6-10","F","25","203","0","114","520","20.8"
"20","Charles Jenkins","Hofstra","Jr.","6-3","G","34","235","63","169","702","20.6"
"21","Jordan Crawford","Xavier","So.","6-4","G","35","260","79","119","718","20.5"
"22","Jeremy Hazell","Seton Hall","Jr.","6-5","G","32","220","98","116","654","20.4"
"23","Evan Turner","Ohio St.","Jr.","6-7","G","31","237","20","138","632","20.4"
"24","Donald Sims","App State","Jr.","6-1","G","37","228","123","175","754","20.4"
"25","Jahmar Young","New Mexico St.","Jr.","6-4","G","34","228","73","160","689","20.3"
"26","Malcolm Delaney","Virginia Tech","Jr.","6-3","G","33","187","63","230","667","20.2"
"27","Damian Lillard","Weber St.","So.","6-2","G","31","185","84","163","617","19.9"
"28","Robert Glenn","IU Indy","Sr.","6-7","F","36","259","5","191","714","19.8"
"29","Ricky Harris","Massachusetts","Sr.","6-2","G","31","216","68","113","613","19.8"
"30","Ben Smith","Jacksonville","Sr.","5-10","G","33","187","81","197","652","19.8"
"31","Xavier Silas","NIU","Jr.","6-5","G","25","141","52","159","493","19.7"
"32","Kevin Palmer","A&M-Corpus Christi","Sr.","6-6","G","32","203","51","174","631","19.7"
"33","Jamine Peterson","Providence","So.","6-6","F","31","233","51","92","609","19.6"
"","Klay Thompson","Washington St.","So.","6-6","G","31","200","76","133","609","19.6"
"35","Greivis Vasquez","Maryland","Sr.","6-6","G","33","220","69","138","647","19.6"
"36","LaceDarius Dunn","Baylor","Jr.","6-4","G","36","231","116","126","704","19.6"
"37","Andrew Goudelock","Col. of Charleston","Jr.","6-2","G","34","250","97","61","658","19.4"
"38","Jacob Pullen","Kansas St.","Jr.","6-0","G","37","201","110","203","715","19.3"
"39","Cameron Jones","Northern Ariz.","Jr.","6-3","G","28","203","33","102","541","19.3"
"40","Quincy Pondexter","Washington","Sr.","6-6","F","36","245","18","187","695","19.3"
"41","John Holland","Boston U.","Jr.","6-5","G","35","215","60","183","673","19.2"
"42","Anthony Johnson","Montana","Sr.","6-3","G","32","184","45","202","615","19.2"
"43","Corey Hassan","Sacred Heart","Sr.","6-5","F","28","187","90","73","537","19.2"
"44","C.J. McCollum","Lehigh","Fr.","6-3","G","33","203","72","153","631","19.1"
"45","Cory Higgins","Colorado","Jr.","6-5","G","31","193","32","169","587","18.9"
"46","Nick Barbour","High Point","So.","6-3","G","29","171","73","132","547","18.9"
"47","Kyle Roemer","Colgate","Sr.","6-3","F","29","192","76","84","544","18.8"
"48","Jerome Randle","California","Sr.","5-10","G","35","210","92","139","651","18.6"
"49","Dominic Waters","Portland St.","Sr.","6-1","G","32","193","70","138","594","18.6"
"50","Talor Battle","Penn St.","Jr.","6-0","G","31","193","71","117","574","18.5"
"51","Rodney Green","La Salle","Sr.","6-5","G","30","204","35","111","554","18.5"
"52","Austin Kenon","VMI","Jr.","5-11","G","29","161","80","133","535","18.4"
"","Rodney Pierce","Buffalo","Sr.","6-2","G","29","188","57","102","535","18.4"
"54","Kyle Gibson","Louisiana Tech","Sr.","6-4","G","31","163","61","184","571","18.4"
"55","Dior Lowhorn","San Francisco","Sr.","6-7","F","29","189","22","133","533","18.4"
"56","Alex Young","IU Indy","So.","6-6","F","36","242","72","104","660","18.3"
"57","Scottie Reynolds","Villanova","Sr.","6-2","G","33","181","69","171","602","18.2"
"58","Jawan Carter","Delaware","Jr.","5-11","G","31","160","74","171","565","18.2"
"","Dana Smith","Longwood","Sr.","6-5","F","31","195","33","142","565","18.2"
"60","John Shurna","Northwestern","So.","6-9","F","34","217","78","107","619","18.2"
"61","Jon Scheyer","Duke","Sr.","6-5","G","40","212","110","194","728","18.2"
"62","Manny Harris","Michigan","Jr.","6-5","G","31","181","48","152","562","18.1"
"63","Lazar Hayward","Marquette","Sr.","6-6","F","34","222","65","107","616","18.1"
"64","Garrison Johnson","Jackson St.","Sr.","6-5","G","32","172","73","161","578","18.1"
"65","Orlando Johnson","UC Santa Barbara","So.","6-5","G","30","176","46","142","540","18.0"
"","Chris Gaston","Fordham","Fr.","6-7","F","28","190","2","122","504","18.0"
"67","Damion James","Texas","Sr.","6-7","F","34","210","36","155","611","18.0"
"68","Elliot Williams","Memphis","So.","6-5","G","34","178","60","194","610","17.9"
"69","Randy Culpepper","UTEP","Jr.","6-0","G","33","201","82","108","592","17.9"
"70","Tyren Johnson","Louisiana","Sr.","6-8","F","30","205","30","98","538","17.9"
"71","Kevin Anderson","Richmond","Jr.","6-0","G","35","231","38","124","624","17.8"
