model,task,accuracy,balanced_accuracy,auc,f1_macro,precision_bust,recall_bust,f1_bust,precision_bench,recall_bench,f1_bench,precision_starter,recall_starter,f1_starter,precision_star,recall_star,f1_star
classification__logistic_l1,classification,0.34177215189873417,0.24922813036020583,0.6041988653361778,0.20172208689741122,0.38095238095238093,0.5818181818181818,0.460431654676259,0.2972972972972973,0.41509433962264153,0.3464566929133858,0.0,0.0,0.0,0.0,0.0,0.0
classification__xgboost,classification,0.3987341772151899,0.3662258445277313,0.6246150440608874,0.3897899076300787,0.4025974025974026,0.5636363636363636,0.4696969696969697,0.37037037037037035,0.37735849056603776,0.37383177570093457,0.36363636363636365,0.21621621621621623,0.2711864406779661,0.8,0.3076923076923077,0.4444444444444444
regression__lasso,regression,0.37341772151898733,0.2893213110194242,0.6916066224762399,0.27007990813538374,0.4523809523809524,0.34545454545454546,0.3917525773195876,0.34375,0.6226415094339622,0.4429530201342282,0.35,0.1891891891891892,0.24561403508771928,0.0,0.0,0.0
regression__xgboost,regression,0.3670886075949367,0.29860353822617974,0.6958941586451821,0.29987387336318805,0.4489795918367347,0.4,0.4230769230769231,0.32941176470588235,0.5283018867924528,0.4057971014492754,0.3181818181818182,0.1891891891891892,0.23728813559322035,0.5,0.07692307692307693,0.13333333333333333
