,bust,bench,starter,star
classification__logistic_l2,1.1254,1.2915,0.6935,2.4018
classification__xgboost,0.8042,0.1974,1.6881,1.4805
regression__ridge,2.1778,1.2107,1.3427,4.3942
regression__xgboost,3.6336,1.8989,2.1876,3.3449
text__scouting,0.8761,0.5304,0.5568,0.7977
text__scouting_lexicon,1.7194,0.3407,0.5977,2.3484
