actual_tier_label,p_bust,p_bench,p_starter,p_star
bust,0.371,0.3061,0.2212,0.1017
bench,0.3329,0.309,0.2318,0.1262
starter,0.2134,0.2495,0.2851,0.252
star,0.1269,0.17,0.3444,0.3586
