actual_tier_label,p_bust,p_bench,p_starter,p_star
bust,0.376,0.3049,0.2199,0.0992
bench,0.3377,0.3061,0.2289,0.1273
starter,0.2165,0.2488,0.281,0.2537
star,0.126,0.1701,0.342,0.3619
