PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,SEASON_ID
201985,AJ Price,IND,44,12.9,1.3,4.0,0.339,0.6,2.0,0.295,0.6,0.8,0.8,0.3,1.1,1.4,2.0,0.5,0.0,0.7,0.7,3.9,0.8,2011-12
201189,Aaron Gray,TOR,49,16.6,1.7,3.3,0.516,0.0,0.0,0.0,0.5,1.0,0.532,1.7,4.0,5.7,0.6,0.4,0.3,1.0,2.6,3.9,-3.1,2011-12
1733,Al Harrington,DEN,64,27.5,5.4,12.1,0.446,1.6,4.7,0.333,1.9,2.8,0.676,1.1,5.0,6.1,1.4,0.9,0.2,1.8,2.8,14.2,2.6,2011-12
201143,Al Horford,ATL,11,31.6,5.2,9.4,0.553,0.0,0.1,0.0,2.0,2.7,0.733,2.4,4.6,7.0,2.2,0.9,1.3,1.5,1.9,12.4,4.7,2011-12
2744,Al Jefferson,UTA,61,34.0,8.5,17.2,0.492,0.0,0.1,0.25,2.2,2.9,0.774,2.2,7.4,9.6,2.2,0.8,1.7,1.0,2.5,19.2,2.6,2011-12
202329,Al-Farouq Aminu,NOH,66,22.4,2.3,5.5,0.411,0.2,0.7,0.277,1.3,1.7,0.754,1.4,3.2,4.7,1.0,0.9,0.5,1.4,2.1,6.0,-0.5,2011-12
101187,Alan Anderson,TOR,17,27.1,3.2,8.4,0.387,1.4,3.6,0.393,1.7,2.0,0.853,0.5,1.5,2.0,1.5,0.3,0.2,1.5,2.1,9.6,-1.5,2011-12
202692,Alec Burks,UTA,59,15.9,2.6,6.1,0.429,0.3,0.8,0.333,1.8,2.4,0.727,1.0,1.3,2.2,0.9,0.5,0.1,0.9,1.4,7.2,-0.4,2011-12
202087,Alonzo Gee,CLE,63,29.0,3.6,8.7,0.412,0.7,2.2,0.321,2.7,3.4,0.788,1.6,3.5,5.1,1.8,1.3,0.3,1.8,2.4,10.6,-3.4,2011-12
2405,Amar'e Stoudemire,NYK,47,32.8,6.7,13.9,0.483,0.1,0.4,0.238,4.0,5.2,0.765,2.3,5.6,7.8,1.1,0.8,1.0,2.4,2.9,17.5,-0.9,2011-12
101161,Amir Johnson,TOR,64,24.3,3.1,5.3,0.576,0.0,0.1,0.4,0.9,1.3,0.69,2.3,4.0,6.4,1.2,0.5,1.1,1.5,3.3,7.1,0.3,2011-12
2760,Anderson Varejao,CLE,25,31.4,4.6,8.9,0.514,0.0,0.2,0.0,1.7,2.6,0.672,4.4,7.1,11.5,1.7,1.4,0.7,1.8,2.5,10.8,-0.7,2011-12
101154,Andray Blatche,WAS,26,24.1,3.6,9.4,0.38,0.1,0.3,0.286,1.3,1.9,0.673,1.6,4.2,5.8,1.1,0.8,0.7,1.4,2.1,8.5,-5.8,2011-12
2765,Andre Emmett,NJN,6,7.5,0.7,1.2,0.571,0.0,0.2,0.0,0.8,1.3,0.625,0.3,0.7,1.0,0.2,0.3,0.2,0.3,0.3,2.2,-1.2,2011-12
2738,Andre Iguodala,PHI,62,35.6,4.6,10.2,0.454,1.2,3.1,0.394,2.0,3.2,0.617,0.9,5.2,6.1,5.5,1.7,0.5,1.9,1.5,12.4,3.5,2011-12
1889,Andre Miller,DEN,66,27.4,3.7,8.4,0.438,0.3,1.3,0.217,2.1,2.6,0.811,0.8,2.5,3.3,6.7,1.0,0.1,2.7,2.0,9.7,2.6,2011-12
200745,Andrea Bargnani,TOR,31,33.3,6.7,15.6,0.432,1.1,3.7,0.296,4.9,5.6,0.873,0.8,4.8,5.5,2.0,0.6,0.5,2.2,1.7,19.5,-1.4,2011-12
2804,Andres Nocioni,PHI,11,5.1,0.5,1.8,0.25,0.1,0.5,0.167,0.5,1.0,0.545,0.1,1.2,1.3,0.1,0.1,0.1,0.5,0.4,1.5,-1.9,2011-12
101106,Andrew Bogut,MIL,12,30.3,5.1,11.3,0.449,0.0,0.1,0.0,1.2,1.9,0.609,1.8,6.5,8.3,2.6,1.0,2.0,2.0,3.0,11.3,1.6,2011-12
101115,Andrew Bynum,LAL,60,35.2,7.4,13.3,0.558,0.0,0.1,0.2,3.9,5.6,0.692,3.2,8.6,11.8,1.4,0.5,1.9,2.5,1.7,18.7,1.9,2011-12
202726,Andrew Goudelock,LAL,40,10.5,1.7,4.4,0.391,0.7,1.9,0.373,0.3,0.3,0.917,0.1,0.7,0.8,0.5,0.1,0.0,0.5,0.8,4.4,-0.7,2011-12
