PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,SEASON_ID
201985,AJ Price,IND,50,15.9,2.3,6.4,0.356,0.8,3.0,0.275,1.1,1.6,0.667,0.3,1.1,1.4,2.2,0.6,0.0,1.1,1.2,6.5,0.5,2010-11
201166,Aaron Brooks,PHX,59,21.8,3.7,9.9,0.375,1.2,4.0,0.297,2.1,2.4,0.886,0.3,1.0,1.3,3.9,0.6,0.1,1.7,1.9,10.7,-2.8,2010-11
201189,Aaron Gray,NOH,41,12.9,1.4,2.4,0.566,0.0,0.0,0.0,0.4,0.8,0.5,1.4,2.7,4.2,0.4,0.3,0.3,0.8,2.3,3.1,0.7,2010-11
201151,Acie Law,GSW,51,14.2,1.6,3.6,0.435,0.1,0.7,0.167,0.9,1.3,0.734,0.2,1.0,1.2,1.6,0.6,0.0,0.8,1.2,4.2,-2.6,2010-11
1733,Al Harrington,DEN,73,22.8,3.8,9.2,0.416,1.6,4.5,0.357,1.2,1.6,0.735,1.0,3.5,4.5,1.4,0.5,0.1,1.5,2.8,10.5,1.8,2010-11
201143,Al Horford,ATL,77,35.1,6.7,12.0,0.557,0.0,0.1,0.5,1.9,2.4,0.798,2.4,7.0,9.3,3.5,0.8,1.0,1.5,2.5,15.3,0.6,2010-11
2744,Al Jefferson,UTA,82,35.9,8.0,16.1,0.496,0.0,0.0,0.0,2.7,3.5,0.761,2.9,6.8,9.7,1.8,0.6,1.9,1.3,2.9,18.6,-2.0,2010-11
201154,Al Thornton,GSW,71,19.5,2.9,6.1,0.476,0.1,0.4,0.154,1.5,2.0,0.775,0.8,2.2,3.0,0.9,0.5,0.2,0.9,2.0,7.4,-2.0,2010-11
202329,Al-Farouq Aminu,LAC,81,17.9,2.0,5.0,0.394,0.6,1.8,0.315,1.1,1.5,0.773,0.9,2.4,3.3,0.7,0.7,0.3,1.3,1.5,5.6,-2.3,2010-11
201582,Alexis Ajinca,TOR,34,10.0,1.7,3.9,0.444,0.4,1.0,0.353,0.4,0.5,0.722,0.5,1.8,2.3,0.3,0.3,0.6,0.5,2.1,4.2,0.2,2010-11
202087,Alonzo Gee,CLE,56,20.0,2.2,4.7,0.458,0.3,0.9,0.333,1.3,1.6,0.783,1.1,2.1,3.3,0.7,0.7,0.3,1.0,1.7,5.9,-4.9,2010-11
2405,Amar'e Stoudemire,NYK,78,36.8,9.5,19.0,0.502,0.1,0.3,0.435,6.1,7.7,0.792,2.5,5.6,8.2,2.6,0.9,1.9,3.2,3.5,25.3,0.8,2010-11
101161,Amir Johnson,TOR,72,25.7,3.9,6.9,0.568,0.0,0.0,0.0,1.8,2.2,0.788,2.6,3.8,6.4,1.1,0.7,1.2,1.0,3.7,9.6,-1.8,2010-11
2760,Anderson Varejao,CLE,31,32.1,3.7,7.0,0.528,0.0,0.1,0.0,1.7,2.6,0.667,3.2,6.5,9.7,1.5,0.9,1.2,1.3,2.8,9.1,-5.5,2010-11
101154,Andray Blatche,WAS,64,33.9,6.7,15.0,0.445,0.1,0.3,0.222,3.4,4.4,0.777,2.9,5.4,8.2,2.3,1.5,0.8,2.7,2.8,16.8,-3.8,2010-11
2738,Andre Iguodala,PHI,67,36.8,5.0,11.3,0.445,0.9,2.7,0.337,3.1,4.5,0.693,0.9,4.9,5.8,6.3,1.5,0.6,2.1,1.6,14.1,2.4,2010-11
1889,Andre Miller,POR,81,32.7,4.8,10.4,0.46,0.0,0.5,0.108,3.1,3.6,0.853,1.2,2.5,3.7,7.0,1.4,0.1,2.4,2.1,12.7,3.1,2010-11
200745,Andrea Bargnani,TOR,66,35.7,8.0,17.8,0.448,1.2,3.4,0.345,4.3,5.3,0.82,1.1,4.1,5.2,1.8,0.5,0.7,2.3,2.4,21.4,-4.8,2010-11
1905,Andrei Kirilenko,UTA,64,31.2,4.0,8.5,0.467,0.6,1.5,0.367,3.3,4.2,0.77,1.6,3.5,5.1,3.0,1.3,1.2,1.8,1.8,11.7,-0.5,2010-11
2804,Andres Nocioni,PHI,54,17.2,2.2,5.1,0.426,0.8,2.2,0.356,0.9,1.1,0.803,0.4,2.8,3.1,0.8,0.3,0.3,0.9,1.9,6.1,-2.6,2010-11
