model,task,accuracy,balanced_accuracy,auc,f1_macro,precision_bust,recall_bust,f1_bust,precision_bench,recall_bench,f1_bench,precision_starter,recall_starter,f1_starter,precision_star,recall_star,f1_star,top1_accuracy,within_one_accuracy,ordinal_mae,distance_weighted_accuracy,expected_class_mae,quadratic_weighted_kappa
classification__logistic_l1,classification,0.4038,0.3157,0.6101,0.2925,0.3949,0.8267,0.5345,0.4048,0.2237,0.2881,0.6,0.0698,0.125,0.5,0.1429,0.2222,0.4038,0.8125,0.8365,0.7212,0.7117,0.1456
classification__xgboost,classification,0.4279,0.3588,0.5873,0.3584,0.4455,0.6533,0.5297,0.4462,0.3816,0.4113,0.3478,0.186,0.2424,0.3,0.2143,0.25,0.4279,0.8606,0.7548,0.7484,0.7077,0.2712
regression__lasso,regression,0.4183,0.323,0.6647,0.3169,0.5,0.4533,0.4755,0.3679,0.5132,0.4286,0.4118,0.3256,0.3636,0.0,0.0,0.0,0.4183,0.9231,0.6635,0.7788,0.6964,0.3666
regression__xgboost,regression,0.4279,0.3365,0.6923,0.3393,0.5167,0.4133,0.4593,0.4071,0.6053,0.4868,0.3438,0.2558,0.2933,0.3333,0.0714,0.1176,0.4279,0.9231,0.6538,0.7821,0.6672,0.3794
