actual_tier_label,p_bust,p_bench,p_starter,p_star
bust,0.378,0.3108,0.2039,0.1073
bench,0.3496,0.3045,0.2209,0.125
starter,0.2087,0.2553,0.2814,0.2546
star,0.1227,0.181,0.3152,0.3811
