model,task,accuracy,balanced_accuracy,auc,f1_macro,precision_bust,recall_bust,f1_bust,precision_bench,recall_bench,f1_bench,precision_starter,recall_starter,f1_starter,precision_star,recall_star,f1_star,top1_accuracy,within_one_accuracy,ordinal_mae,distance_weighted_accuracy,expected_class_mae,quadratic_weighted_kappa
multimodal__stacker,multimodal,0.4087,0.3892,0.6914,0.3539,0.4891,0.6,0.5389,0.4483,0.3421,0.3881,0.3333,0.186,0.2388,0.1765,0.4286,0.25,0.4087,0.8413,0.7885,0.7372,0.7093,0.385
classification__logistic_l2,classification,0.3846,0.2974,0.6052,0.2658,0.396,0.7867,0.5268,0.3462,0.2368,0.2812,0.5,0.0233,0.0444,0.4,0.1429,0.2105,0.3846,0.8269,0.8317,0.7228,0.7108,0.1729
classification__xgboost,classification,0.4087,0.3407,0.581,0.3382,0.4113,0.68,0.5126,0.3906,0.3289,0.3571,0.5455,0.1395,0.2222,0.3333,0.2143,0.2609,0.4087,0.8654,0.7837,0.7388,0.705,0.2178
regression__ridge,regression,0.3894,0.2981,0.6583,0.2935,0.4507,0.4267,0.4384,0.3426,0.4868,0.4022,0.4138,0.2791,0.3333,0.0,0.0,0.0,0.3894,0.9183,0.7019,0.766,0.7015,0.3098
regression__xgboost,regression,0.4327,0.3301,0.6968,0.3189,0.5179,0.3867,0.4427,0.4248,0.6316,0.5079,0.3514,0.3023,0.325,0.0,0.0,0.0,0.4327,0.9231,0.649,0.7837,0.6654,0.3769
text__scouting,text,0.1394,0.2855,0.5787,0.107,0.4444,0.2133,0.2883,0.0,0.0,0.0,0.0,0.0,0.0,0.0756,0.9286,0.1398,0.1394,0.4087,1.7404,0.4199,1.1672,0.068
