Name,draft_year,draft_pick,actual_tier,pred_tier,actual_tier_label,pred_tier_label,confidence,p_bust,p_bench,p_starter,p_star,ordinal_error,within_one,distance_weighted_credit,expected_class,expected_class_error
Aaron Henry,2021,54,0,1,bust,bench,0.3481,0.2363,0.3481,0.2718,0.1438,1,True,0.6667,1.3231,1.3231
Jaylen Clark,2023,64,0,1,bust,bench,0.3233,0.2763,0.3233,0.2403,0.1602,1,True,0.6667,1.2844,1.2844
Mark Williams,2022,13,3,2,star,starter,0.3478,0.1362,0.2556,0.3478,0.2604,1,True,0.6667,1.7324,1.2676
Trevor Keels,2022,47,0,1,bust,bench,0.3287,0.2873,0.3287,0.2415,0.1425,1,True,0.6667,1.2391,1.2391
Terquavion Smith,2023,44,0,1,bust,bench,0.3502,0.2735,0.3502,0.243,0.1333,1,True,0.6667,1.2362,1.2362
Bryce McGowens,2022,37,0,1,bust,bench,0.3501,0.2876,0.3501,0.242,0.1202,1,True,0.6667,1.1949,1.1949
Julian Phillips,2023,30,0,1,bust,bench,0.3354,0.3082,0.3354,0.245,0.1113,1,True,0.6667,1.1594,1.1594
Moses Wright,2021,43,0,1,bust,bench,0.3692,0.3009,0.3692,0.2305,0.0994,1,True,0.6667,1.1284,1.1284
Dereon Seabron,2022,66,0,1,bust,bench,0.3392,0.3147,0.3392,0.2524,0.0937,1,True,0.6667,1.125,1.125
Ziaire Williams,2021,10,1,2,bench,starter,0.4831,0.0531,0.1304,0.4831,0.3334,1,True,0.6667,2.0969,1.0969
Isaiah Wong,2023,45,0,1,bust,bench,0.3761,0.3104,0.3761,0.2421,0.0713,1,True,0.6667,1.0743,1.0743
JT Thor,2021,39,0,1,bust,bench,0.3413,0.3412,0.3413,0.2381,0.0795,1,True,0.6667,1.0558,1.0558
Christian Koloko,2022,39,0,1,bust,bench,0.346,0.3402,0.346,0.2406,0.0732,1,True,0.6667,1.0469,1.0469
AJ Griffin,2022,7,1,2,bench,starter,0.4045,0.0769,0.1735,0.4045,0.3452,1,True,0.6667,2.0179,1.0179
Miles McBride,2021,20,1,2,bench,starter,0.374,0.082,0.1824,0.374,0.3616,1,True,0.6667,2.0152,1.0152
Jett Howard,2023,26,0,1,bust,bench,0.365,0.3516,0.365,0.2192,0.0642,1,True,0.6667,0.996,0.996
Jalen Slawson,2023,69,2,1,starter,bench,0.3748,0.336,0.3748,0.2261,0.0631,1,True,0.6667,1.0162,0.9838
Javonte Smart,2021,97,0,1,bust,bench,0.3848,0.3492,0.3848,0.2156,0.0503,1,True,0.6667,0.9671,0.9671
Amen Thompson,2023,6,3,2,star,starter,0.3741,0.0772,0.1788,0.3741,0.3699,1,True,0.6667,2.0367,0.9633
Franz Wagner,2021,12,3,2,star,starter,0.5057,0.0584,0.1394,0.5057,0.2965,1,True,0.6667,2.0403,0.9597
Izaiah Brockington,2022,78,0,1,bust,bench,0.3901,0.3798,0.3901,0.1828,0.0472,1,True,0.6667,0.8975,0.8975
Brice Sensabaugh,2023,35,2,1,starter,bench,0.3369,0.3024,0.3369,0.2469,0.1138,1,True,0.6667,1.1721,0.8279
Dereck Lively,2023,19,2,1,starter,bench,0.3474,0.2967,0.3474,0.2416,0.1143,1,True,0.6667,1.1735,0.8265
Quentin Grimes,2021,37,2,1,starter,bench,0.3432,0.2948,0.3432,0.2329,0.1291,1,True,0.6667,1.1963,0.8037
Scottie Barnes,2021,5,3,2,star,starter,0.4955,0.0385,0.0942,0.4955,0.3719,1,True,0.6667,2.2008,0.7992
GG Jackson,2023,31,2,1,starter,bench,0.3568,0.2855,0.3568,0.2236,0.134,1,True,0.6667,1.2062,0.7938
Ryan Rollins,2022,36,1,2,bench,starter,0.348,0.1322,0.2365,0.348,0.2833,1,True,0.6667,1.7824,0.7824
Herbert Jones,2021,41,2,1,starter,bench,0.3688,0.2616,0.3688,0.2503,0.1193,1,True,0.6667,1.2273,0.7727
Walker Kessler,2022,27,2,1,starter,bench,0.3538,0.2578,0.3538,0.2724,0.1159,1,True,0.6667,1.2465,0.7535
Evan Mobley,2021,2,3,2,star,starter,0.4621,0.0376,0.083,0.4621,0.4174,1,True,0.6667,2.2593,0.7407
Ochai Agbaji,2022,17,2,1,starter,bench,0.3514,0.2419,0.3514,0.226,0.1807,1,True,0.6667,1.3456,0.6544
Andrew Nembhard,2022,34,2,1,starter,bench,0.3448,0.2291,0.3448,0.2704,0.1557,1,True,0.6667,1.3527,0.6473
Leonard Miller,2023,33,1,2,bench,starter,0.3402,0.1668,0.2598,0.3402,0.2333,1,True,0.6667,1.6399,0.6399
Jalen Suggs,2021,3,2,3,starter,star,0.6904,0.0222,0.0356,0.2517,0.6904,1,True,0.6667,2.6103,0.6103
Jalen Duren,2022,16,2,1,starter,bench,0.3183,0.2184,0.3183,0.2772,0.1861,1,True,0.6667,1.431,0.569
Shaedon Sharpe,2022,10,2,1,starter,bench,0.3364,0.1928,0.3364,0.3112,0.1595,1,True,0.6667,1.4374,0.5626
Noah Clowney,2023,20,2,1,starter,bench,0.314,0.2065,0.314,0.2719,0.2076,1,True,0.6667,1.4805,0.5195
Anthony Black,2023,5,2,3,starter,star,0.6125,0.0251,0.0496,0.3128,0.6125,1,True,0.6667,2.5127,0.5127
Jaylen Martin,2023,85,1,0,bench,bust,0.6198,0.6198,0.2696,0.1021,0.0086,1,True,0.6667,0.4994,0.5006
Cason Wallace,2023,13,2,3,starter,star,0.6214,0.0308,0.0613,0.2865,0.6214,1,True,0.6667,2.4984,0.4984
Brandin Podziemski,2023,23,2,3,starter,star,0.274,0.2588,0.243,0.2242,0.274,1,True,0.6667,1.5133,0.4867
Christian Braun,2022,30,2,1,starter,bench,0.3077,0.1821,0.3077,0.2909,0.2193,1,True,0.6667,1.5473,0.4527
Justin Powell,2023,100,1,0,bench,bust,0.5791,0.5791,0.3049,0.1051,0.0109,1,True,0.6667,0.5478,0.4522
Joey Hauser,2023,98,1,0,bench,bust,0.5895,0.5895,0.2773,0.1206,0.0126,1,True,0.6667,0.5563,0.4437
Jabari Smith,2022,1,2,3,starter,star,0.5592,0.0288,0.0589,0.353,0.5592,1,True,0.6667,2.4426,0.4426
Jose Alvarado,2021,90,1,0,bench,bust,0.5819,0.5819,0.2414,0.164,0.0126,1,True,0.6667,0.6073,0.3927
Bryson Williams,2022,57,1,0,bench,bust,0.5608,0.5608,0.2801,0.146,0.0132,1,True,0.6667,0.6116,0.3884
Gradey Dick,2023,7,2,3,starter,star,0.5324,0.0388,0.088,0.3408,0.5324,1,True,0.6667,2.3667,0.3667
Olivier Sarr,2021,81,1,0,bench,bust,0.5327,0.5327,0.3155,0.1365,0.0152,1,True,0.6667,0.6343,0.3657
Bennedict Mathurin,2022,5,2,3,starter,star,0.5117,0.0376,0.0888,0.3619,0.5117,1,True,0.6667,2.3477,0.3477
Baylor Scheierman,2023,70,1,0,bench,bust,0.537,0.537,0.2786,0.1693,0.0151,1,True,0.6667,0.6625,0.3375
Jeremy Sochan,2022,12,2,3,starter,star,0.4658,0.0334,0.0803,0.4206,0.4658,1,True,0.6667,2.3187,0.3187
Collin Gillespie,2022,96,1,0,bench,bust,0.4928,0.4928,0.3478,0.136,0.0234,1,True,0.6667,0.69,0.31
Moussa Diabate,2022,68,1,0,bench,bust,0.5092,0.5092,0.2929,0.1797,0.0181,1,True,0.6667,0.7068,0.2932
Keion Brooks,2023,77,1,0,bench,bust,0.4797,0.4797,0.3606,0.1317,0.028,1,True,0.6667,0.7081,0.2919
Dalano Banton,2021,88,1,0,bench,bust,0.4812,0.4812,0.3491,0.1467,0.023,1,True,0.6667,0.7114,0.2886
DeJon Jarreau,2021,85,1,0,bench,bust,0.4838,0.4838,0.3443,0.1457,0.0262,1,True,0.6667,0.7144,0.2856
Peyton Watson,2022,44,1,0,bench,bust,0.5071,0.5071,0.2802,0.1881,0.0246,1,True,0.6667,0.7302,0.2698
Tosan Evbuomwan,2023,68,1,0,bench,bust,0.4725,0.4725,0.3393,0.1637,0.0245,1,True,0.6667,0.7402,0.2598
Ayo Dosunmu,2021,24,2,3,starter,star,0.3113,0.1458,0.2514,0.2915,0.3113,1,True,0.6667,1.7683,0.2317
Isaiah Livers,2021,49,1,0,bench,bust,0.4514,0.4514,0.3504,0.1723,0.0259,1,True,0.6667,0.7727,0.2273
Keon Ellis,2022,80,1,0,bench,bust,0.4626,0.4626,0.3287,0.1764,0.0323,1,True,0.6667,0.7785,0.2215
Tyrese Martin,2022,95,1,0,bench,bust,0.4329,0.4329,0.3858,0.1493,0.032,1,True,0.6667,0.7805,0.2195
Kessler Edwards,2021,61,1,0,bench,bust,0.4692,0.4692,0.3066,0.195,0.0291,1,True,0.6667,0.7841,0.2159
Keegan Murray,2022,6,2,3,starter,star,0.4997,0.0732,0.138,0.289,0.4997,1,True,0.6667,2.2153,0.2153
Duane Washington Jr.,2021,62,1,0,bench,bust,0.4547,0.4547,0.3342,0.1821,0.029,1,True,0.6667,0.7854,0.2146
Ben Sheppard,2023,37,1,0,bench,bust,0.4707,0.4707,0.2826,0.2184,0.0284,1,True,0.6667,0.8044,0.1956
David Roddy,2022,65,1,0,bench,bust,0.4663,0.4663,0.2915,0.2132,0.0291,1,True,0.6667,0.805,0.195
Sam Hauser,2021,66,1,0,bench,bust,0.4402,0.4402,0.3512,0.1705,0.0381,1,True,0.6667,0.8066,0.1934
Jericho Sims,2021,45,1,0,bench,bust,0.4502,0.4502,0.3127,0.2094,0.0278,1,True,0.6667,0.8148,0.1852
Jalen Pickett,2023,41,1,0,bench,bust,0.4621,0.4621,0.2933,0.2116,0.033,1,True,0.6667,0.8156,0.1844
Charles Bassey,2021,31,1,0,bench,bust,0.4623,0.4623,0.29,0.2138,0.034,1,True,0.6667,0.8194,0.1806
Justin Champagnie,2021,58,1,0,bench,bust,0.4627,0.4627,0.2973,0.1834,0.0567,1,True,0.6667,0.834,0.166
Jaime Jaquez,2023,24,2,3,starter,star,0.3329,0.1228,0.2427,0.3017,0.3329,1,True,0.6667,1.8446,0.1554
Jordan Miller,2023,54,1,0,bench,bust,0.4177,0.4177,0.3477,0.2031,0.0315,1,True,0.6667,0.8485,0.1515
Colin Castleton,2023,79,1,0,bench,bust,0.4069,0.4069,0.378,0.1719,0.0432,1,True,0.6667,0.8515,0.1485
Orlando Robinson,2022,60,1,0,bench,bust,0.4348,0.4348,0.3176,0.2038,0.0439,1,True,0.6667,0.8568,0.1432
Davion Mitchell,2021,13,2,3,starter,star,0.423,0.0665,0.1476,0.3629,0.423,1,True,0.6667,2.1423,0.1423
Rayan Rupert,2023,22,1,0,bench,bust,0.4056,0.4056,0.3663,0.1867,0.0413,1,True,0.6667,0.8637,0.1363
Johnny Juzang,2022,67,1,0,bench,bust,0.4119,0.4119,0.3531,0.1917,0.0433,1,True,0.6667,0.8663,0.1337
Damion Baugh,2023,87,1,0,bench,bust,0.397,0.397,0.376,0.1836,0.0435,1,True,0.6667,0.8735,0.1265
Neemias Queta,2021,46,1,0,bench,bust,0.4138,0.4138,0.3257,0.2144,0.046,1,True,0.6667,0.8926,0.1074
Kobe Brown,2023,58,1,0,bench,bust,0.3703,0.3703,0.3552,0.2271,0.0474,1,True,0.6667,0.9516,0.0484
Julian Champagnie,2022,59,1,0,bench,bust,0.3669,0.3669,0.3471,0.2143,0.0717,1,True,0.6667,0.9908,0.0092
Jordan Walsh,2023,43,1,0,bench,bust,0.365,0.365,0.3415,0.2299,0.0636,1,True,0.6667,0.9922,0.0078
Tari Eason,2022,19,2,3,starter,star,0.3663,0.0869,0.1869,0.3599,0.3663,1,True,0.6667,2.0057,0.0057
Colby Jones,2023,39,0,0,bust,bust,0.3336,0.3336,0.3335,0.2514,0.0815,0,True,1.0,1.0809,1.0809
JD Davison,2022,50,0,0,bust,bust,0.3456,0.3456,0.3301,0.2401,0.0842,0,True,1.0,1.0629,1.0629
Greg Brown,2021,38,0,0,bust,bust,0.3558,0.3558,0.3354,0.2236,0.0852,0,True,1.0,1.0382,1.0382
Kendall Brown,2022,45,0,0,bust,bust,0.3777,0.3777,0.2988,0.2534,0.0701,0,True,1.0,1.0158,1.0158
Dyson Daniels,2022,11,3,3,star,star,0.3857,0.0791,0.1774,0.3578,0.3857,0,True,1.0,2.0502,0.9498
Patrick Baldwin,2022,41,0,0,bust,bust,0.3931,0.3931,0.3272,0.2246,0.0551,0,True,1.0,0.9417,0.9417
Scottie Lewis,2021,78,0,0,bust,bust,0.3847,0.3847,0.3482,0.2192,0.0478,0,True,1.0,0.9301,0.9301
Jordan Hall,2022,54,0,0,bust,bust,0.4012,0.4012,0.3244,0.2195,0.0549,0,True,1.0,0.9282,0.9282
Josh Minott,2022,48,0,0,bust,bust,0.4013,0.4013,0.3244,0.2286,0.0457,0,True,1.0,0.9187,0.9187
Emoni Bates,2023,55,0,0,bust,bust,0.386,0.386,0.3715,0.1907,0.0517,0,True,1.0,0.9081,0.9081
Jamaree Bouyea,2022,43,0,0,bust,bust,0.4071,0.4071,0.3396,0.207,0.0463,0,True,1.0,0.8924,0.8924
Keyontae Johnson,2023,51,0,0,bust,bust,0.4087,0.4087,0.3477,0.2067,0.0369,0,True,1.0,0.8719,0.8719
Alondes Williams,2022,61,0,0,bust,bust,0.433,0.433,0.3219,0.2068,0.0383,0,True,1.0,0.8505,0.8505
Jacob Toppin,2023,67,0,0,bust,bust,0.4251,0.4251,0.3602,0.177,0.0377,0,True,1.0,0.8272,0.8272
Keyonte George,2023,16,3,3,star,star,0.4602,0.0625,0.1394,0.3379,0.4602,0,True,1.0,2.1959,0.8041
Carlik Jones,2021,75,0,0,bust,bust,0.4445,0.4445,0.3495,0.1675,0.0384,0,True,1.0,0.8,0.8
Adama Sanogo,2023,48,0,0,bust,bust,0.4679,0.4679,0.2967,0.2049,0.0305,0,True,1.0,0.7981,0.7981
Adam Flagler,2023,53,0,0,bust,bust,0.4653,0.4653,0.3051,0.201,0.0286,0,True,1.0,0.7929,0.7929
Kenneth Lofton,2022,69,0,0,bust,bust,0.4846,0.4846,0.2854,0.1873,0.0426,0,True,1.0,0.788,0.788
Chris Livingston,2023,62,0,0,bust,bust,0.4708,0.4708,0.3088,0.1909,0.0295,0,True,1.0,0.7791,0.7791
John Butler,2022,28,0,0,bust,bust,0.4627,0.4627,0.3322,0.1772,0.028,0,True,1.0,0.7705,0.7705
Seth Lundy,2023,32,0,0,bust,bust,0.4717,0.4717,0.3171,0.1836,0.0276,0,True,1.0,0.7671,0.7671
Marcus Garrett,2021,68,0,0,bust,bust,0.4667,0.4667,0.3336,0.1721,0.0276,0,True,1.0,0.7605,0.7605
Caleb Houstan,2022,38,0,0,bust,bust,0.4875,0.4875,0.2899,0.1991,0.0235,0,True,1.0,0.7586,0.7586
Joe Wieskamp,2021,48,0,0,bust,bust,0.4867,0.4867,0.2937,0.194,0.0256,0,True,1.0,0.7586,0.7586
MarJon Beauchamp,2022,33,0,0,bust,bust,0.4675,0.4675,0.3326,0.1746,0.0253,0,True,1.0,0.7576,0.7576
Matthew Hurt,2021,83,0,0,bust,bust,0.5311,0.5311,0.2261,0.2108,0.032,0,True,1.0,0.7436,0.7436
Chet Holmgren,2022,4,3,3,star,star,0.4933,0.0574,0.1093,0.34,0.4933,0,True,1.0,2.2692,0.7308
Gui Santos,2022,92,0,0,bust,bust,0.498,0.498,0.3013,0.1789,0.0219,0,True,1.0,0.7246,0.7246
Antoine Davis,2023,99,0,0,bust,bust,0.4853,0.4853,0.3479,0.1379,0.0289,0,True,1.0,0.7104,0.7104
Omari Moore,2023,59,0,0,bust,bust,0.4857,0.4857,0.3434,0.146,0.0249,0,True,1.0,0.7101,0.7101
Yves Pons,2021,79,0,0,bust,bust,0.4815,0.4815,0.3641,0.1301,0.0244,0,True,1.0,0.6973,0.6973
Kendric Davis,2023,95,0,0,bust,bust,0.5196,0.5196,0.3046,0.1511,0.0247,0,True,1.0,0.6811,0.6811
Jermaine Samuels,2022,94,0,0,bust,bust,0.4972,0.4972,0.3574,0.1194,0.026,0,True,1.0,0.6742,0.6742
Hunter Tyson,2023,60,0,0,bust,bust,0.5395,0.5395,0.2676,0.1753,0.0175,0,True,1.0,0.6708,0.6708
Michael Foster,2022,53,0,0,bust,bust,0.542,0.542,0.2644,0.1795,0.014,0,True,1.0,0.6656,0.6656
DMoi Hodge,2023,90,0,0,bust,bust,0.5239,0.5239,0.3086,0.1456,0.0219,0,True,1.0,0.6656,0.6656
Jamorko Pickett,2021,93,0,0,bust,bust,0.5017,0.5017,0.357,0.1202,0.0212,0,True,1.0,0.6608,0.6608
Drew Peterson,2023,73,0,0,bust,bust,0.5158,0.5158,0.3349,0.1299,0.0194,0,True,1.0,0.6528,0.6528
Luka Garza,2021,73,0,0,bust,bust,0.554,0.554,0.2589,0.1711,0.016,0,True,1.0,0.6491,0.6491
McKinley Wright,2021,74,0,0,bust,bust,0.5327,0.5327,0.3111,0.141,0.0152,0,True,1.0,0.6387,0.6387
Lester Quinones,2022,51,0,0,bust,bust,0.5737,0.5737,0.2492,0.1635,0.0136,0,True,1.0,0.6169,0.6169
Gabe Brown,2022,87,0,0,bust,bust,0.5552,0.5552,0.2924,0.1389,0.0135,0,True,1.0,0.6106,0.6106
Buddy Boeheim,2022,98,0,0,bust,bust,0.5487,0.5487,0.3114,0.1244,0.0155,0,True,1.0,0.6067,0.6067
Blake Wesley,2022,18,1,1,bench,bench,0.2998,0.1713,0.2998,0.2841,0.2448,0,True,1.0,1.6024,0.6024
Donovan Williams,2022,58,0,0,bust,bust,0.5722,0.5722,0.273,0.1421,0.0127,0,True,1.0,0.5953,0.5953
Feron Hunt,2021,89,0,0,bust,bust,0.5677,0.5677,0.2858,0.1305,0.016,0,True,1.0,0.5949,0.5949
Cade Cunningham,2021,1,3,3,star,star,0.5551,0.028,0.0622,0.3547,0.5551,0,True,1.0,2.4369,0.5631
Markquis Nowell,2023,92,0,0,bust,bust,0.6141,0.6141,0.2385,0.1355,0.0118,0,True,1.0,0.5451,0.5451
Alex Fudge,2023,88,0,0,bust,bust,0.6197,0.6197,0.2496,0.1214,0.0093,0,True,1.0,0.5204,0.5204
Brandon Miller,2023,3,3,3,star,star,0.6084,0.033,0.0572,0.3015,0.6084,0,True,1.0,2.4852,0.5148
Kris Murray,2023,17,1,1,bench,bench,0.3153,0.1987,0.3153,0.2663,0.2196,0,True,1.0,1.5068,0.5068
Scoot Henderson,2023,2,2,2,starter,starter,0.3434,0.1732,0.3126,0.3434,0.1707,0,True,1.0,1.5117,0.4883
Paolo Banchero,2022,3,3,3,star,star,0.6436,0.0289,0.0508,0.2767,0.6436,0,True,1.0,2.5351,0.4649
Nick Smith,2023,18,1,1,bench,bench,0.3343,0.2051,0.3343,0.2528,0.2078,0,True,1.0,1.4633,0.4633
Olivier-Maxence Prosper,2023,27,1,1,bench,bench,0.3333,0.2005,0.3333,0.2979,0.1684,0,True,1.0,1.4341,0.4341
Jordan Hawkins,2023,15,1,1,bench,bench,0.3382,0.2195,0.3382,0.242,0.2003,0,True,1.0,1.4231,0.4231
Oscar Tshiebwe,2023,63,1,1,bench,bench,0.2984,0.2448,0.2984,0.258,0.1988,0,True,1.0,1.4108,0.4108
Tre Mann,2021,33,2,2,starter,starter,0.2925,0.1746,0.2667,0.2925,0.2662,0,True,1.0,1.6504,0.3496
Isaiah Jackson,2021,34,1,1,bench,bench,0.3195,0.258,0.3195,0.2483,0.1742,0,True,1.0,1.3387,0.3387
Trayce Jackson-Davis,2023,21,1,1,bench,bench,0.334,0.2538,0.334,0.2337,0.1784,0,True,1.0,1.3368,0.3368
Jaden Hardy,2022,24,1,1,bench,bench,0.3104,0.273,0.3104,0.2331,0.1834,0,True,1.0,1.327,0.327
Julian Strawther,2023,25,1,1,bench,bench,0.3528,0.2539,0.3528,0.2326,0.1608,0,True,1.0,1.3002,0.3002
Jeremiah Robinson-Earl,2021,44,1,1,bench,bench,0.3093,0.2797,0.3093,0.2533,0.1577,0,True,1.0,1.2891,0.2891
Max Christie,2022,15,1,1,bench,bench,0.3494,0.2615,0.3494,0.2305,0.1586,0,True,1.0,1.2862,0.2862
Chris Duarte,2021,22,2,2,starter,starter,0.3068,0.146,0.2707,0.3068,0.2765,0,True,1.0,1.7138,0.2862
Jake LaRavia,2022,42,1,1,bench,bench,0.327,0.2785,0.327,0.2443,0.1501,0,True,1.0,1.2661,0.2661
Joshua Primo,2021,19,1,1,bench,bench,0.3657,0.2563,0.3657,0.2472,0.1308,0,True,1.0,1.2526,0.2526
Bilal Coulibaly,2023,12,2,2,starter,starter,0.3082,0.1402,0.2438,0.3082,0.3079,0,True,1.0,1.7837,0.2163
Jarace Walker,2023,10,2,2,starter,starter,0.42,0.0486,0.1145,0.42,0.4169,0,True,1.0,2.2053,0.2053
Ricky Council,2023,49,1,1,bench,bench,0.3727,0.2737,0.3727,0.2461,0.1074,0,True,1.0,1.1873,0.1873
Jaden Ivey,2022,2,2,2,starter,starter,0.4554,0.0457,0.115,0.4554,0.3839,0,True,1.0,2.1776,0.1776
Day'Ron Sharpe,2021,53,1,1,bench,bench,0.3226,0.309,0.3226,0.269,0.0994,0,True,1.0,1.1589,0.1589
Jalen Wilson,2023,50,1,1,bench,bench,0.3357,0.3246,0.3357,0.2234,0.1163,0,True,1.0,1.1314,0.1314
Corey Kispert,2021,14,2,2,starter,starter,0.51,0.0519,0.1178,0.51,0.3202,0,True,1.0,2.0986,0.0986
David Duke,2021,51,1,1,bench,bench,0.3537,0.3301,0.3537,0.2121,0.1042,0,True,1.0,1.0903,0.0903
Quenton Jackson,2022,89,1,1,bench,bench,0.3928,0.3731,0.3928,0.1783,0.0558,0,True,1.0,0.9168,0.0832
Jared Rhoden,2022,63,1,1,bench,bench,0.3969,0.3154,0.3969,0.2083,0.0794,0,True,1.0,1.0517,0.0517
Ausar Thompson,2023,8,2,2,starter,starter,0.3597,0.0912,0.2023,0.3597,0.3468,0,True,1.0,1.9621,0.0379
Ron Harper Jr.,2022,35,1,1,bench,bench,0.3849,0.3526,0.3849,0.2052,0.0573,0,True,1.0,0.9671,0.0329
Trendon Watford,2021,80,1,1,bench,bench,0.359,0.337,0.359,0.2468,0.0572,0,True,1.0,1.0242,0.0242
Marcus Sasser,2023,40,1,1,bench,bench,0.3584,0.3511,0.3584,0.222,0.0685,0,True,1.0,1.008,0.008
Aaron Wiggins,2021,40,1,1,bench,bench,0.3738,0.347,0.3738,0.2183,0.061,0,True,1.0,0.9933,0.0067
Sandro Mamukelashvili,2021,72,1,1,bench,bench,0.3902,0.337,0.3902,0.2043,0.0685,0,True,1.0,1.0043,0.0043
Mouhamed Gueye,2023,76,1,1,bench,bench,0.3766,0.3411,0.3766,0.2242,0.0581,0,True,1.0,0.9993,0.0007
