Name,draft_year,draft_pick,actual_tier,pred_tier,actual_tier_label,pred_tier_label,confidence,p_bust,p_bench,p_starter,p_star,ordinal_error,within_one,distance_weighted_credit,expected_class,expected_class_error
Austin Reaves,2021,77,3,0,star,bust,0.4957,0.4957,0.3017,0.179,0.0236,3,False,0.0,0.7305,2.2695
James Bouknight,2021,7,0,3,bust,star,0.4386,0.0413,0.1075,0.4126,0.4386,3,False,0.0,2.2486,2.2486
Jalen Williams,2022,21,3,0,star,bust,0.41,0.41,0.373,0.1791,0.0379,3,False,0.0,0.8448,2.1552
TyTy Washington,2022,22,0,3,bust,star,0.4207,0.1016,0.1829,0.2948,0.4207,3,False,0.0,2.0347,2.0347
Wendell Moore,2022,20,0,3,bust,star,0.3559,0.1029,0.1994,0.3418,0.3559,3,False,0.0,1.9507,1.9507
Sharife Cooper,2021,35,0,3,bust,star,0.395,0.1456,0.2223,0.2371,0.395,3,False,0.0,1.8817,1.8817
Kennedy Chandler,2022,25,0,3,bust,star,0.3762,0.1453,0.2335,0.245,0.3762,3,False,0.0,1.852,1.852
Jaden Springer,2021,29,0,3,bust,star,0.3261,0.1278,0.2319,0.3142,0.3261,3,False,0.0,1.8385,1.8385
Kobe Bufkin,2023,11,0,2,bust,starter,0.5073,0.0466,0.1074,0.5073,0.3387,2,False,0.3333,2.1381,2.1381
Ousmane Dieng,2022,14,0,2,bust,starter,0.3637,0.1016,0.2109,0.3637,0.3237,2,False,0.3333,1.9095,1.9095
Jason Preston,2021,36,0,2,bust,starter,0.3542,0.1424,0.2246,0.3542,0.2788,2,False,0.3333,1.7693,1.7693
Amari Bailey,2023,42,0,2,bust,starter,0.346,0.1402,0.2414,0.346,0.2724,2,False,0.3333,1.7507,1.7507
Dalen Terry,2022,31,0,2,bust,starter,0.3911,0.1273,0.2418,0.3911,0.2399,2,False,0.3333,1.7435,1.7435
Joel Ayayi,2021,30,0,2,bust,starter,0.3492,0.1597,0.2692,0.3492,0.2219,2,False,0.3333,1.6333,1.6333
Jalen Johnson,2021,17,3,1,star,bench,0.3361,0.2163,0.3361,0.2802,0.1674,2,False,0.3333,1.3987,1.6013
Marcus Bagley,2023,89,2,0,starter,bust,0.6038,0.6038,0.2714,0.1154,0.0094,2,False,0.3333,0.5303,1.4697
Leaky Black,2023,81,2,0,starter,bust,0.5198,0.5198,0.3244,0.1317,0.0241,2,False,0.3333,0.6603,1.3397
Cam Whitmore,2023,9,1,3,bench,star,0.5047,0.0475,0.1136,0.3342,0.5047,2,False,0.3333,2.2962,1.2962
Toumani Camara,2023,57,2,0,starter,bust,0.4671,0.4671,0.3063,0.1951,0.0315,2,False,0.3333,0.791,1.209
Jalen Hood-Schifino,2023,14,1,3,bench,star,0.4231,0.0586,0.1287,0.3896,0.4231,2,False,0.3333,2.1772,1.1772
Mac McClung,2021,64,2,0,starter,bust,0.42,0.42,0.3686,0.1681,0.0433,2,False,0.3333,0.8348,1.1652
Scotty Pippen Jr.,2022,62,2,0,starter,bust,0.4392,0.4392,0.3058,0.2117,0.0433,2,False,0.3333,0.8591,1.1409
Dariq Whitehead,2023,38,2,0,starter,bust,0.4335,0.4335,0.309,0.2132,0.0442,2,False,0.3333,0.8681,1.1319
Keon Johnson,2021,16,1,3,bench,star,0.3972,0.0621,0.1485,0.3923,0.3972,2,False,0.3333,2.1245,1.1245
Drew Timme,2023,65,2,0,starter,bust,0.3962,0.3962,0.3537,0.2021,0.0479,2,False,0.3333,0.9018,1.0982
Jabari Walker,2022,52,2,0,starter,bust,0.4081,0.4081,0.3243,0.2114,0.0562,2,False,0.3333,0.9157,1.0843
Moses Moody,2021,8,1,3,bench,star,0.4254,0.0914,0.2016,0.2816,0.4254,2,False,0.3333,2.0409,1.0409
Nah'Shon Hyland,2021,21,1,3,bench,star,0.423,0.0982,0.188,0.2908,0.423,2,False,0.3333,2.0386,1.0386
Taylor Hendricks,2023,4,1,3,bench,star,0.3794,0.0893,0.1876,0.3437,0.3794,2,False,0.3333,2.0132,1.0132
Jared Butler,2021,25,1,3,bench,star,0.3871,0.1021,0.1969,0.314,0.3871,2,False,0.3333,1.9861,0.9861
Malaki Branham,2022,9,1,3,bench,star,0.3564,0.1079,0.2145,0.3211,0.3564,2,False,0.3333,1.926,0.926
Cameron Thomas,2021,23,2,0,starter,bust,0.3383,0.3383,0.3091,0.2262,0.1264,2,False,0.3333,1.1407,0.8593
Jaylin Williams,2022,26,1,3,bench,star,0.3193,0.138,0.2355,0.3071,0.3193,2,False,0.3333,1.8078,0.8078
EJ Liddell,2022,32,0,1,bust,bench,0.3184,0.1896,0.3184,0.2781,0.2139,1,True,0.6667,1.5163,1.5163
Kai Jones,2021,11,0,1,bust,bench,0.3304,0.1923,0.3304,0.2803,0.197,1,True,0.6667,1.4821,1.4821
Maxwell Lewis,2023,28,0,1,bust,bench,0.3417,0.2196,0.3417,0.3006,0.1381,1,True,0.6667,1.3573,1.3573
Andre Jackson,2023,29,0,1,bust,bench,0.3477,0.2221,0.3477,0.2877,0.1426,1,True,0.6667,1.3507,1.3507
