actual_tier_label,p_bust,p_bench,p_starter,p_star
bust,0.374,0.3042,0.2214,0.1004
bench,0.3362,0.3055,0.2298,0.1285
starter,0.2133,0.2475,0.283,0.2562
star,0.1256,0.1684,0.3423,0.3637
